,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['38.670300', '-88.491900']",2016-12-18 08:35,"1996 gw invader bravo 180 indy 20 ft open bow with a Volvo penta 4.3 v6 and a sx cobra outdrive , runs great, has storage under seats, cd player, new boat cover, comes with a seadoo tube and pair of skis , water ready , trailmaster Indy series trailer , with both titles in hand. Always been winterized all fluids been changed every year. Its not perfect does have some rips in the interior and normal wear. Has been a lot of family fun but I have to many toys and no time to play. Asking $5500 CASH OBO may trade for a 2003 and up Tahoe 4x4 with not a lot of miles , maybe a nice everyday driver, maybe a side by side , honda 4x4 wheeler and some cash. CASH IS KING for more information PLEASE CALL WILL NOT RESPOND TO TEXT",,5924079869,38.670300,20,-88.491900,,"https://maps.google.com/maps/preview/@38.670300,-88.491900,16z",,$5500,power, (FLORA IL),GW INVADER 180,https://mattoon.craigslist.org/boa/5924079869.html,
1,excellent,"['39.950200', '-88.445100']",2016-12-17 21:09,"© craigslist - Map data © OpenStreetMap (google map) length overall (LOA): 18 make / manufacturer: Ranger model name / number: 354XT propulsion type: power year manufactured: 1994 1994 Ranger 354XT Mercury XR6 150HP 2 Owner boat, I bought from the original owner in 2010. New carpet New seats Optional 3rd gas tank under seats Humminbird 998C SI on console. Minn Kota trolling motor Motor Mate motor transom saver 24P Predator 4 blade (reworked by Mark Croxton in 2013) 1994 Ranger Trail trailer Newer tires Complete new brake actuator New bearings New calipers and pads Completely rewired and LED lights installed New Fulton winch New Bow and Stern rollers Extras: 2 Spare props ( PowerTech TRO4 24P 4 blade and a 25P Tempest Plus 3 blade) Flow-torq hub kit Humminbird 798C (update to down imaging software version) Several bottles of Mercury Quickclean and Mercury Quickstor Several gallons of Mercury Premium Plus 2 stroke oil One of first 354XTs, built in late 1993. No Paypal or checks, cash deal.",,5920676624,39.950200,18,-88.445100,Ranger,"https://maps.google.com/maps/preview/@39.950200,-88.445100,16z",354 XT,$7500,power," (Ivesdale, IL)",1994 Ranger 354 XT,https://mattoon.craigslist.org/boa/5920676624.html,
2,,"['39.486900', '-88.176100']",2016-12-17 09:53,Bow and stern lights run on batteries so no wiring needed has clamps so you can attach on to most any side rail,,5922992233,39.486900,3,-88.176100,,"https://maps.google.com/maps/preview/@39.486900,-88.176100,16z",,$40,human, (Charleston),Bow and stern lights,https://mattoon.craigslist.org/boa/5922992233.html,
3,good,"['39.480200', '-88.376200']",2016-12-15 18:29,1993 Thompson Carrara has a new engine that was installed in July with 2 years left on warranty thru NAPA new starter new alternator new batteries new water pump new fuel pump new spark plugs and wires and installed new cap and rottor trailer has new tires and light this boat is ready for the water $4000 obo,15,5891977884,39.480200,20,-88.376200,Thompson,"https://maps.google.com/maps/preview/@39.480200,-88.376200,16z",Carrara 2000,$4000,power, (Mattoon),1993 Thompson carrara 2000,https://mattoon.craigslist.org/boa/5891977884.html,1993
4,,,2016-12-15 02:19,"1992 baja 24ft  cuddy 454 engine thru hull exhaust bravo 2 outdrive.power engine hatch newer full cover, cockpit cover that's still new in packaging. Duel batteries with switch boat has approx 540 hrs runs perfect with no issues hull is very sound comes with all necessary items for safety and pleasure.",,5920058198,,24,,Baja,,,$11500,power,,Baja,https://mattoon.craigslist.org/boa/5920058198.html,1992
5,good,,2016-12-10 12:33,"85 17' tournament bass tracker 60 merc same era, trailer, 46# motor guide and hummingbird locator. Bought all in December of 2013. Motor has been updated by chips marine and runs good. Electronics were new in 13 when purchased. Looks like a dog but runs and fishes nicely. Needs batteries and trailer winch assembly",,5913778365,,23,,Bass tracker,,Tournament V17,$1500,power, (Findlay),17 foot bass tracker,https://mattoon.craigslist.org/boa/5913778365.html,1985
6,excellent,"['39.031900', '-88.407400']",2016-12-07 11:34,"FOR SALE IS A 1998 CRESTLINE BASS BOAT. THE BOAT IS SOLID, WITH NO TEARS, OR RIPS IN THE SEATS OR CARPET. THE MOTOR IS A MERCURY 5O HORSE POWER 4 STROKE WITH LESS THAN 25 HOURS ON IT. THE TRAILER HAS GOOD TIRES, AND IS COMPLETE. THIS BOAT IS READY FOR THE LAKE. THE 2017 FISHING SEASON IS JUST AROUND THE CORNER. CALL OR TX US, TO TAKE A LOOK AT IT. THIS BOAT WOULD MAKE A GREAT CHRISTMAS PRESENT, AND THE LUCKY PERSON WOULD BE READY FOR THE 2017 FISHING SEASON. HAVE BOTH TITLES IN HAND, WAITING ON YOU.",25,5909464261,39.031900,18,-88.407400,Crestlinner,"https://maps.google.com/maps/preview/@39.031900,-88.407400,16z",1800 PRO,$7000,power,,BOAT FOR SALE BY OWNER,https://mattoon.craigslist.org/boa/5909464261.html,1998
7,,"['39.183500', '-88.803800']",2016-12-05 11:02,16 52 water fowl Jon boat everything works as should 40hp Mercury  steering console cash only!,,5906370039,39.183500,16,-88.803800,,"https://maps.google.com/maps/preview/@39.183500,-88.803800,16z",,$5000,power, (Beecher city il),Jon boat,https://mattoon.craigslist.org/boa/5906370039.html,
8,,,2016-12-03 07:37,"Marah Z 225 Alpha 1 Mercruser 5.7 LX, Silent Choice Exhaust. Fresh Plugs, Oil, Gas Filter, 96 Very Low Hours, Like New, Stored inside, Two Bovers, Captain Seats, Sun Deck,  618-508-50 three two",96,5890687921,,23,,,,,$19500,power, (Flora),"Marah Z 225, 96 hrs, Boat & Trailer",https://mattoon.craigslist.org/boa/5890687921.html,
9,,,2016-11-30 13:08,2012 Yamaha FX CRUISER® HO (847F212) www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2012 Make: Yamaha Model: FX CRUISER® HO Stock #: 847F212,,5899480639,,10,,Yamaha,,FX CRUISER® HO,$7999,power, (Nashville IL),HOT DEAL!!! 2012 Yamaha FX CRUISER HO,https://mattoon.craigslist.org/bod/5899480639.html,
10,,,2016-11-30 12:45,2015 Sea-Doo Spark 3up IBR ROTAX® 900 HO ACE™ Convenience Package (8646F515) www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2015 Make: Sea-Doo Model: Spark 3up IBR ROTAX® 900 HO ACE™ Convenience Package Stock #: 8646F515,,5899437122,,10,,Sea-Doo,,Spark 3up IBR ROTAX® 900 HO,$5999,power, (Nashville IL),BLOWOUT!!! 2015 Sea-Doo Spark IBR ROTAX 900 HO ACE,https://mattoon.craigslist.org/bod/5899437122.html,2015
11,,,2016-11-29 14:04,HOT DEAL!!! 2012 Sea-Doo 24CA - GTI SE 130 Viper Red www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2012 Make: Sea-Doo Model: 24CA - GTI SE 130 Viper Red Stock #: 837H112,,5897996802,,8,,Sea-Doo,,24CA - GTI SE 130 Viper Red,$6999,power, (Nashville IL),HOT DEAL!!! 2012 Sea-Doo GTI SE 130,https://mattoon.craigslist.org/bod/5897996802.html,
12,,,2016-11-29 13:56,AWESOME!!! 2012 Sea-Doo 24CA - GTI SE 130 Viper Red www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2012 Make: Sea-Doo Model: 24CA - GTI SE 130 Viper Red Stock #: 830H112,,5897982493,,8,,Sea-Doo,,24CA - GTI SE 130 Viper Red,$6999,power, (Nashville IL),AWESOME!!! 2012 Sea-Doo GTI SE 130,https://mattoon.craigslist.org/bod/5897982493.html,
13,,,2016-11-29 13:11,HOT DEAL!!! 2014 Sea-Doo Spark 2up ROTAX® 900 ACE™ www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2014 Make: Sea-Doo Model: Spark 2up ROTAX® 900 ACE™ Stock #: 49D414,,5897898108,,8,,Sea-Doo,,Spark 2up ROTAX® 900 ACE,$4299,power, (Nashville IL),HOT DEAL!!! 2014 Sea-Doo Spark 900,https://mattoon.craigslist.org/bod/5897898108.html,
14,,,2016-11-29 13:03,AWESOME!!! 2014 Sea-Doo Spark 2up ROTAX® 900 ACE™ www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2014 Make: Sea-Doo Model: Spark 2up ROTAX® 900 ACE™ Stock #: 991D414,,5897871082,,8,,Sea-Doo,,Spark 2up ROTAX® 900 ACE&#8,$4299,power, (Nashville IL),AWESOME!!! 2014 Sea-Doo Spark 900,https://mattoon.craigslist.org/bod/5897871082.html,
15,,,2016-11-29 12:56,WOW!!! 2008 Yamaha AR 210 www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2008 Make: Yamaha Model: AR 210 Stock #: 71C808,,5897867635,,25,,Yamaha,,AR 210,$22999,power, (Nashville IL),WOW!!! 2008 Yamaha AR 210,https://mattoon.craigslist.org/bod/5897867635.html,
16,,,2016-11-29 10:05,I have a 1989 Yamaha wave runner 500cc it is a great Jetski and lots of fun I am selling because I need the money. Everything works perfect on it it runs great. Text me at show contact info I will trade for outboard motor,,5897527968,,6,,,,Yamaha,$600,power, (Charleston),Jetski,https://mattoon.craigslist.org/boa/5897527968.html,1989
17,,,2016-11-28 17:01,2010 Kawasaki Jet Ski® STX® 15F (13J213) holzhauerpromotorsports.com show contact info Vehicle Details Year: 2010 Make: Kawasaki Model: Jet Ski® STX® 15F Stock #: 13J213,,5877978061,,10,,Kawasaki,,Jet Ski® STX® 15F,$4999,power, (Nashville IL),WOW!!! 2010 Kawasaki STX 15F,https://mattoon.craigslist.org/bod/5877978061.html,
18,,,2016-11-28 16:55,2002 Yamaha FX140 (49F202) www.holzhauerpromotorsports.com show contact info Vehicle Details Year: 2002 Make: Yamaha Model: FX140 Stock #: 49F202,,5876140200,,10,,Yamaha,,FX140,$2999,power, (Nashville IL),WOW!!! 2002 Yamaha FX140,https://mattoon.craigslist.org/bod/5876140200.html,
19,,,2016-11-28 16:53,2013 Kawasaki Jet Ski® STX® 15F (65C010) holzhauerpromotorsports.com show contact info Vehicle Details Year: 2013 Make: Kawasaki Model: Jet Ski® STX® 15F Stock #: 65C010,,5878067111,,10,,Kawasaki,,Jet Ski® STX® 15F,$5999,power, (Nashville IL),AWESOME!!! 2013 Kawasaki  STX 15F,https://mattoon.craigslist.org/bod/5878067111.html,
20,,,2016-11-28 13:51,"14 foot Deep Jon flat bottom, no leaks, 4 swivel seats, 6 rod holders, fire extinguisher. Holsclaw single axel trailer, 3 new tires, 1 new wheel,  new wheel bearings and seals, bearing buddies, 2 spares, new tongue jack, lights mounted out of water. New 2016 Mercury 9.9, 4 stroke, tiller steer- console adaptable, manual start, 6 year factory warranty, new fuel tank, new fuel lines, fittings and couplers. $3300 cash or trade for camper.",,5896324317,,14,,,,,$3300,power,,Ready,https://mattoon.craigslist.org/boa/5896324317.html,
21,,"['39.183500', '-88.803800']",2016-11-28 09:00,Evinrude boat motor 25hp runs good everything works as should 1500 Obo,,5895743401,39.183500,16,-88.803800,,"https://maps.google.com/maps/preview/@39.183500,-88.803800,16z",,$1500,power, (Beecher city),Evinrude boat motor,https://mattoon.craigslist.org/boa/5895743401.html,
22,good,,2016-11-22 18:42,1995 formula 271 sr1 455 hours comes with a heritage trailer It has a 502 mercruiser mag It has two new interstate batteries 4 total with a power switch and on board charger It has a brand new $1000 amp and two new JL speakers and new led lighting that comes with a remote with multiple color options and displays,455,5888702031,,27,,Formula,,Sr1,$21000,power, (Shelbyville),1995 formula 271 sr1,https://mattoon.craigslist.org/boa/5888702031.html,1995
23,good,,2016-11-22 18:28,1995 formula 271 sr1 455 hours comes with a heritage trailer It has a 502 mercruiser mag 4 blade 21p prop runs high 50s It has two new interstate batteries 4 total with a power switch and on board charger New fuel pump New alternator It has a brand new $1000 amp and two new JL speakers and new led lighting that comes with a remote with multiple color options and displays It sits on a 1996 heritage trailer that has new tires and bearings If you have any questions give me a call or text show contact info,455,5888701668,,27,,Formula,,Sr1,$21000,power, (Shelbyville),1995 formula 271 sr1,https://mattoon.craigslist.org/boa/5888701668.html,1995
24,fair,,2016-11-20 18:24,"17 foot trihull, if I recall correctly she is like 90 or 96 wide. 140 mercruiser. nothing special. it has sat covered for a bit but motor still fires and block not busted. it floats, has galvanized single axle trailer. boat could use some work. call or text any questions show contact info can send pics upon request. thanks andy",,5882255210,,17,,sunchaser,,1701,$1250,power, (effingham),17 foot tri hull,https://mattoon.craigslist.org/boa/5882255210.html,1987
25,,"['39.480200', '-88.376200']",2016-11-17 15:35,95 celebrity open bow mercruiser 5.7 and alpha outdrive.,460,5881205172,39.480200,20,-88.376200,Celebrity,"https://maps.google.com/maps/preview/@39.480200,-88.376200,16z",200 stratus,$6200,power, (Mattoon),95 Celebrity 200,https://mattoon.craigslist.org/boa/5881205172.html,1995
26,good,,2016-11-15 10:59,"Nice 12 foot lowe jon boat it is carpeted and has front seat that comes with it, has front flood light for bank polin , and has the red and green light on front , do not have back light but you can buy at walmart.Comes with trailer and a 3.9 mercury motor, can see it run. Comes with gas tank too. Just dont use the boat i perfer my ranger bass boat , would like to see it getting used.It does have an older foot mounted trolling motor on front never used it, cant say if it works or not. have titles",,5877608106,,12,,Lowe,,,$600,power, (Greenup),Nice 12 foot Lowe jon boat w/ trailer and 3.9 motor,https://mattoon.craigslist.org/boa/5877608106.html,
27,good,,2016-11-15 10:37,"12 ft lowe jon boat it is carpeted and has front seat , comes with a 3.9 mercery motor which i had serviced when i got the boat 3 yrs ago. Comes with trailer, ive only used this boat 3 times since i bought it. I'd partical to my ranger boat. moving would like go today",,5857830755,,12,,lowe,,,$600,power, (Greenup),12 foot Lowe John Boat,https://mattoon.craigslist.org/boa/5857830755.html,
28,,"['39.868100', '-88.725600']",2016-11-14 18:14,"PRICE REDUCED--WINTER DEAL!! WE WANT GONE! 1995 bayliner capri sport SS 2050 -5.7 mercruiser -new starter, new alternator, new trim solenoid in 2016 -newer batteries -interior is in rough condition -needs new trim switch -CD player we currently have 2 trailers for boat, one is dual axle with a title the other single axle without title. Both included with boat. call or text jeremy show contact info",,5876748270,39.868100,21,-88.725600,,"https://maps.google.com/maps/preview/@39.868100,-88.725600,16z",,$3200,power,,**Winter Deal**1995 bayliner capri sport SS 2050,https://mattoon.craigslist.org/boa/5876748270.html,
29,,"['39.480200', '-88.376200']",2016-11-05 15:56,"A nice shape Rinker 236 Sport cuddy. Good paint and interior,engine was done in 2006 has a .030 502=509 with wiseco blower Pistons Comp extreme cam,and a B&M charger with a Holley 990 blower carb also has extreme marine manifolds and risers, has silent choice. Bravo 1 out drive was just resealed on the lower half and has a 27 pitch mirage plus prop. Has a cockpit cover and a full cover. A nice tandem trailer with good tires. I can send a video. There is no hour meter but used about 25 hours a year or less. Always garaged. I will consider reasonable offers,and possible trades on GMmuscle cars ,jon boats,pontoon boats, or motorcycles. Tags:well craft scarab,sea ray pachanga,formula,fountain, Baja,muscle boat,four winns liberator",,5862992679,39.480200,236,-88.376200,Rinker,"https://maps.google.com/maps/preview/@39.480200,-88.376200,16z",Captiva,$12900,power, (Mattoon),1994 Captiva 236,https://mattoon.craigslist.org/boa/5862992679.html,1994
30,,,2016-11-05 13:29,"Arrowglass brand 17' Tri-hull with a straight 6 cylinder Chevy engine OMC 165 outdrive. Selling with trailer. Boat runs and operates, interior is in poor shape.",,5862754182,,17,,Arrowglass,,Cheetah,$800,power, (Toledo),1976 Arrowglass 17'Tri-hull boat with trailer.,https://mattoon.craigslist.org/boa/5862754182.html,1976
31,,,2016-12-20 18:56,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5927570731,,,,,,,,,,Lost Title Great Deal,https://mattoon.craigslist.org//decatur.craigslist.org/boa/5927570731.html,
32,,,2016-12-19 23:38,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5926436258,,,,,,,$1800,,,pontoon boat,https://mattoon.craigslist.org//decatur.craigslist.org/boa/5926436258.html,
33,,,2016-12-18 11:16,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5924297199,,,,,,,$9500,,,"2007, 1754 Fisher blind duck edition",https://mattoon.craigslist.org//decatur.craigslist.org/boa/5924297199.html,
34,,,2016-12-17 21:09,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5920635869,,,,,,,$7500,,,1994 Ranger 354 XT,https://mattoon.craigslist.org//decatur.craigslist.org/boa/5920635869.html,
35,,,2016-12-17 10:21,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5923031220,,,,,,,$6000,,,1997 17' 150hp HYDRO-SPORTS BASS BOAT,https://mattoon.craigslist.org//decatur.craigslist.org/boa/5923031220.html,
36,,,2016-12-16 02:26,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5900357307,,,,,,,$550,,,3 Seater Sea Doo gt Jet Ski and Trailer,https://mattoon.craigslist.org//decatur.craigslist.org/boa/5900357307.html,
37,,,2016-12-15 14:54,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5914667644,,,,,,,$1800,,,1980 sunbird sail boat,https://mattoon.craigslist.org//decatur.craigslist.org/boa/5914667644.html,
38,,,2016-12-19 16:56,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5926074044,,,,,,,$1200,,,1992 15'  Alumacraft boat,https://mattoon.craigslist.org//chambana.craigslist.org/boa/5926074044.html,
39,,,2016-12-19 10:58,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5916799982,,,,,,,$4500,,,Two SeaDoo Jetskis & Trailer,https://mattoon.craigslist.org//chambana.craigslist.org/boa/5916799982.html,
40,,,2016-12-18 18:27,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5924818186,,,,,,,$1100,,,14 flat bottom,https://mattoon.craigslist.org//chambana.craigslist.org/boa/5924818186.html,
41,,,2016-12-20 19:45,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5927530676,,,,,,,$34000,,,2005 baja 23 outlaw,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5927530676.html,
42,,,2016-12-19 18:05,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5896467035,,,,,,,$6500,,,22' StarCraft Boat,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5896467035.html,
43,,,2016-12-19 15:23,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5891529938,,,,,,,$11900,,,1998 Rinker Fiesta Vee 266,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5891529938.html,
44,,,2016-12-19 11:46,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5925442497,,,,,,,$8250,,,Used 2012 Seadoo GTX155,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5925442497.html,
45,,,2016-12-18 08:32,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5924073283,,,,,,,$24000,,,2013 Berkshire Pontoon,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5924073283.html,
46,,,2016-12-17 11:49,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5899990398,,,,,,,$500,,,Burton's Used Watercraft LOTS of Jet Skis see videos,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5899990398.html,
47,,,2016-12-17 07:58,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5922815406,,,,,,,$2900,,,95 Ebbtide,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5922815406.html,
48,,,2016-12-16 02:38,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5921382485,,,,,,,$5500,,,1998 regal 1900 lsr,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5921382485.html,
49,,,2016-12-15 05:07,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5884439118,,,,,,,$1000,,,Fishing boat & motor,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5884439118.html,
50,,,2016-12-14 18:38,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5894848425,,,,,,,$1850,,,V bottom boat,https://mattoon.craigslist.org//terrehaute.craigslist.org/boa/5894848425.html,
