,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['40.567400', '-89.624300']",2016-12-20 06:25,"Up for sale is my 2008 1500cc Kawi ski It has ONLY 55 hrs on it and very well taken care of. I am the 2nd owner and purchased in 2010. I've changed the oil and filter every year. Comes with double/tandem Nationwide trailer w/ 13"" tires and a spare. It comes with OEM fitted cover. Just winterized 10/22/16. Any ? text or call. Stx-15f  STX15F",55,5890406558,40.567400,10,-89.624300,KAWASAKI,"https://maps.google.com/maps/preview/@40.567400,-89.624300,16z",STX15F,$4800,power," (Pekin, IL)",2008 KAWASAKI STX15F JET SKI,https://peoria.craigslist.org/boa/5890406558.html,
1,,"['41.111500', '-89.374300']",2016-12-19 21:30,2015 1854 mud boat.  Boat has 6 inch catwalks otherwise open design hydro turf throughout the boat front light bar inside green lights. Storage in deck and seat for driver.  Sportdeck so will accommodate a prodrive bottom is in great shape has gator glide. The trailer does not have a title. 6500obo anymore questions let me know I have a stage 2 gator tail on boat and it runs 31 by myself this is boat and trailer only.,,5926349721,41.111500,18,-89.374300,,"https://maps.google.com/maps/preview/@41.111500,-89.374300,16z",,$6500,power, (Henry),2015 custom mud boat,https://peoria.craigslist.org/boa/5926349721.html,
2,good,,2016-12-19 15:23,"1989 20hp evinrude electric start, long shaft, tiller. Runs excellent, paint is a little rough as seen in the photos. New carb kit, spark plugs, fresh gear lube. $800 . Call or text (309) 840- for 98 too. Cash only. Possible partial trade for other outboards( 3-40 HP tiller models, mercury, mariner, Yamaha Johnson/ evinrude).",1,5902440122,,16,,Evinrude,,20,$800,power, (Manito),"1989 20hp Evinrude electric start, long shaft, tiller",https://peoria.craigslist.org/boa/5902440122.html,1989
3,excellent,,2016-12-19 15:20,"1985 16' polar kraft semi V. 1984 mercury 50hp, power tilt and trim, runs great. completely re- done, new paint and carpet. titles for both boat and trailer. $3500 OBO. cash only. call or text show contact info",1,5925940949,,16,,polar kraft,,16,$3500,power, (MANITO),"16' Polar Kraft, 50 HP Mercury",https://peoria.craigslist.org/boa/5925940949.html,1985
4,good,"['40.369000', '-89.532100']",2016-12-19 13:29,1999 Maxum SCR 240. Bravo 3 250hp  Cruises about 30 mph .  Has 4 ft swim platform microwave new stereo ect.  Trailer included 4 new tires has 4 wheel disc brakes. Got to sell already have a new one!! This is a steal for this boat,,5925768915,40.369000,27,-89.532100,Maxum,"https://maps.google.com/maps/preview/@40.369000,-89.532100,16z",240 SCR,$10500,power, (Delavan),1999 Maxun SCR 240,https://peoria.craigslist.org/boa/5925768915.html,1999
5,good,"['40.614800', '-89.460400']",2016-12-19 12:55,1978 J boats J24 Sailboat in good condition any questions please call or text me show contact info thanks Dan open to trades and offers,,5925531922,40.614800,24,-89.460400,j boats,"https://maps.google.com/maps/preview/@40.614800,-89.460400,16z",j 24,$5500,sail,,1978 J Boats J24 Sailboat,https://peoria.craigslist.org/boa/5925531922.html,1978
6,new,[],2016-12-19 11:01,WE OFFER A FULL LINE OF ALUMA CRAFT FISHING BOATS! GREAT WINTER DEALS! NEW EVINRUDE OUTBOARDS W/ 10 YR WARRANTY! USED FISHING BOATS ! LARGE PARTS DEPARTMENT ! PROP REPAIR! HULL REPAIRS! ALL INSURANCE WELCOME! MANY USED OUTBOARDS W/ WARRANTY! OVER 40 YEARS IN THE MARINE REPAIR/SALES! SOLON POWER SPORTS SOLON IOWA ITS WORTH THE TRIP!,,5909910486,,25,,ALUMACRAFT/EVINRUDE,https://maps.google.com/?q=loc%3A+%31%30%31+E+%38TH+ST+at+HWY%23%31+SOLON+IL+US,,,power,,**NEW ALUMACRAFT BOATS & EVINRUDE MOTORS**,https://peoria.craigslist.org/boa/5909910486.html,2017
7,good,"['40.323907', '-89.931335']",2016-12-19 10:58,1970  12FT WARDS SEA KING  Aluminum Jon boat CLEAR  TITLE NO LEAKS Good boat just too small for my family now a new one will cost  you over 600,,5892389148,40.323907,12,-89.931335,WARDS,"https://maps.google.com/maps/preview/@40.323907,-89.931335,16z",SEA KING,$300,power,,1970  12FT WARDS SEA KING,https://peoria.craigslist.org/boa/5892389148.html,1970
8,,"['40.383000', '-90.156300']",2016-12-19 10:41,Nice 16 ft jon boat good trailor excellent running motor i think its a 1993 have good titles for both Text me at 309 Three 38 Six 7 9 one,,5925485596,40.383000,16,-90.156300,,"https://maps.google.com/maps/preview/@40.383000,-90.156300,16z",,$1400,power, (Lewistown),16ft jon boat with trailor and 9.9 evinrude,https://peoria.craigslist.org/boa/5925485596.html,
9,good,"['40.684478', '-89.672642']",2016-12-19 08:33,5 hp honda motor runs good 50 lb minn kota trolling motor works good 3 gal gas tank 2 life vest and seat cushion  horn  fire ext  ankor  one oar  trailer with bearing buddies and spare tire,,5894389025,40.684478,14,-89.672642,,"https://maps.google.com/maps/preview/@40.684478,-89.672642,16z",,$1350,power,,john boat 14 ft,https://peoria.craigslist.org/boa/5894389025.html,
