,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,[],2016-12-20 13:13,06 sea ark 1860 with 90 hp evinrude etec call or text show contact info,,5927122387,,186,,Sea Ark,https://maps.google.com/?q=loc%3A+%31%34%37+E+LINCOLN+ST+WHITE+HALL+IL+US,,$13500,power, (WHITE HALL),2006 Sea Ark 1860,https://springfieldil.craigslist.org/boa/5927122387.html,2006
1,,"['39.765500', '-89.729300']",2016-12-19 23:17,"16 ft flat bottom with a live well a deck with storage and a fish finder. flush mount led lights on the sides and a light bar on the front. Lights up the whole river and makes it easy to see. There is also a spot in the back left corner for a led light Pole, it lights up the whole inside and stays high enough to keep the bugs away from you. all lights are ran to switches on the back seat.",,5926417020,39.765500,16,-89.729300,,"https://maps.google.com/maps/preview/@39.765500,-89.729300,16z",,$1100,power, (Springfield),16 ft wide flat bottom boat/trailer,https://springfieldil.craigslist.org/boa/5926417020.html,
2,excellent,,2016-12-19 15:25,"1985 16' polar kraft semi V. 1984 mercury 50hp, power tilt and trim, runs great. completely re- done, new paint and carpet. titles for both boat and trailer. $3500 OBO. cash only. call or text show contact info",1,5925939436,,16,,polar kraft,,16,$3500,power, (manito),"16' Polar Kraft, 50 HP Mercury",https://springfieldil.craigslist.org/boa/5925939436.html,1985
3,,,2016-12-19 15:23,"1989 20hp evinrude electric start, long shaft, tiller. Runs excellent, paint is a little rough as seen in the photos. New carb kit, spark plugs, fresh gear lube. $800 . Call or text (309) 840- for 98 too. Cash only. Possible partial trade for other outboards( 3-40 HP tiller models, mercury, mariner, Yamaha Johnson/ evinrude).",1,5902440762,,16,,Evinrude,,20,$800,power, (MANITO),"1989 20hp Evinrude electric start, long shaft, tiller",https://springfieldil.craigslist.org/boa/5902440762.html,1989
4,,,2016-12-19 09:50,"Come see this boat located on Lake Springfield Immaculate condition inside and out. Zero tears in vinyl always stored inside during the winter and under lift in summer. 500 Hours Indmar 320 Fully loaded with extra ballast and wetsounds stereo. No trades, do not need help selling.",500,5888303076,,21,,Malibu,,VLX,$50000,power, (Springfield),2008 Malibu VLX Wakeboard Boat,https://springfieldil.craigslist.org/boa/5888303076.html,2008
5,,"['39.768100', '-89.855000']",2016-12-19 09:38,It works but makes a loud squealing noise when its running! $800.00 OBO,,5920468850,39.768100,10,-89.855000,,"https://maps.google.com/maps/preview/@39.768100,-89.855000,16z",,$800,power, (Springfield),Large Freezer,https://springfieldil.craigslist.org/boa/5920468850.html,
6,good,"['39.854400', '-89.654400']",2016-12-18 17:27,"Lund Alaskan 16 ft 1997 ShoreLand'r Trailer 2002 (with roller bunks, new tires, brand new spare tire) 40 HP 4 stroke Yamaha 2002 (F40TLRA- model) (electric start, power trim) Wave Waker brand splash guards 3 bank battery charger Starting battery, 2 trolling batteries Garmin depth finder Electric bilge pump Livewell 3 seats Cover Plenty of storage 6 gallon gas tank Garage kept",,5898299529,39.854400,16,-89.654400,Lund,"https://maps.google.com/maps/preview/@39.854400,-89.654400,16z",Alaskan,$5500,power," (Springfield, IL)",Lund Alaskan,https://springfieldil.craigslist.org/boa/5898299529.html,1997
7,excellent,"['39.950200', '-88.445100']",2016-12-17 21:08,"© craigslist - Map data © OpenStreetMap (google map) length overall (LOA): 18 make / manufacturer: Ranger model name / number: 354XT propulsion type: power year manufactured: 1994 1994 Ranger 354XT Mercury XR6 150HP 2 Owner boat, I bought from the original owner in 2010. New carpet New seats Optional 3rd gas tank under seats Humminbird 998C SI on console. Minn Kota trolling motor Motor Mate motor transom saver 24P Predator 4 blade (reworked by Mark Croxton in 2013) 1994 Ranger Trail trailer Newer tires Complete new brake actuator New bearings New calipers and pads Completely rewired and LED lights installed New Fulton winch New Bow and Stern rollers Extras: 2 Spare props ( PowerTech TRO4 24P 4 blade and a 25P Tempest Plus 3 blade) Flow-torq hub kit Humminbird 798C (update to down imaging software version) Several bottles of Mercury Quickclean and Mercury Quickstor Several gallons of Mercury Premium Plus 2 stroke oil One of first 354XTs, built in late 1993. No Paypal or checks, cash deal.",,5920830789,39.950200,18,-88.445100,Ranger,"https://maps.google.com/maps/preview/@39.950200,-88.445100,16z",354 XT,$7500,power," (Ivesdale, IL)",1994 Ranger 354 XT,https://springfieldil.craigslist.org/boa/5920830789.html,
8,,"['39.440100', '-89.617000']",2016-12-17 09:18,"5- 6 GAL GAS TANKS PLASTIC ALL LIKE NEW $25; 1- OLD BUT WORKS GOOD HUMMINGBIRD FLASHER $40; 1- IN DASH FLASHER $20; 1- NEW RADIO IN BOX $40; 2- GREY BUTT SEATS ON POWER POSTS $70 EA; 3- ANCHORS COATED $15 EA; 2-SEATS 1 BLUE/WHITE NEW $30 AND 1 USED BUT VERY GOOD $20; 2- CAMO SEATS NEW $50 EA.; VEST TYPE LIFE JACKETS LIKE NEW KIDS TO ADULTS $15 EA; NEW BOAT COVER FOR 17 FT BASS BOAT $100;  LOT OF THROTTLE AND SHIFT CABLES FOR MERC-YAMAHA, JOHNSON, EVIND $10 EA; TRACKER WINDSHIELD NEW $70; NEW LOWE SEAT $85 EA. HAVE 4 BUT ONLY SELL 2 OR 4 ONLY; CASH ALWAYS, CALL show contact info",,5884919694,39.440100,1,-89.617000,,"https://maps.google.com/maps/preview/@39.440100,-89.617000,16z",,,power,,BOAT PARTS,https://springfieldil.craigslist.org/boa/5884919694.html,
9,,"['39.484600', '-90.349800']",2016-12-16 14:32,"15 ft steury fiberglass fish and ski boat boat setup for outboard with steering not tiller used in 2014 but got a jon for better fishing in 2015 NO motor or steering Have title for Boat AND trailer in hand trailer is in good condition with newer tires bearing buddy on axle for easy greasing wheel bearing 1 7/8"" ball pulls straight all lights work asking $400 or make offer worst i can say is no cash only no trades do not need help selling",,5922119953,39.484600,15,-90.349800,,"https://maps.google.com/maps/preview/@39.484600,-90.349800,16z",,$400,power," (roodhouse,il)",15ft Steury fish and ski w/ trailer,https://springfieldil.craigslist.org/boa/5922119953.html,
