,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,"['39.930700', '-91.376300']",2016-12-19 14:51,"1994 Seadoo Bombardier GTS w/ trailer. Seadoo is in good shape, has reverse. Trailer has good jack and new spare tire, needs 1 tail light. Garage kept in winter all it's life.",,5925897645,39.930700,10,-91.376300,Seadoo,"https://maps.google.com/maps/preview/@39.930700,-91.376300,16z",Bombardier GTS,$1100,power, (Quincy),1994 seadoo gts with trailer,https://quincy.craigslist.org/boa/5925897645.html,1994
1,,"['27.905600', '-82.288100']",2016-12-19 10:32,"Here at TNT we manufacture Aluminum Boat Trailers to meet your boats specs. **Now exclusively using Radial Tires* Other standard features include: *2 set Disc brakes *Radial spare tire and mounting brackets *diamond plate aluminum fenders *Torsion bar suspension *cypress bunks *center board's *LED SUBMERSIBLE LIGHTS *stainless steel H/W *2,500lb drop leg jack Please call or Text Tim at show contact info for further information.. ** Free Road Side Assistance anywherein the US with Radial Tires** Scheduled Delivery is also available and pickup",,5887734719,27.905600,1,-82.288100,,"https://maps.google.com/maps/preview/@27.905600,-82.288100,16z",,$4480,power, (BRANDON),"NEW 10,500LB GVWR ALUMINUM BOAT TRAILER",https://quincy.craigslist.org/boa/5887734719.html,
2,,"['27.905600', '-82.288100']",2016-12-19 10:31,"Here at TNT we manufacture Aluminum Boat Trailers to meet your boats specs. **Now exclusively using Radial Tires* Other standard features include: *2 set Disc brakes *Radial spare tire and mounting brackets *diamond plate aluminum fenders *Torsion bar suspension *cypress bunks *center board's *LED SUBMERSIBLE LIGHTS *stainless steel H/W *2,500lb drop leg jack Please call or Text Tim at show contact info for further information.. ** Free Road Side Assistance anywherein the US with Radial Tires** Scheduled Delivery is also available and pickup",,5887724185,27.905600,1,-82.288100,,"https://maps.google.com/maps/preview/@27.905600,-82.288100,16z",,$4480,power, (BRANDON),"NEW 10,500LB GVWR ALUMINUM BOAT TRAILER",https://quincy.craigslist.org/boa/5887724185.html,
3,excellent,"['39.950200', '-88.445100']",2016-12-17 21:09,"© craigslist - Map data © OpenStreetMap (google map) length overall (LOA): 18 make / manufacturer: Ranger model name / number: 354XT propulsion type: power year manufactured: 1994 1994 Ranger 354XT Mercury XR6 150HP 2 Owner boat, I bought from the original owner in 2010. New carpet New seats Optional 3rd gas tank under seats Humminbird 998C SI on console. Minn Kota trolling motor Motor Mate motor transom saver 24P Predator 4 blade (reworked by Mark Croxton in 2013) 1994 Ranger Trail trailer Newer tires Complete new brake actuator New bearings New calipers and pads Completely rewired and LED lights installed New Fulton winch New Bow and Stern rollers Extras: 2 Spare props ( PowerTech TRO4 24P 4 blade and a 25P Tempest Plus 3 blade) Flow-torq hub kit Humminbird 798C (update to down imaging software version) Several bottles of Mercury Quickclean and Mercury Quickstor Several gallons of Mercury Premium Plus 2 stroke oil One of first 354XTs, built in late 1993. No Paypal or checks, cash deal.",,5920663334,39.950200,18,-88.445100,Ranger,"https://maps.google.com/maps/preview/@39.950200,-88.445100,16z",354 XT,$7500,power," (Ivesdale, IL)",1994 Ranger 354 XT,https://quincy.craigslist.org/boa/5920663334.html,
4,good,,2016-12-15 22:20,I have a 24ft Fisher freedom 240 dlx for sale. Has a 60 hp mercury Bigfoot 2stroke motor. Comes with everything needed to get on the water. Comes with Fisher tandem axle trailer. I have titles for both boat and trailer. Price is 6000 but is very negotiable. Would like to trade for a nice side by side but cash is king.,,5921278981,,24,,Fisher,,Freedom 240 DLX,$6000,power, (Beardstown),24ft Pontoon boat,https://quincy.craigslist.org/boa/5921278981.html,2000
5,good,"['39.729600', '-90.531300']",2016-12-15 14:42,"It's an 18ft. Lowe john boat. It is a 98 model, rivited not welded. It has a 60 horse Mercury motor, a Minkota troller motor. He has clean and clear titles for both. NO TRADES. CASH ONLY.. Located in Bluffs, IL. PM me if you are interested and I will give you his number. Thanks. Price is OBO.",,5908444070,39.729600,18,-90.531300,,"https://maps.google.com/maps/preview/@39.729600,-90.531300,16z",,$3950,power, (Bluffs),18' Lowe Fishing boat,https://quincy.craigslist.org/boa/5908444070.html,
6,fair,,2016-12-07 17:32,"I have a 18' bass buggy pontoon that I am wanting to trade for a motorcycle. it comes water ready with a 50hp mercury bought last year from j&j marine in quincy il. the motor is a 1988 I believe and the boat is a 1989 with the trailer being a tracker trailer and is a 1998. I have only owned the boat for about a year and the deck was replaced about 6 months before that so is good and sound. has a depth finder and a 36lb trolling motor with all the seats and pedestals. willing to work with anyone, I know times get hard so just talk to me and we can work something out. trade or $4,500obo cash. will send pictures if requested.",,5910033133,,18,,tracker,,bass buggy,$4500,power, (perry il),18' tracker bass buggy pontoon,https://quincy.craigslist.org/boa/5910033133.html,1989
7,,"['39.960100', '-91.302600']",2016-12-07 15:47,"Looking to trade my 18ft Jon boat for a 18ft bass boat It has 30hp Johnson tiller handle a 2015 trolling motor, 2 six gallon gas tanks, aluminum  Paddles, 2 batteries, cooler with pump 12volt for live well, leather camo seat (not in pic), 2 anchors, trailer is heavy duty good tires",,5909888482,39.960100,18,-91.302600,,"https://maps.google.com/maps/preview/@39.960100,-91.302600,16z",,,power,,18ft Jon boat trade,https://quincy.craigslist.org/boa/5909888482.html,
8,excellent,"['40.383000', '-90.156300']",2016-12-05 07:47,"22ft AAD plateboat 75 Honda,jackplate,tunnel hull,tandem aluminum trailer $13000 obo must sell",130,5906067436,40.383000,22,-90.156300,AAD,"https://maps.google.com/maps/preview/@40.383000,-90.156300,16z",,$13000,power, (Lewistown),22ft AAD plateboat,https://quincy.craigslist.org/boa/5906067436.html,
9,,"['41.659973', '-88.089147']",2016-12-01 12:26,THIS IS MY BOAT AND IT IS PRICED TO GO!! BOAT HAS EVERY OPTION AND SOME!!! 2016 HAVOC MST 1756. ELITE ALUMINUM TRAILER CAMO PAINT SUPERLINER FLOOR SEAT BASE DECK SEAT BASE SWITCH PANEL BILGE PUMP TROLLING MOTOR KIT W/FOOT CONTROL MINNKOTA INTERIOR LIGHT 4FT BOW RAIL GUNTRAY .125 HULL RODBOX LIGHT PACKAGE MIDDECK W/HUGE HATCH SPUD POLES CUSTOM SEATS STAND UP BAR SHELL HOLDERS PORTABLE FUEL TANK MUDBUDDY HDR BLACKDEATH 4400 SOUTHERN LITE GEN 2 W/NAVAGATION FRONT LIGHT SOUTHERN LITE ROOSTER TAIL LIGHTS LOWRANCE FISH FINDER ELECTRIC TRAILER WINCH,,5900927692,41.659973,17,-88.089147,,"https://maps.google.com/maps/preview/@41.659973,-88.089147,16z",,$25000,power, (romeoville),Fishing @ Hunting  Boat Havoc,https://quincy.craigslist.org/boa/5900927692.html,
