,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.963700', '-87.393800']",2016-12-20 16:31,"Hi. I am selling my 16 Foot Quachita River Jon Boat. Boat only no trailer. Someone stole the trailer last winter. Also have an 18 hp Evinrude motor, runs good but will need a water pump. Boat has a few small patch jobs on it. Transom is solid. Perfect for the river. May do some trading for another boat with trailer.",,5923828089,37.963700,16,-87.393800,,"https://maps.google.com/maps/preview/@37.963700,-87.393800,16z",,$600,human, (Newburgh),16 ft Jon boat Aluminum,https://evansville.craigslist.org/boa/5923828089.html,
1,,,2016-12-20 13:40,12 ft v bottom Jon boat and trailer No leaks Plywood bottom in boat Rod holders Trolling motor Has 5.5 hp engine needs carb rebuilt Can use any small vertical shaft engine 450 or trade for nice flat screen TV,,5927165097,,12,,,,,$450,power, (MOUNT VERNON),12 ft Jon boat,https://evansville.craigslist.org/boa/5927165097.html,
2,,"['38.059900', '-87.638000']",2016-12-20 11:33,"Older Jon Boat for sale, great condition. 14.5x4, used in pond located on property for the last 11 years, but we are moving and will have no use for it. No title, were told we didn't need one when we got it. This boat has no leaks! I have edited the price to $350.00 since that was the best offer we have received, but the person can't buy it until after Christmas, if we still have it. First $350.00 takes it away. We really hate to see it go, especially my husband, but we are moving and can't take it with us. show contact info",,5912071935,38.059900,14,-87.638000,,"https://maps.google.com/maps/preview/@38.059900,-87.638000,16z",,$350,human, (West Side Evansville),Jon Boat for Sale,https://evansville.craigslist.org/boa/5912071935.html,
3,excellent,"['38.042300', '-87.375600']",2016-12-20 09:19,1989 vc270xl imperial boat sport cuddy has a 7.4 mag has a comp camshaft edlebrock intake and a quick fuel 850 carb the engine has about 50 hours on rebuild interior was replaced this spring along with a new Bluetooth Kenwood radio and Polk marine speakers trailer tires were also replaced this year possible trade for a smaller newer fast boat preferably powered by a big block,50,5926745416,38.042300,27,-87.375600,imperial,"https://maps.google.com/maps/preview/@38.042300,-87.375600,16z",v270xl,$9500,power, (chandler),27ft imperial,https://evansville.craigslist.org/boa/5926745416.html,1989
4,,,2016-12-19 16:31,"BOAT, 16', 70 HP JOHNSON, $2500 OBO-TRADE",,5918784525,,16,,,,,$2500,power,,"BOAT, 16', DEPTH FINDER, 70 HP JOHNSON",https://evansville.craigslist.org/boa/5918784525.html,
5,,"['38.733400', '-88.080900']",2016-12-19 16:22,"Pre-owned: 4 stroke nissan 9.8 short shaft tiller electric start handle, $1500. 4 stroke nissan 20 HP short shaft tiller handle electricstart, $2000 9.5 HP 2 stroke Evinrude, short shaft tiller handle, $500 25 HP Merc 2 stroke ,long shaft,remote, with controls, $2500 New: Tohatsu 8,9.8,20,25,40 and 50 HP in stock, various configurations, starting at $1699. Plus tax. Cash only on used engines. Financing available on new motors show contact info",,5917723778,38.733400,12,-88.080900,,"https://maps.google.com/maps/preview/@38.733400,-88.080900,16z",,,power,,Ho!Ho!Ho! Christmas Deals on outboards,https://evansville.craigslist.org/boa/5917723778.html,
6,excellent,,2016-12-19 15:23,"This thing is basically brand new! I rebuilt the trailer from the ground up, tore the boat down to the bare hull and then added new paint, flooring, and purchased all new accessories. The motor is actually a 15hp, but has 9.9 stickers so it could be used on lakes with motor limitations. It was only used on such lakes so there is less than 5 hours on the motor There is still some final work to be done such as wiring, but everything you'll need is here!",,5925945154,,16,,,,,$1200,power, (Murray),16ft starcraft boat,https://evansville.craigslist.org/boa/5925945154.html,
7,,[],2016-12-19 13:54,"Nice 10'  aluminum boat on trailer. Really nice shape just needs cleaned up. 2 seats in the boat and rod holders. Have clear title for the trailer, don't have boat title, but it has vin on it and has been registered so it can be registered again. $400!! Elberfeld show contact info",,5917661400,,10,,,https://maps.google.com/?q=loc%3A+%31%36%30+W+Main+St+Elberfeld+IN+US,,$400,human, (Elberfeld),Nice Old Boat & Trailer,https://evansville.craigslist.org/boa/5917661400.html,
8,excellent,,2016-12-19 10:53,"2003 Baja outlaw. 20 ft .runs great. 5.0 V8 mercruiser. runs about 70 mph . asking 14,000 or best offer. I might trade for a nice open bow (prefer a crownline but open to offers) if interested contact show contact info all fiberglass boat so no concern about wood rot!! only reason for selling is to get a open bow boat. boat runs great, no problems whatsoever.",300,5889901253,,20,,Baja,,outlaw,$14000,power, (Uniontown ky),2003 Baja outlaw,https://evansville.craigslist.org/boa/5889901253.html,2003
9,,"['38.673400', '-87.509800']",2016-12-19 10:18,"2012 Mercury Seadoo GTX155 bought brand new (1 owner). It has never sat outside, I've always stored it. Big 4 Cycle & Marine in Evansville, IN has serviced it annually. Low mileage as it was only used every other weekends when my kids were there in the summer. Equipped with low speed / high speed keys. It comes with the shown trailer and cover. I am only selling it as my kids are getting older and I don't want it to just sit in storage not being used. Price is FIRM.",,5925447041,38.673400,12,-87.509800,Mercury,"https://maps.google.com/maps/preview/@38.673400,-87.509800,16z",Seadoo GTX155,$8250,power,,Used 2012 Seadoo GTX155,https://evansville.craigslist.org/boa/5925447041.html,2012
