,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 19:29,"Call me at show contact info $1,000 or best offer",,5885733240,,1,,,,,$1000,power, (Angola),1999 Mercury 15 HP,https://fortwayne.craigslist.org/boa/5885733240.html,
1,,,2016-12-20 17:10,Hunter sailboat and sails for sale. Lift included Please contact me anytime at show contact info,,5893063315,,15,,,,,$2000,sail,,"Hunter 15 sailboat, trailer, and lift",https://fortwayne.craigslist.org/boa/5893063315.html,
2,,"['41.656300', '-85.019800']",2016-12-20 14:47,"GREAT RUNNING MOTOR, COMES WITH SIX GALLON FUEL TANK.",,5912023830,41.656300,1,-85.019800,,"https://maps.google.com/maps/preview/@41.656300,-85.019800,16z",,$550,power, (ANGOLA),EARLY 80'S JOHNSON 9.9 H.P. TILLER,https://fortwayne.craigslist.org/boa/5912023830.html,
3,,[],2016-12-20 14:19,"***************DONT OVERLOOK THIS DEAL ************* I bought out a Marina's stock I went to the shelf and filled a box with what ever was on that shelf so you need to look at the pictures because it is a vast mixture of new parts in bags most everything has numbers on them I just dont have the time to set down and list each part for sale. There is allot of money to be made if you have the time or save money buy getting this deal. Asking $75.00 OBO this is a pick up only goodie box in Angola,In keep watching as there is 2 more deals getting listed the same way, so you can buy them all for a super deal. AS YOU CAN SEE THERE IS OVER 50LBS OF PARTS $$$$$$$$$$$$$$$$ Text 2six06six70301 #2",,5927132220,,111,,,https://maps.google.com/?q=loc%3A+N+Wayne+Angola+IN+US,,$75,human, (Angola),Marine grab bag $75 OBO- all from a marina buy out **LOOK***,https://fortwayne.craigslist.org/boa/5927132220.html,
4,new,[],2016-12-20 14:19,I have phone selfie sticks made for EVINRUDE  this is a great gift idea for the avid boat owner. Get something that nobody else has this for the one person who has everything and is hard to find that special item. These are great out on the boat and take up no room at all and is perfect for that special group shot. Pick up only in Angola Text 2six06six70301,,5912683804,,111,,,https://maps.google.com/?q=loc%3A+N%2E+Wayne+Angola+IN+US,,$10,human, (Angola),EVINRUDE phone selfie stick $10 great gift idea,https://fortwayne.craigslist.org/boa/5912683804.html,
5,,"['41.359000', '-85.046800']",2016-12-20 12:49,1994 BAYLINER EXPRESS CRUISER CANVAS (NEW) 3055 MODEL light blue color $300.00 OR BEST OFFER show contact info,,5926984758,41.359000,32,-85.046800,,"https://maps.google.com/maps/preview/@41.359000,-85.046800,16z",,$300,sail, (AUBURN IN.),1994 BAYLINER MODEL 3055 CANVAS,https://fortwayne.craigslist.org/boa/5926984758.html,
6,,,2016-12-20 12:28,3.0 new trim pump runs good. show contact info call or text,,5926949238,,18,,,,,$2200,power,,94 Rinker v180,https://fortwayne.craigslist.org/boa/5926949238.html,
7,fair,[],2016-12-20 10:05,Great Holiday gafe not one waverunner but two waverunner's got waverunner3 w/a reverse on side it nice to have when u r coming up to park so u not do what I did have to push off to turn around or back up also u got vxr pro both is Yamaha I think 650cc. Have any questions I be happy try the answer them for u. show contact info Ty for ur time to read and look Ryan,750,5926725589,,0,,Yamaha,https://maps.google.com/?q=loc%3A+W+St%2E+Rd%2E+%32%31%38+Poneto+IN+US,Waverunner's,$1800,power," (Poneto, IN.)",2 NICE WAVERUNNER,https://fortwayne.craigslist.org/boa/5926725589.html,1995
8,new,"['41.722131', '-85.003120']",2016-12-20 09:31,I have Lake Floats that start at $50 up to $200 Foam Lounge Chair pads for $20 And Foam Shelf Liners for $15 4 blocks south of outlet mall on sr127 Beep if you don't see me!,,5926684183,41.722131,1,-85.003120,,"https://maps.google.com/maps/preview/@41.722131,-85.003120,16z",,$50,human, (Little otter),Lake Floats,https://fortwayne.craigslist.org/boa/5926684183.html,
9,,[],2016-12-20 08:25,"Boat is free as is where is you haul it, WHAT YOU SEE IS WHAT YOU GET not answering a bunch of questions it is what it is ( F R E E ) not trying to be rude at this price I am not investing a ton of time answering questions Thank you Text 2six06six70301",,5912168034,,16,,,https://maps.google.com/?q=loc%3A+N%2E+Wayne+Angola+IN+US,,,power,,FREE BOAT - AS IS WHERE IS,https://fortwayne.craigslist.org/boa/5912168034.html,
