,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['38.810515', '-85.977543']",2016-12-20 20:01,"Got a 19ft bass boat powered by a 150 horse Johnson fast strike V6, will run about 50 mph and starts right up and runs great. Comes with a Hummingbird Helix 7 fish finder on the front and an Eagle FishElite 500c above steering wheel. MinnKota Maxxum trolling motor. Has two different front seats, one small one for trolling and a flip up that's bigger like one on the back. Has 3 batteries connected to a trickle charger. Tons of storage, two live wells. Has a hot foot pedal like a vehicle. Has a Ranger Trail trailer with surge brakes, tongue of the trailer comes off for easier storage or theft proof. Middle seat is a little worn out. Back corner fender got banged up a little as pictured, guessing someone backed it into something, light still works fine. Tires are pretty much brand new. Nice boat I just don't have time to use it like I wish I could. Any questions you can call or text show contact info $7000 OBO",,5927520456,38.810515,19,-85.977543,,"https://maps.google.com/maps/preview/@38.810515,-85.977543,16z",,$7000,power, (Seymour),1994 Ranger 391V Bass Boat,https://indianapolis.craigslist.org/boa/5927520456.html,
1,excellent,,2016-12-20 19:31,"Beautiful 1971 Red Correct Craft Mustang with original Chrysler 318. I am the second owner of the boat. The previous owner and myself have kept strict documentation of the boats life. The entire boat is original to the factory production. The boat is in MINT condition. Runs like it's brand new, 50 mph plus!! Make me an offer. Call or text Nathan for pictures, information, or questions. show contact info",1400,5927546058,,16,,,,,,power,,Correct Craft Mustang,https://indianapolis.craigslist.org/boa/5927546058.html,
2,,,2016-12-20 19:29,"Call me at show contact info $1,000 or best offer",,5885727537,,1,,,,,$1000,power," (Lake James, IN)",1999 Mercury 15 HP,https://indianapolis.craigslist.org/boa/5885727537.html,
3,,,2016-12-20 19:28,"Call me at show contact info $1,000 or best offer",,5885728176,,1,,,,,$1000,power," (Lake James, IN)",1999 Mercury 15 HP,https://indianapolis.craigslist.org/boa/5885728176.html,
4,new,"['40.641229', '-74.214844']",2016-12-20 17:34,"Free Pickup from our Linden, NJ warehouse or Home Delivery with a scheduled delivery window ($75 local $150 Nationwide) 3 Colors options in stock Grey, Sunset and Camo! The Kayak Weighs about 68 Pounds and can Hold up to 450 Pounds Includes Two 2 piece lightweight aluminum paddle and Two deluxe kayak seats 2 paddle rests, 4 flush mount and 3 adjustable rod holders 4 carrying handles, 2 bungee paddle parks, Rear cargo storage area with bungee tie down system Rated 5 stars on Amazon And Google!! Call for details show contact info The tandem kayak provides a comfortable balanced seating for solo or family fun. It provides stability and making it almost impossible to tip over. The tandem kayak is designed to provide plenty of fun for the whole family or by yourself. â€¢ Two 2-piece lightweight aluminum paddle â€¢ Two deluxe kayak seats with rear storage pouches â€¢ Rear cargo storage area with bungee tie down system â€¢ 4 carrying handles â€¢ 2 bungee paddle parks â€¢ 2 paddle rests â€¢ 4 flush mount and 3 adjustable rod holders",,5927412974,40.641229,13,-74.214844,Useful,"https://maps.google.com/maps/preview/@40.641229,-74.214844,16z",UH-TK181,$500,human, (linden),12.5 foot Sit On Top Tandem Fishing Kayak with Paddles and Seats,https://indianapolis.craigslist.org/boa/5927412974.html,2016
5,good,"['36.627434', '-85.207286']",2016-12-20 14:28,"This is a beautiful houseboat and it is easy to drive, tie-up, and dock. It is sharp looking at the marina and out on the lake. Currently located at Wolf River Marina on beautiful Dale Hollow Lake just outside of Albany, Kentucky. G dock -- slip 19. Slip rental paid through March 31, 2017! Off-season price just reduced to $ 89,500! Our boat has the following features: 3 -- bedrooms (2 queens, 1 full), queen sleeper sofa -- sleeps 8, 3.0 Mercrusier I/O engine, 12.5 KW Kohler Generator, 2500 watt inverter with remote controls at helm, 4 new inverter batteries 2014, 2 -- 100 gal fuel tanks, 2 -- 70 gal fresh water tanks, 2 -- 70 gal waste tanks, 1.5 bathrooms, davit on roof, washer & dryer, 2 -- Marine Radios, flybridge with controls, roller shades on front deck, FM/AM Radio/CD at helm with 6 cabin speakers and controls, amplifier and 6 speakers on roof, 2 -- Rooftop air conditioners with optional heat strips, gas central air furnace, 3 -- ceiling fans, gas & electric refrigerator, new U Line ice maker in galley 2015, gas oven and range with 4 burners, new outdoor grill 2014, whole house water filter 2014, 10 gal electric hot water heater 2014, shore tie up ropes, aluminum boarding ramp and brackets, 3' swim platform with ladder, new canvas 2014, new party top 2014, new aluminum gates 2013, new fly bridge top 2014, new gel coat 2014, new indoor carpet 2013, new outdoor carpet 2012, raised roof rails 6"" 2014, rebuilt kitchen faucet 2014, new HVAC shrouds 2014, rebuilt steering wheel seals and outdrive steering piston 2014/2015, replaced hoses and regulator on propane bottles 2014, replaced generator switch at helm 2014, new outdrive relays and remote Trim & Tilt switch 2013, new fuel tank sending units 2013, new generator plug wires 2013, new davit switch 2013, and new davit cable 2012. All equipment manuals and boat owner's instructions included.",900,5927146273,36.627434,65,-85.207286,Stardust Cruiser,"https://maps.google.com/maps/preview/@36.627434,-85.207286,16z",16' x 65' Aluminum Hull,$89500,power, (Dale Hollow Lake),1990 Stardust Cruiser 16' x 65' Aluminum Houseboat House Boat,https://indianapolis.craigslist.org/boa/5927146273.html,1990
6,excellent,[],2016-12-20 12:52,"2006 Avalon Windjammer C RE 22 foot, was purchased new in 2007, one owner.  It's in very good condition from light usage and has always been stored in a garage.  It has a BF75A Honda 4 stroke engine, a factory installed Garmin GPS map and fish finder, also including an AM/FM/CD Clarion Marine stereo with speakers throughout the pontoon.  Upgraded captain's chair and Coast guard approved14 person capacity.  Includes an EZ Loader Trailer that was purchased with the pontoon.  There is plenty of under seat storage and an attached tubing bar for lots of fun.",150,5926989307,,29,,Avalon,https://maps.google.com/?q=loc%3A+%31%31%33%33%30+State+Road+%31%36%34+Celestine+IN+US,Windjammer C RE 22,$14500,power, (Near Patoka Lake),2006 Avalon 22 foot Pontoon with Trailer,https://indianapolis.craigslist.org/boa/5926989307.html,2006
7,excellent,,2016-12-20 12:51,I don't have a pic on me but if interested in can take one as soon as I get home. 12 ft Half V monarch boat with a 25 horse Johnson engine. Runs like a champ. Absolutely nothing wrong with it. And 55 lb trolling motor. Boat is on trailer. New lights and tires. 1000 obo. Must sell before Christmas or I'm not selling.,,5926987433,,12,,"monarch, Johnson, Minnesota kota",,,$1000,power, (Danville),"12 ft Half V boat with trailer, engine, and trolling motor.",https://indianapolis.craigslist.org/boa/5926987433.html,
8,good,"['40.881100', '-85.505400']",2016-12-20 12:33,"Up for sale is a 1996 four winns vista 2580, this boat is in very good condition and priced to sell , I can't even began to tell all the options, call me for the details I will say it has a brand new 5.7 engine and new trailer tires and is well equipped with options take a look at the pictures if you have any questions give me a call show contact info thanks Dave",0,5885351791,40.881100,26,-85.505400,1996 four winns,"https://maps.google.com/maps/preview/@40.881100,-85.505400,16z",Vista cruiser 25.8,$15500,power,,96 four winns,https://indianapolis.craigslist.org/boa/5885351791.html,
9,like new,"['39.486713', '-86.062376']",2016-12-20 11:31,I have a very nice 86 bayliner Betsy 2 it's one ower less then 100 hrs. On it. This boat has always been garaged has a 225 horse Chevy small block motor everything works. It will run bout 60. Had it out one time at Monroe lake this yr. no problems whatsoever. It's a must see boat. If you didn't no the yr. you would think it was new. Have all paperwork and manuals to it. 7500 or trade of equal value,5060,5926853883,39.486713,21,-86.062376,Bayliner Betsy 2,"https://maps.google.com/maps/preview/@39.486713,-86.062376,16z",2150 Capri Cuddy,$6500,power, (Shelbyville in),1986 21 FT' Bayliner Betsy 2 like brand new one owner,https://indianapolis.craigslist.org/boa/5926853883.html,1986
10,good,,2016-12-20 10:40,19' Baretta Cuddy Cabin / 140 hp Mercruiser. In garage for 15 years.  Not running.,,5926776167,,19,,,,,$2500,power, (Frankton),Beretta Cuddy Cabin,https://indianapolis.craigslist.org/boa/5926776167.html,
11,,"['39.230300', '-86.469200']",2016-12-20 09:49,"I have 4 old motors that I got on a trade and don't really need them, or have the time. These would make a good winter project for anyone who likes boats and motors.The 1st one is a Neptune, made in 1964, Model WC-1. Made by Muncie gear works, Muncie, In. 1.7 hp. 1st 4 pictures. The 2nd motor is a Sea King, Made by Gale in 1952. 5 hp, 2 cylinder. Next 5 pics. The 3rd one is a Elgin, made between 1946 and 1951. 1.2 hp. Next 4 pics. The last one is made by Clinton Engine corp. I think it is a 5 hp., but not certain. Last 5 pics. I am asking $400 for all of them, but I am open for offers, may even be up for trading if you have something I need, but trouble is, I have almost everything I need, but you never know. I do not do paypal, or accept checks due to scams. I prefer not to text, because I have an old style phone. Call in interested. Thanks for looking and have a great day.",,5902727441,39.230300,36,-86.469200,,"https://maps.google.com/maps/preview/@39.230300,-86.469200,16z",,$400,power, (Blmgtn),Winter project 4 antique motors,https://indianapolis.craigslist.org/boa/5902727441.html,
12,good,"['40.280300', '-85.839100']",2016-12-20 08:54,One Man BASS TRACKER BOAT good condition,,5912204009,40.280300,7,-85.839100,,"https://maps.google.com/maps/preview/@40.280300,-85.839100,16z",,$150,power," (Elwood,Indiana)",One Man BASS TRACKER BOAT,https://indianapolis.craigslist.org/boa/5912204009.html,
