,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 20:18,"Good boat, 15 hp Johnson, 6 hp Johnson.. both run.. Needs a new gas can because the one I have is varnish. Had out last month with buddies can.. Comes with trailer, fish finder, trolley motor, 2 life jackets, both motors, and clean title. $650.00 O.B.O. Don't wanna sell but wife's pregnant .. You know how that goes.. show contact info",,5927592598,,14,,Starcraft,,,$650,power, (Central Indiana),14ft Starcraft Flat bottom & 2 running Motors,https://tippecanoe.craigslist.org/boa/5927592598.html,
1,,,2016-12-19 12:08,I am willing to trade my travel trailer for a fishing boat 17 foot or 18 aluminum or fiberglass trailer has.  Front bedroom rear bunk beds sleeps 8 or 9. Central air and heat. Stove oven microwave outside grill gas. Sofa Dinette everything works it's well winterized call for more detail. show contact info,,5925485894,,29,,,,,$5800,power, (Highland in),I am willing to trade for a boat. My 2003 Salem travel trailer,https://tippecanoe.craigslist.org/boa/5925485894.html,
2,,"['40.416241', '-86.824780']",2016-12-19 08:14,"Up for sale 2014 Ranger 520 C with 2014 Evinrude Etech 250 HO. Has aprox 48 hrs on power head with warranty 2019. Boat is loaded 3 lowrance touch screens Side imaging Down imaging Oxygenater 4 bank charger with 4 agm batteries 2 power pole blades with remote switches front and back Atlas Hydraulic Jack plate Power Air Fan lockers Minn Kota Fortrex 112 trolling motor Custom Ranger trailer package w parking brake on trailer Ranger Cover Rear Seat, front pedestal seat Asking 49,500.00",50,5906865336,40.416241,21,-86.824780,Ranger Boats,"https://maps.google.com/maps/preview/@40.416241,-86.824780,16z",520 C,$49500,power, (lafayette),2014 Ranger 520c,https://tippecanoe.craigslist.org/boa/5906865336.html,2014
3,fair,"['40.601100', '-86.875300']",2016-12-19 04:20,Old Johnson out board engine. It is a 3 or 5 H.P. engine. It is a long shaft. It has good compression. Please call show contact info,,5925127744,40.601100,2,-86.875300,,"https://maps.google.com/maps/preview/@40.601100,-86.875300,16z",,$45,power," (Brookston,In.)",Old Johnson out board engine 3 or 5 H.P.,https://tippecanoe.craigslist.org/boa/5925127744.html,
4,good,"['40.925371', '-87.147020']",2016-12-18 15:10,1648 boat and trailer with a 20hp Suzuki outboard four stroke. Avery quick set blind. Any questions txt or call show contact info,,5924526766,40.925371,164,-87.147020,,"https://maps.google.com/maps/preview/@40.925371,-87.147020,16z",,$5500,power," (Rensselaer, IN)",Boat with 2016 outboard,https://tippecanoe.craigslist.org/boa/5924526766.html,
5,,"['40.281700', '-86.043300']",2016-12-17 18:42,"I have for sale one 1987 GW INVADER 200 SS Bravo for sale. It has a 262 cid (4.3) 4 barrel carb,  MCM 205 Mercruiser engine. Mercruiser Alpha One Drive unit. With a newer Shoreland'r boxed rail trailer. Runs great tops out around 45 mph. 20ft long. A really clean boat for its age. I have had it for 5 years, I just don't have the spare time to use it and it is to nice of a boat just to sit. This would make a very nice starter boat for little money. In the last couple years I have installed a new lower unit water pump, ign module, dist cap, rotor, pick-up sensor, plug wires, fuel pump and two rear speakers and rebuilt the carb. The boat has a AM FM CD player, a top for shade and cover. AWESOME BOAT. Also comes with spare tire and hard shell nose cover. When I bought the boat 5 years ago the owner had repaired a crack in the block which still has a slow water drip from it but does not effect the running of the boat. Looking for a buyer not a tire kicker, bring cash this won't last long! If interested call Randy at show contact info Thanks for looking!",,5923525816,40.281700,21,-86.043300,,"https://maps.google.com/maps/preview/@40.281700,-86.043300,16z",,$2800,power," (Tipton, IN)",GW Invader Bravo 200 SS,https://tippecanoe.craigslist.org/boa/5923525816.html,
6,good,"['40.420391', '-86.765966']",2016-12-16 09:42,"BOAT 10: VINTAGE 1920'S 15'  CANOE WOODEN FRAME - GREEN CANVAS NEEDS RECOVERED AS PHOTOS SHOW- FRAME IS GREAT! PLEASE CONTACT ME IF YOU ARE INTERESTED AND WE CAN MAKE AN APPOINTMENT FOR YOU TO CHECK IT OUT. WE ALSO HAVE A LOT OF OTHER CANOES / BOATS LISTED - THESE ""PROJECTS"" ""OBSESSIONS"" HAVE TO GO ! SEE OUR OTHER CRAIGSLIST ADS. YOU'LL GET A BETTER DEAL IF YOU BUY MORE THAN ONE ITEM!",,5880187360,40.420391,15,-86.765966,UNKNOWN,"https://maps.google.com/maps/preview/@40.420391,-86.765966,16z",UNKNOWN,$350,human," (LAFAYETTE, IN)",BOAT 10: 1920'S CANOE WOOD WOODEN FRAME CANVAS COVERED SAILING-PROJECT,https://tippecanoe.craigslist.org/boa/5880187360.html,1920
7,excellent,"['40.420391', '-86.765966']",2016-12-16 09:42,"BOAT 8: 1935 20'	HANDMADE OLD TOWN GUIDE CANOE  -  GREAT CONDITION FOR IT'S AGE! WATER READY  -  SPRUCE WOOD  & CANVAS BLUE GREEN   -   SERIAL #114589 WE HAVE THE ORIGINAL OLD TOWN MANUFACTURE'S CARD ! PLEASE CONTACT ME IF YOU ARE INTERESTED AND WE CAN MAKE AN APPOINTMENT FOR YOU TO CHECK IT OUT. WE ALSO HAVE A LOT OF OTHER CANOES / BOATS LISTED - THESE ""PROJECTS"" ""OBSESSIONS"" HAVE TO GO ! SEE OUR OTHER CRAIGSLIST ADS. YOU'LL GET A BETTER DEAL IF YOU BUY MORE THAN ONE ITEM!",,5880192940,40.420391,20,-86.765966,OLD TOWN,"https://maps.google.com/maps/preview/@40.420391,-86.765966,16z",GUIDE,$1700,human," (LAFAYETTE, IN)",BOAT 8: 1935 20'	HANDMADE OLD TOWN GUIDE CANOE WOOD/CANVAS BLUE GREEN,https://tippecanoe.craigslist.org/boa/5880192940.html,1935
8,excellent,"['40.420391', '-86.765966']",2016-12-16 09:42,"BOAT 1: 14' SEA NYMPH CAR TOP LIGHT WEIGHT 4 PERSON H20 READY ROW / JOHN  BOAT 14' SEA NYMPH CANOE - CAR TOP - LIGHTWEIGHT - ALUMINUM - HOLDS 4 PEOPLE AND IS WATER READY - GREAT ROW BOAT TO TOTE TO DIFFERENT PLACES! PLEASE CONTACT ME IF YOU ARE INTERESTED AND WE CAN MAKE AN APPOINTMENT FOR YOU TO CHECK IT OUT. WE ALSO HAVE A LOT OF OTHER CANOES / BOATS LISTED - THESE ""PROJECTS"" ""OBSESSIONS"" HAVE TO GO ! SEE OUR OTHER CRAIGSLIST ADS. YOU'LL GET A BETTER DEAL IF YOU BUY MORE THAN ONE ITEM!",,5880186542,40.420391,14,-86.765966,SEA NYMPH,"https://maps.google.com/maps/preview/@40.420391,-86.765966,16z",CANOE,$275,human," (LAFAYETTE, IN)",BOAT 1: 14' SEA NYMPH CAR TOP LIGHT WEIGHT 4 PERSON H20 READY ROW BOAT,https://tippecanoe.craigslist.org/boa/5880186542.html,
9,excellent,"['40.420391', '-86.765966']",2016-12-16 09:42,"BOAT 11: 1964 15' OLD TOWN 50 CANOE - WOOD & CANVAS -  RED WOVEN SEATS - A FEW PIN HOLES - EASILY FIXED - WATER READY WE EVEN HAVE THE ORIGINAL MANUFACTURE'S CARD! PLEASE CONTACT ME IF YOU ARE INTERESTED AND WE CAN MAKE AN APPOINTMENT FOR YOU TO CHECK IT OUT. WE ALSO HAVE A LOT OF OTHER CANOES / BOATS LISTED - THESE ""PROJECTS"" ""OBSESSIONS"" HAVE TO GO ! SEE OUR OTHER CRAIGSLIST ADS. YOU'LL GET A BETTER DEAL IF YOU BUY MORE THAN ONE ITEM!",,5880188675,40.420391,15,-86.765966,OLD TOWN,"https://maps.google.com/maps/preview/@40.420391,-86.765966,16z",50 CANOE,$700,human," (LAFAYETTE, IN)",BOAT 11: 1964 15' OLD TOWN 50 CANOE WOOD/CANVAS RED WOVEN SEATS FUN !,https://tippecanoe.craigslist.org/boa/5880188675.html,1964
