,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.920800', '-85.366300']",2016-12-20 15:00,"15ft aluminum fishing boat in good shape, no holes or leaks, has three seats, oar, trolling motor, and life jackets that are stored in compartment under the front seat. The boat come with a solid trailer with good tires. Asking $550 obo show contact info",,5897531674,39.920800,15,-85.366300,,"https://maps.google.com/maps/preview/@39.920800,-85.366300,16z",,,power,,Aluminum Fishing Boat w/ Trailer,https://muncie.craigslist.org/boa/5897531674.html,2012
1,good,"['40.280300', '-85.839100']",2016-12-20 08:55,One man bass tracker. Good shape.,,5912163586,40.280300,7,-85.839100,,"https://maps.google.com/maps/preview/@40.280300,-85.839100,16z",,$150,power," (Elwood,Ind)",One Man BASS TRACKER BOAT,https://muncie.craigslist.org/boa/5912163586.html,
2,,"['40.101546', '-85.767217']",2016-12-20 07:32,"All new flooring, new battery, and new shifter cable this year. We had it out twice this year. Nice solid trailer.",,5926581754,40.101546,20,-85.767217,,"https://maps.google.com/maps/preview/@40.101546,-85.767217,16z",,$2000,power,,sylvan marine 20 supreme 1982,https://muncie.craigslist.org/boa/5926581754.html,
3,excellent,[],2016-12-19 22:47,Nice boat  contact me 765 244 24 zero 1,,5895101842,,20,,,https://maps.google.com/?q=loc%3A+%34%35%35+west+%33rd+street+at+Holman+st+Peru+IN+US,,$5300,power, (peru),Boat and trailer 20ft. inboard motor,https://muncie.craigslist.org/boa/5895101842.html,1996
4,excellent,,2016-12-19 19:44,Sell a trailer for inboard . This trailer hauled  a 19'Century inboard . For more info call me at 765744102 one.,,5886649985,,19,,,,,$1000,human,,Boat trailer for 19' inboard,https://muncie.craigslist.org/boa/5886649985.html,
5,good,"['40.430600', '-84.992800']",2016-12-18 22:56,"1990 Starcraft 1430 Flat bottom Jonboat. Includes older trolling motor, deep cycle trollung motor battery and oars.",,5924990734,40.430600,14,-84.992800,Starcraft,"https://maps.google.com/maps/preview/@40.430600,-84.992800,16z",1430,$650,human," (Portland, IN)",1990 Aluminium Flat Bottom Boat,https://muncie.craigslist.org/boa/5924990734.html,1990
6,,"['40.168400', '-85.380700']",2016-12-18 19:17,Firewood for sale you pick up 50 $ a rick good seasoned ash and oak cut ready for fire place show contact info,,5892422197,40.168400,4,-85.380700,,"https://maps.google.com/maps/preview/@40.168400,-85.380700,16z",,$50,human,,wood for sale,https://muncie.craigslist.org/boa/5892422197.html,
7,,,2016-12-18 18:14,"$1300 obo 14ft Myers Jon boat. 9.9 Hp Johnson 2 stroke Trolling motor &marine battery Fish finder Absolutely zero leaks. Fish all day without getting wet Engine runs great and trolling motor works great too Title for boat and trailer Registered until the end of 2017 Open to trades, preferably atv + cash or compound bow + cash Call or text show contact info",,5922188122,,14,,myers,,Jon boat,$1300,power, (ridgeville),14ft Myers Jon boat,https://muncie.craigslist.org/boa/5922188122.html,
8,excellent,,2016-12-18 16:54,"Houseboat - Floating Home - Great Fishing-Beautiful Sunsets-Lake Seminole - 55' by 15.5' plus 4' dock to tie up your fishing boat. $59,000 Fully furnished 2 bedrooms, 1 and ½ baths, shower, flat stove top, oven, refrigerator, wet bar, under counter refrigerator/freezer, sleeper sofa, recliner, dining table, three wall mounted TVs, ceiling fans inside and out on screened porch. Central Heat and Air, plus 12,000 BTU window A/C. Sleeps 6. Energy efficient -- Reflective rubberized roof coating along with mirrored film on windows and doors. Screened porch has an extended 4' dock with rails & boat bumpers. Relax at the beautiful ""Cove"" a gated Houseboat Community located at Trails End Marina and Resort, Donalsonville, GA. Enjoy the Club House, swim in the pool or play pool. Free use of a washer and dryer. Abundant wildlife and waterways to discover both in GA and FL along the Chattahoochee River with great fishing. Only a ten-minute boat ride south on the Chattahoochee River to Lake Seminole. Lake Seminole is a very popular fishing lake. Bass Pro holds tournaments on Lake Seminole. The houseboat is located just off the Chattahoochee River in a protected cove. (The Cove is about 1 hour North West of Tallahassee, FL. or 30 minutes due west of Bainbridge, GA.) We have great fishing for perch, bluegill, sunfish, large mouth bass, hybrid bass, striped bass, catfish, etc. right in front of our houseboat. Lake Seminole is a reservoir located in the southwest corner of Georgia along its border with Florida, maintained by the U.S. Army Corps of Engineers. The Chattahoochee and Flint rivers join in the lake, before flowing from the Jim Woodruff Lock and Dam, which impounds the lake, as the Apalachicola River. The lake contains 37,500 acres of water, and has a shoreline of 376 mi. Appreciate your interest in our houseboat. Please call if you have any questions or for an appointment.",,5897446223,,55,,Harbor Homes,,Savannah,$59000,human," (3371 Ga Hwy 253S Donalsonville, GA)",Undiscovered Paradise - Houseboat - Great Fishing - Lake Seminole,https://muncie.craigslist.org/boa/5897446223.html,2008
9,good,,2016-12-17 18:50,"This is a 16 foot 1987 Smoker Craft deep v aluminum boat. The engine is a 50 horse Mercury outboard. I'm unsure of the engine year but it is newer than the boat. The engine also has tilt and trim. The boat has plenty of rod storage, 5 rod holders, 3 seats, 2 anchors with cranks, a foot controlled Minn Kota trolling motor, a live well, and a Humminbird 525 fish finder. The trailer also has new tires on it. This boat has been very well taken care of.",,5895088355,,16,,Smoker Craft,,,$3600,power, (Selma),1987 Smoker Craft deep v *Price Reduced*,https://muncie.craigslist.org/boa/5895088355.html,1987
