,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-16 16:07,"ROCKHILL MARINE We service new and used boats certified MERCURY AND EVINRUDE TECH TO DO YOUR WARRANTY WORK. Over 40 years service and sales we have seen it all we know what we are doing and very good at it. We also service all the older the ones no other dealer will.we like to help all boaters and if you have old boat that may need parts we can fix it or locate your part and ship it to you. We also have a 1000s of parts in stock almost everything you need from daily fun to bilge pumps,gas tanks.seat post,tank plugs,boat plugs,props prop repair just call we can HELP. We also have a large selection of new TRI-TOONS,PONTOONS,DECKBOATS,DEEP V,BASS,AND JONS. LOTS OF USED BOATS AND WE DO CONSIGNMENT AND TRADES. ROCKHILL MARINE WE TREAT YOU LIKE FAMILY show contact info 23064 HWY 65 LINCOLN MO 65338 Mike",,5922227960,,1,,,,,,human,,TRUMAN LAKE BOAT SALES AND SERVICE OF ALL OLDER AND NEW BOATS,https://lawrence.craigslist.org/boa/5922227960.html,
1,,"['39.426000', '-92.667700']",2016-12-16 12:10,"This is a new floating dock. All steel frame, galvanized. We will deliver to any lake and install. We also have docks other sizes. Please check out www.macscovedocks.com or call 573 999 91six nine if interested.",,5921894583,39.426000,20,-92.667700,boat,"https://maps.google.com/maps/preview/@39.426000,-92.667700,16z",water,$1,human, (Macon),Floating dock with roof,https://lawrence.craigslist.org/boa/5921894583.html,
2,,,2016-12-14 22:26,"Hello, put to use and show the world your skills.  Fiberglass forms used to make fiberglass ""sweet 16"" sail boat or boat.  Was told it was for making a racing sail boat, sweet 16 during the 70's. Call with ?s. Trade for?  Can deliver for costs of gas.  Thanks for looking",,5879955789,,16,,,,,$100,sail, (Baldwin City),boat mold,https://lawrence.craigslist.org/boa/5879955789.html,
3,,"['38.970400', '-95.276900']",2016-12-13 17:03,"I have had this boat going on two years now. Bought it as a project boat, still in the same condition as when I purchased it. Honestly it has been sitting covered for the last two years, I got way in over my head with this one. All I managed to get done was ripping out the flooring and cleaning it up a bit. It has been stored out at Clinton Lake. $300 OBO I just want to cover the storage fees and property tax. If you know what you are doing I'm sure it will be an easy fix for you. Comes with trailer. No motor. Will consider trades.",,5918257511,38.970400,18,-95.276900,,"https://maps.google.com/maps/preview/@38.970400,-95.276900,16z",,$300,power, (Lawrence),18' VIP Project Boat,https://lawrence.craigslist.org/boa/5918257511.html,
4,good,,2016-12-13 13:00,"Clean Great running boat!!!! Inboard/Outboard 454 w/thru hull exhaust, sun deck and back seat just upholstered last year. 4 blade prop , hydraulic trim tabs, power out drive trim, comes with life jackets , tube, ski and tube ropes, anchor, bouyes, ski flag, trailer is all aluminum with rolls axles, aluminum wheels with perfect tires!!! Ready for the lake!!!",625,5917884984,,21,,Baja,,Hammer,$15500,power, (Wellsville),1997 BAJA HAMMER,https://lawrence.craigslist.org/boa/5917884984.html,1997
5,like new,"['39.087500', '-95.373100']",2016-12-13 10:20,"Like new 2006 Tracker Pro-guide V-16. 2006 50hp EFI Four stroke Mercury (Brand new VST Fuel system (1600.00 dollars)- 8.5hrs total run time on engine. Still needs to finish break in period., 2006 Trailstar PG16V Trailer. Trolling motor, depth finder, dual bank charger. New starting crank battery. Includes spare tire, vests, throwable, and more..! Boat is turn key ready for the lake .Call for a showing or further details! You can spend 15k on a new one, or get a like new boat for 60% of the price!",100,5917605012,39.087500,16,-95.373100,Tracker,"https://maps.google.com/maps/preview/@39.087500,-95.373100,16z",Pro V16,$8995,power, (Perry Ks),2006 Tracker Pro Guide V16,https://lawrence.craigslist.org/boa/5917605012.html,2006
6,good,"['38.970400', '-95.276900']",2016-12-10 08:57,"We have a 2000 19 ft Crownline and trailer for sale. It has a mercruiser 5.0L V8 engine. It does not have an hour meter as far as I know. The only thing I planned to do was rebuild the carburetor. It runs fine, but it runs a bit rich. The interior has one small tear on the bench seat. It was there when we bought the boat 5 years ago and hasn't gotten any bigger. The radio needs replaced. It has a bimini top and the cover is only 3 yrs old. The carpet on the trailer bunks were also changed out before it was winterized this year. We also have a 2012, 4300 lb hydro-lift at Clinton Marina for sale. The slip and storage is paid through March 2017. We are asking $4750. There is also a dock box for $300.",,5913461668,38.970400,19,-95.276900,Crownline,"https://maps.google.com/maps/preview/@38.970400,-95.276900,16z",192BR,$9000,power, (Lawrence),2000 Crownline 192BR,https://lawrence.craigslist.org/boa/5913461668.html,2000
7,,,2016-12-08 20:56,"14'  Lowe Jon Boat.  Not perfect, but cheap. Leaks a little water but can be patched.  Missing wood to attach motor on back.  Would make a good small pond/lake fishing boat or duck boat. I hate to call this a project boat because it could go on the water today.  To be perfect it will need some minor TLC.   $190 show contact info",,5874649221,,14,,,,,$190,power,,Lowe 14' Jon Boat,https://lawrence.craigslist.org/boa/5874649221.html,
8,like new,"['39.124867', '-95.062981']",2016-12-05 09:37,"Fishing ready: Complete with all manuals and instructions 40 HP Mercury EFI outboard used 25 hrs Minnkota Terrova 55 w/ i-Pilot, low profile foot peddle and remote control Installed boat cover 2-Auto/man life vests 1 adult and two small child Life preservers 2- square throw cushions 8 Rod holders and bases w/extenions Paddle Air horn Anchors and plenty of rope Elite 5 Dsi fish finder w/ cover Batteries 2-X-4 Pro fish finders w/covers Pro Mariner Heavy duty on Board Battery charger 2- 8' Depth Master  trolling rods and reels 2-7'6"" Depth Master trolling rods and reels Kept covered inside storage during winter months",23,5906217279,39.124867,16,-95.062981,Lowe,"https://maps.google.com/maps/preview/@39.124867,-95.062981,16z",Scorpion,$9000,power, (Tonganoxie),Lowe Scorpion boat,https://lawrence.craigslist.org/boa/5906217279.html,2011
9,good,"['38.943923', '-95.282021']",2016-12-03 10:36,1996 Yamaha WaveVenture 1100 Runs strong w/ regular tune ups. Brand new Gel battery plus trailer included.,,5903621687,38.943923,10,-95.282021,Yamaha,"https://maps.google.com/maps/preview/@38.943923,-95.282021,16z",WaveVenture,$1800,power,,1996 Yamaha WaveVenture 1100,https://lawrence.craigslist.org/boa/5903621687.html,1996
10,,"['39.028900', '-95.208600']",2016-11-30 11:43,"We custom make metal buildings... We  have 12x21 carports for $695 or 18x 21 for $795 installed on Your level land... .Our carports and buildings can be modified to fit your needs ,with roll up doors , windows, walk in doors, colors ,and design .eight one six914-6229",,5870584816,39.028900,21,-95.208600,,"https://maps.google.com/maps/preview/@39.028900,-95.208600,16z",,$695,human,,12x21 carports starting at $695,https://lawrence.craigslist.org/bod/5870584816.html,
11,like new,[],2016-11-29 15:43,BE SURE TO ASK FOR CHRIS JUST ARRIVED!! 1996 240Z TALAHARI MARIAH!! 7.4L MERCRUISER!! CALL CHRIS Use the following link to view more information about this vehicle: http://www.rainbowcycle.com/lc/2650028 JUST ARRIVED AND PRICED TO SELL!! 1996 MARIAH 240Z TALAHARI PACKAGED WITH A MERCRUISER 7.4L AND BRAVO 3 OUTDRIVE!! THIS BOAT IS VERY CLAN AND AS NICE OF A 1996 MODEL BOAT YOU WILL FIND!! ONLY 588 HOURS ON MOTOR!! THAT'S ONLY 29.4 HOURS A YEAR. DO NOT MISS OUT ON THIS DEAL!! FINANCING AVAILABLE!! CALL CHRIS AT show contact info TO SEE HOW EASY IT IS TO GET OUT ON THE WATER TODAY!! Vehicle Details Year: 1996 Make: MARIAH Model: Z 240 TALARI Stock #: BUM11765,588,5882152671,,24,,MARIAH,https://maps.google.com/?q=loc%3A+%31%31%30%30+W+Hudson+Rd+Rogers+KS+US,Z 240 TALARI,$12999,power, (Rogers AR),JUST ARRIVED!! 1996 240Z TALAHARI MARIAH!! 7.4L MERCRUISER!! CALL CHRIS,https://lawrence.craigslist.org/bod/5882152671.html,
12,,,2016-11-29 15:19,,,5880644288,,,,,,,$39900,, (Branson West MO (Table Rock Lake)),2002 Sea Ray 260 Sundancer,https://lawrence.craigslist.org/bod/5880644288.html,
13,,,2016-11-29 15:18,,,5873005432,,,,,,,$39900,, (Branson West MO (Table Rock Lake)),2005 Crownline 270   REDUCED,https://lawrence.craigslist.org/bod/5873005432.html,
14,,"['36.678442', '-93.388252']",2016-11-29 15:16,"In on Trade,  Mechanically Sound and Very Clean 5.0l Merc EFI only 292 Hours. 21' 8'4"" beam 3500 lb Dry weight Snap In Carpet Automatic Halon Extinguisher system Fresh Water boat Priced with Trailer Trades Accepted, Financing and Transportation Service available Call for Details",,5868580447,36.678442,21,-93.388252,,"https://maps.google.com/maps/preview/@36.678442,-93.388252,16z",,$26900,power, (Branson West MO (Table Rock Lake)),2005 Sea Ray 200 Sundeck,https://lawrence.craigslist.org/bod/5868580447.html,
