,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 18:13,"I'm moving and need to sell my boat. It runs well and has just about everything you'll need to fish. I've kept it in the garage since I've owned it. 1978 Alumacraft mod V 1983 Evinrude 35hp Dual axel trailer Top speed 22mph 1-2people, 17 with 3 people 2 Driftmaster ""T"" bar rod holders HUMINBIRD 161 GPS+Fishfinder Two bank on board charger- Just plug it into the wall when you get home! Live well (not aerated) 3seats Bilge pump 2 anchors with rope, spare paddle, 2-3life jackets Hunting blind- I have 2camo nets but would need more brush. I designed it so one could zip tie new brush on and it needs the door fastened on. Only problem with the boat is it does have a slow leak. It never really bothered me as I just turned on the bilge pump when needed. Overall this boat is a great rig for fishing and can be a great rig for hunting I just never finished it. I have some lights that could be installed too. I've had this boat on many lakes including Milford and caught lots of fish out of it. But I have to move out of state and I ultimately will be getting a bigger one to hold 4+ people. If you are interested send me a text referencing the boat and I'll let you know exactly what you'd be getting.",,5927438273,,15,,,,,$2200,power," (Riley, KS)",15' aluminum fishing boat,https://ksu.craigslist.org/boa/5927438273.html,
1,,,2016-12-20 16:45,,,5927419813,,,,,,,$3200,, (Chapman),85 Procraft 1750v fiberglass boat 115hp,https://ksu.craigslist.org/boa/5927419813.html,
2,,,2016-12-19 21:49,,,5906469286,,,,,,,$1800,, (Kansas City Kansas),14 ft duck boat (3 seater) w/9.8 hp Johnson motor,https://ksu.craigslist.org/boa/5906469286.html,
3,,"['39.132900', '-95.702300']",2016-12-18 21:25,"Selling 18' 1987 baja sunsport 186. Motor had a knock so pulled it out and all the machine work has been done just needs a rebuild kit never got around to finishing it. Floors replaced 1 year ago needs fiberglass and carpet put back down  and seats in good condition, trailer is in good condition newer tires brand new boat cover with center support. $2000 show contact info text or call  leave message If I don't answer.",,5924968752,39.132900,18,-95.702300,Baja,"https://maps.google.com/maps/preview/@39.132900,-95.702300,16z",Sunsport,$2000,power,,Baja sunsport,https://ksu.craigslist.org/boa/5924968752.html,1987
4,fair,[],2016-12-18 21:03,"I have a 1965 16' aluminum fish/ski boat for sale. It's all aluminum and is sea-worthy, with a working bilge pump.  It also has a live well but may need some work to replace old wood. I have two motors for it: 1965 90HP Johnson (needs mechanical shifter) and 1972 100HP Johnson (lots of newer parts but blown cylinder).  Kicker is I want to keep the trailer, so you can have boat and motors but not the trailer. The boat is in pretty good condition for its age.  I have a new rack and pinion steering installed and a new stainless steering wheel that goes with boat.  I also have a setup for a second battery installed if wanted. Would be a pretty fun project boat.  It's a great boat for big lake fishing due to the aluminum V bottom since it sits high on the water and cuts through the waves.  It would be tough to capsize her.  I decided to buy a Lund so am trying to send her to a new home. I can deliver it on the trailer to you but we'll have to pull it off the trailer for storage with you, since I plan to keep the trailer.  You will have to let me know if you want the motors since I'm inquiring of some vintage motor dealers to see if they may want them.  Lots of good parts in the motors and both could be fired up with some work.  1965 90HP was a good motor and only needs a mechanical shifter.  1972 100HP Johnson has lots of new parts but needs to be rebuilt due to blown cylinder. Make a reasonable offer and she could be yours.   I can send you pics and plan to post some in next few days.",,5917215733,,16,,Unknown,https://maps.google.com/?q=loc%3A+%31%30%39%31%37+High+Point+Dr+Manhattan+KS+US,,,power,,1965 16' Aluminum boat,https://ksu.craigslist.org/boa/5917215733.html,1965
5,good,"['39.384400', '-97.127800']",2016-12-17 14:19,"For sale 2002 Triton 205 walleye boat.  21' with 225 mercury outboard and 15 hp mercury kicker motor.  GPS system as well as new I pilot has been installed and has never been used.  Matching trailer with dual axles and new tires.  Boat has always been kept inside except when it was in use.  Photos upon request, serious inquiries only.",,5904946952,39.384400,21,-97.127800,triton,"https://maps.google.com/maps/preview/@39.384400,-97.127800,16z",205,$20500,power,,2002 triton 205,https://ksu.craigslist.org/boa/5904946952.html,2002
6,excellent,"['39.210800', '-96.434500']",2016-12-12 20:34,"2006 Bayliner Capri 195.  Mercruiser 6 cylinder engine, Bimini top, extended swim platform, cover and custom trailer.  Very good condition.  I am the second owner.",,5917050823,39.210800,20,-96.434500,Bayliner,"https://maps.google.com/maps/preview/@39.210800,-96.434500,16z",Capri 195,$11500,power, (Saint George),2006 Bayliner Capri 195,https://ksu.craigslist.org/boa/5917050823.html,2006
7,,,2016-12-12 12:07,,,5916330336,,,,,,,$50,,,Xbox One Games Brand New!!!!!!,https://ksu.craigslist.org/boa/5916330336.html,
8,,"['39.061900', '-96.787300']",2016-12-11 19:04,"Runs good. No leaks. Comes with trailer,  9.9hp Evenrude 2 stroke, 30 lb trolling motor, gas can and hose, 2 seats, marine battery and titles for the boat and motor. Everything works. Lake ready.",,5896061026,39.061900,11,-96.787300,,"https://maps.google.com/maps/preview/@39.061900,-96.787300,16z",,$1000,power, (Fort Riley),11ft Boat,https://ksu.craigslist.org/boa/5896061026.html,
9,,,2016-12-11 16:22,,,5915327418,,,,,,,$3000,,,"Pontoon Boat, Trailer and Motor",https://ksu.craigslist.org/boa/5915327418.html,
10,excellent,[],2016-12-11 15:17,boat for sale contacter for more info,,5915246560,,14,,starcraft,https://maps.google.com/?q=loc%3A+%32%32%32%30+prospect+circle+Junction+city+KS+US,,$400,power,,boat for sale no motor,https://ksu.craigslist.org/boa/5915246560.html,1968
11,,,2016-12-08 12:34,1979 Imp 27ft. Engine needs work. Moving and can't take it with us. Please text show contact info or show contact info,,5911008148,,27,,,,Imp,,power,,Boat with trailer $1000/OBO,https://ksu.craigslist.org/boa/5911008148.html,1979
12,,,2016-12-05 11:26,,,5876417616,,,,,,,$500,," (Manhattan, KS)",Kawasaki STS JetSki w/ Trailer,https://ksu.craigslist.org/boa/5876417616.html,
13,fair,"['38.782368', '-95.556335']",2016-12-03 18:17,"1989 Donzi Regazza ski boat.  It is 18.5' long and rated at a 6 person capacity.  It's powered by a 4.3L engine with an Alpha One outdrive.  Runs good, outdrive functions as it should.  Hull is in good shape.  Interior needs redone but is usable.  Comes with a snap on bow cover for the front.  Has a bimini top but it needs some work.  It has plastic windows in it and they have gotten yellow and brittle.  Could either take them out or replace them with new plastic.  Trailer has a good set of tires on it and works as it should. The engine in the boat is an automotive engine.  I bought the boat with a locked up engine and installed this one in it.  It has brass freeze plugs throughout, new oil pump, new marine starter, new rear main seal, new oil pan gasket, one new exhaust manifold, new plugs and wires, new marine distributor cap, new marine electric fuel pump running off a relay and oil pressure switch (no oil pressure the fuel pump won't run).  The outdrive has been serviced and has a new exhaust bellows and the lower unit has a new water pump and shaft seals. The boat still needs a couple little things to be ready to go, but could be on the water within a day.  Blower duct work is broken and needs replaced.  Trailer lights need looked at.  Ground wire appears to be broken so they do not work at this time.  Shifter cable needs adjusted. Has a hard time finding neutral. Prop has a vibration. Have multiple props that go with it but they are all damaged to some extent.  Best as I can tell everything else on the boat works as it should.  Nav. lights, bilge, blower, anchor lights, cabin lights, gauges seem to operate properly (tach works when it wants to).  Cheap way to get on the water before the holiday.  I have a clean Kansas title on the trailer and the boat will be sold with a bill of sale.  No trades at this time.  Bought another boat and would like this one to leave.  Thanks for looking",,5904312682,38.782368,19,-95.556335,Donzi,"https://maps.google.com/maps/preview/@38.782368,-95.556335,16z",Regazza,$2500,power," (Overbrook, KS)",1989 Donzi Regazza 18.5' Open Bow with Wakeboard Tower,https://ksu.craigslist.org/boa/5904312682.html,1989
14,,"['39.193800', '-96.585800']",2016-12-01 12:28,I'm buying skis for parts or rebuild please  Txt pics and info to show contact info,,5856734152,39.193800,8,-96.585800,,"https://maps.google.com/maps/preview/@39.193800,-96.585800,16z",,$100,power, (Manhattan),Wanted Jetski Running or Not!!,https://ksu.craigslist.org/boa/5856734152.html,
