,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,,2016-12-20 18:19,I have custom paint jobs on a 2009 Seadoo RXPX. Top speed around 85! Also I have as a combo sale is a custom painted 2004 Polaris MS-150 2 person watercraft. New tires on a dual Seadoo trailer. like new. $11500 for both. Run excellent. call show contact info Scott,100,5910100618,,12,,Seadoo and Polaris,,RXPX and MS-150,$10900,power, (Wichita),2009 Seadoo RXPX  and 2004 Polaris MS-150,https://wichita.craigslist.org/boa/5910100618.html,2009
1,,,2016-12-20 12:11,"I have a starbuck vdrive runs good and floats had it on the lake all summer it has a mopar 400 was a circle track race boat at one time $4,500 call or tx anytime show contact info",,5926904512,,18,,,,,$4500,power,,Vdrive,https://wichita.craigslist.org/boa/5926904512.html,
2,,,2016-12-20 11:50,,,5902246424,,,,,,,$40,, (West wichita),boat anchor,https://wichita.craigslist.org/boa/5902246424.html,
3,,,2016-12-20 10:49,,,5916686488,,,,,,,$125,, (Wichita),*****Minn Kota trolling motor****,https://wichita.craigslist.org/boa/5916686488.html,
4,,,2016-12-20 09:18,,,5905940881,,,,,,,$50,, (Augusta Ks),Tired of looking at that old watercraft,https://wichita.craigslist.org/boa/5905940881.html,
5,,,2016-12-20 09:18,MPZ repair service. We have a full service repair shop. We offer mobile service (there will be a service call fee if we come to you the fee will vary depending on distance of travel) Text or call Mike show contact info NO EMAILS PLEASE,,5905941696,,16,,,,,$1,power, (Augusta Ks),Boat/ jetski repair,https://wichita.craigslist.org/boa/5905941696.html,
6,,,2016-12-20 09:18,I have several boat trailers starting at 125.00+ OBO text Mike show contact info,,5905941920,,16,,na,,na,$125,human, (Augusta Ks),Single axle boat trailers,https://wichita.craigslist.org/boa/5905941920.html,
7,,,2016-12-20 01:03,"great boat been using for veterans fishing with their kids, need pontoon boat for more room, keeping motors, selling boat and trailer only",,5918345666,,16,,,,,$1500,power, (w wichita),16ft boat and trailer,https://wichita.craigslist.org/boa/5918345666.html,
8,,,2016-12-19 23:07,,,5926417753,,,,,,,$350,,,2012 Pelican 8E Bass Raider w/ Seats,https://wichita.craigslist.org/boa/5926417753.html,
9,,,2016-12-19 19:17,,,5922831300,,,,,,,$1,, (Valley Center),Mercruiser bravo one alignment tool and gimble bearing removal tools,https://wichita.craigslist.org/boa/5922831300.html,
10,,,2016-12-19 19:17,,,5922831996,,,,,,,$1,, (Valley Center),1998 Kawasaki zxi  1100 PWC jet ski jetski  PARTING OUT,https://wichita.craigslist.org/boa/5922831996.html,
11,,,2016-12-19 19:17,1996 Seadoo GSX waverunner jetski jet ski. Parting out.  Cash only,,5911503636,,12,,,,,$1,power, (Valley Center),1996 Seadoo GSX waverunner jetski jet ski parting out,https://wichita.craigslist.org/boa/5911503636.html,
12,,,2016-12-19 19:17,,,5911504149,,,,,,,$1,, (Valley Center),PWC TRITON Seadoo jet ski jetski trailer waverunner Aluminum TRADE,https://wichita.craigslist.org/boa/5911504149.html,
13,excellent,,2016-12-19 19:17,"Seadoo Yamaha Kawasaki jet ski jetski trailer. This is not a normal trailer, Heavy duty boxed frame, boxed lights and boxed step platforms with welded and integrated metal fenders. 13 inch full size tires ( not the small 12s) and wheels, tongue jack, front tool box, Fuel tank storage racks, etc. Tows great. No rust, clean. Spare tire is not included. $595 cash or may trade up down on a dual jetski waverunner trailer, or a 1996 or newer jetski",,5911504642,,12,,,,,$1,human, (Valley Center),Heavy Duty PWC 3 seater Seadoo jet ski jetski trailer waverunner TRADE,https://wichita.craigslist.org/boa/5911504642.html,
14,,,2016-12-19 19:15,,,5887342358,,,,,,,$1,, (Valley Center),2002 Seadoo sea doo RXDI 951 direct injection Jet ski jetski parting,https://wichita.craigslist.org/boa/5887342358.html,
15,good,,2016-12-19 19:15,"1999 Seadoo GSX Rotax Fuel Injected waverunner jetski jet ski . No carbs to hassle with so it  starts easy, no priming, no missing out, no bogging, instant throttle response. Like a 4 stroke at a fraction of the price. Now has 138 hours as we put several no issue hours on it last weeked. New wear ring, new bearings and seals,  new starter, new AGM battery. Outside faded. $1250 Cash without a trailer. Trailers available for additional $. Will trade up or down for other skis, trailers, etc. Send pix price and details for trades.",,5891399615,,10,,,,,$1250,power, (Valley Center),Seadoo GSX RFI Rotax Fuel Injected waverunner jetski jet ski 131 hrs,https://wichita.craigslist.org/boa/5891399615.html,
16,,,2016-12-19 19:14,,,5891396406,,,,,,,$1695,, (Valley Center),2002 Seadoo sea doo GTX RFI fuel injection jet ski jetski TRADE 3 seat,https://wichita.craigslist.org/boa/5891396406.html,
17,good,,2016-12-19 19:14,WTB  PWC jet ski jetski STAND garage cart . Work stand for jet ski storage. Casters a plus.  Consider strong homemade ones.  Could use several. Send pix price and details,,5887337541,,8,,,,,$1,human, (Wichita),WTB  PWC jet ski jetski STAND garage cart storage dolly,https://wichita.craigslist.org/boa/5887337541.html,
