,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,[],2016-12-20 14:33,"14 Foot 1988 Bea Moore fishing boat with 6 horsepower Johnson  Motor $1,000 Cash or will sale seperate $600 engine and $500 boat and trailer Call:Hatler Kiser show contact info Jenkins,Kentucky",,5927046055,,14,,Bea Moore,https://maps.google.com/?q=loc%3A+%35%35+falcon+hill+jenkins+KY+US,14 foot,$1000,power, (jenkins),1988 14 foot Bea Moore with 6 hp Johnson,https://eastky.craigslist.org/boa/5927046055.html,1988
1,good,"['37.921500', '-83.259600']",2016-12-19 20:32,"Good boat. Newer carpet,  Captain stand, stereo, tires and wheels.  50 hp force that needs a coil. 2500 firm. Come get it.",,5926244956,37.921500,18,-83.259600,,"https://maps.google.com/maps/preview/@37.921500,-83.259600,16z",,$2500,power, (West liberty),18' pontoon,https://eastky.craigslist.org/boa/5926244956.html,
2,,"['37.508700', '-82.851800']",2016-12-19 18:24,boat with trailer need motor & some work has title to boat. had a 4.3 motor in it. with trailer.,,5926092693,37.508700,19,-82.851800,,"https://maps.google.com/maps/preview/@37.508700,-82.851800,16z",,$250,power,,19 foot boat,https://eastky.craigslist.org/boa/5926092693.html,
3,like new,,2016-12-19 17:36,must call for details I'm posting this for my mom.    call Shirley at show contact info motor has only been used a few  times and it's a honda. (9.9) 2 cylinder 4 stroke best in the business great deal.  you don't wanna miss out paid over 4000 for it she has the invoice to prove it call to make offer thank you,8,5893799176,,20,,Honda,,9.9 2 cylinder 4 stroke,$2200,power, (Grayson Kentucky),Like new Honda boat motor 2 cylinder,https://eastky.craigslist.org/boa/5893799176.html,
4,like new,,2016-12-19 17:26,must call for details I'm posting this for my mom.    call Shirley at show contact info motor has only been used a few  times and it's a honda. (9.9) 2 cylinder 4 stroke . comes with steering kit. great deal.  you don't wanna miss out paid over $4000 for it she has the invoice to prove it call to make offer thank you..,8,5926034255,,20,,Honda,,9.9 2 cylinder 4 stroke,$1700,power, (Grayson Kentucky),Like new Honda boat motor 2 cylinder,https://eastky.craigslist.org/boa/5926034255.html,
5,,,2016-12-19 13:32,"2003 Nitro NX882 with 2003 Mercury XR6 150, Minn Kota 70 lbs thrust trolling motor. Been in garage stored since  May. Need to sell!!! Text (606) 4three4 five36three",,5925675706,,18,,Nitro/Mercury,,Nitro NX882/Mercury XR6 150,$9500,power, (Pikeville Area),Need to sell!! 2003 Nitro with 2003 Mercury XR6 150,https://eastky.craigslist.org/boa/5925675706.html,2003
6,good,[],2016-12-18 18:22,This boat is a must see Comes with the best view on Percy Priest lake Great awning comes with slip Bimini top Bottom job and 2 coats of paint 1 and 1/2 years ago Lower helm / Flybridge Bilge safe heater New batteries Twin Volvo 225 HP I/O motors need work Power trim 6.5 KW Onan Gen 10 amp battery charger oil changed once a year every year Depth finder Microwave Frig/freezer Wall mount coffee maker Roof mount heat and air Plus window unit New 12 volt marine head New 12 volt pump for water system Waste tank Sink and Vanity Tub and shower Lower birth with two twin beds Fresh water tank Freshwater system 21000 OBO,964,5920313119,,38,,Holiday Mansion,https://maps.google.com/?q=loc%3A+%34%30%30%31+bell+rd+Hermitage+KY+US,Barrucuda,$21000,power, (Hermitage),This boat is priced to sell 1985 38 Ft Holiday Mansion Barracuda,https://eastky.craigslist.org/boa/5920313119.html,1985
7,good,"['36.326600', '-84.192800']",2016-12-18 16:25,"1995 Polaris SL650 jet ski Needs carbs cleaned and a pump .don't run.1995 seadoo GTX 700 runs great ready to ride needs a seat cover.on a double hustler trailor.you get both jet skis and the double hustler trailor for 1,000 dollars or best offer.no trades.location Jacksboro tn.serious inquiries call 423-four nine four -07 one four.",,5907951495,36.326600,12,-84.192800,,"https://maps.google.com/maps/preview/@36.326600,-84.192800,16z",,$1000,power, (Jacksboro),Polaris and seadoo jet ski on double hustler trailor,https://eastky.craigslist.org/boa/5907951495.html,
8,,"['37.754600', '-84.295500']",2016-12-18 11:48,"2000 Trition TR186 with a 2001 Mercury XR6 150hp. Excellent condition! Has hydralic steering, trim on wheel, hotfoot, recessed trolling motor tray, 80# minnkota trolling motor, keel guard, 6"" jackplate, 2 bank charger. Engine is perfect and has never been messed with. 9,500 Firm. Thanks",,5896756477,37.754600,19,-84.295500,,"https://maps.google.com/maps/preview/@37.754600,-84.295500,16z",,$9500,power,,2000 Triton TR186 with 2001 Mercury XR6 150hp,https://eastky.craigslist.org/boa/5896756477.html,
9,like new,"['37.661000', '-82.763600']",2016-12-17 18:11,"I have a 2016 feel free lure 11.5 I'm looking to sell, comes with a feel free 250 cm paddle and a life jacket. Bought it brand new in September. These kayaks are amazing on the water and easy to maneuver with the wheel located in the back. Asking 1100 obo, price is negotiable. Text me at 6oh6 3three9 9two4two",,5923612874,37.661000,11,-82.763600,,"https://maps.google.com/maps/preview/@37.661000,-82.763600,16z",,,human,,2016 feel free lure 11.5,https://eastky.craigslist.org/boa/5923612874.html,
