,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.880800', '-84.564600']",2016-12-20 19:47,"1990 Chris Craft 19.8 ft has a 305 in it with OMC out drive beautiful boat has cover and newer Bimini top very well taken care of for the year won't find another one like it. Only reason of selling to buy a house 7,000.00 obo call or text show contact info",,5913775862,37.880800,20,-84.564600,,"https://maps.google.com/maps/preview/@37.880800,-84.564600,16z",,$7000,power, (Nicholasville),1990 Chris Craft,https://lexington.craigslist.org/boa/5913775862.html,
1,,"['37.880800', '-84.564600']",2016-12-20 19:46,"1990 Chris Craft 19.8 ft has a 305 in it with OMC out drive beautiful boat has cover and newer Bimini top very well taken care of for the year won't find another one like it. Only reason of selling to buy a house 7,000.00 obo call or text show contact info",,5898554267,37.880800,20,-84.564600,,"https://maps.google.com/maps/preview/@37.880800,-84.564600,16z",,$7000,power, (Nicholasville),1990 Chris Craft,https://lexington.craigslist.org/boa/5898554267.html,
2,excellent,"['38.750600', '-84.156600']",2016-12-20 19:41,"12 Ft Game Fisher, 7.5 HP Game Fisher Motor, Trolling Motor on Front is a 50 lb MinnKota Trolling motor on back is a 36 lb MinnKota, Includes Lowrance Elite 4 HDI Sonar with Down Scan, two fishing seats, the trailer has new tires and rims. Please call or text with any questions.",,5927556318,38.750600,12,-84.156600,Game Fisher,"https://maps.google.com/maps/preview/@38.750600,-84.156600,16z",,$1500,power, (Foster),12 FT Game Fisher Jon Boat w/trailer,https://lexington.craigslist.org/boa/5927556318.html,
3,good,"['37.658400', '-84.596900']",2016-12-20 18:44,"26.5' 1994 Crownline  Bow Rider including Hydro Hoist . Never stored in the water. 617 hours on a Mercury 3.0 L 454 V8. No Trailer! This boat is an excellent ride )5000 Pounds. Will seat up to 12 people (all with available life preservers) Great for ski tube fish and pleasure. We are the second owner (had only 90 hours when we bought in 1996. Always located at Herrington Lake Marina. There is no trailer but you could purchase one for around $3000. The rear swim platform needs minor vinyl repair. Lots of FUN over the years. All maintenance performed by CT Marine in Nicholasville, Ky",617,5927496074,37.658400,27,-84.596900,Crownline,"https://maps.google.com/maps/preview/@37.658400,-84.596900,16z",266BR,$14900,power, (Herrington Lake Marina),1994-266 Crownline BR and Hydro hoist (OBO),https://lexington.craigslist.org/boa/5927496074.html,1994
4,,"['37.147319', '-84.108925']",2016-12-20 18:16,Minn Kota MK210D DIGITAL 2 bank (5Amp x 2 = 10AMP) boat battery charger that has never been used. These sell for $150 at Cabelas and that doesn't include tax. Price $70.00 (FIRM and won't take any less) Cash Located in London,,5919570074,37.147319,1,-84.108925,,"https://maps.google.com/maps/preview/@37.147319,-84.108925,16z",,$70,power, (London),Minn Kota MK210D DIGITAL 2 bank boat battery charger Never Used ..,https://lexington.craigslist.org/boa/5919570074.html,
5,excellent,"['36.685700', '-85.140700']",2016-12-20 18:11,"Powered by a mercruiser 5.0 and just over 300 hours. Located at Denney Marine Albany, Ky Asking $10,500 or best offer Call or text show contact info",300,5918050499,36.685700,20,-85.140700,Mariah,"https://maps.google.com/maps/preview/@36.685700,-85.140700,16z",,$10500,power," (Albany, Ky)",2000 Mariah Shabah z202,https://lexington.craigslist.org/boa/5918050499.html,2000
6,excellent,,2016-12-20 17:35,"I have a super nice 2002 Malibu Wakesetter XTI. My family don't use it enough and I'm thinking about just getting a pontoon. Has awesome sound system with amp and sub. Has perfect pass, super big Ballast System. Has surfing wedge. This boat is awesome to wakesurf, wakeboard, or ski. The Engine is a 5.7 fuel injected. Call or txt show contact info",,5891376420,,239,,Malibu,,Wakesetter,$24900,power, (Winchester),2002 Malibu Wakesetter 23 XTI,https://lexington.craigslist.org/boa/5891376420.html,2002
7,,"['37.579900', '-84.274900']",2016-12-20 15:26,"Nice older boat, good running outboard motor, all new floors and coverings and paint. new bottom 3 years old now. very easy to move around on the water. can be seen at Lake Herrington. price reduced",200,5900656533,37.579900,40,-84.274900,,"https://maps.google.com/maps/preview/@37.579900,-84.274900,16z",,$5500,power, (lake Herrington),Very Nice older Houseboat: sell or trade,https://lexington.craigslist.org/boa/5900656533.html,1969
8,,,2016-12-20 15:09,"Outdoor Storage for your RV, Boat and/or Trailer. We are right off Hwy 461, near Hwy 150. Just 5 miles from I-75 and 20 miles from Lake Cumberland KY. Currently have outdoor spots available. We also have some indoor 5x10 spots perfect for motorcycles or 10x10.You can text or email us. Check us out on Facebook.",,5904207494,,50,,,,,,human,,"Outdoor RV, Boat and Trailer Storage",https://lexington.craigslist.org/boa/5904207494.html,
9,,"['37.099500', '-84.113100']",2016-12-20 14:46,2002 Kawasaki Jetski 900cc 2 stroke Fresh top end Runs excellent 60 mph Tony Doukis racing exhaust Pulls tubes and skiers awesome $2500 obo or trade (open to about anything),,5898968230,37.099500,13,-84.113100,,"https://maps.google.com/maps/preview/@37.099500,-84.113100,16z",,$2500,power, (London),2002 Kawasaki Jetski 900 3 seater,https://lexington.craigslist.org/boa/5898968230.html,
10,like new,"['37.754600', '-84.295500']",2016-12-20 14:03,"21' Wellcraft open bow Anniversary Edition, boat is in like new condition runs great and very clean always stored inside. Comes with everything....life jackets, ski's, tube, ropes and more.  $8800",520,5886539159,37.754600,21,-84.295500,Wellcraft,"https://maps.google.com/maps/preview/@37.754600,-84.295500,16z",,$8800,power, (Richmond),21' Wellcraft,https://lexington.craigslist.org/boa/5886539159.html,1997
11,excellent,,2016-12-20 10:26,"1976 Javlin 85 horse power. Runs great! Just to heavy for my boat. Very fast and strong motor! Looking to trade to smaller motor, 50 - 70 horse power. Or ?",,5910535044,,17,,Javlin,,,$650,power," (Jeffersonville,Ky)",Boat motor. Trade for smaller motor.,https://lexington.craigslist.org/boa/5910535044.html,1976
12,new,"['36.471000', '-83.555200']",2016-12-20 08:32,"ONE OWNER, PURCHASED NEW 8-15-2014 (35,240.00) OVER 5,000.00 IN FACTORY OPTIONS. NEVER SAT IN WATER OVERNIGHT. ALWAYS STORED IN AIR CLIMATE CONTROLLED GARAGE. NOT A BLEMISH ON IT. ALL SAFETY EQUIPMENT, AND FULL BOAT COVER NEVER USED, STILL IN PLASTIC. IF YOU ARE LOOKING FOR A NEW BOAT, YOU OWE IT TO YOUR SELF TO COME AND LOOK AT THIS BOAT AND SAVE OVER 11,000.00  MUST SELL. FIRST 24,000 BUYS IT !! show contact info",55,5903299368,36.471000,20,-83.555200,STINGRAY,"https://maps.google.com/maps/preview/@36.471000,-83.555200,16z",198LX,,power,,FLAWLESS 2014 STINGRAY 198LX WITH ONLY 55 HOURS,https://lexington.craigslist.org/boa/5903299368.html,2014
13,,[],2016-12-20 07:53,Single jetski trailer. Looks like new. Went with 2010 3 seater Yamaha Jetski so assume that is its age. I bought a double trailer.,,5926594265,,10,,Midwest,https://maps.google.com/?q=loc%3A+Shoreside+at+Richmond+lexington+KY+US,,$375,human, (293 Shoreside Dr),Jet Ski Trailer,https://lexington.craigslist.org/boa/5926594265.html,
14,new,"['36.685700', '-85.140700']",2016-12-20 03:29,"2016 Moomba Craz (22ft) Powered by a 400hp 6.2l engine by Indmar. 2,000 pound standard ballast abilities with the Autoflow 2.0 surf system Like new condition inside and out Reach me at show contact info",40,5926502934,36.685700,22,-85.140700,Moomba Craz,"https://maps.google.com/maps/preview/@36.685700,-85.140700,16z",,$56500,power," (Albany, Ky)",2016 Moomba Craz (used),https://lexington.craigslist.org/boa/5926502934.html,2016
15,excellent,"['37.524500', '-84.691200']",2016-12-19 23:29,I have for sale a 1997 Grumman 18 foot aluminum boat.  Had a brand new 50 Horse power Johnson motor installed in 2001.  Prolly only had bout 50 hours on it.  This boat is real wide and deep.   Very good Fishing boat. Had fish finder and foot control trolling motor.  Had live well.  Had few rod  holders.  The bottom of the boat has been rhino lined. Just for extra protection. No leaks. Ready to go fishing.  Everything worked last time out.   Will run it for you if interested.  Asking $4000.00 cash.  If interested you can call or text. show contact info Thanks.,50,5890702557,37.524500,18,-84.691200,Grumman,"https://maps.google.com/maps/preview/@37.524500,-84.691200,16z",,$4000,power, (Stanford),1997 Grumman 18 foot aluminum boat 50 hp  johnson,https://lexington.craigslist.org/boa/5890702557.html,1997
16,good,"['37.748458', '-84.209003']",2016-12-19 21:14,"We're selling our 1995 Sun Tracker 21' Fishing Barge with a 1996 Mercury 50hp 4 stroke motor and a 2011 Yacht Club Trailer. It's all in good to very good condition. The motor starts easily and runs well. The pontoon tubes are in very good condition, it has a very good bimini top and good snap-on playpen cover. There are four swivel fishing seats, a live well, a fish finder, a 55 lb thrust trolling motor, rod holders and lots of lounge seating with storage. Also included are life jackets, fire extinguisher, anchor. The trailer tows well, tires are in near new condition, trailer lighting works well. A little wear on seats and carpet ... no split seams ... top of flip-flop seat is weathered. The pontoon is licensed until 3/1/2017. This is a very nice boat. Needs a good cleaning. Call, text or email. $6800 Firm. Thanks for looking.",,5923520424,37.748458,21,-84.209003,Sun Tracker,"https://maps.google.com/maps/preview/@37.748458,-84.209003,16z",Fishing Barge 21',$6800,power, (Richmond),"'95 SUN TRACKER FISHING BARGE 21', '96 MERC 50 4 STROKE & 2011 TRAILER",https://lexington.craigslist.org/boa/5923520424.html,1996
17,good,"['37.921500', '-83.259600']",2016-12-19 20:32,"1993 playbouy pontoon. 18' . Good shape. Newer carpet, Captain stand. New tires wheels and bearings. 50 hp force needs a coil. Don't have time to fix. 2500.00 firm. Come get it.",,5926245911,37.921500,18,-83.259600,,"https://maps.google.com/maps/preview/@37.921500,-83.259600,16z",,$2500,power, (West liberty),18' pontoon,https://lexington.craigslist.org/boa/5926245911.html,
18,,"['38.084900', '-83.700800']",2016-12-19 20:21,I have 409 javelin 21 foot by 8 foot with 200hp gt Johnson the boat has min kota 65 in thrust trolling motor 24 volt. 3 new batteries 3 bank on board charger automatic live wells. Also has hot foot 2 fish finders a bunch of storage 2 rod boxes the carpet and seats are in great shape trailer tires are like new ready to hit the water would sell or trade for smaller boat or something else u can call or text show contact info 4000 obo,,5926234645,38.084900,21,-83.700800,,"https://maps.google.com/maps/preview/@38.084900,-83.700800,16z",,$4000,power, (Owingsville ky),1992 409 javelin,https://lexington.craigslist.org/boa/5926234645.html,
19,good,"['39.152400', '-84.596700']",2016-12-19 20:11,"Hi I have a 1998 crownline 266br. Boat has a fuel injected 454 mag with a bravo 3 outdrive. The boat runs great. Just put $3,000 in the engine including bellows, shift cable, wiring for lights updated, plugs and wires, whole outdrive serviced and much more have receipt for all work done.also has a swim platform by swim platform.com. 1500 add on. the Back deck has been recovered with new wood in place also one soft spot under rear seats. Boat has side crosa thru haul exhaust. Also comes with front bow filler cusions. front seats need redone they have tears in them. Radio head unit is new. It is sitting on a 2003 techsun aluminum trailer all bearings were just redone. I know I'm missing things. For more information contact me. Would like to sell asap will accept offers",677,5926223994,39.152400,27,-84.596700,Crownline,"https://maps.google.com/maps/preview/@39.152400,-84.596700,16z",266 bowrider,$12000,power, (Cincinnati),1998 crownline 266br 7.4l,https://lexington.craigslist.org/boa/5926223994.html,1998
