,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.911300', '-86.154200']",2016-12-20 20:43,I HAVE A LOWER UNIT FOR A YAMAHA 150 HP THUR A 200 HP COMPLETE WILL TAKE 750.00 FOR IT ALSO HAVE SS PROP CHOICE OF SIZE WILL ONLY TAKE PHONE CALLS show contact info LEE WILL DELETE WHEN SOLD   WILL NOT RESPOND TO E-MAIL OR TEXTS CALLS ONLY,,5927616272,37.911300,14,-86.154200,,"https://maps.google.com/maps/preview/@37.911300,-86.154200,16z",,$750,power, (EKRON/KY),YAMAHA/PARTS/LOWER UNIT,https://louisville.craigslist.org/boa/5927616272.html,
1,excellent,"['36.685700', '-85.140700']",2016-12-20 18:10,"Powered by a mercruiser 5.0 and just over 300 hours. Located at Denney Marine Albany, Ky Asking $10,500 or best offer Call or text show contact info",300,5918043255,36.685700,20,-85.140700,Mariah,"https://maps.google.com/maps/preview/@36.685700,-85.140700,16z",,$10500,power," (Albany, Ky)",2000 Mariah Shabah z202,https://louisville.craigslist.org/boa/5918043255.html,2000
2,excellent,,2016-12-20 18:08,"Up for sale is my Chris Craft Runabout Open Bow Boat. This boat is in extremely good condition inside and out. It has the 5.0 V8 in it that will give you plenty of power for tubers or skiers. It has a bimini top and a full cover included. Chris Craft makes a very high quality boat. It has a fiberglass floor under the snap in carpet, the seats have plastic frames, not wood. There is no wood, so you will never have to worry about replacing rotten wood. The boat only has 524 hours on it. Buy now and save some money, price will go up in the spring. I have videos of the boat running, or come check it out in person. I can be reached at show contact info with any questions",524,5920378178,,21,,Chris Craft,,,$6800,power," (New Salisbury, IN)",21' Chris Craft,https://louisville.craigslist.org/boa/5920378178.html,1994
3,excellent,[],2016-12-20 14:45,"79 Marinette 37' Double Cabin Fly Bridge Excellent Condition You will not Find A Better Marinette on the lake Perfect Family/Live aboard -Electronics: Trimble chart plotter, fish finder with speed and log, sterio /cd player with 4 speakers, new ship-to-shore w/hailer. -All safety equipment -1 full and 1 half heads -40 Gal. Fresh water, 80 Gal. Waste -Twin 440 Chrysler 330 HP engines rebuilt 1997 250 Hrs. -Onan generator. -2 newer  ""CruiseAir"" Heat and Air conditioning 2002 -New paint complete 2002 -Bottom Sand Blasted and interprotect 2002 -New canvas complete 2010 -New exterior carpet 2013 -New icemaker 2014 -New refrigerator 2014 -New Corian countertops 2004 -New mattresses 2004 -Total engine tune-up May 2011 -New Bridge seats 2003 -Davits with Walker Bay Dinghy and Motor -New furnishings 2013 - 1.2 Miles per Gallon Many more upgrades and extras.",1400,5927172909,,37,,Marinette,https://maps.google.com/?q=loc%3A+Waater+Street+Sandusky+KY+US,DCFB,$32900,power, (Sandusky Ohio),37 Marinette Double Cabin,https://louisville.craigslist.org/boa/5927172909.html,1979
4,good,"['36.627396', '-85.208081']",2016-12-20 14:28,"This is a beautiful houseboat and it is easy to drive, tie-up, and dock. It is sharp looking at the marina and out on the lake. Currently located at Wolf River Marina on beautiful Dale Hollow Lake just outside of Albany, Kentucky. G dock -- slip 19. Slip rental paid through March 31, 2017! Off-season price reduced to $ 89,500! Our boat has the following features: 3 -- bedrooms (2 queens, 1 full), queen sleeper sofa -- sleeps 8, 3.0 Mercrusier I/O engine, 12.5 KW Kohler Generator, 2500 watt inverter with remote controls at helm, 4 new inverter batteries 2014, 2 -- 100 gal fuel tanks, 2 -- 70 gal fresh water tanks, 2 -- 70 gal waste tanks, 1.5 bathrooms, davit on roof, washer & dryer, 2 -- Marine Radios, flybridge with controls, roller shades on front deck, FM/AM Radio/CD at helm with 6 cabin speakers and controls, amplifier and 6 speakers on roof, 2 -- Rooftop air conditioners with optional heat strips, gas central air furnace, 3 -- ceiling fans, gas & electric refrigerator, new U Line ice maker in galley 2015, gas oven and range with 4 burners, new outdoor grill 2014, whole house water filter 2014, 10 gal electric hot water heater 2014, shore tie up ropes, aluminum boarding ramp and brackets, 3' swim platform with ladder, new canvas 2014, new party top 2014, new aluminum gates 2013, new fly bridge top 2014, new gel coat 2014, new indoor carpet 2013, new outdoor carpet 2012, raised roof rails 6"" 2014, rebuilt kitchen faucet 2014, new HVAC shrouds 2014, rebuilt steering wheel seals and outdrive steering piston 2014/2015, replaced hoses and regulator on propane bottles 2014, replaced generator switch at helm 2014, new outdrive relays and remote Trim & Tilt switch 2013, new fuel tank sending units 2013, new generator plug wires 2013, new davit switch 2013, and new davit cable 2012. All equipment manuals and boat owner's instructions included.",900,5927147055,36.627396,65,-85.208081,Stardust Cruiser,"https://maps.google.com/maps/preview/@36.627396,-85.208081,16z",16' x 65' Aluminum Hull,$89500,power, (Dale Hollow Lake),1990 Stardust Cruiser 16' x 65' Aluminum Houseboat House Boat,https://louisville.craigslist.org/boa/5927147055.html,1990
5,excellent,,2016-12-20 13:30,2 EZ dock corner gussets.  Purchased new in December 2013.  Sold only as a pair.  Available now. Polyethylene corner gusset adds deck surface and additional stability to dock fingers when needed.,,5921537522,,3,,,,,$400,human, (Louisville),EZ Dock Corner Gussets,https://louisville.craigslist.org/boa/5921537522.html,
6,excellent,"['37.565800', '-85.266800']",2016-12-20 12:12,"For Sale is 1990 Sea Nymph, 16ft aluminum fishing boat, 40hp Evinrude VRO (Variable Oil Injection), in great condition, Nice trailer with good tires. This fishing rig belongs to my father in law (he has owned it since 1992) however he hasn't used it much in recent years. Motor runs great with oil injection and tilt/trim with remote tilt/trim. The boat has many accessories including, depth/fish finder, downrigger, fishing pole holders everywhere, foot controlled trolling motor, Seats 4 with 2 pedestal fishing seats, anchor, bimini top so can get out of the sun. This is a really nice aluminum hull fishing boat that has been stored inside most all it's life. The boat is located in Lebanon KY right now. ""Caution: This boat is guilty of hauling in some very large Muskie and a boat load of Crappie out of Green River Lake"" Call or Text: show contact info",,5895241929,37.565800,16,-85.266800,Sea Nymph (Lowe),"https://maps.google.com/maps/preview/@37.565800,-85.266800,16z",Sea Nymph FM160,$3750,power, (Lebanon KY),"Sea Nymph (Lowe) Aluminum Fishing Boat, 40hp Evinrude & Trailer",https://louisville.craigslist.org/boa/5895241929.html,1990
7,,"['38.004500', '-85.688800']",2016-12-20 11:19,"We do standard carports, triple wide, garage, combo unit and barn style. We have many different styles and colors to choose from. 14 Gauge and 12 Gauge legs. Choose from Regular style, Boxed eve and Vertical roof. You can add on anything you want to these carport's. Plus Tax Brian show contact info Come to our office to look at our amazing carports. If I don't answer please leave a message. do NOT contact me with unsolicited services or o",,5900662542,38.004500,12,-85.688800,,"https://maps.google.com/maps/preview/@38.004500,-85.688800,16z",,,power,,BOAT COVERS,https://louisville.craigslist.org/boa/5900662542.html,
8,excellent,,2016-12-20 10:38,"2012 -70hp, 4Cylinder, EFI, Yamaha Outboard With Thruster prop. Has Micro Comand Shift System, Hydraulic Steering 2-55Gal Fuel Tanks,7.5 KW Kohler Genset Atlantis Toilet With Purisan Treatment System, 80 Gal Holding Tank. 12-Volt or 120 Volt or Propane Lighting. New Refrigerator 120 Volt or Propane, Stove/Oven Propane. 55Gal Fresh water System,Preasurized Lake Water System. Rear Master Cabin, One set of Over/Under Cuddy Cabins Fly Bridge on Top Stero,TV, 60Amp Charger,20-Gal Hot Water Heater. Remote Spot Light, Landing Lights. CALL  Joe show contact info $75000.00  OBO Video located at this Link. http://www.youtube.com/playlist?list=PL8yiGOFyHgPuuEV7Q3JC6LkcQAHssk4pc",50,5926773338,,60,,JamesTowner,,60x16,$75000,power, ((Dale Hollow Lake),House Boat 1990 60x16 Jamestowner,https://louisville.craigslist.org/boa/5926773338.html,1990
9,good,[],2016-12-20 10:17,"1997 24ft Crownline Bowrider. 7.4L Mercruiser Bravo 3. Heritage Tandem Axle Trailer. Bimini Top, Bow and Cockpit Cover, Upgraded Stereo, Nice Shape. $12,900. Please call show contact info",,5920564743,,24,,Crownline,https://maps.google.com/?q=loc%3A+%32%39%32%39+River+Road+Louisville+KY+US,240 BR,$12900,power, (Louisville),1997 Crownline 240 BR,https://louisville.craigslist.org/boa/5920564743.html,1997
10,good,"['37.969102', '-86.141052']",2016-12-20 09:47,"2007 tracker grizzly 1860SC all welded with 2005 mercury 75hp optimax DFI motor, 38lb minn kota trolling motor, heavy duty trailer. removeable biminin top. Cabelas northern flight blind with wind blocker material. blind is hanging in garage not pictured. Be ready for this duck season, fishing or just playing on the river. $8,450 CALL OR TEXT show contact info",300,5896850011,37.969102,18,-86.141052,tracker,"https://maps.google.com/maps/preview/@37.969102,-86.141052,16z",1860 grizzly,$8450,power, (Brandenburg),1860 tracker grizzly 2007,https://louisville.craigslist.org/boa/5896850011.html,2007
