,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['38.673400', '-87.509800']",2016-12-19 10:40,"2012 Mercury Seadoo GTX155 bought brand new (1 owner). It has never sat outside, I've always stored it. Big 4 Cycle & Marine in Evansville, IN has serviced it annually. Low mileage as it was only used every other weekends when my kids were there in the summer. Equipped with low speed / high speed keys. It comes with the shown trailer and cover. I am only selling it as my kids are getting older and I don't want it to just sit in storage not being used. Price is FIRM.",,5925459647,38.673400,12,-87.509800,Mercury,"https://maps.google.com/maps/preview/@38.673400,-87.509800,16z",GTX155,$8250,power,,Used 2012 Seadoo GTX155,https://owensboro.craigslist.org/boa/5925459647.html,2012
1,excellent,[],2016-12-17 09:02,"Fully Restored 1957 Chris-Craft Cavalier Restored in 1990's All Wood great shape 305 GM Marine Motor 2 Brass Props Boat Cover New Trailer tires & rims Sell or Trade: $3450 Will accept even or partial trade up or down, if interested, text me and I will call you back.",,5885876380,,15,,Chris-Craft,https://maps.google.com/?q=loc%3A+Baker+Road+at+Highway+%32%36%31+Boonville+KY+US,Cavalier,$3450,power,,1957 Chris-Craft Cavalier - Sell or Trade - $3450 (Boonville Indiana),https://owensboro.craigslist.org/boa/5885876380.html,1957
2,fair,"['37.755900', '-87.080300']",2016-12-16 13:08,show contact info nice boat new vinyl on seats new deck new carpet just been in garage mercruiser 140 needs mount redone motor is out sitting in boat needs put back on after mount fiberglassed in new DVD player cd boat radio CB a lot of new parts alternator water pump etc will be a good boat once fixed have title to boat and trailer new custom boat cover just out of box has canopy but needs redone,,5921989818,37.755900,20,-87.080300,,"https://maps.google.com/maps/preview/@37.755900,-87.080300,16z",,$800,power,,20 ft deck boat rinker 1985 mercruiser 140,https://owensboro.craigslist.org/boa/5921989818.html,
3,fair,"['37.755900', '-87.080300']",2016-12-15 09:53,show contact info nice boat new vinyl on seats new deck new carpet just been in garage mercruiser 140 needs mount redone motor is out sitting in boat needs put back on after mount fiberglassed in new DVD player cd boat radio CB a lot of new parts alternator water pump etc will be a good boat once fixed have title to boat and trailer new custom boat cover just out of box has canopy but needs redone,,5894500471,37.755900,20,-87.080300,,"https://maps.google.com/maps/preview/@37.755900,-87.080300,16z",,$800,power,,20 ft deck boat rinker 1986 mercruiser 140,https://owensboro.craigslist.org/boa/5894500471.html,
4,,,2016-12-14 22:49,"1983 Lowe Pontoon with 1999 50hp Johnson motor. 24' with captains chair, 3 benches and table. Front half is open for personal customization. Runs good. Kept in shed. No tears in the ORIGINAL seats. Carpet and floor in great shape no rot. Comes with trailer LED lights and new tires. Runs and drives great. NO REVERSE",,5919974790,,24,,Lowe,,,$3800,power, (Owensboro),Lowe pontoon boat,https://owensboro.craigslist.org/boa/5919974790.html,1983
5,,"['37.343000', '-87.233000']",2016-12-14 12:12,24 ft pontoon for sale  it has 70 hp johnson  I built it for room for the kidos to play and fish. It works well to bow fish out of. Motor runs great  re floored and new carpet last year  trailer was re built. New wheel bearings wheels and tires. Moved and have no room for it now. Asking 2000,,5919198701,37.343000,24,-87.233000,,"https://maps.google.com/maps/preview/@37.343000,-87.233000,16z",,$2000,power, (Muhlenberg),24 ft pontoon,https://owensboro.craigslist.org/boa/5919198701.html,
6,excellent,"['40.762600', '-86.755000']",2016-12-13 18:47,2008 G3 Eagle 180 115 yamaha 4 stroke Garmin Lcr on front Humminbird 386 Ci with gps Live well & bait well Built in  cooler Spare tire Led head lights Minnkota 55# foot controlled rolling motor Road tarp Bimini top 3 bank charger Great running boat.,,5918380845,40.762600,18,-86.755000,G3,"https://maps.google.com/maps/preview/@40.762600,-86.755000,16z",Eagle 180,$11500,power," (Monticello,IN.)",2008 G3 Eagle 180,https://owensboro.craigslist.org/boa/5918380845.html,2008
7,excellent,,2016-12-12 21:00,"I have 2003 gekko wakeboard boat has 350 mag motor 2 water tanks in plate form, Jbl speakers Kenwood deck interior 95 percent good call or text show contact info",,5917045110,,22,,,,,$10000,power,,2003 gekko wake board boat,https://owensboro.craigslist.org/boa/5917045110.html,2003
8,,[],2016-12-12 16:35,"New 2016 192 Landau Alure Pontoon Boat. Bear Trailer, Vinyl floor, 50 hp Suzuki outboard. The boat is located at Flash's Marine in Troy IN. Pictures are or a blue boat, we currently only have Black in stock.  Please call us with any questions you may have. show contact info",,5916770291,,19,,,https://maps.google.com/?q=loc%3A+%36%32%35+main+troy+KY+US,,$18500,power," (Troy, IN)",2017 Landau 192 Alure Pontoon Boat,https://owensboro.craigslist.org/boa/5916770291.html,
9,,,2016-12-09 08:49,91 celebrity cuddy boat. 23'  2nd owner. 5.7 350 mag mercruiser. Mercruiser outdrive. 400 hrs. A1 shape. Always keep inside. Real solid boat. Seats 10. Must see to appreciate. $8000.00 obo motivated seller. Call show contact info for more info,,5912054821,,23,,,,,$8000,power, (Owensboro),1991 celebrity cuddy cabin,https://owensboro.craigslist.org/boa/5912054821.html,
10,fair,,2016-12-08 19:57,I have a 1979 phantom boat. Needs a cylanoid for the motor. Other then that and a good clean up would make a nice boat for someone. Just don't have time for it. 800 obo make a good Christmas present.,,5911609036,,14,,Phantom,,,$800,human,,Phantom,https://owensboro.craigslist.org/boa/5911609036.html,1979
11,good,"['37.850300', '-86.763800']",2016-12-08 17:34,I have a 14 ft boat has a motor and trolling motor. It needs a battery and gas tank. I also have the title. $350 obo. show contact info,,5911454582,37.850300,14,-86.763800,,"https://maps.google.com/maps/preview/@37.850300,-86.763800,16z",,$350,power, (Hawesville),boat,https://owensboro.craigslist.org/boa/5911454582.html,
12,,,2016-12-08 08:17,"party barge with many extras, 70hp johnson, runs great no issues. Tracker marine trailer included. Trades considered ATV, UTV, Sidexside NO BIKES",,5910601935,,24,,,,,$6000,power, (owensboro),1989 24ft party barge,https://owensboro.craigslist.org/boa/5910601935.html,
