,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,[],2016-12-20 19:41,"Heavy-Duty  Canvas Boat Cover 24 feet (may also cover swim platform) 106"" beam full elastic band around Plus loops for tie down. Very light use!!",,5927613718,,22,,,https://maps.google.com/?q=loc%3A+%32%32%37+Howard+rd+Eddyville+KY+US,,$150,human, (Eddyville),Heavy-Duty  Canvas Boat Cover,https://westky.craigslist.org/boa/5927613718.html,
1,,"['37.725700', '-88.929400']",2016-12-20 15:43,"Wanted boat or jet ski.  Text me the year, make, model, hours and pics of your watercraft.  Plus the amount you are asking.  Not paying retail prices.  Will not respond to just a picture. show contact info",,5920924566,37.725700,21,-88.929400,,"https://maps.google.com/maps/preview/@37.725700,-88.929400,16z",,$1,power, (Marion IL),**Wanted** boat or jet ski,https://westky.craigslist.org/boa/5920924566.html,
2,good,"['37.827400', '-87.563200']",2016-12-20 12:24,1860 All Weld Jon boat with a 2008 newly Re-built 90 HP Mercury outboard. Motor has less than 20 hours on it since its been rebuilt. Runs great. Boat also has LED front light and a min Kota trolling motor. Boat will come with a banded boat and shore blind which works great for setting up on the lake or river. Only reason for Selling is  to buy a new boat with surface drive.,,5927043070,37.827400,18,-87.563200,,"https://maps.google.com/maps/preview/@37.827400,-87.563200,16z",,$10000,power,,1860 Jon Boat With 90 HP Mercury,https://westky.craigslist.org/boa/5927043070.html,
3,,"['36.450285', '-88.060226']",2016-12-19 16:17,1993 caravell 170 fish n ski Has hook up for trolling motor at bow New everything Interior Carpet Floor Complete rebuild omc3.0l To much to list Call or text 4500.00 obo 731-three 6 three- one 0 nine one,,5926021694,36.450285,17,-88.060226,,"https://maps.google.com/maps/preview/@36.450285,-88.060226,16z",,$4500,power, (Paris landing),Restored caravell 170,https://westky.craigslist.org/boa/5926021694.html,
4,excellent,"['36.802000', '-87.828600']",2016-12-19 15:04,"23 ft, Yamaha 225 hp, 4 stroke, has bimini top Please give me a call for more information",,5910736799,36.802000,23,-87.828600,Hurricane,"https://maps.google.com/maps/preview/@36.802000,-87.828600,16z",,$19000,power,,2002 Hurricane,https://westky.craigslist.org/boa/5910736799.html,
5,,,2016-12-19 14:55,"party barge with many extras, 70hp johnson, runs great no issues. $5500 OBO Tracker marine trailer included. Trades considered ATV, UTV, Sidexside NO BIKES",,5898900468,,24,,,,,$5500,power,,1989 24ft party barge,https://westky.craigslist.org/boa/5898900468.html,
6,excellent,"['36.880600', '-88.354800']",2016-12-19 14:19,I have a 14/40 Jon boat with a 20 hp Johnson runs great and pushes the boat very well it also has a custom built duck blind that is easily removable for fishing in the summer time.,,5925848045,36.880600,14,-88.354800,,"https://maps.google.com/maps/preview/@36.880600,-88.354800,16z",,$1500,power, (Benton ky),14/40 Jon boat with 20 hp johnson,https://westky.craigslist.org/boa/5925848045.html,
7,excellent,"['37.555262', '-87.982854']",2016-12-19 14:15,great condition looking to upgrade,25,5925842401,37.555262,11,-87.982854,seadoo,"https://maps.google.com/maps/preview/@37.555262,-87.982854,16z",gti 155,$8000,power, (Sturgis),sea-doo gti 155,https://westky.craigslist.org/boa/5925842401.html,2013
8,excellent,,2016-12-19 13:55,"FOR SALE IS A PAIR OF 2015 YAMAHA FZS SVHO SUPERCHARGED WAVERUNNERS THIS PACKAGE WAS PURCHASED NEW LAST YEAR FOR OVER $31,000 THE SKIS ARE IN EXCELLENT CONDITION AND RUN PREFECT ! JUST LOOK AT HOW NICE IT IS IN ALL THE PICTURES !! ONLY 43 & 49 ORIGINAL HOURS ON EACH THEY COME WITH A FULLY TRANSFERABLE YAMAHA EXTENDED WARRANTY UNTIL 3/2020 BOTH SKIS SHINE LIKE NEW ONLY ADULT DRIVEN THEY JUST HAD THEIR 50 HOUR SERVICE PROFESSIONALLY  PREFORMED THEREFORE ALL MAINTENANCE IS UP TO DATE SO THEY ARE 100% WATER READY EVERYTHING ON THE SKIS WORKS EXACTLY AS IT SHOULD THEY BOTH HAVE 235 HP SUPERCHARGED YAMAHA SVHO 4-STROKE ENGINES WITH A TOP SPEED OF 70 MPH BOTH SKIS HAVE MANUAL TRIM, REAR BOARDING LADDER AND REVERSE. THIS COMES WITH A NICE ALL ALUMINUM TRAILER WITH BRAND NEW SPARE THE SKIS ALSO COME WITH FOB KEY TO PUT THEM IN LEARNING AND FAST MODES CLEAR TITLES IN HAND FOR BOTH SKIS TRAILER WILL BE SOLD WITH A BILL OF SALE ONLY THE SKIS ARE LOCATED IN KUTTAWA KY  42055 THANKS FOR LOOKING PLEASE CALL show contact info WITH ANY QUESTIONS",43,5925673903,,11,,YAMAHA,,FZS,$19750,power, (LAKE BARKLEY),PAIR OF 2015 YAMAHA SVHO FZS SUPERCHARGED WAVERUNNERS,https://westky.craigslist.org/boa/5925673903.html,2015
9,good,"['37.325600', '-87.495300']",2016-12-19 12:49,"1989 Bass Hawk built by Tony Story in Olive Hill Ky, one of his many designs such as Champion, Cobra and Legend, That this boat is still in great shape is a testimate to Tonys craftmanship and the comitment of  previous owners.... These hulls are said to be controllable well into 80 MPH and very stable in rough water.... Seating for 4 or 5, 3 live wells, 2 fish finders, 1 24 volt Minn Kota trolling motor. 200 HP Suzuki oil injection was test ran at dealer. Compression was checked and came in at 123 to 128, that out of the way and worth keeping a new water pump was installed, the steering cables were replaced and 5 new seats... Not new but not bad for a 28 year old boat. The transom and floor have had work in the past and checked out good .... Enjoy fishing a large decked platform at an affordable price... Call or Text Larry 2seven0- 5eight4-0304.....",,5925581525,37.325600,21,-87.495300,Basshawk,"https://maps.google.com/maps/preview/@37.325600,-87.495300,16z",Hawk Super 21,$5900,power, (Madisonville),21 foot Bass Hawk,https://westky.craigslist.org/boa/5925581525.html,1989
