,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 16:09,Very strong motor.,,5897232072,,6,,Mercury,,115,$1400,power, (Alexandria),JOHNSON 115 Horse outboard motor with controls. Runs great,https://cenla.craigslist.org/boa/5897232072.html,
1,,,2016-12-20 13:15,"2006 Evinrude E TEC 115 hp motor very low hours on a 18' Cajun Fish & Ski  runs excellent excellent gas mileage all tires are in excellent shape boat comes with brand-new boat cover electronics comes with the boat ski pole trolling motor transom saver boat is lake ready and and is newly registered title in hand everything runs and works great 6,499.00 O.B.O",,5914740101,,18,,,,,,power,,"2006 Evinrude E Tec On A 18' Cajun Fish & Ski 6,499.00 O.B.O",https://cenla.craigslist.org/boa/5914740101.html,
2,,,2016-12-19 22:07,1989 Sprint 255 Bassboat Yamaha 40hp Outboard 30lb Motorguide Trolling Motor Runs Great,,5887213813,,15,,,,,$3295,power, (LEESVILLE),15' Sprint 255 Bassboat w/ 40hp Yamaha,https://cenla.craigslist.org/boa/5887213813.html,
3,,"['31.177370', '-91.962873']",2016-12-19 05:07,"2010 Air Nautique. Exterior and Interior is in great shape. Upholstery looks brand new, No rips, tears or stains in upholstery.",,5901810510,31.177370,23,-91.962873,,"https://maps.google.com/maps/preview/@31.177370,-91.962873,16z",,$22500,power,,Great Shape Air Nautique,https://cenla.craigslist.org/boa/5901810510.html,
4,excellent,,2016-12-17 17:16,"EXCELLENT CONDITION 2003 YEAR MODEL INBOARD 4.3 MERCRUISER ENGINE 190 HP HAS A BOARDING PLANK ON BACK WITH LADDER. MAKES IT VERY EASY TO GET IN OR OUT OF THE BOAT. GREAT FOR MAKING TUBING OR SKING OR WAKEBOARDING MORE EASILY TO GET READY TO GET INTO THE WATER. COST $1,200 TO ADD THIS TO THE BOAT. AUTOMATIC TRIM WITH GAUGE HAS COVER ALUMINIUM TRAILOR AND ALL LIGHTS WORK STAINLESS STEEL PROP ALL SEATS IN EXCELLENT CONDITION. THIS BOAT HAS BEEN GARAGED KEEPED AND TOP COVER ON IT BIKINI TOP INCLUDED STORAGE UNDER FRONT AND BACK SEATS. STORAGE IN THE FLOOR THAT CAN HANDLE FISHING RODS AND SKI's HAS REARVIEW MIRROR BRAND NEW EXTRA PROP FRONT SEAT CAN BE USED AS A ICE CHEST AND HAS A DRAIN PLUS IN IT SO YOU DO NOT EVER HAVE TO EMPTY THE ICE WILL GO 50 MPH TOP SPEED",328,5913020753,,18,,CHAPERRAL,,,$11395,power, (HATTIESBURG),2003 CHAPERRAL BOAT/EXCELLENT CONDITION,https://cenla.craigslist.org/boa/5913020753.html,2003
5,,"['32.216287', '-95.468273']",2016-12-17 11:43,"Put this under the tree!  20' Suncruiser Trinidad 200 pontoon/barge by Lowe. 50hp Evinrude 4 stroke fuel injected (no more carb jobs). Both are 2001 models. Cruise and fish model. Front fishing chairs can be positioned in front of the gate for fishing or behind the gate around the table for dining. Table can be located in front or rear of boat. All new factory furniture with warranty. New stereo. Rear entry from the water. All in great condition. Boat and motor, $7900. Matching 2001 trailer, $1000. Entire rig, $8900. Kept in covered slip on Lake Palestine at Villages marina (slip can be included). If you are serious, let's take a ride! Call, email or text. show contact info We live in the Villages, 3 min from marina.",,5903757871,32.216287,20,-95.468273,,"https://maps.google.com/maps/preview/@32.216287,-95.468273,16z",,$7900,power," (Tyler, Tx)","Christmas!  20' Suncruiser Trinidad pontoon, Four stroke Evinrude",https://cenla.craigslist.org/boa/5903757871.html,
6,good,,2016-12-16 18:49,Air powered boat for sale. Dont know too much as im selling for a friend. Does have a continental airplane engine that does run. Can send video upon request. 4500. show contact info,,5922428919,,10,,,,,$4500,power, (hernando),airboat,https://cenla.craigslist.org/boa/5922428919.html,
7,excellent,"['31.125600', '-93.173600']",2016-12-11 21:49,15ft fiberglass bassboat 85hp evinrude new 45lb thrust foot minkota trolling motor live wells must see 2500$,,5915655506,31.125600,15,-93.173600,hydracraft,"https://maps.google.com/maps/preview/@31.125600,-93.173600,16z",,$2500,power, (leesville),Hydracraft bassboat,https://cenla.craigslist.org/boa/5915655506.html,1987
8,,"['31.177370', '-91.962873']",2016-12-09 16:30,"Looking to sale are trade camp ,almost 1acre of land on water for houseboat, camp is valued at bout 50-60,0000 located on spring bayou, marksville Louisiana",,5912797007,31.177370,30,-91.962873,,"https://maps.google.com/maps/preview/@31.177370,-91.962873,16z",,,human,,Camp trade for houseboat,https://cenla.craigslist.org/boa/5912797007.html,
9,,"['31.177370', '-91.962873']",2016-12-07 09:23,"18.5"" Cajun Bay Boat with a 120Hp Johnson All aluminum trailer I have papers/title for boat and trailer New ice chest/seat cushion by steering wheel Troll motor Call to make a deal",,5909236457,31.177370,18,-91.962873,,"https://maps.google.com/maps/preview/@31.177370,-91.962873,16z",,$6000,power,,Cajun Bay Boat,https://cenla.craigslist.org/boa/5909236457.html,
10,excellent,"['31.125600', '-93.173600']",2016-12-06 20:57,"Perfect fishing platform, new this Kayak is $750, plus $80 for seats, I put new seats in it, new handles, new waterproof compartment, great boat for $400",,5908769742,31.125600,12,-93.173600,Emotion,"https://maps.google.com/maps/preview/@31.125600,-93.173600,16z",Tandemonium,$400,human, (Leesville),12' Tandem Kayak,https://cenla.craigslist.org/boa/5908769742.html,
11,,"['32.753400', '-92.318000']",2016-12-05 09:46,"We buy boats, motors, trailers running or not. Get rid of that yard ornament. show contact info",,5906126161,32.753400,70,-92.318000,,"https://maps.google.com/maps/preview/@32.753400,-92.318000,16z",,,power,,we buy boats and trailers,https://cenla.craigslist.org/boa/5906126161.html,
12,,"['31.320174', '-92.352803']",2016-12-05 08:14,"Layout boat for sale. I have Boat, blind, and 25cc weedeater motor. The motor was just installed so I don't know how fast. But according to reviews I've read it's faster than a trolling Motor just light cause there is no need for a battery. All papers,tags and numbers are up to date. Cash only no trades. Text for more details show contact info",,5906072290,31.320174,8,-92.352803,,"https://maps.google.com/maps/preview/@31.320174,-92.352803,16z",,$750,power, (Pineville),Beavertail Final Attack Layout Boat,https://cenla.craigslist.org/boa/5906072290.html,
13,,"['30.475023', '-90.542086']",2016-12-04 19:38,"Excellent condition,boat has the 4.3 v-6,don't need help selling so scammers move on.",,5878270786,30.475023,19,-90.542086,,"https://maps.google.com/maps/preview/@30.475023,-90.542086,16z",,$12500,power, (Hammond),2007 Tahoe Q4,https://cenla.craigslist.org/boa/5878270786.html,
14,,"['31.320174', '-92.352803']",2016-12-04 10:36,1997 four winns 190 horizon.  V8 volvo with cobra outdrive.  Most new interior.  Just needs a cleaning.  Runs good.  Selling due to lack of use.  2500 firm......  have all the papers.  Located in pineville.,,5892854412,31.320174,19,-92.352803,four winns,"https://maps.google.com/maps/preview/@31.320174,-92.352803,16z",190 horizon,$2500,power, (pineville),1997 four winns ski boat,https://cenla.craigslist.org/boa/5892854412.html,1997
15,new,,2016-12-03 14:14,"This is a brand new 4 stroke motor with only 11 hours. Super quiet,fast and very fuel efficient. The only reason I'm selling it is bcuz im putting a hopped up 40 merc 2 stroke on the back of my boat. Price is somewhat nego. Ask for Nate 3 three 7-8 four 2- four 4 4 Seven",11,5903991947,,20,,Tohatsu,,4 stroke,$5500,power, (iowa),2016 Tohatsu outboard,https://cenla.craigslist.org/boa/5903991947.html,2016
16,,"['30.025500', '-92.533800']",2016-12-02 19:28,"ISO used 14ft-16ft aluminum crawfish skiff. 40-42"" bottom, 21-22"" sides. May be interested in longer boat to cut down to size. Just the boat, no motor or trailer.Located in Gueydan",,5902986423,30.025500,15,-92.533800,,"https://maps.google.com/maps/preview/@30.025500,-92.533800,16z",,,power,,ISO aluminum crawfish skiff,https://cenla.craigslist.org/boa/5902986423.html,
17,,,2016-11-30 12:57,Super clean boat. Has bathroom. Speakers have mood changing lighting. Very well laid out seating with rear sun bed. Lots of storage. Flip up drivers seat.; This boat is perfect for a normal day on the water or getting in water sports with the family. Feel free to ask any questions you might have.,,5884009568,,28,,,,,$76900,power,,2011 Sea Ray 270 SLX-boat-bowrider,https://cenla.craigslist.org/bod/5884009568.html,
