,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['27.634900', '-97.310300']",2016-12-20 13:24,"2005 Glacier Bay.  26' Canyon Runner, Twin 150 Yamaha 4 Stroke, 400 hours.  New Garmin.  Includes custom trailer.",400,5927140713,27.634900,26,-97.310300,Glacier  Bay,"https://maps.google.com/maps/preview/@27.634900,-97.310300,16z",Canyon Runner,$48000,power, (North Padre Island),2005 Glacier Bay Boat,https://houma.craigslist.org/boa/5927140713.html,2005
1,,,2016-12-20 13:15,"2006 Evinrude E TEC 115 hp motor very low hours on a 18' Cajun Fish & Ski  runs excellent excellent gas mileage all tires are in excellent shape boat comes with brand-new boat cover electronics comes with the boat ski pole trolling motor transom saver boat is lake ready and and is newly registered title in hand everything runs and works great 6,499.00 O.B.O",,5914726805,,18,,,,,,power,,"2006 Evinrude E Tec On A 18' Cajun Fish & Ski 6,499.00 O.B.O",https://houma.craigslist.org/boa/5914726805.html,
2,,"['29.560100', '-90.691700']",2016-12-19 16:23,19' SeaBird W/Trailer Have Papers  $700.00 show contact info OBO,,5917338765,29.560100,19,-90.691700,,"https://maps.google.com/maps/preview/@29.560100,-90.691700,16z",,$700,human, (Houma),Project Boat,https://houma.craigslist.org/boa/5917338765.html,
3,good,"['29.523200', '-90.339300']",2016-12-19 14:10,I have 20 foot double rig ready to go pick up by hand 2/16 foot nets boat motor and trailer,,5925810731,29.523200,20,-90.339300,Galaxy,"https://maps.google.com/maps/preview/@29.523200,-90.339300,16z",,,power,,20 foot boat double rig,https://houma.craigslist.org/boa/5925810731.html,1976
4,,"['29.834469', '-90.305096']",2016-12-19 11:15,14ft Flat Boat with 14hp Honda has electric and pull start runs excellent also comes with brand new Minn Kota 40# Trolling Motor and Battery I have papers on boat and trailer only reason selling been out of work sick and need the cash NO TRADES show contact info,,5925485731,29.834469,14,-90.305096,,"https://maps.google.com/maps/preview/@29.834469,-90.305096,16z",,$2300,power, (Luling),14ft Flat Boat with Honda Go Devil,https://houma.craigslist.org/boa/5925485731.html,
5,,"['29.389432', '-90.512382']",2016-12-19 05:43,S/S Prop foe 25 Suzuki 4-Stroke near new $150.00  OBO,,5893265453,29.389432,0,-90.512382,,"https://maps.google.com/maps/preview/@29.389432,-90.512382,16z",,$150,power, (Montegut),25 Suzuki   S/S  Prop,https://houma.craigslist.org/boa/5893265453.html,
6,excellent,,2016-12-18 08:56,"Sell or trade for 8hp - 13hp mud motor or 4wheeler. Boat is a 1991 river city""all welded"". 6 HP Johnson 2 stroke with recent tune up and water pump. Runs good. Float boxes and camouflage paint. No dents or dings.",,5899392772,,12,,River city,,12-30,$950,power, (Molino),"12'x30"" aluminum boat.",https://houma.craigslist.org/boa/5899392772.html,1991
7,excellent,,2016-12-17 22:53,1988 aluminum boat 16x7ft 2004 mercury 90 HP salt water ready to go any were trolling motor plenty storage boxes all over in the boat only reason I'm saying it bc l have baby in the way,,5923879422,,16,,aluminum,,hdjfjeufjdk,$5000,power, (Morgan city),aluminum boat,https://houma.craigslist.org/boa/5923879422.html,1988
8,,,2016-12-17 18:42,** REDUCED** 9500**  Boat is well built all new nets with a spear net new double cat head new winches new flood lights new wiring comes with gps with the extra card 2010 90 4 stroke got about 170 hours on it new oil new fuel filter and Racor filter and alot more everything can come off boat after  shrimp season is done  the bad forward gear in foot is bad other than that motor runs strong   any more info needed message me eveything brand new,,5923700397,,23,,,,,,power,,23 foot shrimp boat,https://houma.craigslist.org/boa/5923700397.html,
9,good,"['29.286513', '-90.183147']",2016-12-17 18:25,Two yamaha waverunners with double trailer for sale. Paperwork on all three. Email for pics and info.,150,5923685842,29.286513,12,-90.183147,Yamaha,"https://maps.google.com/maps/preview/@29.286513,-90.183147,16z",,$8500,power, (Golden meadow),Two yamaha waverunners!!!,https://houma.craigslist.org/boa/5923685842.html,2006
