,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['27.262500', '-80.379300']",2016-12-20 19:06,"$35000 just invested, have to sacrifice must sell. 2001 Scout 192 Sportfish Center Console, 19' Length, 8'2"" Beam, 54 Gal fuel capacity. Boat just finished being fully restored, better than new. All new wiring and all new top quality accessories from end to end. All new Yamaha rigging wiring, gauges, key switch, binnacle, SS prop. All new wiring, battery and panel switches. Minn Kota 80 lbs. thrust with wireless remote and GPS, Power Pole Blade, Atlas 6"" Jack Plate, Compass, Lowrance HDS-7 GPS/depth/fish finder, Cobra VHF Radio and antenna, Custom built massive tackle locker, JL Audio Marine Amps, Speakers and Subwoofer, 2 twin battery chargers, 4 new batteries, Shurflow washdown pump and deck hose, Custom rod holders for 10 around cc, Large fish box with air shocks, Engle cooler with new seat and back cushion, new bench seat and foot cushion, new sun bathing deck cushions, High bench seat with rocket launchers, 3 large aerated lighted baitwells, swim ladder, Bennett trim tabs, portable sun umbrella, Center console freshly painted with new windsheild. 2004 Yamaha 150 4 Stroke Outboard new power head, runs great. New Trailer. 5*6*1*3*3*9*7*5*4*4",3,5913659967,27.262500,19,-80.379300,Scout/Yamaha,"https://maps.google.com/maps/preview/@27.262500,-80.379300,16z",192 Sportfish,$18900,power, (Port St. Lucie),2001 Scout 192 Sportfish Center Console - Completely Restored,https://lafayette.craigslist.org/boa/5913659967.html,2001
1,excellent,[],2016-12-20 16:08,1998 20.5ft Hydrasport Bass Boat powered by a 225 Evinrude with a 2010 all aluminum tandum axile trailer. Always garage kept and in excellent condition. Package also includes: jack plate 70lb motor guide trolling motor Garmin 5 GPS/Sonar 3 new batteries new 2 bank on board charger all new tires,,5927340445,,20,,Hydrasport,https://maps.google.com/?q=loc%3A+%32%32%30+Canino+Rd+Rayne+LA+US,205,$7850,power, (Lafayette),1998 20ft Hydrasport Bass Boat,https://lafayette.craigslist.org/boa/5927340445.html,1998
2,good,,2016-12-20 15:48,"Airboat with recently installed 75 Cadillac 500 engine with new cam bearings..new elder 700 carb..installed new led lights all over boat with separate controlled box...two batteries dual battery switch spray tank with nozzles upfront..trailer had wrench and battery installed with battery maintainer..when I put new engine in I forgot to reach the back bushings..the boat will purpose with just the pilot in it. Good airboat..just don't have the time. ..all legal title and registration available...boat is 7'9"" wide14' long aluminum hull",,5927352732,,14,,,,,$9000,power, (Navarre Florida),Airboat,https://lafayette.craigslist.org/boa/5927352732.html,
3,excellent,"['30.204500', '-92.248600']",2016-12-20 15:45,1998 20ft Hydrasport Bass Boat with 225 Evinrude and  2010 aluminum tandum axil trailer all in excellant condition. Package also includes: Jack Plate Garmin 7 GPS/Sonar 70lb minn kota 24 volt trolling motor 2 bank on board charger 3 batteries all less than 1 year old,,5927318234,30.204500,20,-92.248600,Hydrasport,"https://maps.google.com/maps/preview/@30.204500,-92.248600,16z",205,$7850,power,,1998 20ft Hydrasport Bass Boat,https://lafayette.craigslist.org/boa/5927318234.html,1998
4,good,"['36.528914', '-86.013422']",2016-12-20 13:55,"2000 Bass Cat 16ft Fiberglass Bass Boat, motor guide trolling motor, lawernce  fish depth finder, hot foot, 20 gal built in gas tank, power trim. Has double windshield,  seats are all good , including bass seat ,carpet is all good, Boat is very fast an runs great  150 mercury XR6 outboard  motor. boat cover one year old an  a custom trailer is included price is $9,595.00 call David at show contact info or show contact info",,5927151949,36.528914,16,-86.013422,Bass Cat,"https://maps.google.com/maps/preview/@36.528914,-86.013422,16z",Sabre,$9595,power, (Lafayette),2000 Base Cat Boat,https://lafayette.craigslist.org/boa/5927151949.html,2000
5,good,"['36.528914', '-86.013422']",2016-12-20 13:50,"2000 Bass Cat 16ft Fiberglass Bass Boat, motor guide trolling motor, lawernce  fish depth finder, hot foot, 20 gal built in gas tank, power trim. Has double windshield,  seats are all good , including bass seat ,carpet is all good, Boat is very fast an runs great  150 mercury XR6 outboard  motor. boat cover one year old an  a custom trailer is included price is $9,595.00 call David at show contact info or show contact info",,5927152466,36.528914,16,-86.013422,Bass Cat,"https://maps.google.com/maps/preview/@36.528914,-86.013422,16z",Sabre,$9595,power, (Lafayette),2000 Base Cat Boat,https://lafayette.craigslist.org/boa/5927152466.html,2000
6,,,2016-12-20 13:15,"2006 Evinrude E TEC 115 hp motor very low hours on a 18' Cajun Fish & Ski  runs excellent excellent gas mileage all tires are in excellent shape boat comes with brand-new boat cover electronics comes with the boat ski pole trolling motor transom saver boat is lake ready and and is newly registered title in hand everything runs and works great 6,499.00 O.B.O",,5914710918,,18,,,,,$6499,power,,2006 Evinrude E Tec On A 18' Cajun Fish & Ski,https://lafayette.craigslist.org/boa/5914710918.html,
7,,,2016-12-20 11:37,"Brand new, 2016 model Hobie pro angler 14ft in Dune color. Everything included with the kayak. Mirage drive, full size paddle with half paddle handle, cup holder, rod holder, adjustable seat, two plano boxes, adjustable rudder and skeg, all original paperwork and owner's manual. The kayak has touched water one time, and has been garage kept/covered ever since. Sale price $3200 Jackson Cuda 14 ft in yellow jacket color. Awesome kayak. Very well maintained and garage kept/covered. This kayak will come with a BB paddle, lumbar support on seat, mesh bag on back of seat, two scotty mounted launcher tube rod holders behind seat, Two go pro mounts, ram ball mount, jackson red travel flag, two 10lb rubber anchor weights with rope and caribiners, a choupique style anchor system. The center hatch has a catch tray installed. Sale price $1000 No trades Make an offer, it can't hurt.",,5926964870,,14,,,,,,human,,Hobie Pro Angler 14 and Jackson Cuda 14 for sale,https://lafayette.craigslist.org/boa/5926964870.html,
8,like new,,2016-12-20 10:13,For sale a Tohatsu 9.8ph (2 cycle)  boat motor. Less than 100 hours and garage kept. Has an Aluminum propeller.  Text me at 337-two seven 8- 2502,100,5926826640,,777,,Tohatsu,,M9.8B 3K9,$1000,power,,Boat Motor,https://lafayette.craigslist.org/boa/5926826640.html,2001
9,good,"['30.250400', '-92.098100']",2016-12-20 07:21,1991 sos express mini speed boat. 1988 newly rebuilt 55hp evinrude motor with approximately 10 hrs on it. Brand new seats!! Will be willing to trade for small surface drive mud motor or flat bottom boat. Call or text anytime show contact info,10,5926614976,30.250400,12,-92.098100,Sos express,"https://maps.google.com/maps/preview/@30.250400,-92.098100,16z",,$2500,human,,1991 sos express,https://lafayette.craigslist.org/boa/5926614976.html,1991
