,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['32.601600', '-93.873800']",2016-12-20 16:20,"COMPLETLY  REBUILT  20/25  MERCURY SHORT  BLOCKS   1996 25 20 TWO STROKES  Blocks are bored 30 thousand over  ,,,,, Both cylinders,,,,  NEW PISTONS RINGS  BEARING  ALL NEW GASKETS,,,!!!  EXCHANGE    ONLY !!!  ,,,WILL NEED YOUR OLD BLOCK COMPLETE   NEW POWER HEAD GASKET TO MID SECTION FURNISHED    ..YOU INSTALL,,,, or I WILL INSTALL .. WITH NEW WATER, PUMP,,,,,,AND CARBURATOR REBUILT,,,,",,5927374292,32.601600,12,-93.873800,,"https://maps.google.com/maps/preview/@32.601600,-93.873800,16z",,$1400,power, (shreveport),20;25   HP   MERCURY  REBUILT SHORT BLOCKS,https://shreveport.craigslist.org/boa/5927374292.html,
1,,"['32.316100', '-93.888100']",2016-12-20 15:19,Brand new in box for 18-25hp outboards motor.  Part number 48-19640A40 call show contact info no texts please.   The color is black.,,5899897859,32.316100,12,-93.888100,,"https://maps.google.com/maps/preview/@32.316100,-93.888100,16z",,$75,power, (Keithville),Mercury Propellers,https://shreveport.craigslist.org/boa/5899897859.html,
2,,"['32.260400', '-90.089700']",2016-12-20 15:13,"Great shape. 601 two146050. 2006. 230 hp 4.3 Volvo Penta. 120hrs. everything works like it should. No issues at all, just waiting on warm weather. Price is firm.",,5912721865,32.260400,19,-90.089700,,"https://maps.google.com/maps/preview/@32.260400,-90.089700,16z",,$11500,power, (pearl),Four Winns Horizon 190 *reduced*,https://shreveport.craigslist.org/boa/5912721865.html,
3,,,2016-12-20 14:44,"1997 fisher f-18 fs has a mercury force 120hp just fully serviced new plugs wires new impeller lower unit oil changed runs great  interior and carpet in great shape no rips or tears plenty of storage live wells Motor guide trolling motor 24v has matching fisher trailer fairly new tires  bearings been serviced fold away tounge 1 owner has 130hrs has been a great boat for me and my family  garage kept its entire life  have titles the boat and motor axing $5,950 for more info plz call show contact info",130,5927262045,,18,,Fisher,,F-18,$5950,power, (Woodlands conroe),1997 Fisher F 18 fish and ski one owner low hours,https://shreveport.craigslist.org/boa/5927262045.html,1997
4,,,2016-12-20 12:40,Custom Mud Boats for Sale! Contact us today for a Quote!!! Please Contact Todd @ show contact info or Bobby @ show contact info,,5927068831,,18,,Elite Airboat Company,,Mudboat,,power,,Elite 2017 Mud Boat,https://shreveport.craigslist.org/boa/5927068831.html,2016
5,excellent,"['32.458900', '-93.714300']",2016-12-20 12:35,"New Excel center console 1854cc 37 HDR Mud Buddy F86 with winch built in bow. Two spud poles,gun box,64 qt Orca ice chest/seat/live well combo.20 hrs on motor handles excellent,turns like a bass boat,large front deck for fish in an frogging ,dual led lights on front for running. All aluminum trailor with spare tire led running lights. Awesome boat need to sell are trade for bass boat of equal or more value because my is on fishing team and needs a bass boat.  Onboard 3 bank charger 76lb thrust trolling motor . Fishing deck at back of boat also.Text are call anytime",20,5888200978,32.458900,18,-93.714300,Excel,"https://maps.google.com/maps/preview/@32.458900,-93.714300,16z",F86cc,$25000,power, (Shreveport),Reduced!!Mud boat for sale or trade,https://shreveport.craigslist.org/boa/5888200978.html,2016
6,excellent,"['33.678700', '-94.135100']",2016-12-20 11:57,"1994 EVINRUDE 15hp ELECT. START!!!! short shaft, tiller handle, 6 gallon fuel tank and hose assy. this motor has 125 PSI, very clean and runs flawless. you don't find them like this one. $1250.00 CASH or CASHIER CHECK ONLY! show contact info",,5926997298,33.678700,1,-94.135100,Evinrude 15hp,"https://maps.google.com/maps/preview/@33.678700,-94.135100,16z",E15EERE,$1250,power, (Ashdown),"1994 EVINRUDE 15hp Elect, Start",https://shreveport.craigslist.org/boa/5926997298.html,1994
7,,"['32.414100', '-93.874200']",2016-12-20 11:35,"For sale 2 2015 SeaDoo Spark 2 seaters with trailer. 15hrs on black with white seat 16hrs on white/black with white seat Asking $12,000 Call or text show contact info Jet skis",16,5905535979,32.414100,9,-93.874200,Seadoo,"https://maps.google.com/maps/preview/@32.414100,-93.874200,16z",Spark jet ski,$12000,power, (Greenwood),2 2015 SeaDoo Spark jet skis with trailer,https://shreveport.craigslist.org/boa/5905535979.html,2015
8,excellent,"['32.507518', '-93.917334']",2016-12-20 09:52,"IN WEST SHREVEPORT: ATTENTION DUCK HUNTERS: REDUCED TO $1250 FOR QUICK SALE: 1998 Yamaha 25 horse Model 25MSHX, 2 cycle, short shaft, tiller operated outboard in excellent condition and runs like brand new. Ready to use for duck season. The following list of repairs have just been done: 1. New Head gasket 2. Both carburetors had rebuild kits put in them. 3. water pump kit installed 4. New Plugs 5. New trim tab 6.gear oil changed in lower unit Reasonably priced at $1250. Please don't waste my time with any lowball offers. Thank you for looking and God Bless.",1,5926794241,32.507518,1,-93.917334,YAMAHA,"https://maps.google.com/maps/preview/@32.507518,-93.917334,16z",25MSHX,$1250,power," (Shreveport, La)",98 YAMAHA 25 hp 2 STROKE TILLER OPERATED,https://shreveport.craigslist.org/boa/5926794241.html,1998
9,good,"['32.601600', '-93.873800']",2016-12-20 09:05,Hey I have a 15 foot john boat with trailer and a 25 Yamaha motor on it.. The motor runs good with 0 issues... All paper work is in my name so lets make a deal. Also come with 2 new batteries and new trolling motor.. running lights work and led light on the front is a beast ...  there's also lights light that shine on the floor . Nice set up for night fishing (318) FIVE ONE EIGHT-9191,300,5926725742,32.601600,15,-93.873800,Alumaweld all weld,"https://maps.google.com/maps/preview/@32.601600,-93.873800,16z",Alumaweld,$2500,power, (Shreveport la),15 ft john boat,https://shreveport.craigslist.org/boa/5926725742.html,1992
