,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['41.961273', '-70.699310']",2016-12-20 17:12,"Boat Dock Ramp all aluminum  built extra long extra heavy dutysuitable for year round use.  Come with anti slip aluminum decking has dock wheels 2"" OD handrails on top 5"" box frame not C channel this is four times stronger than standard designs I can deliver for cost and also sell them for $ 145 per linear foot. show contact info",,5907281322,41.961273,35,-70.699310,,"https://maps.google.com/maps/preview/@41.961273,-70.699310,16z",,,power,,Boat Dock Ramp all aluminum,https://maine.craigslist.org/boa/5907281322.html,
1,,"['44.497100', '-67.950300']",2016-12-20 16:51,tired of welded plastic bait boxes and lobster tanks .that break apart after a couple years. I can build you a solid fiberglass tank or bait box . that weighs about the same but last for years and years . also build fuel tanks and water tite fiberglass hatches . built to your wants and needs. some of the best boat finishing or rebuilding around .at more then fair prices .I stand behind all my work. heres some pics of my work,,5927356794,44.497100,6,-67.950300,,"https://maps.google.com/maps/preview/@44.497100,-67.950300,16z",,$100,human, (steuben),boat finishing or rebuilding !  tanks hatches repairs  fiberglass work,https://maine.craigslist.org/boa/5927356794.html,
2,,"['45.283403', '-69.496527']",2016-12-20 16:13,Boat floats. Just need to be repainted and needs one new handle on back of boat. $100 obo. Text or call. show contact info,,5927303793,45.283403,10,-69.496527,,"https://maps.google.com/maps/preview/@45.283403,-69.496527,16z",,$100,human, (Monson),10' Aluminum John Boat,https://maine.craigslist.org/boa/5927303793.html,
3,good,"['44.298176', '-69.001350']",2016-12-20 16:09,"Aluminum 1989 Grumman  16' 3"" split seat with side console, has been garage stored, hull and floors are in very good condition. Fished fine for Grandpa, interior can use paint and updating, with galv. bunk trailer that will need work, 12' tires old but serviceable, baring buddies and hubs good, lights work, no blinkers. No O. B. with boat, set up for Mercury with wheel steering, shift and throttle and elec. start. The boat was hit by a car when on trailer, Small 3' split in center of transom at keel, see new images. Trailer has rear cross brace bent in app 8"" at center, axel fine, tows fine, trailer will need work. One spot of bad decking found. again see new images. Please no text. Call show contact info",,5919677257,44.298176,3,-69.001350,Grumman,"https://maps.google.com/maps/preview/@44.298176,-69.001350,16z",Split Seat side Console,$900,power,,1989 16' Grumman Split Seat deep V,https://maine.craigslist.org/boa/5919677257.html,
4,,,2016-12-20 15:03,"Looking for a 30'+ fiberglass lobster boat to convert into basic lobster yacht. Our budget is a bit skinny though. We can offer up to 30-35k but we are seriously looking , cash in hand. (we just sold our production boat, eager to replace.) If anyone has, hears or knows of anything we would like to hear from you. Sweat equity ok but not looking for big restoration project. I dragged my heals a couple days to long on 32 MDI that fit the description above while  ""educating myself"" in June that sold for 30k.  We were out bid on clean 34 webbers cove last summer that listed for 38k So I know they are out there.",,5927177720,,30,,,,,,power,,Wanted downeast lobster boat,https://maine.craigslist.org/boa/5927177720.html,
5,good,,2016-12-20 14:47,"I6 ft fiberglass boat with windshield,very solid hill only 100.00 call Greg 7513872.",,5906474403,,16,,,,Glasspro,$100,human, (Lisbon falls),16 ft fiber glass hull,https://maine.craigslist.org/boa/5906474403.html,
6,good,"['40.799906', '-72.803993']",2016-12-20 14:18,"1980 37ft. Repco Lobster Boat set up for lobstering and fishing. 6076A John Deere Turbo with 2100 hours on it. Cruises at 16 knots, 20 knots pinned. Hydro Slave steering and hydraulic pot hauler, bow pulpit setup for 2 anchors with Lewmar Windless, toilet and holding tank, Ray Marine 24 mile radar, 12 inch Simrad Plotter/Sonar with 1000 KW transducer for Canyon, Lowrance 12 inch plotter sonar with 600 KW downscan and 2 side-scan transducers for reck fishing, Furuno Sonar with 600 KW transducer set up fro Tuna and Reck fishing, VHF radios, stereo with 6 CD changer, approximately 20 rod holders, fish box and cutting station, 2 washdown pumps, battle station, too much list. Call Rudy for pictures and video show contact info",2100,5927106581,40.799906,37,-72.803993,repco,"https://maps.google.com/maps/preview/@40.799906,-72.803993,16z",,$81000,power, (moriches),37' lobster tuna boat,https://maine.craigslist.org/boa/5927106581.html,1980
7,like new,,2016-12-20 14:08,"We are selling our 2004 Chaparral 230 SSi Bowrider.  We are the second owners of this boat.  The boat is in mint condition and has been stored inside it's entire life.  Only used in fresh water, the boat only has about 180 hours on it.  This is a big boat - legally seats 13 people - yet is extremely fast and great for towing / watersports.  23' plus swim platform puts the overall length at 25'.  Has an enclosed head with pump-out.  Pressurized fresh water sink with built-in cooler storage below.  Tons of storage!  The boat has all available factory options - here are the major specs: -Mercruiser 350 Magnum EFI with BRAVO III dual prop outdrive -Captain's call side through-hull exhaust (sounds incredible or can be switched to quiet) -Keel protector -Mooring cover -Bimini Top -Full camper canvas (never used) -Windshield wiper -Extended swim platform with ladder -Anchor locker -Landing headlights -Sport graphics -All safety gear and life jackets included -Dual batteries with switch - brand new sealed Optima's. -Snap-out carpets throughout -All fenders and lines included -Two removable tables - one forward and one aft. Comes with a LoadRite galvanized roller trailer that was purchased new with the boat.  This is the perfect lake boat and is deep and stable enough to handle Casco Bay if you so desire.  Only selling due to lack of use.  Currently in winter storage in Windham, but can be seen by appointment.  Ready to go for you in the spring - needs nothing!  Replacement value of this boat is approaching $100K or more.  We will sell for $29,900 and store the boat for the rest of this winter.  Price will go up in the spring.  If you see this ad, the boat is still available.  email or call/text show contact info anytime.",180,5907751281,,25,,Chaparral,,230ssi,$29900,power," (Windham, ME)",2004 Chaparral 230SSi Bowrider; 180hrs; ALL OPTIONS; MINT! W/ Trailer,https://maine.craigslist.org/boa/5907751281.html,2004
8,excellent,"['43.583500', '-70.345700']",2016-12-20 13:53,"2005 Seaswirl Striper with 2005 Yamaha 250 4 stroke (760 hrs). Fully serviced, turnkey boat. Needs absolutely nothing! Features: Furuno Radar Lowrance Chartplotter/sonar with engine/fuel consumption monitoring. Raymarine autopilot Air conditioning Shore power Battery Charger Trim tabs Climma air conditioning 136 gallon fuel tank Fresh water holding tank Transom Shower Full canvas Brand new 2016 aluminum tandem trailer with 4 disc brakes Selling to purchase seaswirl 2901 or 3301.",760,5901481938,43.583500,26,-70.345700,Seaswirl,"https://maps.google.com/maps/preview/@43.583500,-70.345700,16z",Striper 2301,$34000,power, (Scarborough),2005 Seaswirl Striper 2301,https://maine.craigslist.org/boa/5901481938.html,2005
9,fair,,2016-12-20 12:10,"Looking for a Winter Project? Heres the perfect deal for you. Boat and trailer available. Trailer isn't in bad shape, boat has a steel bar reinforcing the transom currently, could use a replacement. Need to get it out of the yard before too much snow piles up, Moving and can't leave it here. Best offer gets it ASAP",,5915429350,,18,,Sea Star,,,$1,power, (Scarborough),18' Sea Star Fiberglass boat on trailer,https://maine.craigslist.org/boa/5915429350.html,
