,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.539400', '-76.356400']",2016-12-20 17:24,Not sure to the exact age nor do I know much about the boat other then it appears to be in very good condition. It was owned by a gentlemen that had a farm on the eastern shore. It was found hanging from the rafters and the motor appears to be in excellent condition. I left everything the way it was found along with all the dust.  The farmer had ordered the boat and Motor was originally purchased new along with the boat. Very little effort to restore and make a very nice lake boat.,,5902765645,39.539400,16,-76.356400,,"https://maps.google.com/maps/preview/@39.539400,-76.356400,16z",,$3000,power, (Harford),"1950's 16' Peterborough Aqua fllyer, a true barn find on eastern shore",https://annapolis.craigslist.org/boa/5902765645.html,
1,,"['38.950400', '-76.585400']",2016-12-20 17:21,"I'm selling my four jet skis and four-place (quad) trailer.   $7995 takes the whole package.    These have always been covered and flushed and properly cared for. You won't find a nicer set of jet skis for the money. Here's what's included: 1997 red/purple 1100:  87 hours 1997 red/purple 1100:  158 hours 1996 aqua/purple 700: 151 hours 1996 aqua/purple 1100 ski: (parts ski -- has a broken connecting rod in motor, but all other parts in great shape. Four-place (quad) jet ski trailer: $7,995 takes all. Were lots of fun but just don't have time for them any more now that I bought a 48' viking. In great shape and run very fast -- 60mph+ Notice the super cool numbering graphics that match each ski :-)   I just ran a compression test on each ski and all cylinders were solid.  I can show you the videos of the compression tests when you come to see them.   Thanks for looking. PLEASE READ the following BEFORE responding to this ad: -	Please put the word ""Fury"" in all text messages and emails so that I know you are not a spam bot. -	No low-ball offers.  I price all my things for sale at a fair price.  I can be a little flexible. -	If this ad is up, the item is still available.  I try to take all sold items down immediately. -	I live in Riva, Maryland and  I'm home most days, so can show the item at your convenience. -	Yes, I have a Nevada cell phone number because I didn't want to change my phone number when I moved here.   Don't assume this is a bogus ad just because my response number isn't local.  People from Nevada are God-fearing patriotic Americans too :-). Thanks for looking! john",87,5927366840,38.950400,10,-76.585400,Yamaha,"https://maps.google.com/maps/preview/@38.950400,-76.585400,16z",WaveVenture,$7995,power, (Riva),4 Jet Skis plus Quad Trailer - Yamaha WaveVenture Jet Ski,https://annapolis.craigslist.org/boa/5927366840.html,1997
2,,"['37.419400', '-76.902700']",2016-12-20 17:13,"2008 Triton Boats 281CC with 2008 Marine Master Trailer. In excellent condition. 581 hours. Key Features: Family Package (bow cushions, AM/FM/CD stereo, and rear cushion fold down bench seat) Fishing Package (TACO grand outriggers (with crank base upgrade), and bulkhead rocket launchers) Leaning post upgrade with tackle storage TRI Pro battery charger Custom Strataglass enclosure for T-Top Anchor Windlass system Raymarine E120 ICOM VHF radio Twin Mercury 250 hp Verado 4-stoke outboards (with power steering, digital gauges, and digital throttle and shift) China head (with holding tank and overboard discharge) with fresh water sink GPS fish and radar Beam: 9ft 8in Trailer: 2008 Marine Master triple axle aluminum trailer. Six new tires and new brakes.",581,5913312721,37.419400,28,-76.902700,,"https://maps.google.com/maps/preview/@37.419400,-76.902700,16z",,$82500,power," (Lanexa, VA)",2008 Triton Boat 281 CC with Marine Master Trailer,https://annapolis.craigslist.org/boa/5913312721.html,
3,excellent,"['38.958300', '-76.284200']",2016-12-20 16:21,"45' Long by 15'6"" wide boat slip located at Oyster Cove Marina. slip #6",,5927314685,38.958300,45,-76.284200,Oyster Cove,"https://maps.google.com/maps/preview/@38.958300,-76.284200,16z",Marina,$15000,power, (Oyster Cove),Boat slip for sale Oyster Cove,https://annapolis.craigslist.org/boa/5927314685.html,
4,excellent,"['38.958300', '-76.284200']",2016-12-20 16:18,"45' Long by 15'6"" wide boat slip located at Oyster Cove Marina. slip #6",,5927311135,38.958300,45,-76.284200,Oyster Cove,"https://maps.google.com/maps/preview/@38.958300,-76.284200,16z",Marina,$15000,power, (Oyster Cove),Boat slip for sale Oyster Cove,https://annapolis.craigslist.org/boa/5927311135.html,
5,good,[],2016-12-20 15:00,"End of season sale. 34 foot cabin cruiser. Operationally in great shape. Engines run great. Sea trial available in Newport News for serious buyers in the next week or so. She is not perfect, but for a 30 year old vessel, she is in good shape. Used frequently. Sold as is. Needs work on some things as any 30 year old boat does, however, not on the motors. Runs great. Was out cruising with Dolphins this past Sunday. Trying to sell before having to winterize. Priced to sell fast. 11,000.",800,5895851757,,34,,Sea Ray,https://maps.google.com/?q=loc%3A+River+Rd%2E+Newport+News+MD+US,340,$11000,power, (Newport News),Sea Ray 340,https://annapolis.craigslist.org/boa/5895851757.html,1986
6,,"['39.323077', '-76.440704']",2016-12-20 14:43,"A few deep water boat slips available for the coming year at Middle River Landing Marina. Family owned/operated. Full service boatyard, ship's store, gated entrance, customer lounge, WIFI, picnic areas. Well protected harbor. Reserve soon! www.middleriverlandingmarina.com",,5920620854,39.323077,70,-76.440704,,"https://maps.google.com/maps/preview/@39.323077,-76.440704,16z",,,power,,Deep Water Boat Slips,https://annapolis.craigslist.org/boa/5920620854.html,
7,,"['39.229600', '-76.445500']",2016-12-20 14:25,"2000 Maxum 2100 SR Bowrider (21.5 feet), and feels like the cabin space of a 24 or 25 footer because of the layout. Come take a look, youll see! Meticulously maintained and VERY inexpensive to own boat. 5.0 liter Mercruiser V8 engine was rebuilt 3 years ago professionally. I have had an absolute open credit card and been incredibly proactive at maintenance on this vessel. (Bellows, boots, and cables, winterizing, bottom painting, fuel water filters, synthetic oil changes, outdrive servicing's, sensor replacements, greasing, etc, etc Brand new covers done in 2015 ($1475) All new stereo head unit, 4 new speakers, and powered subwoofer ($850) All new LED lighting installed around entire perimeter ($200) All old graphics and piunstriping removed and wet sanded at the beginning of 2016, brand new custom graphics put on at that time as well ($450) New trim sensors, fuel gauge and sender, bilge float and pump, anodes, bottom paint, etc etc all new in 2016. ($1100) New battery in 2015. ($125) Absolute turn key ready, zero problems, zero issues, zero noises. Turn the key and it goes boat! And the best part is that it absolute SIPS fuel. I averaged $50-$60 a weekend in gas. You literally cant beat that. And this thing handles the bays heavy waves with ease. I have never felt timid out there in this boat even in bad weather and high winds.  Be a boat owner and experience on a regular basis the best part of Maryland. . .the Chesapeake Bay! Boat is currently wet slipped at my house (Sparrows Point 21219) and will stay in the water until the end of October for you to see and test No trades, lowball offers will be ignored. Please save both of us the time. If this ad is still up, I promise, its still available. Clean Maryland title in my name in hand IF THIS AD IS UP THE BOAT IS AVAILABLE, please dont ask just that single question.  Ill remove the ad when it sells.",,5906852474,39.229600,22,-76.445500,,"https://maps.google.com/maps/preview/@39.229600,-76.445500,16z",,$9400,power,,Meticulously cared for 21.5' bowrider! Turn key ready,https://annapolis.craigslist.org/boa/5906852474.html,
8,,,2016-12-20 14:15,Parts for Polaris skis.  Call show contact info,1,5924419780,,1,,Any,,Any,$1,power, (Annapolis),Polaris jetski parts,https://annapolis.craigslist.org/boa/5924419780.html,
9,,,2016-12-20 14:04,"Dek-King is now available in MD!!! Custom fabricated and fully welded construction for long lasting service. Order now for spring delivery. 7 YEAR WARRANTY!!! Quality builds, Quality installs. www.DRBMarineLLC.com",,5924176378,,30,,,,,$65,power, (MD),Dek-King Synthetic Teak Decking,https://annapolis.craigslist.org/boa/5924176378.html,
