,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.539400', '-76.356400']",2016-12-20 17:24,A rare find........Not sure to the exact age nor do I know much about the boat other then it appears to be in very good condition. It was owned by a gentlemen that had a farm on the eastern shore. It was found hanging from the rafters and the motor appears to be in excellent condition. I left everything the way it was found along with all the dust.  The farmer had ordered the boat and Motor was originally purchased new along with the boat. Very little effort to restore and make a very nice lake boat.,,5902706344,39.539400,15,-76.356400,Peterborough,"https://maps.google.com/maps/preview/@39.539400,-76.356400,16z",,$3000,power, (Bel Air),"1950's 16' Peterborough Aqua fllyer, a true barn find on eastern shore",https://baltimore.craigslist.org/boa/5902706344.html,
1,excellent,"['37.419400', '-76.902700']",2016-12-20 17:12,"2008 Triton Boats 281CC with 2008 Marine Master Trailer.  In excellent condition. 581 hours. Key Features: Family Package (bow cushions, AM/FM/CD stereo, and rear cushion fold down bench seat) Fishing Package (TACO grand outriggers (with crank base upgrade), and bulkhead rocket launchers) Leaning post upgrade with tackle storage TRI Pro battery charger Custom Strataglass enclosure for T-Top Anchor Windlass system Raymarine E120 ICOM VHF radio Twin Mercury 250 hp Verado 4-stoke outboards (with power steering, digital gauges, and digital throttle and shift) China head (with holding tank and overboard discharge) with fresh water sink GPS fish and radar Beam: 9ft 8in Trailer: 2008 Marine Master triple axle aluminum trailer.  Six new tires and new brakes.",581,5909040414,37.419400,28,-76.902700,,"https://maps.google.com/maps/preview/@37.419400,-76.902700,16z",,$82500,power," (Lanexa, VA)",2008 Triton Boat 281 CC with Marine Master Trailer,https://baltimore.craigslist.org/boa/5909040414.html,
2,good,"['40.259700', '-76.859400']",2016-12-20 15:42,HI  I'm up for sale my 1988 boat and 1997 225 hp evinrude  boat is good clean and the motor is run but need check up and trailer have new bunk boar new light and new post light new winch trap spare tire mount and wheel boat and trailer have clean title reason to sell is looking for the smaller boat i was enjoy this boat for so long but i have to let she go looking for 2800 or best offer the motor need to be fix or rebuild thank you for reading my post. Or just the motor for part 500.00,397,5927259348,40.259700,21,-76.859400,chris craft,"https://maps.google.com/maps/preview/@40.259700,-76.859400,16z",sea-hawk,$2200,power,,CHRIS CRAFT 21 FT CABIN WALK AROUND,https://baltimore.craigslist.org/boa/5927259348.html,1988
3,good,[],2016-12-20 15:00,"End of season sale. 34 foot cabin cruiser. Operationally in great shape. Engines run great. Sea trial available in Newport News for serious buyers in the next week or so. She is not perfect, but for a 30 year old vessel, she is in good shape. Used frequently. Sold as is. Needs work on some things as any 30 year old boat does, however, not on the motors. Runs great. Was out cruising with Dolphins this past Sunday. Trying to sell before having to winterize. Priced to sell fast. 11,000.",800,5895857271,,34,,Sea Ray,https://maps.google.com/?q=loc%3A+River+Rd+Newport+News+MD+US,340,$11000,power, (Newport News),Sea Ray 340,https://baltimore.craigslist.org/boa/5895857271.html,1986
4,,"['39.322944', '-76.440725']",2016-12-20 14:45,Trailer Boat Storage from $50.00 per month.  Gated marina.  Ship's Store.  Call to reserve today.,,5889779479,39.322944,25,-76.440725,,"https://maps.google.com/maps/preview/@39.322944,-76.440725,16z",,,power,,Trailer Boat Storage,https://baltimore.craigslist.org/boa/5889779479.html,
5,,"['39.323210', '-76.440811']",2016-12-20 14:44,"A few deep water boat slips available for the coming year at Middle River Landing Marina.  Family owned/operated.  Full service boatyard, ship's store, gated entrance, customer lounge, WIFI, picnic areas.  Well protected harbor.  Reserve soon!  www.middleriverlandingmarina.com",,5920601620,39.323210,70,-76.440811,,"https://maps.google.com/maps/preview/@39.323210,-76.440811,16z",,,power,,Deep Water Boat Slips,https://baltimore.craigslist.org/boa/5920601620.html,
6,,,2016-12-20 14:41,"20f Center Console 200hp Merc Motor Rebuilt New Gas Tank New Battery New Pump New Fish Finder Very Nice Setup Very Clean Boat Runs Great! $4,000 show contact info",,5927118059,,20,,,,,$4000,power,,20f Center Console ( Very Nice ),https://baltimore.craigslist.org/boa/5927118059.html,
7,excellent,"['39.474400', '-76.299700']",2016-12-20 14:23,"Up forsale is my 2003 Yamaha XL 700 waverunner, shows like new minor dock scratches, less than 60 hours on the unit, only used yamalube since new, always serviced annually by Petes cycle of bel air, just replaced battery and had carbs rebuilt, it does approximately 47mph on the water, registered til December 2017, includes all necessities to get on the water now, also includes a cover. $2900 for just the Jetski no trailer, I have a 2007 load rite single jet ski trailer like new for $700 more, both have clear titles. I also have another trailer with no title that you will have to get a homemade trailer title for in excellent shape for $500. Will give water demo to anyone showing cash in hand Key words, waverunner , seadoo , kawaski , BRP , Polaris , supercharged , hellcat , challenger , jet ski , jetski , hot rod , ratrod , street rod , atv .",55,5927012991,39.474400,10,-76.299700,Yamaha,"https://maps.google.com/maps/preview/@39.474400,-76.299700,16z",XL 700,$2900,sail, (Abingdon),2003 Yamaha XL 700 Waverunner like new less than 60 hours,https://baltimore.craigslist.org/boa/5927012991.html,2003
8,excellent,"['39.474400', '-76.299700']",2016-12-20 14:19,"Up forsale is my 2003 Yamaha XL 700 waverunner, shows like new minor dock scratches, less than 60 hours on the unit, only used yamalube since new, always serviced annually by Petes cycle of bel air, just replaced battery and had carbs rebuilt, it does approximately 47mph on the water, registered til December 2017, includes all necessities to get on the water now, also includes a cover. $2900 for just the Jetski no trailer, I have a 2007 load rite single jet ski trailer like new for $700 more, both have clear titles. I also have another trailer with no title that you will have to get a homemade trailer title for in excellent shape for $500. Will give water demo to anyone showing cash in hand Key words, waverunner , seadoo , kawaski , BRP , Polaris , supercharged , hellcat , challenger , jet ski , jetski , hot rod , ratrod , street rod , atv .",60,5927013392,39.474400,10,-76.299700,yamaha,"https://maps.google.com/maps/preview/@39.474400,-76.299700,16z",XL 700,$1,power, (abingdon),favorite this post  2003 Yamaha XL 700 Waverunner like new less than 6,https://baltimore.craigslist.org/boa/5927013392.html,2003
9,excellent,"['39.474400', '-76.299700']",2016-12-20 14:15,"Up forsale is my 2003 Yamaha XL 700 waverunner, shows like new minor dock scratches, less than 60 hours on the unit, only used yamalube since new, always serviced annually by Petes cycle of bel air, just replaced battery and had carbs rebuilt, it does approximately 47mph on the water, registered til December 2017, includes all necessities to get on the water now, also includes a cover. $2900 for just the Jetski no trailer, I have a 2007 load rite single jet ski trailer like new for $700 more, both have clear titles. I also have another trailer with no title that you will have to get a homemade trailer title for in excellent shape for $500. Will give water demo to anyone showing cash in hand Key words, waverunner , seadoo , kawaski , BRP , Polaris , supercharged , hellcat , challenger , jet ski , jetski , hot rod , ratrod , street rod , atv .",55,5927012572,39.474400,10,-76.299700,Yamaha,"https://maps.google.com/maps/preview/@39.474400,-76.299700,16z",XL 700,$2900,sail, (Abingdon),2003 Yamaha XL 700 Waverunner like new less than 60 hours,https://baltimore.craigslist.org/boa/5927012572.html,2003
