,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['39.977100', '-74.156500']",2016-12-20 17:26,"1989 Shamrock Grand Slam equipped with 1100 hour twin Cummins 210 HP Diesels and ZF 220 gears. I have decided to relocate and am looking to sell. Just installed two weeks ago a new custom cabin floor and V-berth cushions. Recent work done summer 2016 includes new 290 gallon fuel tank, batteries, 4 new bilge pumps, rebuilt steering helms, Raymarine Touch Screen and new 1K thru hull transducer with high speed block, eisenglass enclosure inserts, props tuned. The boat comes with working Si-Tex Radar, New Raymarine Touch Screen Fish Finder and GPS, saftey gear including jackets, stand up head and shower, Air Conditioning and ground tackle. Dripless shaft glands, stainless hot water heater, stand up shower and head, overhead electronics box, two VHF radios. She had a generator years ago but the previous owner removed it for service and never reinstalled. Located in Brielle NJ. The bottom is free of any blisters and the top gelcoat finish is very nice and shines up beautifully with wax. Comes with spares service parts, manuals and boating gear including offshore life jackets, first aid and anchors and line. She can use a couple little odds and ends to make her your own. I am willing to accept a pick up or SUV as partial payment for up to 5K. I could use a beach buggy. please text or call seven three two seven seven three th ree fi ve si x t hre e Thanks",1100,5927391005,39.977100,31,-74.156500,Shamrock,"https://maps.google.com/maps/preview/@39.977100,-74.156500,16z",Grand Slam,$29000,power, (Manasquan),31 Shamrock Grand Slam Cummins Diesel sportfish Fishing Boat,https://easternshore.craigslist.org/boa/5927391005.html,1989
1,,"['39.539400', '-76.356400']",2016-12-20 17:24,A rare find.....Not sure to the exact age nor do I know much about the boat other then it appears to be in very good condition. It was owned by a gentlemen that had a farm on the eastern shore. It was found hanging from the rafters and the motor appears to be in excellent condition. I left everything the way it was found along with all the dust.  The farmer had ordered the boat and Motor was originally purchased new along with the boat. Very little effort to restore and make a very nice lake boat.,,5902715097,39.539400,16,-76.356400,,"https://maps.google.com/maps/preview/@39.539400,-76.356400,16z",,$3000,power, (Haford county),"1950's 16' Peterborough Aqua fllyer, a true barn find on eastern shore",https://easternshore.craigslist.org/boa/5902715097.html,
2,,"['38.978227', '-76.176281']",2016-12-20 17:16,Motor will run Freshwater cooled title in hand for boat bill of sale for the trailer come see it anytime,,5927389502,38.978227,25,-76.176281,,"https://maps.google.com/maps/preview/@38.978227,-76.176281,16z",,$1500,power, (Queenstown),25 ft Stamas with trailer,https://easternshore.craigslist.org/boa/5927389502.html,1979
3,,"['37.419400', '-76.902700']",2016-12-20 17:13,"2008 Triton Boats 281CC with 2008 Marine Master Trailer. In excellent condition. 581 hours. Key Features: Family Package (bow cushions, AM/FM/CD stereo, and rear cushion fold down bench seat) Fishing Package (TACO grand outriggers (with crank base upgrade), and bulkhead rocket launchers) Leaning post upgrade with tackle storage TRI Pro battery charger Custom Strataglass enclosure for T-Top Anchor Windlass system Raymarine E120 ICOM VHF radio Twin Mercury 250 hp Verado 4-stoke outboards (with power steering, digital gauges, and digital throttle and shift) China head (with holding tank and overboard discharge) with fresh water sink GPS fish and radar Beam: 9ft 8in Trailer: 2008 Marine Master triple axle aluminum trailer. Six new tires and new brakes.",581,5913312589,37.419400,28,-76.902700,,"https://maps.google.com/maps/preview/@37.419400,-76.902700,16z",,$82500,power," (Lanexa, VA)",2008 Triton Boat 281 CC with Marine Master Trailer,https://easternshore.craigslist.org/boa/5913312589.html,
4,,,2016-12-20 17:10,"Hobie Outback kayak for sale. Offers hands-free kayaking, perfect for fishing. Features molded in-rod holders, plenty of below deck storage, and a plug in kayak cart for easy mobility out of the water. Accessories included are: gear bucket, 2 fiberglass paddles, glide fins, and seat. Contact Gary if interested.",,5927382645,,12,,,,,,human,,"Hobie Outback Kayak, $2100 obo",https://easternshore.craigslist.org/boa/5927382645.html,
5,fair,[],2016-12-20 16:41,"Restoration project or parts. Boat has no interior or motor. Has good sails, mast, all deck hardware, nice trailer. show contact info",,5927342925,,23,,Starwind 23,https://maps.google.com/?q=loc%3A+Spruce+Goldsboro+Md+MD+US,,$500,sail, (Goldsboro Md),23' Starwind,https://easternshore.craigslist.org/boa/5927342925.html,
6,,"['38.350800', '-75.533800']",2016-12-20 15:34,Galaxy 6 passenger boat in great shape.  Motor will need rebuilt or replaced.  no trailer Price is firm not scammers.,,5927227430,38.350800,18,-75.533800,,"https://maps.google.com/maps/preview/@38.350800,-75.533800,16z",,$300,power, (Salisbury),Galaxy boat 6 passenger,https://easternshore.craigslist.org/boa/5927227430.html,
7,excellent,,2016-12-20 15:30,"Lowe 1860 center console with stereo, GPS, fish finder, live-well, Mercury 60, garage kept since new, Karavan trailer",200,5908039179,,18,,Lowe,,1860,$9495,power, (Centreville),Lowe 1860CC Roughneck,https://easternshore.craigslist.org/boa/5908039179.html,2010
8,good,,2016-12-20 14:37,"Want to buy. Looking for a Pungo 120 (12-ft) kayak by Wilderness Systems with the ""Phase 3"" seat in good condition without leaks, holes, cracks, or repairs. Please look on your boat to make sure it says ""Phase 3"" on the seat. Would consider a Pungo 140 also. A paddle and / or PFD included would be a bonus. Can pay up to $350 or would trade a Grumman G17 double ended aluminum canoe for the Pungo. I will travel on the Delmarva Peninsula from Onancock to the C and D canal to pick it up. Please call or text    4 four 3 - 735 - 786 two Thanks a lot!",,5927127430,,12,,Wilderness Systems,,Pungo 120,$350,human, (Delmarva),Want to buy: Wilderness Systems Pungo 120 (12 ft) kayak,https://easternshore.craigslist.org/boa/5927127430.html,
9,,"['38.776800', '-76.075800']",2016-12-20 14:34,Looking for crab pots any amount any kind aslong as they are not junk please respond with phone number,,5927155745,38.776800,20,-76.075800,,"https://maps.google.com/maps/preview/@38.776800,-76.075800,16z",,,human,,Crab pots,https://easternshore.craigslist.org/boa/5927155745.html,
