,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 16:58,"I have a 1970 14' Sears Jon Boat for sale. Small casting deck was added. Floats nicely. Bilge pump is included (it's 2 years old). The boat is light enough to lift over your head and carry, but big enough to hold 3 people (rated for 2). Included in the boat will be: -Title and MD registration - Humminbird PIRANHAMAX 196CI (Color screen, transducer installed, has gps with waypoints, water temp, sonar. Comes with original packaging and different mounting options) -7.5 hp 2 stroke air-cooled Ted williams outboard -Tecumseh upper unit(basically a lawn mower engine). Probably gonna need a bit of starting fluid to run and might need a cleaning later. -36 lb thrust tiller style Minn Kota trolling motor- 5-speed and reverse. -5 gallon gas tank with fuel line -extra spark plugs -ted Williams motor owner's manual -1 oar -Casting deck, navigation light wiring, and bilge pump with switch. Casting deck can be removed if it's not your style. No holes were drilled in the hull (only the seat). -12v EverStart deep cycle battery (from 2014. Lived its whole life on a battery tender.) -I will include the 2013 12' utility trailer and title, owners manual, and build info for an additional fee. It is MD registered (it is painted black with a bit of sparkle, the brown in the pictures is dirt). I'm selling this fishing boat only because I bought a kayak. Looking to get $975 for the boat and accessories. Willing to separate anything mentioned. Looking for $1285 for everything adding in the trailer. Not looking to negotiate on the price at this point. I answer emails fairly quickly (unless the email is ridiculous). Thanks!",,5897507265,,14,,Sears,,,$900,power, (Mount Airy),14' Aluminum Jon Boat,https://frederick.craigslist.org/boa/5897507265.html,1970
1,like new,"['39.238700', '-77.279400']",2016-12-19 19:52,"Grizzly Tracker 1648  2014 25 hp motor, with a Minnkota  trolling motor.  a Humm 561 Depth, GPS and fish finder. Engine has roughly 15 hours.",15,5926164349,39.238700,16,-77.279400,Tracker,"https://maps.google.com/maps/preview/@39.238700,-77.279400,16z",grizzly 1648,$7000,power,,Tracker Boat 16',https://frederick.craigslist.org/boa/5926164349.html,2014
2,good,,2016-12-19 19:08,"Tracker Guide V-16 9.9 horsepower 2 stroke Mercury tiller steer Trailer Have titles and paperwork Boat is kept inside and paint is good. Early 2000's Motor-has new plugs, always starts on first pull! 2-3 gallon fuel tanks live well, bilge pump and Lawrence fish finder (all work) Hook ups for courtesy lighting Marine battery trailer lights and wiring all good and working. has extra storage box adjacent from live well and a seat on the front 4 person capacity Anchor $3000 or best offer call or text 240-357-8three65 come look at it and make an offer!",,5890147896,,16,,Tracker,,Guide v 16,$3000,power, (Middletown),Tracker Guide V-16,https://frederick.craigslist.org/boa/5890147896.html,1992
3,,"['39.446100', '-77.335000']",2016-12-19 17:15,"I need to sell this ski, First person to put $3500 in my hand gets it. Text me for immediate response 2004 Yamaha WaveRunner XLT1200 2004 LoadRite Jetski trailer Titles in hand for both Yamaha Cover Included Located in Frederick, MD, can deliver within 50 miles 115 hours on the ski. Motor was rebuilt last year In good condition, only marks are normal scuffs from docking Runs great as it should D Plated and Chipped. (Catalytic Converter removed) 2 Stroke Motor Trailer is in good functioning shape as well. I am not interested in the KBB value of this ski. If youre going to offer based on that dont bother NADA value is posted in the pics Not interested in trades unless the book value is at least $4500 Scammers/Spammers need NOT contact me Cash in hand, in person Tags: Yamaha, waverunner, seadoo, honda, kawasaki, boat, jetski, ski, rxp, rxt",,5926019534,39.446100,11,-77.335000,,"https://maps.google.com/maps/preview/@39.446100,-77.335000,16z",,$3500,power, (Frederick),Need To Sell  Yamaha WaveRunner XLT1200,https://frederick.craigslist.org/boa/5926019534.html,
4,excellent,,2016-12-19 06:02,2010 Nautique 230 2010 Super Air Nautique 230 with Ram-Lin trailer. This 230 is fully loaded with options and is powered by a PCM ZR 450 engine with 234 hours.,,5898866435,,23,,,,,$22543,power,,Fully Loaded 2010 Correct Craft Super Air Nautique 230,https://frederick.craigslist.org/boa/5898866435.html,
5,good,"['39.364700', '-77.463600']",2016-12-18 16:01,14 ft jon boat Trailer w/ newly installed lights Front decking w/ carpeting and seat 9.9 hp 1967 johnson runs great,,5924591390,39.364700,14,-77.463600,,"https://maps.google.com/maps/preview/@39.364700,-77.463600,16z",,$2000,power," (Frederick, MD)",14 ft Aluminum V-hull Jon Boat w/ trailer and 9.9 hp Johnson,https://frederick.craigslist.org/boa/5924591390.html,
6,excellent,"['39.445614', '-77.431651']",2016-12-18 13:45,"2009  Weldcraft 17 foot length 56 in beam, Wide bottom, very stable, Stick steer (You sit up front) Perfect river boat. 2008 90 HP head Yamaha with Jet drive (65 HP at the pump)  Electric trim at the motor and at the throttle.  Unknown hours on outboard guess would be between 50 and 75 hours 2008 Venture trailer  runs true all lights work 24 volt Minkota Trolling motor (I think it's 71 lb thrust)  Two 12V dc batteries included to run trolling motor One of these are less than a year old. One 12V dc battery to start outboard live well under cushioned center seat bilge pump Humming bird side scan with GPS  (Transducer disconnected to run in the shallow water of the upper Potomac river) On board battery tender for trolling batteries No leaks, boat runs dry.   Engine runs strong Jumps up on plane to run from puddle to puddle.  axle just replaced on trailer, all lights work.   Every thing has been well maintained.",,5895102666,39.445614,17,-77.431651,Weldcraft,"https://maps.google.com/maps/preview/@39.445614,-77.431651,16z",1756ss,$10500,power, (Frederick),2009 17FT weldcraft Jet  Fish / Hunt,https://frederick.craigslist.org/boa/5895102666.html,2009
7,good,[],2016-12-18 08:32,Selling a 1978 Montgomery ward 10' Jonboat. Perfect for Potomac River flats or other shallow water hunting or fishing. Oars included. Transom good condition- can receive up to 6.5hp motor. Selling to upgrade to larger boat. Have title. Best cash offer. As is. Delivery available if paying full price.,,5924073488,,10,,Montgomery Ward,https://maps.google.com/?q=loc%3A+Weverton+rd+Knoxville+MD+US,,$300,human, (Knoxville),10' Jon Boat Jonboat johnboat,https://frederick.craigslist.org/boa/5924073488.html,1978
8,,"['39.388100', '-77.172300']",2016-12-17 21:49,"I want to get that boat out of your yard! If its in good enough shape, you could even make 200 bucks! Email with photos of what you have. Must have title or be willing to do a notarized bill of sale. Must be on a trailer that is tow ready or needs nothing more than tires. Must have motor, motor does not have to run!",,5887255618,39.388100,233,-77.172300,,"https://maps.google.com/maps/preview/@39.388100,-77.172300,16z",,,power,,Get that boat out of your yard!,https://frederick.craigslist.org/boa/5887255618.html,
9,,"['39.531100', '-77.297200']",2016-12-17 21:49,"I have a free 1961 Crestliner 17ft boat. ITS FREE!!! No trailer, you haul. No motor.",,5919796619,39.531100,17,-77.297200,,"https://maps.google.com/maps/preview/@39.531100,-77.297200,16z",,,power,,FREE BOAT!!!!,https://frederick.craigslist.org/boa/5919796619.html,1961
