,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 17:28,both run good both three seaters both have reverse . Seadoo just had oil injection rebuild fuel line's new carb new starter and jet propulsion. could use new seat cover and cleaning .Kawasaki has always run good . used them one time this year in can't see myself using them much next year.,,5905002092,,10,,Kawasaki Bombardier,,.,$2000,power, (Lexington),jet ski 99 Kawasaki STX 1100 and 96 Bombardier,https://smd.craigslist.org/boa/5905002092.html,
1,,"['38.328864', '-76.440811']",2016-12-20 16:43,"15"" fiberglass tri-hull skiff. Was a bow rider. I removed the top to make it a crab skiff. Solid floor and transom, needs to be finished. Comes with homemade trailer. Title in hand for boat. Also have a couple of small outboards for extra $.  Asking $250 obo for boat and trailer.",,5918300581,38.328864,15,-76.440811,,"https://maps.google.com/maps/preview/@38.328864,-76.440811,16z",,$250,power, (Lusby),15' Fiberglass Boat,https://smd.craigslist.org/boa/5918300581.html,
2,,"['38.329134', '-76.441841']",2016-12-20 16:42,"19' Robalo Center Console. Solid boat in need of a new transom. Old one has been partially removed. I had planned to make the repair with sea cast pourable material. Comes with a nice galvanized all roller trailer . Also includes steering and control cables, fish finder, misc gages, etc. Titles in hand for boat and trailer. Asking $750 for boat and trailer or $1250 with a 150 hp Mercury/Force outboard Thanks for looking.",,5927344801,38.329134,19,-76.441841,,"https://maps.google.com/maps/preview/@38.329134,-76.441841,16z",,$750,power, (Lusby),Robalo Center Console,https://smd.craigslist.org/boa/5927344801.html,
3,,,2016-12-20 13:10,2001 Custom Built Fiberglass over Wood 19' Long with a 40 HP Yamaha Outboard (2001 model year). Call show contact info (please don't text) ask for John. Please leave a detailed message including your name and number if there's no answer.,,5918543944,,19,,,,,$5900,power," (Dunkirk, MD)",2001 19' Custom Built Boat,https://smd.craigslist.org/boa/5918543944.html,2001
4,,"['38.377798', '-76.435232']",2016-12-20 11:13,1988 Teka Bow Rider with trailer. Have title for both boat and trailer. Call or text Jim at show contact info If post is still up then boat is still available. Please no emails. Text or Call.,,5921595460,38.377798,18,-76.435232,,"https://maps.google.com/maps/preview/@38.377798,-76.435232,16z",,$900,power, (Lusby),18 Foot Bow Rider 900firm,https://smd.craigslist.org/boa/5921595460.html,
5,excellent,,2016-12-20 07:34,for sale is my jet ski Yamaha fzr. very fast toy. 61hrs on jet but timing chain come loose so engine broke so Yamaha cover for the damage a put in a brand new 2016 engine on it. new engine just has 6 hrs. I have a extended warrant till 2020. call if you serious about it show contact info Marshall,6,5918374570,,11,,yamaha,,fzr,$9200,power, (Maryland),yamaha jet ski fzr,https://smd.craigslist.org/boa/5918374570.html,2014
6,,"['38.525700', '-76.986500']",2016-12-20 07:05,Looking to sell my 21'center console 2001 Logic 210 w/130 Honda outboard 4stroke brand new top and 2 new batteries asking $8000 obo,,5918065158,38.525700,21,-76.986500,,"https://maps.google.com/maps/preview/@38.525700,-76.986500,16z",,,power,,Logic 210,https://smd.craigslist.org/boa/5918065158.html,
7,excellent,"['38.858200', '-76.614500']",2016-12-20 06:21,"1984 Classic 17' Boston Whaler Montauk with 2014 Caravan trailer. 90HP 4S Yamaha w/factory warranty good till 7/17. Bimini, 2 new batteries, seat cushions replaced, 3 gas cans,no feedback steering installed last year, anchor and rode, 2 fenders, 2 life jackets, 1"" brass drains in stern replaced in 2015.  Rails re-secured, Minkota trolling motor with new battery, Garmin 70S touch screen chart plotter/fish finder (cost $1200 in 2015). asking $11,495.00",370,5926541625,38.858200,17,-76.614500,Boston Whaler,"https://maps.google.com/maps/preview/@38.858200,-76.614500,16z",Montauk,$11495,power, (Harwood),17' Boston Whaler Montauk,https://smd.craigslist.org/boa/5926541625.html,1984
8,excellent,"['38.858200', '-76.614500']",2016-12-20 06:07,"1984 Classic 17' Boston Whaler Montauk with 2014 Caravan trailer. 90HP 4S Yamaha w/factory warranty good till 7/17. Bimini, 2 new batteries, seat cushions replaced, 3 gas cans,no feedback steering installed last year, anchor and rode, 2 fenders, 2 life jackets, 1"" brass drains in stern replaced in 2015.  Rails re-secured, Minkota trolling motor with new battery, Garmin 70S touch screen chart plotter/fish finder (cost $1200 in 2015). asking $11,495.00",370,5926541925,38.858200,17,-76.614500,Boston Whaler,"https://maps.google.com/maps/preview/@38.858200,-76.614500,16z",Montauk,$11495,power, (Harwood),17' Boston Whaler Montauk,https://smd.craigslist.org/boa/5926541925.html,1984
9,excellent,"['38.332231', '-76.462097']",2016-12-20 01:07,"For sale:  1998 Proline 240 Sportsman.  Great Fishing, crabbing, tubing.  Twin 150 HP 2002 Mercs professionally maintained and winterized by certified Marina.  Some upgrades include fishfinder GPS combo, touch screen, downview/ sonar.  LED Deck lighting, outriggers, port a potti, new batteries, transom lights....  Lots of fish storage.  Custom cushions for the bow area for cruising, winter storage boat cover and bimini tent for the bow in case the family needs more shade.  Serious Inquiries only.  With trailer!!!! Located at Spring Cove Marina.  Will show by appt.  email only.",960,5926450821,38.332231,25,-76.462097,Pro Line,"https://maps.google.com/maps/preview/@38.332231,-76.462097,16z",240 Sportsman,$23500,power, (Solomons Isl MD),1998 240 Proline Sportsman CC  TWIN 150 Merc,https://smd.craigslist.org/boa/5926450821.html,1998
