,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-11 17:45,"Shorelander Boat Trailer for up to 21ft boat Boat no longer on trailer, boat not included. Good tires and bearing buddies Lights jack winch stand all work Trailer is ready for your boat $750 Call/Text/Email 419-9seventwo-1zero87 Tags: Trailer Trailor Shore Landr Shorelandr do NOT contact me with u",,5875378530,,21,,,,,$750,power, (Curtice),Shoreland'r Boat Trailer for up to 21ft boat,https://annarbor.craigslist.org/boa/5875378530.html,
1,,"['42.595302', '-83.935890']",2016-12-11 14:18,Checkmate Project boat for sale or parts.Motor is stuck in gear not sure why ? Boat hull is solid Trailer is solid I have registration for both the boat and trailer.The motor has power trim that works.Selling as is Asking 450 OBO,,5909175105,42.595302,15,-83.935890,,"https://maps.google.com/maps/preview/@42.595302,-83.935890,16z",,$450,power,,Speed Boat 15FT Checkmate 115HP Mercury Power Trim,https://annarbor.craigslist.org/boa/5909175105.html,
2,like new,"['42.335800', '-83.384600']",2016-12-11 12:03,"2014 Mirrocraft Deep V, 16ft Aluminum Boat with 2014 20hp Mercury 4 stroke & Trailer Used approx 6 times, great on gas, easy start, Motor has 3 year Mercury factory warranty till Aug 2017. Great for fishing, cruising, & hunting..  No issues Includes life jackets, storage cover, oars, etc.. Easy to tow with a 4 cylinder car $5,600  Priced to Sell show contact info Lund Row Searay Bayliner Crestliner Starcraft Lowe Duck John Jon",12,5880611858,42.335800,16,-83.384600,Mirrocraft,"https://maps.google.com/maps/preview/@42.335800,-83.384600,16z",4656,$5600,power," (Westland, MI)",2014 Mirrocraft 16' Fishing Boat 20HP Mercury,https://annarbor.craigslist.org/boa/5880611858.html,2014
3,,"['42.805900', '-83.973000']",2016-12-11 10:12,"I have for sale a 12ft sea king row boat. In great shape and has been taken care of. It has 2 removable swivel seats. It comes with 2sets of ores, 2 smaller outboard motors. One is a 7hp sea king the other is a 4.5hp Sears Ted Williams edition. Both run just need some tinkering. anchor, trolling motor. There are no leaks. I'm asking 550$ for everything o.b.o. my name is ken. 2 three 1 three 5 zero3 two 4 zero. Thanks for looking. Please no emails.",,5902090280,42.805900,12,-83.973000,sea king,"https://maps.google.com/maps/preview/@42.805900,-83.973000,16z",,$1,power, (byron),12ft sea king row boat,https://annarbor.craigslist.org/boa/5902090280.html,
4,good,"['42.426343', '-84.174255']",2016-12-10 20:39,"I have a 16' deck boat (seems bigger) with center console to walk around both sides...reapolstered seats,very nice for its age... Has trailer and custom cover...100hp evinrude...it fly's!! Have video from this summer....built in gas tank....power trim works....lots of storage...nice long seats in the back....and plenty of space up front....needs either a starter or solenoid.... You won't be disappointed when you get this on the lake whether cruising with friends,pulling a couple tubes with the kids or fishing....room like a pontoon with speed of boat ! I no longer have a spot on the lake to dock it....call or text if interested.... show contact info Ron trade this and cash for Trailblazer..?",,5878656066,42.426343,16,-84.174255,Viking,"https://maps.google.com/maps/preview/@42.426343,-84.174255,16z",,$1100,power, (Stockbridge),Deck boat '16,https://annarbor.craigslist.org/boa/5878656066.html,1980
5,excellent,,2016-12-10 19:15,this ski is in excellent condition trailer also excellent. 657 motor is bad. $500 may trade?,,5892294754,,10,,sea-doo gtx,,,$500,power, (byron),3 seater seadoo gtx & trailer,https://annarbor.craigslist.org/boa/5892294754.html,1994
6,excellent,"['41.842881', '-83.411794']",2016-12-10 12:51,Twin 150 Evinrude boat and motors Just serviced Trailer all new tires wheel bearings and lights GPS Fish Finder Tee top,,5891606288,41.842881,25,-83.411794,Mako  Center Console,"https://maps.google.com/maps/preview/@41.842881,-83.411794,16z",,$14500,power, (Monroe Michigan),Mako 25ft Center Console 1988,https://annarbor.craigslist.org/boa/5891606288.html,
7,excellent,"['42.528290', '-83.735390']",2016-12-10 11:51,"1992 Maxum 1900sr. Runs great. Asking $4,500 obo or also willing to trade for smaller electric pontoon boat or pop up camper. List of upgrades include...... Radio and speakers 2015 New seats 2015 New winter cover 2016 New bow cover 2016 Sale also includes spare prop and two sand bar mooring poles. Bought last year and don't use it enough to justify owning. Has been checked and winterized for the winter by Wilson Marine.",,5913628937,42.528290,195,-83.735390,Maxum,"https://maps.google.com/maps/preview/@42.528290,-83.735390,16z",1900sr,$4500,power, (Brighton),1992 Maxum,https://annarbor.craigslist.org/boa/5913628937.html,1992
8,excellent,"['42.279400', '-83.784000']",2016-12-10 11:04,"UNIQUE AND INSPIRING Seafood Restaurant sign painted like a boat's name placard at dock. Sign says Invincible! Dark grey-blue background with gold paint. Solid wood. See photos. Great for any marine themed home, restaurant or office. BIG 7' long X 8 1/2"" wide. Close to U of M colors. Very motivating!  Solid wood.",,5913556271,42.279400,7,-83.784000,Handmade,"https://maps.google.com/maps/preview/@42.279400,-83.784000,16z",,$375,human, (Ann Arbor),"""INVINCIBLE"" Boat Name Sign",https://annarbor.craigslist.org/boa/5913556271.html,
9,,,2016-12-10 06:57,"16' Starcraft boat with 75hp Johnson. Interior of boat was redone by the previous owner, seats are in good condition and floor is solid. Motor has a weak starter that will need to be replaced. 55lb trolling motor on the front with onboard charging. Trailer is not pretty but has newer tires and bearings. Nice boat for fishing or cruising around, bimini top is almost brand new. Negotiable on price.",,5913319148,,16,,Starcraft,,,$3000,power, (Ann Arbor),1978 Starcraft,https://annarbor.craigslist.org/boa/5913319148.html,1978
