,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-10 19:38,"2001 TAHOE PONTOON BOAT WITH A 40 HORSE JOHNSON OUTBOARD ,HAS TILT AND TRIM,RUNS GOOD,HAS A LIVE WELL/COOL IN THE FRONT WITH FULL COUCH IN THE CENTER WITH TWO FISHING SEAT AT THE BACK,GOOD BIMINI TOP AND HAS A COVER TO,ALL ALUMINUM BASES FOR THE SEATS TO,,NO RADIO ITS GOT A PLACE FOR IT BUT ITS NOT THERE,NICE PONTOON NEEDS A GOOD CLEANING, 6700 OBO WILL NOT HOLD AND ITS FCFS.",,5914284439,,20,,,,,$6700,power, (COLDWATER),2001 tahoe pontoon boat,https://battlecreek.craigslist.org/boa/5914284439.html,
1,excellent,"['41.843737', '-83.412027']",2016-12-10 13:00,Sylvan call and make an offer LIQUIDATION SALE SPLENDOR LOGIC LUND MAKO WELLCRAFT CRESTLINE Go to Eriebayharbormarina.com to see boats or call and make an appointment  to view boats,,5870220322,41.843737,25,-83.412027,Sylvan,"https://maps.google.com/maps/preview/@41.843737,-83.412027,16z",,$8500,power, (Monroe MI),100+ Boats For Sale  mako well craft lund,https://battlecreek.craigslist.org/boa/5870220322.html,
2,excellent,"['41.904241', '-85.795788']",2016-12-10 10:45,"1996 Sea Ray 175 Five Series Bow Rider. 18' 2"" Long Absolutely beautiful boat for its age. Trailer included, in equally great shape. Equipped with a Mercruiser 3.0L LX 135 HP I/O Engine. Runs good - Engine sometimes bogs down on acceleration. Engine will also ""diesel"" sometimes after shutting off ignition. Could be carburetor adjustments, but I could never get it figured out. Overall runs great. Will pull tubers no problem. New/rebuilt carburetor in 2013. New Interstate battery in 2014. New water pump, plugs, distributor, wires and fuel filter in 2015. Oil changed at the end of this season. Boat was in water all of 2016 season (on hoist). Really no issues other than noted above. Gets compliments every year I put in in the water. Selling my lakefront property, no longer need. Included with sale is a Hummingbird fish finder, various size life jackets, tube and tubing/ski rope, extra prop, anchor, various extra engine fluids, and others! Everything you need for the 2017 season! Asking $5900. Please feel free to contact with any questions. Thanks!",,5910153197,41.904241,218,-85.795788,Sea Ray,"https://maps.google.com/maps/preview/@41.904241,-85.795788,16z",175 Bow Rider,$5900,power," (Jones, MI)","1996 Sea Ray 175 Bow Rider (18' 2"")",https://battlecreek.craigslist.org/boa/5910153197.html,1996
3,,"['42.043317', '-85.186501']",2016-12-09 12:51,"For sale   AWESOME 16 ft BASS BOAT  VERY GOOD COND RUNS LIKE NEW  60 HP JOHNSON WITH POWER TILT AND TRIM ,FISH FINDERS, TROLLING MOTOR, SILVER METAL FLAKE , DRIVE ON TRAILER, AND BOAT COVER GREAT BOAT FOR A GREAT PRICE  $ 3 000              NO EMAIL OR TEXT    PHONE CALLS ONLY   # show contact info ANY  QUESTIONS  PHONE CALLS ONLY",,5912350907,42.043317,16,-85.186501,,"https://maps.google.com/maps/preview/@42.043317,-85.186501,16z",,$3000,power, (union city mi),16  ft bass boat 60 hp johnson & trailer,https://battlecreek.craigslist.org/boa/5912350907.html,
4,,"['41.967404', '-84.285736']",2016-12-09 11:34,"A very nice Shorelander Waverunner trailer winter priced @ $400. Price will be higher in the spring. It has an adjustable strap type tongue winch, adjustable bunkers, rear tie downs, 8"" tires for easy loading, lights work and this trailer is ready to use. It transported a large 3 seater sea doo. Call for more details.",,5895716244,41.967404,11,-84.285736,,"https://maps.google.com/maps/preview/@41.967404,-84.285736,16z",,$400,human," (Manitou beach,mi)",Waverunner trailer --winter price,https://battlecreek.craigslist.org/boa/5895716244.html,
5,,,2016-12-08 16:37,"300 obo, 12 foot boat with trailer and oars",,5878688672,,12,,,,,$300,human, (Battle creek),12 foot and trailer,https://battlecreek.craigslist.org/boa/5878688672.html,
6,good,"['41.925500', '-85.005700']",2016-12-06 18:12,"99 JOHNSON MOTOR,TILT & TRIM, RUNS LIKE NEW, 1992 SYLVAN 17 FOOT PONTOON, GREAT SHAPE, SEE PICTURES, COMES WITH , COVER LIVE WELL, BIMNI TOP , NICE SEATS JUST NEED CLEANED AND AN GREAT MOTOR!... NO TRAILER,but FREE DELIVERY... CAN DELIVER IT FOR YOU....TEXT ASKING TO EMAIL R DELETED",,5908513872,41.925500,17,-85.005700,SYLVAN,"https://maps.google.com/maps/preview/@41.925500,-85.005700,16z",,$3200,power, (KINDERHOOK MI),JOHNSON 1999 35hp &>>FREE DELIVERY!! 17' SYLVAN PONTOON BOAT,https://battlecreek.craigslist.org/boa/5908513872.html,1999
7,,"['42.302800', '-85.212800']",2016-12-05 12:03,"I am selling my 1998 Sylvan 12ft aluminum fishing boat. It comes with nice galvanized trailer, new oars, new trolling motor (used twice), 4 pole holders, 2 anchors, new swivel foldable seats, and older fish finder. It has been in my garage and just don't use it. I am looking to sell or trade for a quad, 4 wheeler, snowmobile, golf cart, go kart, go cart, guns, or fat tire mountain bike. I have over$1000 into it and it's in great shape. I live in Battle Creek, but it is at my property in Bitely Michigan.  I also have an older mercury 5.5hp motor that I would throw in for an additional $200. It comes on a stand. It hasn't been ran in a couple years but it ran great when last used.",,5906371766,42.302800,12,-85.212800,Sylvan,"https://maps.google.com/maps/preview/@42.302800,-85.212800,16z",,$900,human, (Battle Creek),1996 Sylvan 12ft Aluminum boat,https://battlecreek.craigslist.org/boa/5906371766.html,1998
8,excellent,"['42.285723', '-85.222363']",2016-12-05 08:15,"Yellow & White Malibu Wake Setter powerboat. 20'-6"" length Low Hours Comes with Cover, Stereo, Wake Board Tower, Trailer. Lift shown in pictures is available for additional cost TBD dependent on how/when you can pickup the boat/trailer.",,5886151248,42.285723,20,-85.222363,Malibu,"https://maps.google.com/maps/preview/@42.285723,-85.222363,16z",Wakesetter,$21000,power, (Battle Creek),2002 Malibu Wakesetter,https://battlecreek.craigslist.org/boa/5886151248.html,2002
9,good,"['41.925500', '-85.005700']",2016-12-03 20:13,"FIRST $255        ,,,9.9 HP FORCE CAMO ,RUNS BUT NEEDS HELP, CARB. STAND NOT INCLUDED",,5864527963,41.925500,11,-85.005700,FORCE,"https://maps.google.com/maps/preview/@41.925500,-85.005700,16z",9.9,$255,power, (KINDERHOOK MI),FORCE 9.9 HP OUTBOARD MOTOR,https://battlecreek.craigslist.org/boa/5864527963.html,
10,,,2016-12-02 16:47,"LOOKING TO GET RID OF THIS WEEK RUNS DRIVES AND IS READY TO HAUL AWAY ITS 1987 KAYOT DECK BOAT HAS BRAND NEW ENGINE OVERHAUL WITH RECIECTS, THE RADIO AND SPEAKERS WORK V6 LOOKS BETTER THAN PONTOON AND YOU GET THE SAME PARTY BARGE FEEL THE INTERIOR SEATS WILL NEED WRAPPED, I HAVE TGE MATERIALS BUT TO MANY PROJECTS RIGHT NOW.. radio / cd player works PLEASE TXT ME IF INTERESTED show contact info",,5899033989,,21,,,,,$1500,power, (Battle Creek),Kayot deck boat,https://battlecreek.craigslist.org/boa/5899033989.html,
11,good,"['41.925500', '-85.005700']",2016-12-01 17:00,"NEW DECK ,FLOORING.. 3O HP RUNS GREAT , NICE BIMINI TOP WITH DARK BLUE CANVAS.... NO TRAILER , WILL DELIVER FOR YOU... TEXT ASKING TO EMAIL R DELETED",,5859891801,41.925500,18,-85.005700,CRUISER,"https://maps.google.com/maps/preview/@41.925500,-85.005700,16z",,$1895,power, (KINDERHOOK MI),"CRUISER 18 FOOT PONTOON, 30HP EVINRUDE,RUNS GOOD",https://battlecreek.craigslist.org/boa/5859891801.html,
12,good,,2016-11-30 18:08,Nice vintage restorable speed boat. 55 HP Chysler Motor starts and runs good. The shift linkage is not working correctly as it revs up too much before it shifts into gear. $650 show contact info cash in hand only,,5899882165,,15,,Alumicraft,,,$650,power,,15' vintage alumicraft speed boat.,https://battlecreek.craigslist.org/boa/5899882165.html,
13,excellent,"['42.332200', '-85.181100']",2016-11-29 16:29,14 foot aluminum boat. 43 inches wide flat bottom painted camo   great for duck hunting.a few leaks by transom but nothing to even worry over. Has two oars and swivel seats.r registered till 2019 with title. 300 or best offer. May possibly trade if you have the right stuff.,,5898146974,42.332200,14,-85.181100,,"https://maps.google.com/maps/preview/@42.332200,-85.181100,16z",,$300,power, (Battle creek),Aluminum boat,https://battlecreek.craigslist.org/boa/5898146974.html,
14,good,"['42.452500', '-85.048900']",2016-11-26 12:13,"-2005 Mercury 60hp oil injected motor with power trim & tilt and new controls -Lights on the front, rear & interior -6 Cannon rod holders -2 Tite Lock rod holders -Automatic bilge pump -Electric anchor in the front with chain anchor -Humminbird 597ci HD color fish finder w/GPS and down imaging and Lake Master SD card -2 6 gallon gas cans -Boat cover, not in great condition -2 Batteries with shut offs -New tires & wheels on trailer -4 life jackets & fire extinguisher -Ready for the water Cash Only, NO trades Call or text 26nine-4two0-32five1",,5874790974,42.452500,16,-85.048900,Tracker,"https://maps.google.com/maps/preview/@42.452500,-85.048900,16z",Sweet 16,$4000,power,,1993 Tracker Sweet 16 ft Fishing Boat 60 hp Mercury Outboard,https://battlecreek.craigslist.org/boa/5874790974.html,1993
15,,,2016-11-25 06:38,"Hyster S155XL, 15,500#,Cushion Tired Forklift, w/PowerShift Transmission Great Operating Forklift w/ 106""/134"" Mast, Side Shift",,5891309368,,0,,,,,$15500,power,,"Hyster S155XL, 15,500#,Cushion Tired Forklift",https://battlecreek.craigslist.org/boa/5891309368.html,
