,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['43.408300', '-85.485600']",2016-12-20 18:52,"EBBTIDE Speed Boat Brand new fold up seats. Has new stereo and speakers. 90 HP motor. Runs great. Boat has been winterized/covered now..Has new tags for 2019. Only interested inquiries please! $2,200.00 cash only",,5923666883,43.408300,16,-85.485600,,"https://maps.google.com/maps/preview/@43.408300,-85.485600,16z",,$2200,power, (Howard City),**EBBTIDE Speed Boat**,https://centralmich.craigslist.org/boa/5923666883.html,
1,good,"['43.857500', '-85.021900']",2016-12-20 17:40,14 Foot Fishing Boat with Seats Registered Tag on Aluma Craft good until 2018 Sale Price - $300.00 Call Greg if interested at show contact info,,5927419864,43.857500,14,-85.021900,AlumaCraft,"https://maps.google.com/maps/preview/@43.857500,-85.021900,16z",,$300,human," (Lake, MI)",Aluma Craft Fishing Boat,https://centralmich.craigslist.org/boa/5927419864.html,
2,excellent,"['42.825500', '-82.513300']",2016-12-20 17:16,2012 panther airboat ice hull LS  aluminum motor 500 hp the ultimate ice fishing machine will run on dry ground,,5927390216,42.825500,18,-82.513300,Panther,"https://maps.google.com/maps/preview/@42.825500,-82.513300,16z",,$29500,power,,Panther 18 ft ice hall airboat,https://centralmich.craigslist.org/boa/5927390216.html,2012
3,excellent,[],2016-12-20 16:26,"2014 Sylvan Mirage 820 Pontoon Boat and Genesis Trailer. 25 hp Mercury 4 stroke EFI engine, swivel fishing seats, fishing rod compartment, live well, electric anchor, changing room, great layout.  Call or text Bob at show contact info excellent condition.",,5895062075,,20,,Sylvan,https://maps.google.com/?q=loc%3A+%31%33%35%32%35+Torrey+Rd%2E+Fenton+MI+US,Mirage 820,$16500,power, (Fenton Mi.),2014 Sylvan Mirage 820 Pontoon Boat and Trailer,https://centralmich.craigslist.org/boa/5895062075.html,2014
4,excellent,,2016-12-20 11:43,"2008 Bayliner 245BR (Funship style) with a Mercruiser 5.0. As you can see from the pictures, there are a ton of great options on this boat (to many to list). I found this video on youtube and it's essentially the same boat https://www.youtube.com/watch?v=Cn47DJ3_6ao I just finished detailing everything, that is why the boat is wet in some of the pictures. I had a gentleman professionally wheel the wax the entire boat out 2 weeks ago. I just got the boat back from Ann's Canvas after having some upholstery work done. Anna' also completely repaired the canvas covers that had a few issues. Before going to Ann's the boat was serviced, had a new distributor installed and professionally winterized by Van's Sport Center. Everything is in great mechanical order! The trailer is a dual axle Karavan that is in great condition and tows wonderfully. Please feel free to call me with any questions, my number is show contact info anytime.",,5926873753,,24,,Bayliner,,245BR,$23500,power, (Grand Rapids),2008 Bayliner 245BR Funship Bowrider,https://centralmich.craigslist.org/boa/5926873753.html,2008
5,,"['42.995800', '-82.459900']",2016-12-20 09:58,"beautiful, sleek and fast,",,5926696775,42.995800,16,-82.459900,,"https://maps.google.com/maps/preview/@42.995800,-82.459900,16z",,$1500,human, (port huron),kayak cedar fir strip 16 ft,https://centralmich.craigslist.org/boa/5926696775.html,
6,new,,2016-12-20 09:52,"I Have a Big Jon Planner Board Mast (New never used) and set of Planner Boards, $225.00 takes all, PH. show contact info",,5914660868,,6,,,,,$225,human, (Chesaning),Big Jon Planner Board Mast and Planner Boards,https://centralmich.craigslist.org/boa/5914660868.html,
7,like new,,2016-12-20 09:50,"2007 14 Ft Starcraft Deep V, very deep and wide, with 15 HP Johnson 2 Stroke, Rod Holders, Custom Cover, Yacht Club Galvanized Trailer with Swing Away Tongue and Spare Tire, all bought new in 2008 and used very little, garage kept, Looks and Runs Like New, Very Clean, $3,900 Cash Only! Will Delete when Sold, No Trades!",25,5908044957,,14,,,,,$3900,power, (Mid. MI),2007 14 FT Starcraft,https://centralmich.craigslist.org/boa/5908044957.html,
8,,"['30.095600', '-81.621700']",2016-12-19 23:05,This boat is in excellent condition  and is all aluminum.The engines are twin 240 hp each Chryslers in excellent cond .contact Bob at show contact info .,934,5923681849,30.095600,28,-81.621700,american Aluminun m,"https://maps.google.com/maps/preview/@30.095600,-81.621700,16z",express,$10000,power, (jacksonville fl),1988 Marinette express 28 ft cabine cruiser,https://centralmich.craigslist.org/boa/5923681849.html,1988
9,good,"['43.601300', '-84.773600']",2016-12-19 14:00,"Smoker Craft 15"" Aluminum Canoe W/ Side Flotation, $325.00.",,5909398825,43.601300,15,-84.773600,Smoker Craft,"https://maps.google.com/maps/preview/@43.601300,-84.773600,16z",N/A,$325,human, (Mt. Pleasant),Canoe 15' Aluminum,https://centralmich.craigslist.org/boa/5909398825.html,
