,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['42.994100', '-84.760000']",2016-12-11 18:53,"14ft Jon boat with older 9.5 Johnson motor, runs great.  Fresh paint.  No leaks. 30lb thrust trolling motor with battery.  Motor starts on first or second pull, had a tune up this summer. $700 Obo.   Must sell.   Text or call 20Eight320Eight9tW07.   Palo/Carson City area",,5915432037,42.994100,14,-84.760000,,"https://maps.google.com/maps/preview/@42.994100,-84.760000,16z",,,power,,14 ft Jon Boat,https://centralmich.craigslist.org/boa/5915432037.html,
1,,"['42.759400', '-91.119000']",2016-12-11 17:12,"Absolutely pristine 2006 C-Dory 16' Cruiser, everything in excellent to near perfect condition, has not been in the water since being totally (professionally) reconditioned/restored (this boat is like new), 50 Honda Four Stroke, low hours. Brand new, custom designed Sunbrella top (never exposed to elements at this point). Top was custom designed for extra headroom for taller guys, Stainless Steel tubular construction, special tube frame design for unobstructed fishing out each side, in dash depth finder, right side (Pilot side) electric wind shield wiper, left side manual wind shield wiper, pilot seat pedestal, electrical main switch, bilge pump, galvanized bunk type trailer with excellent tires, new bunks, has new spare tire, Bearing Buddies, easy to pull. Up to date/current Iowa registrations on boat and trailer. $19,850.00 OBO Delivery Available",,5893608302,42.759400,16,-91.119000,,"https://maps.google.com/maps/preview/@42.759400,-91.119000,16z",,,power,,16' C-Dory Cuiser,https://centralmich.craigslist.org/boa/5893608302.html,
2,,"['45.336500', '-84.212300']",2016-12-11 17:01,"2013 Pro Guide V175 walk through, 90hp Mercury 4 stroke, bow trolling motor, trolling plate. wired for downriggers, Includes 2 Big John Brute electric downriggers with Phischon versa track downrigger mounts, Lowrance Hook 9 fish finder with GPS and down imaging.Tracker trailer with swivel toungue,",,5915301894,45.336500,175,-84.212300,Tracker,"https://maps.google.com/maps/preview/@45.336500,-84.212300,16z",Pro Guide V175,$16500,power, (Onaway),2013 Tracker ProGuide V175,https://centralmich.craigslist.org/boa/5915301894.html,2013
3,new,,2016-12-11 08:22,"I Have a Big Jon Planner Board Mast (New never used) and set of Planner Boards, $225.00 takes all, PH. show contact info",,5914660868,,6,,,,,$225,human, (Chesaning),Big Jon Planner Board Mast and Planner Boards,https://centralmich.craigslist.org/boa/5914660868.html,
4,like new,,2016-12-11 08:01,"2007 14 Ft Starcraft Deep V, very deep and wide, with 15 HP Johnson 2 Stroke, Rod Holders, Custom Cover, Yacht Club Galvanized Trailer with Swing Away Tongue and Spare Tire, all bought new in 2008 and used very little, garage kept, Looks and Runs Like New, Very Clean, $3,900 Cash Only! Will Delete when Sold, No Trades!",25,5908044957,,14,,,,,$3900,power, (Mid. MI),2007 14 FT Starcraft,https://centralmich.craigslist.org/boa/5908044957.html,
5,,,2016-12-11 05:06,"""RESERVE YOUR SEAT FOR THE WINTER "" ........ 1 Week Captains License Class and Test in...... Mt. Clemens, Starts .......""January 7th"".......and again.......""February 18th""....... 100% Guaranteed and we give the test. No X-tra or hidden fee's. Great Lakes Charter Training has been assisting Mariners achieve their goals since 1989. Cost includes the Class, Materials and Test. Call 1-800 CAPT MEL (227-8635) or visit us on line at GLCTraining.com. Delivery Captain, Fishing Charters, Day Sail and Sunset Cruises, Dive Boats, Tow Boats and More......Do what you have always dreamed of and get paid to be on the water!",,5893594172,,1,,,,,$995,human, (Mt. Clemens),1 Week Captains License Class,https://centralmich.craigslist.org/boa/5893594172.html,
6,,[],2016-12-10 22:14,CHRISTMAS END OR YEAR SALE SOME UNITS WELL BELOW DEALER COST F2.5MSHA LIST:1050.00 SALE:750.00 F4LMHA OR SMHA LIST 1590.00 SALE:1250.00 F6SMHA OR LMHA LIST 1900.00 SALE:1550.00  F8SMHA OR LMHA LIST:2510.00 SALE:2045.00 F9.9SMHB OR LMHB  LIST:2890.00 SALE:2365.00  F15SMHA LIST:3120.00 SALE:2725.00  NON-CURRENT  NEW F15CELH LIST:3420.00 SALE:2645.00 F15LEHA LIST:3420.00 SALE:3095.00 F20LMHA LIST:3580.00 SALE:2995.00 F20SEHA LIST:3955.00 SALE:3450.00 F20LEHA LIST:3990.00 SALE:3495.00 HIGH THRUST T9.9LEHB LIST:3490.00 SALE:2990.00 T9.9XPB LIST 3700.00 SALE:3150.00  F50LB & F70LB  ALSO USED EVINRUDE 15 LONG 895.00 CALL WITH QUESTIONS OR FOR MODELS NOT LISTED: M-F 9.00-4.30,,5905259279,,1,,,https://maps.google.com/?q=loc%3A+%33%36%31%38%33+S%2E+Whitney+Bay+Rd%2E+Drummond+Island+MI+US,,,power,,Yamaha Outboards,https://centralmich.craigslist.org/boa/5905259279.html,
7,excellent,,2016-12-10 14:00,"Pontoon Paddle Boat 12'ft VGC. PADDLE KING. Cash only! $1,500 $1499 won't buy it. Will not hold for more then 2hrs or take deposit. Don't wait until spring to find one used because you won't' as you might already know. #PK3000 look it up. This is 1/2 the cost of new after taxes. Thank you",,5901909320,,12,,Paddle king,,Pk3000,$1500,human, (Standish),Pontoon Paddle Boat,https://centralmich.craigslist.org/boa/5901909320.html,
8,good,,2016-12-10 13:22,1972 Crestline Pontoon Boat with a 25hp Tracker motor (3 years old) and a relatively new (4 year old) Bimini top. Runs Great! It does not have a trailer.,,5913778694,,20,,Pontoon,,Crestline,$2000,power," (Lakeview, MI)",1972 Crestline Pontoon Boat with 25 HP Tracker Motor,https://centralmich.craigslist.org/boa/5913778694.html,1972
9,excellent,[],2016-12-10 13:08,"2014 Sylvan Mirage 820 Pontoon Boat and Genesis Trailer. 25 hp Mercury 4 stroke EFI engine, swivel fishing seats, fishing rod compartment, live well, electric anchor, changing room, great layout.  Call or text Bob at show contact info excellent condition.",,5895062075,,20,,Sylvan,https://maps.google.com/?q=loc%3A+%31%33%35%32%35+Torrey+Rd%2E+Fenton+MI+US,Mirage 820,$15900,power, (Fenton Mi.),2014 Sylvan Mirage 820 Pontoon Boat and Trailer,https://centralmich.craigslist.org/boa/5895062075.html,2014
