,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['42.928200', '-83.626400']",2016-12-20 18:30,1997 14' Smoker Craft boat for sale.  Boat is an excellent fishing and leisure boat.  25 Hp Mercury 2 stroke motor.  Minn Kota trolling motor with copilot. Center console steering.  Live well.  Lots of storage.  Lowrance Mark 4 Depth finder. Trailer has newer tires replaced last year.  If you have any questions please feel free to contact me.  Asking $2900 or best offer. Thanks for looking!,,5914769706,42.928200,14,-83.626400,Smoker Crafter,"https://maps.google.com/maps/preview/@42.928200,-83.626400,16z",,$2900,power, (Grand Blanc),1997 Smoker Craft 14' 25 HP Mercury,https://flint.craigslist.org/boa/5914769706.html,1997
1,,"['42.552827', '-83.750668']",2016-12-20 18:09,"Decent older motor with power trim not ran in long time needs a good going through has good compression,Stainless Steel Prop,Controls included, Asking 425 obo",,5917731573,42.552827,10,-83.750668,,"https://maps.google.com/maps/preview/@42.552827,-83.750668,16z",,$425,power,,50 HP Mercury Outboard Motor Power Trim,https://flint.craigslist.org/boa/5917731573.html,
2,,"['42.598714', '-83.941727']",2016-12-20 16:29,Checkmate Speed Boat Needs work selling as is 400 or best offer.,,5908688001,42.598714,16,-83.941727,,"https://maps.google.com/maps/preview/@42.598714,-83.941727,16z",,$400,power,,Checkmate Boat Motor Trailer,https://flint.craigslist.org/boa/5908688001.html,
3,excellent,[],2016-12-20 16:07,"2014 Sylvan Mirage 820 Pontoon Boat with 25 HP Mercury 4 stroke and Genesis Trailer. Fish and cruise boat. Fishing rod holder compartment, live well, swivel fishing seats, electric anchor, changing room, great layout. Call or text direct show contact info Bob",,5903560151,,20,,Sylvan,https://maps.google.com/?q=loc%3A+%31%33%35%32%35+Torrey+Rd+Fenton+MI+US,Mirage 820,$16500,power," (Fenton, Mi.)",2014 Sylvan Mirage 820 Pontoon Boat and trailer,https://flint.craigslist.org/boa/5903560151.html,2014
4,good,"['42.946800', '-83.817000']",2016-12-20 15:41,"14' AMF  Force 5 Sailboat 21' mast Highlander trailer with newer tires, wheels, and bearings Everything included -excellent condition sheet by north sails -all hardware -daggerboard and tiller/rudder Boat is in good condition, few stress cracks in the fiberglass due to age, very seaworthy Asking $975 o.b.o.",,5927257861,42.946800,14,-83.817000,AMF,"https://maps.google.com/maps/preview/@42.946800,-83.817000,16z",Force 5,$975,sail, (Swartz Creek),Force 5 Sailboat,https://flint.craigslist.org/boa/5927257861.html,1978
5,good,[],2016-12-20 15:13,Year : 1990 Make : Regal Model: Valentines 225 SC MC # : 5784PC 2986173 fuel : gas INBOARD call or text show contact info or call show contact info,,5927180440,,22,,Regal,https://maps.google.com/?q=loc%3A+%36%32%34+Brady+St+Chesaning+MI+US,Valentines 225 SC,$3500,power, (Chesaning),1990 Regal 22′ inboard boat,https://flint.craigslist.org/boa/5927180440.html,1990
6,,,2016-12-20 11:35,"1986 Blue Fin row boat with 7-1/2hp Mercury outboard. 3-seater in nice shape. No leaks. The transom board was replace this yr. The outboard is a little underpowered for this boat, but will get u where u need to. Nice trailer with decent tires. 2"" ball.  $900.",,5913823400,,14,,,,,$900,power, (Argentine/Linden),14'  Blue Fin Row Boat with 7-1/2hp Mercury,https://flint.craigslist.org/boa/5913823400.html,
7,excellent,,2016-12-20 09:51,94 gtx 657 3 seater. needs engine work trailer and ski are both in excellent condition this pwc is awesome when running. can pull tube or water skier with this jet ski top speed 45 mph. great winter project. asking $500 or trade for newer 14ft aluminum boat or?,,5890789646,,10,,,,,$500,power, (byron),sea-doo gtx & trailer trade?,https://flint.craigslist.org/boa/5890789646.html,
8,,,2016-12-20 05:44,"Boat motor repair inboard\outboard, winterizing special, cleaning, and\or waxing, reasonable pricing. On site(on the water or at your house) or bring it to me. For more information please call Chuck at show contact info 20hp outboard Chrysler motor for sale",,5926538179,,1,,,,,,human,,Boat motor repair,https://flint.craigslist.org/boa/5926538179.html,
9,fair,,2016-12-19 16:56,Up for sale is our 1996 Polaris SLX780. We've had it for about 10 years. Last year I was out riding across the lake and the engine quit. It seemed like it locked up. Eventually it started back up but I didn't run it long. I winterized it and hope to do something with it this year but haven't. A couple of weeks ago we pulled the prop shaft to see if the thru hull had seized. It still starts and runs but I thing the oil pump is bad. Sold as is with a title. Ski only $350 Ski and trailer $575 Will not sell the trailer separate until the ski sells,,5891525276,,8,,polaris,,slx780,$350,power, (Flint Township),1996 Polaris SLX780,https://flint.craigslist.org/boa/5891525276.html,1996
