,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['43.465200', '-85.962600']",2016-12-20 20:15,I have a used evinrude 60/40 jet drive outboard.   No controls.  $1500,,5927590020,43.465200,1,-85.962600,,"https://maps.google.com/maps/preview/@43.465200,-85.962600,16z",,$1500,power, (fremont),60/40 outboard jet,https://grandrapids.craigslist.org/boa/5927590020.html,
1,good,"['43.408300', '-85.485600']",2016-12-20 18:52,"EBBTIDE Speed Boat Brand new fold up seats. Has new stereo and speakers. 90 HP motor. Runs great. Boat has been winterized/covered now..Has new tags for 2019. Only interested inquiries please! $2,200.00 cash only",,5923662485,43.408300,16,-85.485600,Ebbtide,"https://maps.google.com/maps/preview/@43.408300,-85.485600,16z",,$2200,power, (Howard City),**EBBTIDE Speed Boat**,https://grandrapids.craigslist.org/boa/5923662485.html,1986
2,,"['43.408300', '-85.485600']",2016-12-20 18:50,Evinrude 9.9 HP Outboard Motor. Runs good. $550.. Cash Only,,5914058620,43.408300,12,-85.485600,,"https://maps.google.com/maps/preview/@43.408300,-85.485600,16z",,$550,power, (Howard City),9.9 Evinrude Outboard Motor,https://grandrapids.craigslist.org/boa/5914058620.html,
3,excellent,"['43.016370', '-85.792665']",2016-12-20 17:56,1998 Mariah talari. 21-6.cuddy cabin 350v8 merc cruiser 385hp at prop. new engine installed 4 years ago 425  hours. over the windshield cabin cover. bow cover bimini top with camper cover. also has a bow cover. all new life jackets new fire ext and flair gun with flares.has docking lites shore power ship 2 shore radio am fm cassette player porta potty. coast guard and sheriff approved. also have fenders. ready 2 use boat. dual axil trailer. boat is in great shape. very clean inside and out.17.500 or best offer.,425,5927440399,43.016370,21,-85.792665,mariah,"https://maps.google.com/maps/preview/@43.016370,-85.792665,16z",talire,$17500,power, (talmadge),boat,https://grandrapids.craigslist.org/boa/5927440399.html,1998
4,excellent,"['43.595560', '-85.491556']",2016-12-20 16:56,"Perception 14 "" double  sit on top kayak.  Actually has room for 3 but only 2 seats.  Room for 2 plus a dog!  Weighs approx. 60 lbs.  Stored inside during winter.  3 years old, lightly used.  Text 616 54zero 8952",,5927363563,43.595560,14,-85.491556,Perception,"https://maps.google.com/maps/preview/@43.595560,-85.491556,16z",,$450,human, (Stanwood),Double kayak,https://grandrapids.craigslist.org/boa/5927363563.html,
5,good,"['42.693200', '-85.475900']",2016-12-20 16:48,"Harris Flote Boat pontoon  20'(deck)pontoons are 24',aluminum pontoons have small dents on the very front tips otherwise dent free.Very solid older boat(1974),has adj. transom,solid floor,bimini top needs restitching,carpet worn.Selling the boat without motor for $700 firm, I have use for motor thats on it,but would let it go with boat for additional $800.Mercury 25 H.P.1989 motor with new starter,installed new starter found motor had no spark,paid for new plugs & ignition coil plus two cable assembly under flywheel,$350.+ in repairs.Will take$1400.total boat & motor together,motor runs excellent,could deliver local,trade/barter up or down. Trailer is Not for sale.Call JOE show contact info",,5927353144,42.693200,24,-85.475900,Harris Flote Boat,"https://maps.google.com/maps/preview/@42.693200,-85.475900,16z",PONTOON,$700,power, (middleville),NEW PRICE Harris Flote Boat Pontoon 20'(deck)24'pontoons,https://grandrapids.craigslist.org/boa/5927353144.html,1974
6,,[],2016-12-20 16:43,"Vans Sport Center on Alpine Avenue Vans Sport Center has River Larry Anchor Winches and Towers in stock and ready to be picked up or installed. Pictured is only the winch but we do have the River Larry Towers as well. These are the best winch systems around, and what makes them even better is that they are Michigan Made! Need the winch installed? We can do that too. We have a great selection of Anchor Chains for river boats in various weights and lengths in stock here at the shop. If you don't see the size you need, we can custom cut some chain for you to your desired length. We also carry Pyramid Anchors in weights ranging from 30lbs - 70lbs. You can also call or ask for custom sizes with these as well. So give us a call or stop on down to Vans Sport Center and get yours today! Vans Sport Center Grand Rapids, MI 1855 Alpine Ave. 49504 show contact info",,5927316171,,16,,,https://maps.google.com/?q=loc%3A+%31%38%35%35+Alpine+Ave%2E+NW+GRAND+RAPIDS+MI+US,,,power,,"River Larry Anchor Winches, Pyramid Anchors & River Anchor Chains",https://grandrapids.craigslist.org/boa/5927316171.html,
7,good,"['43.526871', '-85.593460']",2016-12-20 16:39,Very nice boat everything works as it should. We had all the seats inside and out redone a couple years ago. 260 merc and alpha 1 out drive Has toilet and shower Galley with 2 burner stove top and fridge Queen size aft cabin Will sleep 4 adults just fine Has camper top also with new Windows. Any questions just call,1200,5927260317,43.526871,24,-85.593460,Four winns,"https://maps.google.com/maps/preview/@43.526871,-85.593460,16z",245 vista,$4500,power, (White cloud),Four winns 245 Vista,https://grandrapids.craigslist.org/boa/5927260317.html,1986
8,good,"['43.027364', '-86.011216']",2016-12-20 16:37,Haven't use this much in the past few years and do t need it sitting around anymore. It's about 8' long and 4' wide. With 2 cushioned swivel seats. Can handle a 5 HP motor. I have a Minn Kota electric trolling motor(barely used) I could throw in for an extra $125. This will be listed as a separate listing.,,5927338295,43.027364,96,-86.011216,Bass Hunter,"https://maps.google.com/maps/preview/@43.027364,-86.011216,16z",BH II,$450,human, (Coopersville -between Nunica and Eastmanville),Bass Hunter boat and trailer,https://grandrapids.craigslist.org/boa/5927338295.html,
9,,"['42.973700', '-85.726500']",2016-12-20 14:06,"2001 on water from 2002 GTX Millennium addition. I bought it last summer from first owner! Hours meter shows 390 Hours !!! Unbelievably for 2 stroke engine! According original owner, there is easy explanation, engine has been replaced with STB one couple years (about 50 hours) ago together with jet pump, drive shaft and drain system. For real I didn't see any papers, but I saw condition! It's really looks good (see pics), and runs good! Hull coating needs polish, but nothing major! Trailer is in good condition too, and all aluminum! I am selling it, because I bought 4 stroke Yamaha casually! Clean title for ski and bill of sale for trailer. Send questions on CL email, I'll reply quickly! Thanks for looking MS",,5927111060,42.973700,10,-85.726500,Bombardier,"https://maps.google.com/maps/preview/@42.973700,-85.726500,16z",GTX,$2500,power, (Grand Rapids),Jet Ski 2001 Seadoo Sea Doo GTX Millenium,https://grandrapids.craigslist.org/boa/5927111060.html,2001
