,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,[],2016-12-11 12:50,"I have a 12' V-Bottom Boat for sale, 3 seats, 1 Paddle and 1 Oar in it, asking $135.00 OBO. I don't get on this computer, so please call me at show contact info George",,5914963185,,12,,,https://maps.google.com/?q=loc%3A+%33%33%30+towbridge+Apt%2E+%33%30%32+Allegan+MI+US,,$135,human, (Allegan),"Boat, 12' V-Bottom",https://holland.craigslist.org/boa/5914963185.html,
1,excellent,"['42.813500', '-86.142600']",2016-12-11 07:06,"Boat propeller, 15 1/4"" X 21 pitch, RH, part number SSM-358-C, 033009, I used it on my MerCruiser outdrive but has a Michigan Hub which can be swapped out to fit other outdrives. Very good condition.",,5901821763,42.813500,15,-86.142600,,"https://maps.google.com/maps/preview/@42.813500,-86.142600,16z",,$100,power, (Holland),Stainless Steel boat propeller,https://holland.craigslist.org/boa/5901821763.html,
2,,,2016-12-10 22:04,"1978 SLICKCRAFT - 20FT CABIN CUDDY 228 MERCRUISER THIS IS A FACTORY ORIGINAL 305 GM MOTOR - LOW HOURS RUNS PERFECT I AM THE 3RD OWNER VERY CLEAN, VERY RARE BOAT - TRAILER INCLUDED AND HAS NEW TIRES LAST YEAR BOAT COMES FULLY EQUIPPED READY TO FISH FOR ASKING PRICE HAS FINISHED ENCLOSED LOCKABLE CABIN AWESOME AMP & RADIO FISH FINDER ELECTRIC DOWN RIGGERS TRIPLE TREE ROD HOLDERS DIPSEYS TROLLING RODS AND REELS SOME FLASHERS AND LURES BOAT COVERS LIFE JACKETS AND MORE VERY WELL MAINTAINED THIS BOAT IS IN EXCELLENT CONDITION, ALWAYS STORED IN HEATED GARAGE VERY RARE BOAT - EVERYTHING WORKS GREAT WILL UPDATE WITH MORE PICS SOON MAY TRADE OR PARTIAL TRADE FOR A VW BAJA BUG OR POSSIBLY INTERESTED IN OTHER OLDER VEHICLES",,5896385424,,20,,SLICKCRAFT,,,$6500,power, (HAMILTON),1978 SLICKCRAFT - 20FT CABIN CUDDY 228 MERCRUISER,https://holland.craigslist.org/boa/5896385424.html,
3,good,"['44.780373', '-85.643234']",2016-12-10 12:56,"1976 Alberg 37 for sale. Tarp off currently showing on the hard in Traverse City. Deck and hull solid. Several sails. New lines, hull sealed and painted. This is a solid example of one of Carl Alberg's best designs. Includes dinghy and an outboard. It needs a little interior finishing and the deck needs painting, but where are you going to find a seaworthy A37 ready to sail for less than $1 per pound? This price may be going up as I work on the interior and/or paint the topsides. Engine is original Volvo MD11C and seems to run pretty good, although engine hours is unknown. The term ""good bones"" definitely applies to this boat.",,5903033352,44.780373,37,-85.643234,Whitby Boatworks,"https://maps.google.com/maps/preview/@44.780373,-85.643234,16z",Alberg 37,$14000,sail, (Traverse City),1976 Alberg 37  REDUCED!!!,https://holland.craigslist.org/boa/5903033352.html,1976
4,excellent,"['43.419800', '-85.759400']",2016-12-10 09:23,"2011 Tracker Grizzly 1754 Side Console with Mercury 40 four stroke EFI All welded aluminum Bear hide non-skid deck and floor liner No- Glare forest green paint Port side rod storage Built in fuel tank Exclusive Versatrack accessory mounting channel in gunnel Bow storage Oversized bow deck Side console with Integrated Aerated live well and 12V outlet Three camouflage fold down seats Humminbird 570 Fish finder Minn Kota Edge 55 Bow mount trolling motor 2012 Trailstar Trailer with Galvashield corrosion protection and EZ lube hubs Very low hours $8,500 firm Stored in garage and well maintained. Just don't use it enough to justify keeping it. Would really like more room in the garage and want it gone. A great deal for someone. Serious inquiries only please",,5871141192,43.419800,17,-85.759400,Tracker,"https://maps.google.com/maps/preview/@43.419800,-85.759400,16z",Grizzly 1754,$8500,power, (Newaygo),2011 Tracker Grizzly 1754 Side Console  Boat,https://holland.craigslist.org/boa/5871141192.html,2011
5,excellent,"['43.426900', '-85.292400']",2016-12-09 19:02,I  have a 2002 tracker 16 foot aluminum deep v  with floor  lots of storage  2 new deep cycle battery has trolling motor  fish finder 50 hp short shaft 4 stroke efi runs perfect low hours one owner led light  live well   trailer is nice  with good tires and a spare   willing to trade for nice plow truck  nice side by side utv   motor home   or what you have  I have new seats for the boat .,,5888752755,43.426900,16,-85.292400,tracker,"https://maps.google.com/maps/preview/@43.426900,-85.292400,16z",pro,$6500,power, (lakeview),16 foot walleye boat 2002 with 4 stroke,https://holland.craigslist.org/boa/5888752755.html,2002
6,,,2016-12-09 15:38,GROUP OF DOWN RIGGER WEIGHTS. VARIOUS WEIGHTS AND STYLES. $60 FOR ALL. CALL ME ON CELL AT show contact info LOCATED IN SAUGATUCK. FISHING DOWNRIGGER SALMON STEELHEAD COHO,,5899487627,,30,,,,,$60,power,,DOWNRIGGER WEIGHTS,https://holland.craigslist.org/boa/5899487627.html,
7,,,2016-12-09 15:36,"PAIR OF TAYLOR MADE 9 1/2 INCH FENDER RACKS. IN GREAT CONDITION! FIT FENDERS FROM 7"" TO 9"" IN DIAMETER. J HOOKS FOR 1""-1 1/8"" RAILINGS. $100 FOR THE PAIR. CALL ME ON MY CELL AT show contact info LOCATED IN SAUGATUCK FEMDER HTM TAYLORMADE BUMPER",,5880705518,,30,,,,,$100,power,,PAIR TAYLOR MADE 9 1/2 INCH SS FENDER RACK,https://holland.craigslist.org/boa/5880705518.html,
8,excellent,,2016-12-09 10:34,"Slip E-162 at Anchorage Marina Slip is 22 x 45 *Membership to Anchorage Marina included* Game room, private dining club, heated pool. Eight foot wide lit docks of precast concrete construction. A fuel dock with high speed pumping system for gas, diesel, high octane fuel, and waste disposal is conveniently located for boat owners. Slip is provided with individual electric service, city water with hose holder, and includes a fiber glass dock box and cable tv. Telephone hookups are also available. http://anchoragemarine.com/ Please e-mail with any other questions.",,5883785738,,45,,,,,$35000,power, (Holland),Boat Slip for Sale in Anchorage Marina,https://holland.craigslist.org/boa/5883785738.html,
9,,,2016-12-09 09:07,call or txt paul show contact info,,5880612608,,1,,,,,$100,power, (west mi),"ON-SITE BOAT  SERVICE , REPAIR & winterizing",https://holland.craigslist.org/boa/5880612608.html,
