,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 17:09,"1987 Centurion dominator 454 big block through hall exhaust runs great 60 mph, interior is in good condition, and the floor is sold. Also has bikini top in excellent condition and cock pit cover, and It has an alpine stereo System 3 Amps 2 12 inch subwoofers an 7 Color changing led lights. The trailer has newer tires. $5400 must go, call or text show contact info",,5927380326,,23,,Centurion,,Dominator,$5400,power, (East lansing),Centurion 23ft boat,https://lansing.craigslist.org/boa/5927380326.html,1987
1,like new,,2016-12-20 09:51,"2007 14 FT Starcraft Deep V with Rod Holders, lots of storage, Custom Cover, 15 HP Johnson 2 Stroke long shaft,Galvanized Trailer with Swing Away Tongue and Spare Tire,all bought new in 2008 and used very little, Garage Kept, Very Clean, Looks and Runs Like New! $3,900 Cash Only. Will Delete when Sold, No Trades",25,5909146156,,14,,,,,$3900,power, (Mid. MI),2007 14 FT Starcraft & 15 HP Johnson,https://lansing.craigslist.org/boa/5909146156.html,2007
2,good,,2016-12-20 09:27,"Nice double jet ski trailer, new bunks and lights, come's with bill of sale.. take's 1""7/8 ball",,5926679096,,16,,,,,$599,power, (LANSING),Two Place Jet Ski PWC Karavan Trailer,https://lansing.craigslist.org/boa/5926679096.html,
3,,,2016-12-19 14:59,"Classic Cosby boat Great family or fishing boat. This is a project boat, it comes with the trailer. Floor and transom feel solid.  The motor was run, when I store it. I know it does roll over. Trailer tows well. I have way too many projects and am trying to clear out stuff I have no chance of getting to in the near future. But I still may be open to trades.",,5892475298,,1,,,,,$1399,power, (Lansing),Classic Cosby boat,https://lansing.craigslist.org/boa/5892475298.html,
4,,"['42.496000', '-84.084700']",2016-12-19 14:55,I have a set of 4 SportTrac brackets and 4 Cabelas Quickdraw rodholders like new $140.00,,5925810656,42.496000,1,-84.084700,,"https://maps.google.com/maps/preview/@42.496000,-84.084700,16z",,,power,,Lund SportTrac Brackets with rodholders,https://lansing.craigslist.org/boa/5925810656.html,
5,like new,"['42.193800', '-85.563900']",2016-12-19 14:42,"Selling my 2005 17 Ft NITRO Fishing Boat. Boat has been well cared for and in great condition. It sits on a matching NITRO trailer,with custom wheels. All electronics Gauges pumps and navigation working correctly.The Boat and Trailer look great and have NO rust on trailer.As you can tell by the pics. Here's a small list of some of the boats features. Mercury 2005 90 Hp electric start motor.Oil injected (VERY NICE) Lowrance 5 inch color fish finders. VERY Wide Beam Very generous live well. boat also comes with custom cover .New in box $500. Capt seats no tears whatsoever all movable.and room for more. also new half seats are included upfront storage compartment for bait and tackle. side storage for rods.Lockable(And I Have The Key) 11-Galon board fuel tank. Marine battery,and box #2 dock lines # 3 life jackets New Cabela's Side guides for easy back up and drive on #bank pole storage paddle, fire extinguisher Registered till 2019 43# Motor guide troller on board battery charger Storage paid till April 2017 I will follow-up with some detailed pictures . Asking $9850OR BEST OFFER,Need the space. call with any questions. show contact info ask for Mike Thanks for Looking",,5899976121,42.193800,17,-85.563900,NITRO,"https://maps.google.com/maps/preview/@42.193800,-85.563900,16z",NX-750,$9850,power," (Portage,Mi)",2005 NITRO 175-REDUCED,https://lansing.craigslist.org/boa/5899976121.html,2005
6,good,"['42.615900', '-83.924800']",2016-12-19 12:30,"1980 mark twain TRI hull deck boat. Mercruiser 4cyl Gm iron duke motor stern drive. Runs & drives great! Boat has Bimini top. Bought this summer & replaced tons of parts. We want to get a pontoon next year so selling this one. Here's the list of new parts: new battery, new starter, new fuel level sensor, new engine bay exhaust fan, rebuilt carb, new trailer lights(completely rewired) new Alpine radio, and speakers. New bow lights.  Flushed and replaced power trim fluid. Replaced water pump impeller in stern drive. We had a lot of fun on the water this year with it. It starts right up! my Wife & I spent hours cleaning it top to bottom as well. $1500 obo please call, or text me.",,5903020784,42.615900,16,-83.924800,Mark twain,"https://maps.google.com/maps/preview/@42.615900,-83.924800,16z",16,$1500,power, (Howell),1980 mark twain deck boat,https://lansing.craigslist.org/boa/5903020784.html,1980
7,like new,,2016-12-19 07:45,"(This is a home phone and does not receive text messages) Canoe - Old Town Saranac 146 $450 (Retail is $599 or higher) Just like new. Only used three times. We moved and have no room for it. Includes two new paddles also for FREE! Great features like contour seats, center hatch, cup holders, etc. Thanks, David",,5918116366,,15,,,,,$450,human, (Lansing),Canoe - Old Town Saranac 146,https://lansing.craigslist.org/boa/5918116366.html,
8,,,2016-12-19 05:34,"""RESERVE YOUR SEAT FOR THE WINTER ......... 1 Week Captains License Class and Test in....... Mt. Clemens, Starts ......""January 7th"".......and again.......""February 18th""....... 100% Guaranteed and we give the test. No X-tra or hidden fee's. Great Lakes Charter Training has been assisting Mariners achieve their goals since 1989. Cost includes the Class, Materials and Test. To reserve your seat or for additional dates and locations Call 1-800 CAPT MEL (227-8635) or visit us on line at GLCTraining.com. Delivery Captain, Fishing Charters, Day Sail and Sunset Cruises, Dive Boats, Tow Boats and More......Do what you have always dreamed of and get paid to be on the water!",,5893855101,,1,,,,,$995,human, (Mt. Clemens),CAPTAINS LICENSE CLASS,https://lansing.craigslist.org/boa/5893855101.html,
9,,,2016-12-18 20:03,All WavePads 25% OFF until Christmas! No better time than now to get the best water raft on the market!,,5908301846,,10,,,,,$1,human, (Rockford),WavePads 25%OFF Christmas Sale!,https://lansing.craigslist.org/boa/5908301846.html,
