,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['41.842776', '-83.410661']",2016-12-20 13:04,Enjoy your summer paddling in your own boat Calls only No texting,,5891618167,41.842776,10,-83.410661,,"https://maps.google.com/maps/preview/@41.842776,-83.410661,16z",,$400,human, (Monroe MI),Paddle boat for sale,https://monroemi.craigslist.org/boa/5891618167.html,
1,,,2016-12-20 13:02,"Selling my 14ft aluminum boat with trailer, great little boat. Registered until 2019. Has two rod holders and 50ft anchor rope with anchor. If interested please contact me at 73four-six2five-60five9",,5927005923,,14,,,,,$575,human,,14 ft aluminum boat and trailer,https://monroemi.craigslist.org/boa/5927005923.html,
2,excellent,,2016-12-20 12:08,"Hello and Happy Holidays to all I am a specialty boat finder for all you boating needs. I have access to 1000,s of REPO-PRE OWNED-NEW-DISCOUNTED-entry and upper level boats from 10ft to 40 ft. I can get Jet boats-inboard/outboard-inboard wake and wave -bow riders PONTOONs- (many makes and sizes) fishing-deck boats-cruisers-cuddys-ect I can do better pricing right now than you can get at the boat shows this spring. So just give me a text or a call and see what I can do for you right now . I am looking forward to working with you on getting you the boat of your dreams. p.s. I also take trades Talk to you soon Tom do NOT contact me",1,5906185207,,10,,ALL MAKES,,ALL MODELS,$1,power, (MID MICH),REPO AND CLEARANCE BOATS,https://monroemi.craigslist.org/boa/5906185207.html,1950
3,good,"['41.976600', '-83.280400']",2016-12-20 02:02,Nice little 12ft Montgomery Ward sea king aluminum boat. Only known isssue is the aluminum brace between transom and bottom of boat is missing. $300 Obo comes with registration,,5895157492,41.976600,12,-83.280400,,"https://maps.google.com/maps/preview/@41.976600,-83.280400,16z",,$300,human, (Newport),Montgomery Ward's sea king 12ft aluminum boat,https://monroemi.craigslist.org/boa/5895157492.html,
4,excellent,"['41.976600', '-83.280400']",2016-12-20 02:01,Very nice alumacraft 14ft aluminum boat. Could use new paint and wood on transom should probably be replaced. Took it on trade. Comes with bill of sale. Must be picked up in Newport mi make a nice duck boat. $325 obo,,5895161964,41.976600,14,-83.280400,,"https://maps.google.com/maps/preview/@41.976600,-83.280400,16z",,$325,human, (Newport),Alumacraft 14ft aluminum boat make a nice duck boat,https://monroemi.craigslist.org/boa/5895161964.html,
5,,"['41.875700', '-83.687700']",2016-12-19 19:35,I am selling my Kawasaki 900zxi runs great ran it all summer needs a new battery  800 obo 734 seven77 five264,,5926187042,41.875700,8,-83.687700,,"https://maps.google.com/maps/preview/@41.875700,-83.687700,16z",,$800,power,,Jetski,https://monroemi.craigslist.org/boa/5926187042.html,
6,like new,,2016-12-19 09:57,"1998 FOUNTAIN LIGHTNING 35', T502 MERCRUISER 415 HP OUTSTANDING RUNNING MOTORS, BRAVO  1 OUTDRIVES. LOADED; SILENT CHOICE, BRAND NEW SUNBRELLA CANVAS, UPHOLSTERING IS LIKE NEW.  BOAT IS ABSOLUTELY LIKE-NEW BRISTOL CONDITION. SINGLE STEP HULL,COCKPIT CARPET INSIDE RACK STORED SINCE NEW! VERY FAST 75+ COMPLETELY STOCK Brand new 2017 CUSTOM MADE  ALUMINUM TRIAXLE TAILER.",389,5925324984,,35,,FOUNTAIN,,LIGHTNING,$55750,power,,98 FOUNTAIN 35' LIGHTNING,https://monroemi.craigslist.org/boa/5925324984.html,1998
7,,"['41.995300', '-83.955500']",2016-12-16 22:38,"This is a project boat. It is a 1982 Seasprite model or series 1600economy. It is 16' 8"" with in board 120 MerCruiser motor. Sold as is and pickup only. Phone show contact info $50 cash, sold as is",,5922584367,41.995300,20,-83.955500,,"https://maps.google.com/maps/preview/@41.995300,-83.955500,16z",,$50,power, (Tecumseh),Project Boat,https://monroemi.craigslist.org/boa/5922584367.html,
8,,"['41.929300', '-83.444800']",2016-12-16 19:00,Does not run needs stator.   Worked great for 6 years 750 slt triple    With trailer call for more info. show contact info,,5922391562,41.929300,5,-83.444800,,"https://maps.google.com/maps/preview/@41.929300,-83.444800,16z",,$500,power,,Polaris jet ski slt 750,https://monroemi.craigslist.org/boa/5922391562.html,
9,,,2016-12-16 10:58,"50' DOCK AT TOLEDO BEACH MARINA FOR RENT: The dock is on the Put-In-Bay pier. It is ideally suited with drive up access (two parking spaces) and a picnic table on the grassy area at the end of the slip. This is one of the nicest docks in the whole marina as it has no obstructions behind it, making it extremely easy to maneuver your boat in and out. Also, it is near the mid point of the pier, meaning it is far enough from the entrance road to the marina so that noise from the car traffic is never a problem, but also far enough away from the bar, restaurant and marina channel that noise from boats and dinner patrons is not an issue either. text The swimming pool, showers, bath house and laundry facilities are located very close, at the end of the pier. Some of the amenities included with the dock are: 30 Amp and 50 Amp electrical service Free WiFi Two parking spaces (drive up) Fresh Water Grassy area with picnic table Dock box for storage Gas Dock and Pump Out on site Restaurant, Bar, Sandwich shop on site Marine Store on site, West Marine located 10 minutes away Pool, Bath House, Laundry Facilities",,5921666713,,50,,,,,,power,,50'  DOCK AT TOLEDO BEACH MARINA  (PUT-N-BAY),https://monroemi.craigslist.org/boa/5921666713.html,
10,,,2016-12-16 09:46,"tandem axle boat trailer, easy load, rollers, v. good condition, bearing buddies.   Being used with 22'-5"" boat, overall length is 21'-6"".  It currently has new tires and wheels, which are $350.00 extra, it comes with older tires and wheels.",,5907527703,,22,,,,,$700,power, (S.Rockwood),Boat trailer - tandem axle boat trailer,https://monroemi.craigslist.org/boa/5907527703.html,
11,,,2016-12-13 14:25,"Boat is in great shape.  GPS and Fish finder.  2 manual downriggers that work great.  4 rod holders.  Does great on Erie and Michigan and pulls my kids skiing and tubing great as well.  Runs great!!!  Evinrude 70 HP VRO with 16 gallon built in tank and power tilt and trim.  Trailer is great, tires are great.  Ready to fish!   Has built in live well.  Two aluminum rod holders and two plastic removable rod holders as well. I'm asking $4500 but I'm really really motivated.  Shoot me an offer and let's talk.  Boat is very well cared for and stored inside!  Might trade for a 4x4 quad and trailer combo.",,5909851695,,18,,Sylvan,,,$4500,power,,1987 Sylvan in great shape!  Walleye and Salmon MACHINE Possible Trade!!!,https://monroemi.craigslist.org/boa/5909851695.html,
12,,"['42.335800', '-83.384600']",2016-12-13 14:10,"2014 Mirrocraft Deep V, 16 foot Aluminum Boat with 2014 20hp Mercury 4 stroke & Trailer Used approx 6 times, great on gas, easy start, Motor has 3 year Mercury factory warranty till Aug 2017 Great for fishing, cruising, & hunting. No issues - Garage kept Includes life jackets, storage cover, oars, etc.. Easy to tow with a 4 cylinder car $5,600  Priced to Sell show contact info Lund Searay Sea Ray Starcraft Lowe Crestliner Row John Jon Duck",,5910668875,42.335800,16,-83.384600,,"https://maps.google.com/maps/preview/@42.335800,-83.384600,16z",,$5600,power," (Westland, MI)",2014 16' Mirrocraft Fishing Boat 20hp Mercury,https://monroemi.craigslist.org/boa/5910668875.html,
13,good,[],2016-12-13 11:00,"For sale is a 14 Ft. Misty Harbor Pontoon Boat project. This Pontoon Boat has the side console with steering wheel and one lounge bench seat. This Pontoon Boat does not come with the outboard motor.The pontoon's are in good solid condition with no corrosion or damage.This Boat will need new carpet. The fencing is all in good condition and the rails are all straight.There are two doors; one on the side and one in the front of the boat. This Pontoon Boat would make a great winter project, without ""breaking the bank"" to do it and you will be ready for summer fun. I am asking $1450.00 OBO for this Pontoon Boat. This sale does Not include the trailer and will be sold with a ""Bill of Sale"" only. If you are interested, have any questions or want to see this Pontoon Boat; Please call; show contact info Mon-Fri 9am-5pm.",,5889904329,,14,,,https://maps.google.com/?q=loc%3A+Stein+at+Telegraph+LaSalle+MI+US,,,power,,14 Ft. Misty Harbor Pontoon Boat Project,https://monroemi.craigslist.org/boa/5889904329.html,
14,good,,2016-12-10 21:23,"included; 190hp I/I with trim/tilt Snap carpet Removable table Extra deck cushions to make queen size sleeping area Full size floor storage, side storage and under the seat storage (tons of storage!) Bimini Boat cover is in great shape Stored in heated storage since 2007 Onbord depth finder Depth/Fish Finder - will update with model Swim platform on rear covering the I/O Dual ladders (back and front) Limited time offer at this price. 2017 spring goes back up to market price at $14,500. Act now to save thousands.",,5914334308,,19,,Bayliner,,197 Deckboat,$11500,power, (Pinckney),2007 Bayliner deck boat,https://monroemi.craigslist.org/boa/5914334308.html,2007
15,excellent,"['41.842776', '-83.410661']",2016-12-10 12:54,Enjoy your summer paddling in your own boat Calls only No texting,,5879007378,41.842776,10,-83.410661,,"https://maps.google.com/maps/preview/@41.842776,-83.410661,16z",,$400,human, (Monroe MI),Paddle boat for sale,https://monroemi.craigslist.org/boa/5879007378.html,
16,excellent,"['42.050730', '-83.339785']",2016-12-10 08:34,"RUNS GREAT USED ON INFLATABLE AS A TENDER ( not many hrs.) MOVING, MAKE OFFER!",,5913377288,42.050730,1,-83.339785,MERCURY,"https://maps.google.com/maps/preview/@42.050730,-83.339785,16z","9,9 HP",$800,power, (Carleton),9.9 MERC. MOTOR,https://monroemi.craigslist.org/boa/5913377288.html,
