,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-10 21:23,"included; Snap carpet Removable table Extra deck cushions to make queen size sleeping area Full size floor storage, side storage and under the seat storage (tons of storage!) Bimini Boat cover is in great shape Stored in heated storage since 2007 Onbord depth finder Depth/Fish Finder - will update with model Swim platform on rear covering the I/O Dual ladders (back and front) Limited time offer at this price. 2017 spring goes back up to market price at $14,500. Act now to save thousands.",,5914334308,,19,,Bayliner,,197 Deckboat,$11500,power, (Pinckney),2007 Bayliner deck boat,https://monroemi.craigslist.org/boa/5914334308.html,2007
1,,,2016-12-10 17:11,"Boat is in great shape.  GPS and Fish finder.  2 manual downriggers that work great.  4 rod holders.  Does great on Erie and Michigan and pulls my kids skiing and tubing great as well.  Runs great!!!  Evinrude 70 HP VRO with 16 gallon built in tank and power tilt and trim.  Trailer is great, tires are great.  Ready to fish!   Has built in live well.  Two aluminum rod holders and two plastic removable rod holders as well. I'm asking $4500 but I'm really really motivated.  Shoot me an offer and let's talk.  Boat is very well cared for and stored inside!  Might trade for a 4x4 quad and trailer combo.",,5909851695,,18,,Sylvan,,,$4500,power,,1987 Sylvan in great shape!  Walleye and Salmon MACHINE Possible Trade!!!,https://monroemi.craigslist.org/boa/5909851695.html,
2,excellent,"['41.842776', '-83.410661']",2016-12-10 12:54,Enjoy your summer paddling in your own boat Calls only No texting,,5879007378,41.842776,10,-83.410661,,"https://maps.google.com/maps/preview/@41.842776,-83.410661,16z",,$400,human, (Monroe MI),Paddle boat for sale,https://monroemi.craigslist.org/boa/5879007378.html,
3,excellent,"['41.842776', '-83.410661']",2016-12-10 12:54,Enjoy your summer paddling in your own boat Calls only No texting,,5891618167,41.842776,10,-83.410661,,"https://maps.google.com/maps/preview/@41.842776,-83.410661,16z",,$400,human, (Monroe MI),Paddle boat for sale,https://monroemi.craigslist.org/boa/5891618167.html,
4,excellent,"['41.976600', '-83.280400']",2016-12-10 09:59,Very nice alumacraft 14ft aluminum boat. Could use new paint and wood on transom should probably be replaced. Took it on trade. Comes with bill of sale. Must be picked up in Newport mi make a nice duck boat. $325 obo,,5895161964,41.976600,14,-83.280400,,"https://maps.google.com/maps/preview/@41.976600,-83.280400,16z",,$325,human, (Newport),Alumacraft 14ft aluminum boat make a nice duck boat,https://monroemi.craigslist.org/boa/5895161964.html,
5,good,"['41.976600', '-83.280400']",2016-12-10 09:58,Nice little 12ft Montgomery Ward sea king aluminum boat. Only known isssue is the aluminum brace between transom and bottom of boat is missing. $300 Obo comes with registration,,5895157492,41.976600,12,-83.280400,,"https://maps.google.com/maps/preview/@41.976600,-83.280400,16z",,$300,human, (Newport),Montgomery Ward's sea king 12ft aluminum boat,https://monroemi.craigslist.org/boa/5895157492.html,
6,excellent,"['42.050730', '-83.339785']",2016-12-10 08:34,"RUNS GREAT USED ON INFLATABLE AS A TENDER ( not many hrs.) MOVING, MAKE OFFER!",,5913377288,42.050730,1,-83.339785,MERCURY,"https://maps.google.com/maps/preview/@42.050730,-83.339785,16z","9,9 HP",$800,power, (Carleton),9.9 MERC. MOTOR,https://monroemi.craigslist.org/boa/5913377288.html,
7,good,[],2016-12-09 14:09,"1993 26' Chris Craft Crowne 262 cabin cruiser with trailer for sale for $3,250.  Engine and outdrive are in good working condition.  Boat floats and drives.  It does need a real good cleaning, if it didn't I would be asking for $4000 to $5000 for it.  Cabin is in pretty decent condition with no rips or tears in the fabric of the cabin. The carpet is complete just need to be cleaned.  It will need a new canvas top as the only one on it is ripped all to hell.  The outside seats will need to be cleaned real good and possibly redone. It has the OMC King Cobra outdrive which if you know anything about outdrives is pretty much bulletproof.  The engine is a 351 V-8 with 265 HP.  All fluids have been checked every year for the past 8 or years by Brest Bay Marina service department with no issues whatsoever.  No water in the outdrive oil.  Winterized every year.  The boat has been docked and stored at Brest Bay Marina for the past 8 years.  The engine, outdrive and trailer are worth more than $3250 by themselves. The boat comes with a dual axle trailer that came with the boat when I bought it 8+ years ago.  I'm not 100% sure of the condition of the trailer as it has been in storage at Brest Bay Marine for the 8 years I've had it docked and stored there.  It was in really good condition when I last used it way back when.  I will make sure that the trailer is in good working condition and is road worthy for the buyer upon pickup. A good scrubbing and this boat would look great.  I just don't have the time to do anything with it and the wife wants it gone!  Price is pretty firm so if your interested or want to take a look at it - it is sitting outside in storage at Brest Bay Marina at 4088 Brest Rd, Newport, MI 48166.  It will have a big FOR SALE sign on it. Text me with questions at show contact info or call and leave a message.",,5912486389,,26,,Christ Craft,https://maps.google.com/?q=loc%3A+%34%30%38%38+Brest+Rd+Newport+MI+US,Crowne 262,$3250,power, (Newport),1993 Christ Craft Crowne 262,https://monroemi.craigslist.org/boa/5912486389.html,1993
8,excellent,,2016-12-09 14:01,"Hello and Happy Holidays to all I am a specialty boat finder for all you boating needs. I have access to 1000,s of REPO-PRE OWNED-NEW-DISCOUNTED-entry and upper level boats from 10ft to 40 ft. I can get Jet boats-inboard/outboard-inboard wake and wave -bow riders PONTOONs- (many makes and sizes) fishing-deck boats-cruisers-cuddys-ect I can do better pricing right now than you can get at the boat shows this spring. So just give me a text or a call and see what I can do for you right now . I am looking forward to working with you on getting you the boat of your dreams. p.s. I also take trades Talk to you soon Tom do NOT contact me",1,5906185207,,10,,ALL MAKES,,ALL MODELS,$1,power, (MID MICH),REPO AND CLEARANCE BOATS,https://monroemi.craigslist.org/boa/5906185207.html,1950
9,,"['42.335800', '-83.384600']",2016-12-08 11:02,"2014 Mirrocraft Deep V, 16 foot Aluminum Boat with 2014 20hp Mercury 4 stroke & Trailer Used approx 6 times, great on gas, easy start, Motor has 3 year Mercury factory warranty till Aug 2017 Great for fishing, cruising, & hunting. No issues - Garage kept Includes life jackets, storage cover, oars, etc.. Easy to tow with a 4 cylinder car $5,600  Priced to Sell show contact info Lund Searay Sea Ray Starcraft Lowe Crestliner Row John Jon Duck",,5910668875,42.335800,16,-83.384600,,"https://maps.google.com/maps/preview/@42.335800,-83.384600,16z",,$5600,power," (Westland, MI)",2014 16' Mirrocraft Fishing Boat 20hp Mercury,https://monroemi.craigslist.org/boa/5910668875.html,
