,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 14:16,These sell for 750 new. You can look online for specs great for river or lake fishing must go first with 150 cash takes it home,,5908751154,,8,,,,,$150,human,,8foot Fish cat boat,https://muskegon.craigslist.org/boa/5908751154.html,
1,,"['43.341400', '-86.163300']",2016-12-19 22:20,"24 ft Searay, Ford Engine, OMC outdrive, downriggers, old canvas cover.",,5905638833,43.341400,24,-86.163300,,"https://maps.google.com/maps/preview/@43.341400,-86.163300,16z",,$4500,power,,1977 Searay,https://muskegon.craigslist.org/boa/5905638833.html,
2,good,"['44.089928', '-85.983982']",2016-12-19 21:13,"Boat dock sections - $400 Mooring whips - $200 I have 5 heavy duty dock sections  3-4x6 ft. sections ,1-4x8 section and 1-3x8 that mounted lengthways along the shoreline for sale no hardware or posts in good condition ! call Tom 231-two three nine-3729",,5892136045,44.089928,34,-85.983982,,"https://maps.google.com/maps/preview/@44.089928,-85.983982,16z",,$600,human, (Irons),Boat dock sections/ Mooring whips,https://muskegon.craigslist.org/boa/5892136045.html,
3,,"['43.232900', '-86.188500']",2016-12-19 16:26,"Drive a little SAVE ALOT SALE! KAYAKs for CHRISTMAS Price Drop Please check the Price list below! These Prices will be good while supplys last. Factory 2nds New, Cosmetic flaws only K-L industrise SUNDOLFIN Built in Muskegon MI. We have 12' 10' 8' of all colors and sit-in, sit-on and olive fishing kayaks. This will be a pick-out what you want by appointment only. First come, First Choice. Cash only! Stand-UP Paddel Board 10' $250 12'$225 Kayak 10'sit on Fishing $175 2 or more $170 ea 10'sit in Fishing $165 2 or more $160 ea 10'sit on $145 2 or more $140 ea 10'sit in $135 2 or more $130 ea 8' sit on $125 2 or more $120 ea 8' sit in $110 2-or more $105 ea Jerry at show contact info Call or text any time Jerry will get back with you. The 8' Capasitiy weight of 230lbs.",,5920542624,43.232900,10,-86.188500,Sundolfin,"https://maps.google.com/maps/preview/@43.232900,-86.188500,16z",,$105,human, (21 S Broton Rd),KAYAKS Lowest Price this year12' 10' 8' and Fishing Lots Avilable Now!,https://muskegon.craigslist.org/boa/5920542624.html,
4,,"['43.443373', '-85.954928']",2016-12-19 16:19,Tohashu 4 HP 4 stroke motor less than 15 minutes run time like new Paid 1400.00 sell for 850.00 14 Ft Starcraft boat only in the water a couple times never licensed new condition 1200.00 new for 600.00 reply here this ad leave name number sorry no pictures but like i said both new condition,,5925939575,43.443373,14,-85.954928,,"https://maps.google.com/maps/preview/@43.443373,-85.954928,16z",,$1450,power, (Fremont),boat motor  great deal,https://muskegon.craigslist.org/boa/5925939575.html,
5,good,"['43.418416', '-86.426579']",2016-12-19 13:52,!982 Four Winns Santara 21' speed boa with trailer available.  Come check out this solid boat.  Call me with any questions.  Craig  231 215 seven zero seven five,,5907248732,43.418416,21,-86.426579,Four Winns,"https://maps.google.com/maps/preview/@43.418416,-86.426579,16z",Santara,$3000,power, (Montague),1982 Four Winns Santara 21' w/ trailer,https://muskegon.craigslist.org/boa/5907248732.html,1982
6,excellent,"['43.295200', '-86.279000']",2016-12-19 12:04,Nice deep V boat very wide and stable. Starcraft are known for their durability and are great boats. Also comes with a tilt trailer + custom cover price is firm. Call show contact info,,5925525895,43.295200,14,-86.279000,Starcraft,"https://maps.google.com/maps/preview/@43.295200,-86.279000,16z",Sf14,$650,power, (North Muskegon),14 ft deep V Starcraft fishing boat and trailer,https://muskegon.craigslist.org/boa/5925525895.html,
7,,"['43.608800', '-83.953000']",2016-12-19 11:11,"see photos for more info, 1989 25ft baja very fast and fun boat show contact info",,5920049087,43.608800,25,-83.953000,,"https://maps.google.com/maps/preview/@43.608800,-83.953000,16z",,$11000,power, (bay city),25 ft baja 1989,https://muskegon.craigslist.org/boa/5920049087.html,
8,,"['43.486502', '-86.054701']",2016-12-18 21:08,"Aluminium canoe 16' no leaks, new webbing on seats call show contact info",,5900495225,43.486502,16,-86.054701,,"https://maps.google.com/maps/preview/@43.486502,-86.054701,16z",,$250,human, (holton),16' CANOE,https://muskegon.craigslist.org/boa/5900495225.html,
9,,"['43.486502', '-86.054701']",2016-12-18 21:07,12' flatbottom boat no dents no leaks $250 call show contact info,,5886441975,43.486502,12,-86.054701,,"https://maps.google.com/maps/preview/@43.486502,-86.054701,16z",,$250,human, (holton),12' FLATBOTTOM BOAT,https://muskegon.craigslist.org/boa/5886441975.html,
