,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['43.486502', '-86.054701']",2016-12-11 16:59,"Aluminium canoe 16' no leaks, new webbing on seats call show contact info",,5900495225,43.486502,16,-86.054701,,"https://maps.google.com/maps/preview/@43.486502,-86.054701,16z",,$250,human, (holton),16' CANOE,https://muskegon.craigslist.org/boa/5900495225.html,
1,,"['43.486502', '-86.054701']",2016-12-11 16:58,12' flatbottom boat no dents no leaks $250 call show contact info,,5886441975,43.486502,12,-86.054701,,"https://maps.google.com/maps/preview/@43.486502,-86.054701,16z",,$250,human, (holton),12' FLATBOTTOM BOAT,https://muskegon.craigslist.org/boa/5886441975.html,
2,good,,2016-12-11 16:35,"1998 Mercury 15 horse 2 stroke boat motor, short shaft, pull start, tiller handle, has shifter in the handle, runs good, good condition, fuel tank with new fuel line included, also stand",,5912426836,,15,,,,,$725,power, (Holland),1998 Mercury 15 horsepower 2-stroke,https://muskegon.craigslist.org/boa/5912426836.html,
3,excellent,"['43.295200', '-86.279000']",2016-12-11 13:31,Nice deep V boat very wide and stable. Starcraft are known for their durability and are great boats. Also comes with a tilt trailer + custom cover price is firm. Call show contact info,,5908113328,43.295200,14,-86.279000,Starcraft,"https://maps.google.com/maps/preview/@43.295200,-86.279000,16z",Sf14,$650,power, (North Muskegon),14 ft deep V Starcraft fishing boat and trailer,https://muskegon.craigslist.org/boa/5908113328.html,
4,fair,,2016-12-10 21:11,Boat was last in water 5 years ago.no leaks....needs some work ....not many of these around....new windshield.have 40 horse for it also just need lower unit runs good.,,5897413876,,15,,,,,$400,power, (newaygo),vintage boat and trailor..,https://muskegon.craigslist.org/boa/5897413876.html,1962
5,good,"['42.892758', '-86.056478']",2016-12-10 16:25,"Aluminum hull, runs good, inboard, fish finder,many extras and all seats included. The first $3,800 takes it on their next fishing trip. This boat was all redone when my husband was alive and need to sell because i can not haul it. Feel free to make a reasonable offer, thanks. Pictures are on GR craigslist.",,5914057794,42.892758,18,-86.056478,,"https://maps.google.com/maps/preview/@42.892758,-86.056478,16z",,$3800,power, (Borculo),18 foot Merc. cruser,https://muskegon.craigslist.org/boa/5914057794.html,
6,good,,2016-12-10 13:24,1972 Crestline Pontoon Boat with a 25HP Tracker Motor (3 years old) and a relatively new (4 years old) Bimini top. It does not have a trailer. Runs Great!!!,,5913782821,,22,,Pontoon,,Crestline,$2000,power," (Lakeview, MI)",1972 Crestline Pontoon Boat with 25 HP Tracker Motor,https://muskegon.craigslist.org/boa/5913782821.html,1972
7,excellent,[],2016-12-10 12:17,"Twin Perkins turbo Diesel engines, burns about 6 GPH at 20 knots, great on fuel. Westerbeke Diesel generator, AC and Heat fore and aft, two state rooms with private heads. Non-smoking boat, all teak interior, no carpet.....New canvas in 2015. Great live- aboard boat. This Trawler was built in Taiwan with full documentation. This boat has been heat stored at Keans Marina in Detroit for the past 5 years. You can keep this boat at Keans and enjoy the million dollar view of the Detroit skyline, front row view at the end dock of the Detroit Gold Cup Hydroplane Races. Always fresh water. Boat alone $57,000.00 Being in a heated building, you can inspect and survey the boat all winter. 2017/18 Summer and Winter Indoor Heated Storage. Keans Marina has all the amenities including Tiki summer bar, swimming pool & hot-tub, store, on site maintenance crew, laundry, showers and upstairs bar and banquet facilities. All with 24/7 security. Summer Well and Indoor Heated Storage $7,000.0",1300,5913612213,,41,,President,https://maps.google.com/?q=loc%3A+%31%30%30+medowbrook+Detroit+MI+US,37 trawler,$57000,power, (Detroit),1986 President 37,https://muskegon.craigslist.org/boa/5913612213.html,1986
8,,,2016-12-10 11:38,16 foot sea nymph w 35 horse evinrude and trailer.electric start..has just been all tuned up.all new cables comes w 2 batteries.2 anchors.fish finder.bow mount trolling motor w foot pedal.nice fishing boat.all flooring solid..wood covered w vynil not carpet .so water cannot get wood wet.,,5884777855,,16,,,,,$3250,power,,1983 sea nymph fishing machine,https://muskegon.craigslist.org/boa/5884777855.html,
9,good,"['44.089928', '-85.983982']",2016-12-10 10:48,"Boat dock sections - $400 Mooring whips - $200 I have 5 heavy duty dock sections  3-4x6 ft. sections ,1-4x8 section and 1-3x8 that mounted lengthways along the shoreline for sale no hardware or posts in good condition ! call Tom 231-two three nine-3729",,5892136045,44.089928,34,-85.983982,,"https://maps.google.com/maps/preview/@44.089928,-85.983982,16z",,$600,human, (Irons),Boat dock sections/ Mooring whips,https://muskegon.craigslist.org/boa/5892136045.html,
10,,"['43.101484', '-86.070671']",2016-12-10 10:40,"Jet Ski Dock Needs a paint job but is solid. If you have any questions, Let me know. $120.00 or OBO  or Trade ? Ph #  (616) 837-011nine Thanks Jeff",,5913519769,43.101484,12,-86.070671,,"https://maps.google.com/maps/preview/@43.101484,-86.070671,16z",,$120,human, (Nunica),Jet Ski Dock,https://muskegon.craigslist.org/boa/5913519769.html,
11,excellent,"['43.419800', '-85.759400']",2016-12-10 09:23,"2011 Tracker Grizzly 1754 Side Console with Mercury 40 four stroke EFI All welded aluminum Bear hide non-skid deck and floor liner No- Glare forest green paint Port side rod storage Built in fuel tank Exclusive Versatrack accessory mounting channel in gunnel Bow storage Oversized bow deck Side console with Integrated Aerated live well and 12V outlet Three camouflage fold down seats Humminbird 570 Fish finder Minn Kota Edge 55 Bow mount trolling motor 2012 Trailstar Trailer with Galvashield corrosion protection and EZ lube hubs Very low hours $8,500 firm Stored in garage and well maintained. Just don't use it enough to justify keeping it. Would really like more room in the garage and want it gone. A great deal for someone. Serious inquiries only please",,5871133162,43.419800,17,-85.759400,Tracker,"https://maps.google.com/maps/preview/@43.419800,-85.759400,16z",Grizzly 1754,$8500,power, (Newaygo),2011 Tracker Grizzly 1754 Side Console  Boat,https://muskegon.craigslist.org/boa/5871133162.html,2011
12,,,2016-12-10 09:07,These sell for 750 new. You can look online for specs great for river or lake fishing must go first with 150 cash takes it home,,5908751154,,8,,,,,$150,human,,8foot Fish cat boat,https://muskegon.craigslist.org/boa/5908751154.html,
13,,,2016-12-09 15:28,"VERY REASONABLE QUOTES 8 1/2 years experince doing anything and everything on the water from new permanate construction docks/ seawalls to beach cleanup and everything in between no job to big or to small we can do it all!! My family has been doing it for 5 generations. I have a crew of very creative guys that are devoted to working and we are just out trying to make a honest living doing what we love on the water making the customer happy and doing things the right way!!.. or your way mostly work from ludington to south haven out of muskegon do most of out work in spring lake,muskegon lake,bear lake lake Mac,lake Michigan and Mona lake and private and public lakes mostly west Michigan",,5879686294,,10,,,,,$1,human, (West Michigan),DOCK & LIFT REMOVAL CHEAP CALL TO GET SCHEDULED,https://muskegon.craigslist.org/boa/5879686294.html,
14,,,2016-12-09 14:24,Will haul away unwanted boats must be on trailer . Email details and location . Thanks,,5904930389,,20,,,,,,power,,Boat removal/disposal,https://muskegon.craigslist.org/boa/5904930389.html,
15,good,"['43.232600', '-86.249200']",2016-12-09 11:46,"For sale is a 1987 bayliner avanti. The boat has twin OMC outdrives and GM 5.4 motors. The oil and filters have just been changed. I just put in a new 6 gallon water heater and replaced the deck wetbar faucet. With the boat comes with two shore power cords and full camper enclosure with new plastic this year. The only thing that should be replaced are the port shift cable and bellow. Price is 11,000 firm. I just paid 13,000 last year but I am moving for a new job and can't bring it with. There is a new 45 inch flat screen smart tv mounted to the wall.",700,5877572149,43.232600,32,-86.249200,bayliner,"https://maps.google.com/maps/preview/@43.232600,-86.249200,16z",3255,$11000,power, (muskegon),1987 Bayliner Avanti,https://muskegon.craigslist.org/boa/5877572149.html,1987
16,,"['43.196200', '-86.273800']",2016-12-08 21:30,Looking to have your boat hauled from point A to Point B give us a call. We can haul boats up to 33 foot on are triple axle heavy duty boat trailer and pontoons up to 25 foot on are double axle pontoon trailer crank up and down.  Call for pricing show contact info,,5874211712,43.196200,32,-86.273800,,"https://maps.google.com/maps/preview/@43.196200,-86.273800,16z",,,power,,Boat Transport,https://muskegon.craigslist.org/boa/5874211712.html,
17,fair,"['43.441500', '-86.150900']",2016-12-08 18:56,"Sea ray srv 193 19' runabout with mercruiser 302 v8 and merc 888 outdrive with newer lower unit motor runs strong makes 188 hp has rebuilt starter and new solenoid. New ignition coil, plugs, wires, distributor cap and rotor. New fuel pump. Needs bowels and gimbal bearing. The boat has two electric walker down riggers and two manual. Lots of extra pole holders for running planner boards. It takes on absolutely NO water very solid boat with a little love she can put loads of kings and eyes in the boat. Boat has a tandem axle cad-rite roller trailer and is a dream to load and unload I've done it by myself a bunch. Have 4 cannonballs and all safety gear besides vests. Ship to shore radio is like new. 2500 obo 231-5five7-one7three4 call or text. (Text has the best chance)",,5911480788,43.441500,19,-86.150900,Sea ray,"https://maps.google.com/maps/preview/@43.441500,-86.150900,16z",Stv193,$2500,power, (Holton),Boat,https://muskegon.craigslist.org/boa/5911480788.html,
18,,"['43.088300', '-86.102800']",2016-12-08 16:57,Turn key ready. This twin chrysler m360 With carter 4 barrel carburetors is alot Of fun. Price to sell. Includes slip for rest Of season. 616 3 four 0 five 5 48 No paypal...Cash only,,5896745593,43.088300,30,-86.102800,,"https://maps.google.com/maps/preview/@43.088300,-86.102800,16z",,$8000,power, (Ferrysburg),searay 300w 1979,https://muskegon.craigslist.org/boa/5896745593.html,
19,excellent,,2016-12-08 14:22,"I'm the second owner. Only used a handful of times I have trolling motor, fish finder, oars anchor etc. I put a new 20hp four stroke motor on last year. I have cover newer trailer. Very light setup you could probably tow with a Honda Civic. Needs to go ASAP",,5871219673,,16,,Lund,,,$4250,power,,2002 Lund V bottom aluminum fishing boat,https://muskegon.craigslist.org/boa/5871219673.html,2002
20,excellent,"['43.442513', '-85.955143']",2016-12-08 11:54,Tohashu  4 HP  4 stroke motor less than 15 minutes run time like new Paid 1400.00 sell for 850.00 14 Ft Starcraft boat only in the water a couple times never licensed new condition 1200.00 new  for 600.00 reply  here this ad leave name number sorry no pictures but like i said both new condition,,5894652092,43.442513,14,-85.955143,starcraft,"https://maps.google.com/maps/preview/@43.442513,-85.955143,16z",,$1450,human, (Fremont),Boat and Motor,https://muskegon.craigslist.org/boa/5894652092.html,
21,new,"['42.568885', '-83.752556']",2016-12-08 07:43,"Selling a 2013 Glastron GTS 205 with a 4.3 liter v6 220hp motor. This boat is immaculate and well cared for. This is not a GT series. It is the GTS so it has 3 colors and a few extra bells and whistles. It was purchased brand new in spring of 2015 with a Glastron single axle trailer. It also has the premium package so there are chrome and stainless accents. Engine has low hours. The boat had been maintained by the dealership and winterized for the season this year.  Storage has also been taken care of for the winter.   Also, it has always been taken out of the water after each use and stored inside for both the winter and when not being used. Boat comes with many extras.... Call for more information.",75,5910520333,42.568885,21,-83.752556,Glastron,"https://maps.google.com/maps/preview/@42.568885,-83.752556,16z",GTS205,$28500,power, (Brighton),Glastron GTS205,https://muskegon.craigslist.org/boa/5910520333.html,2013
22,,"['43.232900', '-86.188500']",2016-12-07 19:33,1986 Bayliner capri. 21ft with cuddy cab. Has inboard Volvo Penta v8 engine. Comes with trailer. Tires are good and hold air. Seats need to be reupholstered or replaced. Main walkway needs replacing and the outdrive needs a $50 set of bellows. Fixes all seem fairly simple and would make a great boat. Took it in on trade and realized later that I'm not much of a boat person.,,5910104807,43.232900,25,-86.188500,,"https://maps.google.com/maps/preview/@43.232900,-86.188500,16z",,$1100,power,,1986 bayliner,https://muskegon.craigslist.org/boa/5910104807.html,
23,,,2016-12-07 14:48,"All guages work on boat, but fish finder is not operational. Live well under captains chair works like a new one. Sink area with water pump built in and a table come with boat. Boat has a canopy attached on rear at this time that is free of tears. I also have a second top that can be put on front of boat that I took off. It will almost cover the entire boat. Boat has a abundance of storage under all bench seats as well as area in rear of boat. I have spent some time getting interior of boat clean before putting away for winter. I did pressure wash the pontoons, but have not cleaned. The pontoons are a little dirty from being docked in lake, but are free of any damage. Mercury engine is in excellent condition. Starts and runs like a new one. Engine has around 200 hrs on it.",,5866079261,,25,,,,,$8990,power, (Blanchard),Fantastic  Fisher Liberty 240 DLX,https://muskegon.craigslist.org/boa/5866079261.html,2008
