,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-11 18:15,"older project boat & trailer ""CHECKMATE"" very solid boat, sweet looker, had a 65hp and it flew, no motor chick magnet on the water, trailer in great shape grease-able hubs $550 or reasonable offer Matt",,5880434578,,16,,checkmate,,,$550,power, (Roscommon),78 checkmate & trailer,https://nmi.craigslist.org/boa/5880434578.html,
1,,,2016-12-11 17:11,Paddle Boat.  Metal paddles and rutter.,,5915315062,,14,,,,,$100,human, (Grawn),Paddle Boat,https://nmi.craigslist.org/boa/5915315062.html,
2,,"['42.769200', '-86.116400']",2016-12-11 16:35,"1998 Mercury 15 horsepower 2 stroke boat motor, short shaft, tiller handle, pull start, runs good , comes with fuel tank, clean engine. Holland",,5912304848,42.769200,15,-86.116400,,"https://maps.google.com/maps/preview/@42.769200,-86.116400,16z",,$725,power,,1998 Mercury 15 horsepower 2 stroke boat motor,https://nmi.craigslist.org/boa/5912304848.html,
3,like new,"['45.918600', '-89.695400']",2016-12-11 16:11,This boat looks as good as new perfect high gloss deck like just out of factory.   new is over 5k  located in minocqua wi  price reduced 300,,5903501635,45.918600,14,-89.695400,,"https://maps.google.com/maps/preview/@45.918600,-89.695400,16z",,$1750,sail, (arbor vitae),1979 Sunfish looks new,https://nmi.craigslist.org/boa/5903501635.html,
4,like new,"['45.918600', '-89.695400']",2016-12-11 16:10,This boat looks as good as new perfect high gloss deck like just out of factory.   new is over 5k  located in minocqua wi  price reduced 300,,5903500362,45.918600,14,-89.695400,,"https://maps.google.com/maps/preview/@45.918600,-89.695400,16z",,$1750,sail, (arbor vitae),1979 Sunfish looks new,https://nmi.craigslist.org/boa/5903500362.html,
5,,"['44.945215', '-85.486507']",2016-12-11 15:48,"14 foot aluminum fishing boat, with 7.5  h.p.mariner motor.. No leaks, runs good ,, first $650 gets it!!",,5915209920,44.945215,14,-85.486507,,"https://maps.google.com/maps/preview/@44.945215,-85.486507,16z",,$650,power, (Traverse city),14 ft. Boat  Alumacraft,https://nmi.craigslist.org/boa/5915209920.html,
6,,,2016-12-11 13:37,pontoon trailer good tires everything works taking offers,,5915028516,,0,,,,,,human,,pontoon trailer,https://nmi.craigslist.org/boa/5915028516.html,
7,excellent,"['44.424243', '-83.343143']",2016-12-11 12:44,"Built in USA and has 5.7 in-board Volvo Engine. This is last year of production for Chris-Craft deck boat series. Versatile boat ideal for all types of lakes and open water because it can handle the big water and yet runs in just 3-4 foot of draft -- a must have for shallow lakes. I have taken it out with ease on Lake Huron as well as several inland lakes and dams. Has a head, pressure water/flush system, outside shower, the bow makes into a bed-see pics, and clear vinyl/screen enclosures have never been used. Atlantis carpeting looks new and the boat has an extended swim platform at the stern. I have owned this boat for ten years and during that time all service has been performed by a Certified Volvo Mechanic at the marina. I have the marina winterize and store it inside every winter. The boat is cleaned and waxed often. The upholstery is conditioned almost every time we take it out, notice there is no mold or discoloring on the seats. This boat has been in fresh water only and has very low hours -- average 10 hours per season. The Magic Tilt aluminum (no rust) trailer is also included in this sale. Trailer is serviced regularly. We upgraded the trailer by replacing the bunks with ""Long Run Self Centering Bunk Glide Ons"" installed by the Marina and guide posts too. This makes loading and unloading fast and easy. This boat was $66,000 new and the trailer was $7,500. We have had the Marina install extras that are included in this sale such as: Ship to Shore radio $525 3500 Lowrance GPS/Digital Sonar & Fish Finder $2,199 Hydraulic steering actuator $806 Trim limiters - $314 Boat trailer -- lengthened and replaced bunks, upgraded trailer jack, spare tire mount, permalock bunk brackets comes to about $2,300 in trailer upgrades. Also included are: Bimini top Bow cover Cockpit cover Screen/clear vinyl weather enclosure for cockpit Cushions to turn bow into a bed Full boat cover, custom bow to stern, down to hull cover in Top Gun Marine fabric $980 Matching trailer tire covers $90 12+ orange life vests Check out the photos -- this boat is in excellent condition and would be ideal for collectors.",320,5914954909,44.424243,26,-83.343143,Chris Craft,"https://maps.google.com/maps/preview/@44.424243,-83.343143,16z",262 Sport Deck,$34900,power,,26' Chris Craft 262 Deck Boat & Trailer,https://nmi.craigslist.org/boa/5914954909.html,2001
8,excellent,[],2016-12-11 10:30,Firm on $150 Please call or don't email me on weekends Preferably text me with any questions,,5879268492,,10,,,https://maps.google.com/?q=loc%3A+%37%39%38+Beatrice+rd%2E+Manistee+MI+US,,$150,human, (Manistee),Flat bottom John boat,https://nmi.craigslist.org/boa/5879268492.html,
9,excellent,,2016-12-11 09:21,"2008 mirrocraft troller 16ft has 40 horsepower Mercury 4 stroke ,Electric Minn Kota V2 trolling motor, fish finder ,Live Well ,trailer very low hours excellent condition $7900",,5914715594,,16,,mirrocraft,,Troller,$7900,power, (Cheboygan),2008 mirrocraft troller,https://nmi.craigslist.org/boa/5914715594.html,2008
