,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,[],2016-12-20 11:33,"Come on Out to Bouvier Bridge Marina and check out your New Marina. Bouvier Bridge Marina has Summer Dockage for Boats 18' to 50' and Pontoon Slips with Lowered Docks Available. 18' to 50' we can accommodate your boat. Full Amenities and Great Kid Friendly Heated Pool, Playscape, Picnic Area and More. See Additional pictures and info on our web site & facebook page. Call today or stop on in for the best rates on Anchor Bay and receive a discount for New Customers. Reserve your spot in the Sun for 2017 today and save, Its never to Early. Capt. Mike show contact info BouvierBridgeMarina.com Bouvier Bridge Marina @ facebook",,5907856821,,50,,,https://maps.google.com/?q=loc%3A+%37%38%33%38+Dixie+Hwy+Fair+Haven+MI+US,,,power,,2017 Summer Dockage @ Bouvier Bridge Marina (Anchor Bay),https://porthuron.craigslist.org/boa/5907856821.html,
1,,"['42.732400', '-82.786356']",2016-12-20 10:49,"Inboard Outboard, 302 V8 mercruiser engine. New Plugs, wires, points, freeze plugs, cuddy cabin, engine runs good, life jackets, bimini top. 2 extra tires for trailer. Needs impellor. Interior needs some cleaning and attention. Diving Platform and ladder. $2650 obo. Call or text for details, or come to ..Metro Pawn Shop.. 58872 Gratiot Ave. near 27 mile road. New Haven MI 48048.phone open Monday - Friday 11;00 am to 6 pm, Sat 12-4 pm ......TEST BEFORE YOU PAY...... .....LOTS of other GREAT ITEMS for sale.... STOP IN AND SEE .... reasonable offers will be considered NO SCAMMERS need bother cash and pick up only... NO CHECKS.... NO PAY PAL call or text jack at any time for further info",,5886172397,42.732400,20,-82.786356,Sea Ray,"https://maps.google.com/maps/preview/@42.732400,-82.786356,16z",,$2650,power, (New Haven),Boat- 19 1/2 ft. 77 Sea Ray,https://porthuron.craigslist.org/boa/5886172397.html,1977
2,good,"['42.587700', '-82.821500']",2016-12-20 09:50,"THIS IS A 1984 32.9 FT CARVER TRICABIN. IT IS IN DECENT SHAPE, IT RUNS GREAT AND COULD BE NAVIGATED ANYWHERE. ALL THE AMENITIES DO WORK THERE ARE TOO MANY TO MENTION ON THIS AD. WE WOULD BE HAPPY TO ANSWER ANY QUESTIONS ABOUT THIS VESSEL. PLEASE FEEL FREE TO CALL US ANYTIME @ show contact info or TESS @ show contact info THE PRICE HAS BEEN SEVERLY REDUCED BECAUSE ITS SO LATE IN THE SEASON. WE ARE MOVING OUT OF STATE.",700,5891362992,42.587700,32,-82.821500,CARVER,"https://maps.google.com/maps/preview/@42.587700,-82.821500,16z",TRI CABIN,$12500,power, (HARRISON TWP.),32.9 FT CARVER TRI CABIN WITH FLY BRIDGE TWIN CRUSADER V-8 RUNS GREAT,https://porthuron.craigslist.org/boa/5891362992.html,1984
3,good,,2016-12-20 09:48,"1989 Cruisers VeeSport 260. Overall good condition, runs great. Dual Mercruiser 4.7l engines. 10ft beam, 30' overall length (swim platform + anchor) Cabin has a pump-out toilet/shower, fridge/microwave/electric stove, LOTS of storage. Sleeps about 6-8. Newer CD player and new speakers. LED lighting added. New laminate flooring installed this year. 3 new batteries last year (2015) and new bottom paint in 2015. Great boat for a first-time cruiser. Boat wasn't put in the water in 2016 due to busy schedule. Huge price drop, just time to get rid of her. Overall, for a 25+ year old boat, it is in excellent shape and has been well-maintained/cared for, but, it could use some sprucing up in a couple areas in the next few years. Currently shrink-wrapped and stored. $4500 obo. Email me with questions",,5910619714,,30,,,,,$4500,power, (Port Huron),Cruisers VeeSport 260,https://porthuron.craigslist.org/boa/5910619714.html,
4,,"['28.863600', '-95.917300']",2016-12-19 19:24,"excellent offshore monohull, built for extended fishing trips, large cockpit with lots of fishing room, complete walk around cutty cabin, v-berth with porta potty, Bimini top with canvas inclosures, lemar hatch in cabin with two side ports, 25 inch transom heigth, self bailing deck, 130 gallon fuel tank, hydraulic steering, electrical good, just a all around good boat except over the gas tank the hatch lid is soft, but thats pretty much a standard on models like this Continental trailer, tandem axel, aluminum frame, just inspected, L.E.D lighting, 2 speed wench, brakes 1991 Mercury /Mariner 200hp, runs with low compression, ethanol killed it, ready for rebuild or replace powerhead or repower clean titles to all three $6,300 cash",,5926071676,28.863600,23,-95.917300,,"https://maps.google.com/maps/preview/@28.863600,-95.917300,16z",,,power,,"23 ft Walk Around Cutty Cabin ""Pro Line""",https://porthuron.craigslist.org/boa/5926071676.html,
5,,"['42.732400', '-82.786356']",2016-12-19 16:27,"Inboard Outboard, 302 V8 mercruiser engine. New Plugs, wires, points, freeze plugs, cuddy cabin, engine runs good, life jackets, bimini top. 2 extra tires for trailer. Needs impellor. Interior needs some cleaning and attention. Diving Platform and ladder. $2650 obo. Call or text for details, or come to ..Metro Pawn Shop.. 58872 Gratiot Ave. near 27 mile road. New Haven MI 48048.phone open Monday - Friday 11;00 am to 6 pm, Sat 12-4 pm ......TEST BEFORE YOU PAY...... .....LOTS of other GREAT ITEMS for sale.... STOP IN AND SEE .... reasonable offers will be considered NO SCAMMERS need bother cash and pick up only... NO CHECKS.... NO PAY PAL call or text jack at any time for further info",,5886172135,42.732400,20,-82.786356,Sea Ray,"https://maps.google.com/maps/preview/@42.732400,-82.786356,16z",,$2650,power, (New Haven),Boat- 19 1/2 ft. 77 Sea Ray,https://porthuron.craigslist.org/boa/5886172135.html,1977
6,good,"['43.122300', '-82.599800']",2016-12-19 15:57,"This vintage Chris Craft has a 283 Chevrolet motor- excellent valve train,sound lower end, rebuilt 4 barrel carburetor with only 70 hours on it.It has an in-board motor.I was restoring the hull, but still needs some TLC.The electric auto bilge pump is excellent and does keep water out of the hull. Trailer included.Boat is winterized and cover on trailer.",70,5925907202,43.122300,20,-82.599800,Chris Craft,"https://maps.google.com/maps/preview/@43.122300,-82.599800,16z",Sea Skiff,$3000,power,,1959/60 Vintage Wood Chris Craft,https://porthuron.craigslist.org/boa/5925907202.html,1960
7,excellent,,2016-12-19 14:54,"BAJA 196 SVR This is an excellent second owner boat! 350 Chevy with through hull exhaust, great sound! Always stored covered and inside. EVERYTHING WORKS ON THIS BOAT! Very fast (over 60 with passengers), excellent ski or tubing boat for your family! Features/Updates 19'6"" Length Sony 4 Speaker Sound System Stainless Steel Prop Eagle Trailer Manuals/Service Records NEW factory interior in 2014 NEW Stereo system in 2014 NEW Custom Cover in 2014 NEW Battery in 2015 Winterized Sept. 2016 Ready to store",375,5925810503,,20,,BAJA,,196 SVR,$6900,power," (CROSWELL, MI)",BAJA 196 SVR,https://porthuron.craigslist.org/boa/5925810503.html,1990
8,,,2016-12-19 13:04,"very nice fishing boat up for grabs, I took it all up and down black river and had a great time, then took it out canal, down lakeside,then very far out in lake,no issues, no leaks, ran motor many hours flawlessly, trailer has new tires(old for spares)new lights, new wiring.boat has brand new lights front and back, brand new battery(4 fishfinder) boat was painted recently, has nice gas tank,fishfinder,anchor, you wont be dissapointed its cleaner then pics show inside(just leaves and stuff. trade for car or truck or jeep, I can add cash or a 96 riviera or maybe more stuff, looking 4 dependable.   only issue is it needs a engine bracket(easy fix I rigged it without any issues)",,5925627814,,14,,,,,$1000,power, (port huron),14 ft tri hull w/9 hp sea king(trade 4 car),https://porthuron.craigslist.org/boa/5925627814.html,
9,,"['43.582380', '-83.676682']",2016-12-19 11:13,"1993 Northwood 14' Fishing Boat 25 HP Evinrude and trailer. Very solid seaworthy boat with Evinrude 25 HP tiller electric start with dedicated battery and bow mounted Minnkota 50 lb foot control trolling motor with deep cycle battery. Bow and stern anchors with rope reels, one year old Garmin GPS fish finder combo, aeriated live well, navigation lights, lockable storage, rod holders, 2 swivel and adjustable seats, engine just tuned up, carburetor cleaned, new water pump impeller, newer single axle Karavan boat trailer with bearing buddies and working lights. Only reason I am selling is my brother-in-law offered me a deal I cannot pass up on newer larger boat. Was asking $3,950.00 just reduced to $2,950.00 firm cash price for quick sale. Cash is King, but partial or full trade considered. Snowmobile, boat, outboard, firesticks, ATV, vehicle, what do you have? Let's talk. Call, text or email Chris 989-two13-3543 Located 8 miles East of Bay City MI on M-25 in Quanicassee right next to Lindys Landing Marina",,5887854469,43.582380,15,-83.676682,,"https://maps.google.com/maps/preview/@43.582380,-83.676682,16z",,$2950,power, (Quanicassee),1993 Northwood 14' Fishing Boat 25 HP Evinrude and trailer GPS,https://porthuron.craigslist.org/boa/5887854469.html,
