,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['43.582100', '-83.878100']",2016-12-20 15:28,just bought boat from my uncle this past summer. ran great. A storm came we didn't have covered up. Spent $500 rebuilding carburetor starter solenoid and rewiring gauges.(have receipts). Took out on water and steering wheel locks up! Forgot to mention 4 brand new tires on trailer this summer. Bottom line Im tired of putting money into it! Please take off my hands. Phone number show contact info or call at show contact info I can send you pictures if your interested. didn't feel like undoing tarp with all snow on it.,100,5927238194,43.582100,14,-83.878100,summerset,"https://maps.google.com/maps/preview/@43.582100,-83.878100,16z",,$800,power,,1981  summerset  inboard V8,https://saginaw.craigslist.org/boa/5927238194.html,1981
1,,,2016-12-20 13:41,Nice original. Boat needs tlc Stored indoors for years. 65 HP Mercury Outboard New trailer tires. Battery And fuel line. Good compression. All original.,,5899353914,,16,,,,,$675,power, (White Lake),Glastron 156 Walleye Boat 65 Outboard,https://saginaw.craigslist.org/boa/5899353914.html,
2,good,"['44.139500', '-84.187200']",2016-12-20 08:27,"For sale...1984 Renkin 16' 8"" boat. Has fish finder, lots of seating, sun awning, cover, lots of storage, swim platform, and hooks for a tube, and comes with the trailer. Has been winterized. Plan ahead and be ready to go for next season or cross a Christmas gift off your list that the whole family will enjoy. Asking $2000 obo. Either reply to this posting or leave a message at Nine 8 Nine 8 three six 2 two 8 six. I will get back to you as soon as possible. This is a message phone and does not allow texting. Do not contact me for sale boards or solicitations.",,5926619799,44.139500,17,-84.187200,Renkin,"https://maps.google.com/maps/preview/@44.139500,-84.187200,16z",,$2000,power," (Alger, Mi)","1984 Renkin 16'8"" boat",https://saginaw.craigslist.org/boa/5926619799.html,1984
3,good,"['44.139500', '-84.187200']",2016-12-20 08:26,"For sale...1984 Renkin 16' 8"" boat. Has fish finder, lots of seating, sun awning, cover, lots of storage, swim platform, and hooks for a tube, and comes with the trailer. Has been winterized. Plan ahead and be ready to go for next season or cross a Christmas gift off your list that the whole family will enjoy. Asking $2000 obo. Either reply to this posting or leave a message at Nine 8 Nine 8 three six 2 two 8 six. I will get back to you as soon as possible. This is a message phone and does not allow texting. Do not contact me for sale boards or solicitations.",,5926618957,44.139500,17,-84.187200,Renkin,"https://maps.google.com/maps/preview/@44.139500,-84.187200,16z",,$2000,power," (Alger, Mi)","1984 Renkin 16'8"" boat",https://saginaw.craigslist.org/boa/5926618957.html,1984
4,,"['43.608800', '-83.953000']",2016-12-20 01:31,A large capacity tandem axle Manning boat trailer. This big guy should hold up to a 27 foot boat. Almost excellent condition. Asking $2350 or best offer. Please no text messages. Thanks,,5920282249,43.608800,32,-83.953000,,"https://maps.google.com/maps/preview/@43.608800,-83.953000,16z",,,power,,Large Capacity Boat Trailer,https://saginaw.craigslist.org/boa/5920282249.html,
5,good,"['43.658136', '-83.883945']",2016-12-20 01:30,"1988 Procraft Bass Boat. 19 foot V hull Double cockpit. a good sound deck. Min kotta 24 volt, 72pound thrust trolling motor.three batteries with a three bank battery charger. Fish finder/GPS combo. Float on trailer with great tires and a new spare. Powered with a 200 HP Evinrude outboard V-6 With a stainless prop . Prepaid inside storage 'til spring. All this for $3950 or best offer. Thanks",,5887204011,43.658136,19,-83.883945,Procraft,"https://maps.google.com/maps/preview/@43.658136,-83.883945,16z",,$3950,power, (Bay City),Bass Boat,https://saginaw.craigslist.org/boa/5887204011.html,1988
6,good,"['43.658136', '-83.883945']",2016-12-20 01:30,"1988 Procraft Bass Boat. 19 foot V hull Duel cockpit. a good sound deck. Min kotta 24 volt, 72pound thrust trolling motor.three batteries with a three bank battery charger. Fish finder/GPS combo. Float on trailer with great tires and a new spare. Powered with a 200 HP Evinrude outboard V-6 With a stainless prop . All this for $3950 or best offer. Thanks",,5887201522,43.658136,19,-83.883945,Procraft,"https://maps.google.com/maps/preview/@43.658136,-83.883945,16z",,$3950,power, (Bay City),Bass Boat,https://saginaw.craigslist.org/boa/5887201522.html,1988
7,,"['43.608800', '-83.953000']",2016-12-20 01:30,"A well built '79 Sea Ray.Comes with a 350 V-8 drive and trim tabs. Has new interior and a camper top that needs a wee bit of updating and a teak swim platrorm. Has head and galley and sleeps at least four. Nice tandem axle trailer that is probably worth the asking price alone. This boat was made for some heavy water, fishing and just family cruising.",,5923784038,43.608800,24,-83.953000,,"https://maps.google.com/maps/preview/@43.608800,-83.953000,16z",,$2275,power, (Bay City),1979 24' Searay with Trailer (sell or trade),https://saginaw.craigslist.org/boa/5923784038.html,
8,,,2016-12-19 18:56,Nice shape. Was told it ran but haven't touched it since I bought. All stock. Will need a battery. Bill of sale only.,,5926144369,,8,,Kawasaki,,,$500,power, (Sanford),1985 Kawasaki js550 stand up jet ski,https://saginaw.craigslist.org/boa/5926144369.html,
9,good,,2016-12-19 13:33,"Nice fishing or pleasure boat 21 ft inboard outboard 165 Chevy marine. Deep Hull Great for Saginaw Bay, tandem axle trailer also nice slip at sunset shores marina Bay City mi $ 3500",,5925677619,,21,,tea craft,,,$2000,power, (Bay city),21 ft tea craft,https://saginaw.craigslist.org/boa/5925677619.html,1987
10,,"['43.264900', '-83.790300']",2016-12-19 11:47,"Poos, fcfs. Located in Birch Run Michigan Open bow 16ft Baja speed boat with 115hp Mercury outboard and power trim. Trailer has brand new wheels and tires. Previous owner said the motor ran great right up until he removed the interior a couple years ago. When I hooked a battery up the motor rolls over and shifts fine. Feels like good compression, and power tilt trim works. I have not tried starting as it's been too cold to hook up the water muffs. Willing to separate motor from boat. May be interested in trades but mostly want cash. $575. Willing to separate boat and motor. Txt or call show contact info Possible trades- mechanics or metal fabricating tools, dewalt lithium, plasma cutter, silverado, Sierra, chevy, GMC, 1500, 2500, 2500hd, wrecked, 4.8, 5.3, 6.0, 8.1, 8.1L, ls, lsx, ls1, camper, motorcycle, snowmobile, snowmobiles, torpedo heater, motorized, vintage....... Key words- project, projects, kiekhaefer, outboards, 1150, inline 6, i6, tower of power, tri-hull, water, Lake, fish, fishing, fast",,5911781863,43.264900,16,-83.790300,,"https://maps.google.com/maps/preview/@43.264900,-83.790300,16z",,$575,power, (Birch Run),"Baja open bow speed boat, 115hp Mercury outboard, power trim",https://saginaw.craigslist.org/boa/5911781863.html,
