,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-11 19:24,"Formula Racing Trailer (3 axle) can be used for an additional 10' long boat Registration good through 2017 Includes powered down-riggers (not pictured) Professionally winterized in the fall of 2015 - Both engines Includes everything attached to the boat, as seen in the pictures, plus more. The exact length and beam are unknown, but will get that information soon. Call to set up a time to check it out. Thanks!  -Eric show contact info",,5901007395,,28,,,,,$4800,power, (Midland / Mt. Pleasant Area),Charter Fishing Boat and Trailer,https://saginaw.craigslist.org/boa/5901007395.html,
1,good,,2016-12-11 19:21,"24' 4 cylinder, IO Volvo out drive, Nice ship Big enough for the whole , tandem axle trailer included Will look at Nice Trades",,5880514442,,24,,Grand Tahoe,,,$8900,power, (Bay City),24' Pontoon,https://saginaw.craigslist.org/boa/5880514442.html,1998
2,,[],2016-12-11 13:56,Beautiful nautical lamp with ship diagrams on shade.  This is awesome and in perfect condition.  Call show contact info and ask for Brent to arrange to see the lamp.,,5906547583,,1,,,https://maps.google.com/?q=loc%3A+Freeland+Rd+at+Center+Rd+Freeland+MI+US,,$175,human, (5150 W Freeland Rd),Nautical Lamp,https://saginaw.craigslist.org/boa/5906547583.html,
3,excellent,,2016-12-11 13:21,"2010 Triton 21 XS Elite Fishing Boat with a 2010 Mercury OptiMax Pro XS 250 HP. (2) 1 Humminbird 10"" 1197 C in dash & 1 Humminbird 1157 C at Bow both with external GPS pucks. 3 - Opti Gel Batteries Blue Top Deep Cell with on board charging system and 1 - cranking Battery. Triton Boat Cover - Heavy Duty Travel Cover. Blinker switch hydraulic trim. Blinker switch hydraulic 8"" Bob's Machine Shop Jack Plate. Hot Foot Pedal. KVD Hydrowave. Minnkta Fortex 101 Trolling Motor. Fury 3 blade stainless steel prop with a 25 Pitch. 2 large rod lockers, Large tackle storage lockers, 2 separate live wells with pump outs. Includes 2010 Triton duel axel trailer with fiberglass fenders & breakaway tongue..  Runs and handles great runs on the average 75MPH all day. You will not find a better boat for the price!!!! Always stored in garage when not in use.  I would like to sell this boat before winter so i don't have to store it. Asking $31500 for one of the most well taken care, beautiful  boat ever. This won't last long.",300,5905074287,,21,,Triton,,Mercury,$31500,power, (Essexville Mi.),2010 Triton 21 XS Elite Bass Boat,https://saginaw.craigslist.org/boa/5905074287.html,2010
4,,,2016-12-11 08:37,"Haven't used it in a couple of years, has been covered. Interior is shot, cuddy is nice, excellent engine and outdrive 165 hp 4cyl closed cooling has been winterized . Project boat or part out .Shifter needs work, have extra shifter for parts. Phone calls only NO TEXTS NO EMAILS.if no answer I will return call thanks for looking show contact info Possible trade for cj jeep,boom sticks,bangsticks,bang sticks, hunting tools,enclosed trailer,toolbox,tool box or 16' aluminum boat",,5901850638,,18,,,,,$1200,power, (Kingston),87 Four Winns 195 Sundowner,https://saginaw.craigslist.org/boa/5901850638.html,
5,,"['43.264900', '-83.790300']",2016-12-11 07:06,"Poos, fcfs. Located in Birch Run Michigan Open bow 16ft Baja speed boat with 115hp Mercury outboard and power trim. Trailer has brand new wheels and tires. Previous owner said the motor ran great right up until he removed the interior a couple years ago. When I hooked a battery up the motor rolls over and shifts fine. Feels like good compression, and power tilt trim works. I have not tried starting as it's been too cold to hook up the water muffs. Willing to separate motor from boat. May be interested in trades but mostly want cash. $575. Willing to separate boat and motor. Txt or call show contact info Possible trades- mechanics or metal fabricating tools, dewalt lithium, plasma cutter, silverado, Sierra, chevy, GMC, 1500, 2500, 2500hd, wrecked, 4.8, 5.3, 6.0, 8.1, 8.1L, ls, lsx, ls1, camper, motorcycle, snowmobile, snowmobiles, torpedo heater, motorized, vintage....... Key words- project, projects, kiekhaefer, outboards, 1150, inline 6, i6, tower of power, tri-hull, water, Lake, fish, fishing, fast",,5911781863,43.264900,16,-83.790300,,"https://maps.google.com/maps/preview/@43.264900,-83.790300,16z",,$575,power, (Birch Run),"Baja open bow speed boat, 115hp Mercury outboard, power trim",https://saginaw.craigslist.org/boa/5911781863.html,
6,,"['43.386900', '-84.092600']",2016-12-11 05:31,"3HP Johnson Trailor call show contact info or show contact info for more info! DO NOT EMAIL, ONLY CALL.",,5914604189,43.386900,14,-84.092600,,"https://maps.google.com/maps/preview/@43.386900,-84.092600,16z",,$650,power, (Saginaw),14' Meyer,https://saginaw.craigslist.org/boa/5914604189.html,
7,new,,2016-12-11 05:07,"""RESERVE YOUR SEAT FOR THE WINTER  ........ 1 Week Captains License Class and Test in...... Mt. Clemens, Starts ......""January 7th"".......and again.......""February 18th""....... 100% Guaranteed and we give the test. No X-tra or hidden fee's. Great Lakes Charter Training has been assisting Mariners achieve their goals since 1989. Cost includes the Class, Materials and Test. To reserve your seat or for additional dates and locations Call 1-800 CAPT MEL (227-8635) or visit us on line at GLCTraining.com. Delivery Captain, Fishing Charters, Day Sail and Sunset Cruises, Dive Boats, Tow Boats and More......Do what you have always dreamed of and get paid to be on the water!",,5893854435,,1,,,,,$995,human, (Mt. Clemens),1 WEEK CAPTAINS LICENSE CLASS,https://saginaw.craigslist.org/boa/5893854435.html,
8,excellent,"['43.516100', '-84.182200']",2016-12-10 17:27,EXCELLENT CONDITION. Volvo 4 cylinder with Volvo out drive and Shoreland'r trailer. Original boat/trailer combo. Fully equipped and ready for the water. Currently winterized. Reply via CL email or call 989-8seven8-181two.,,5910682197,43.516100,17,-84.182200,Glastron,"https://maps.google.com/maps/preview/@43.516100,-84.182200,16z",175 SSV,$3900,power, (Freeland),Glastron 17' open bow,https://saginaw.craigslist.org/boa/5910682197.html,1993
9,good,,2016-12-10 17:26,"Nice fishing or pleasure boat 21 ft inboard outboard 165 Chevy marine. Deep Hull Great for Saginaw Bay, tandem axle trailer also nice slip at sunset shores marina Bay City mi $ 3500",,5877267835,,21,,tea craft,,,$2100,power, (Bay city),21 ft tea craft,https://saginaw.craigslist.org/boa/5877267835.html,1987
