,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['41.782700', '-85.852900']",2016-12-11 18:30,"Like New WakeBoat!! Bought Brand New Last Year...  Only 59hrs on it, always stored on a lift and inside storage during the winter months. Still has 3.5 years left on the MFG's Warranty. Snap in carpet, CD player with Bluetooth, and subwoofer. Half the cost of a brand new one, and well below NADA pricing. Comes with Dual Axil Trailer and 4,500lbs boat lift if needed. Year: 2014 Make: Rinker Model: 220 Mtx Extreme Type: BOW RIDER/SKI BOAT Hull Material: Fiberglass Engine Type: Single Inboard/Outboard Engine Make: Mercruiser Engine Model: 5.0MPI/285HP/ALPHA Primary Fuel Type: Gas Fuel Capacity: 31 - 40 Gallons Length: 22.0 feet Beam: 8.2 feet",59,5915384531,41.782700,22,-85.852900,Rinker,"https://maps.google.com/maps/preview/@41.782700,-85.852900,16z",220 MTX Extreme,$39900,power," (Union,MI)",2014 Rinker 220 MTX Extreme WakeBoat,https://swmi.craigslist.org/boa/5915384531.html,2014
1,,"['42.184776', '-86.104145']",2016-12-11 17:10,"Older 2 place Leland jetski trailer in average condition, I can text pictures if you are interested I have not used it for quite some time and when I did it was only to take it 6 blocks to the boat ramp.",,5915313889,42.184776,12,-86.104145,,"https://maps.google.com/maps/preview/@42.184776,-86.104145,16z",,$250,power, (LAWRENCE),2 PLACE  PERSONAL WATERCRAFT TRAILER,https://swmi.craigslist.org/boa/5915313889.html,
2,good,,2016-12-11 15:41,"4 Walker Electric Downriggers for sale (3 tournament series and 1 non-tournament series). $275(each) for tournament series and $200 for non tournament. All riggers come complete with swivel bases, booms, cable, fastening knobs and boom pullies. Ready to mount and hook up to power source.",1,5915200707,,1,,1,,1,$1,power," (Saint Joseph, MI)",Electric Downriggers - Walkers,https://swmi.craigslist.org/boa/5915200707.html,2016
3,good,[],2016-12-11 15:22,"Here is a really nice fishing boat setup.  The boat is a 16' Aluminum Starcraft and it is in good condition with a flat wooden floor.  The motor is a 30HP Evinrude and it runs perfect.  The trailer is also in great condition with good tires and a new spare.  This setup includes many extras including a Minn Kota Endura 40 Lb thrust trolling motor with a good deep cycle battery, a Hummingbird fish finder, pole holders, front and rear anchor winches with anchors, spare gas tank, set of oars, big fish net, bilge pump, heavy cover with hold up bows and more...  I'm asking $1800 or reasonable cash offer for everything.  This is a great price for this package and I'm anxious to sell before winter so make an offer. SORRY, no texts! Calls only! show contact info Thanks!",,5898534472,,16,,Starcraft,https://maps.google.com/?q=loc%3A+Bacon+School+Rd%2E+St%2E+Joseph+MI+US,,$1800,power, (St. Joseph),16' Starcraft Aluminum boat 30HP Motor & Trailer (Many Extras!),https://swmi.craigslist.org/boa/5898534472.html,
4,excellent,"['41.768239', '-86.787014']",2016-12-11 14:28,"Great Lake Michigan Boat, Large cockpit, sleeps 5, enclosed fly-bridge and very low hours. Selling for half of last survey and appraisal in 2009. Engines fully overhauled Chevy 454s and fitted with multi port fuel injection at cost of 7,000 Boat is wrapped and on blocks. Minor TLC needed to be launch ready, lots of details in photos Lots of extra stuff included as I am getting out of boating.",750,5915066183,41.768239,35,-86.787014,Chris Craft,"https://maps.google.com/maps/preview/@41.768239,-86.787014,16z",315 Commander,$22000,power, (New Buffalo),Chris Craft 315 Commander,https://swmi.craigslist.org/boa/5915066183.html,1984
5,like new,"['42.813500', '-86.142600']",2016-12-10 21:29,"2013 Mercury 9.9 horsepower boat motor, 4-stroke, tiller steering, short shaft, pull start, includes three gallon fuel tank, very low hours, good as new.",,5904749028,42.813500,10,-86.142600,,"https://maps.google.com/maps/preview/@42.813500,-86.142600,16z",,$1475,power, (Holland),"REDUCED...2013 Mercury 9.9 hp. four stroke with ""LOW"" hours",https://swmi.craigslist.org/boa/5904749028.html,
6,,,2016-12-10 17:14,"Boat is in great shape.  GPS and Fish finder.  2 manual downriggers that work great.  4 rod holders.  Does great on Erie and Michigan and pulls my kids skiing and tubing great as well.  Runs 45-48mph.  Evinrude 70 HP VRO with 16 gallon built in tank and power tilt and trim.  Trailer is great, tires are great.  Ready to fish!   Has built in live well.  Two aluminum rod holders and two plastic removable rod holders as well. I'm asking $4500 but I'm really really motivated.  Shoot me an offer and let's talk.  Boat is very well cared for and stored inside!  Possible trade for a 4x4 quad with trailer.",,5901594262,,18,,Sylvan,,,$4500,power,,1987 Sylvan in great shape!  Walleye and Salmon MACHINE. Possible Trade!!!,https://swmi.craigslist.org/boa/5901594262.html,
7,excellent,"['42.769200', '-86.116400']",2016-12-10 15:58,"1999 Smokercraft Pro Mag 161 16' aluminum fishing boat, 83"" beam and very deep V hull, two livewells that light up, Lowrance color fishfinder/GPS, bow mount Eagle ff also, newer Minn Kota 50# trolling motor with foot control, dual batteries with on board charger, four Cabela""s rod holders, marine radio, AM/FM radio, all working gauges, interior courtesy lights, three swivel fishing seats with one bicycle seat, built in fuel tank, cover, bilge pump, tons of storage compartments and two lockable rod lockers, comes with a like new 1996 Mercury 90 hp two stroke with oil injection, power trim and the hour meter shows only 140 hours, Shorelander trailer painted to match this boat and it has a spare, newer radials, swing away tongue, takes a two inch ball and there is no rust. This boat has been pampered its whole life and is in amazingly beautiful condition. Can be towed easily with a four cylinder vehicle, the total GVW of everything is approximately 1500#. Located in Holland. Lund, bass tracker sea nymph lowe starcraft alumacraft nitro bass boat",,5910549739,42.769200,16,-86.116400,,"https://maps.google.com/maps/preview/@42.769200,-86.116400,16z",,$8950,power, (Must see),Smokercraft Pro Mag 161 / Mercury 90 hp / Console steering,https://swmi.craigslist.org/boa/5910549739.html,
8,good,"['42.108600', '-86.423400']",2016-12-10 11:06,I have a great running mudd motor... electric or pull start Honda motor will get you back home !!!,,5913559524,42.108600,16,-86.423400,Honda 9 hp,"https://maps.google.com/maps/preview/@42.108600,-86.423400,16z",Mudd motor,$500,power, (Benton Harbor),Mudd buddy...mudd motor 9 hp,https://swmi.craigslist.org/boa/5913559524.html,
9,excellent,"['41.904193', '-85.795798']",2016-12-10 10:44,"1996 Sea Ray 175 Five Series Bow Rider. 18' 2"" Long Absolutely beautiful boat for its age. Trailer included, in equally great shape. Equipped with a Mercruiser 3.0L LX 135 HP I/O Engine. Runs good - Engine sometimes bogs down on acceleration. Engine will also ""diesel"" sometimes after shutting off ignition. Could be carburetor adjustments, but I could never get it figured out. Overall runs great. Will pull tubers no problem. New/rebuilt carburetor in 2013. New Interstate battery in 2014. New water pump, plugs, distributor, wires and fuel filter in 2015. Oil changed at the end of this season. Boat was in water all of 2016 season (on hoist). Really no issues other than noted above. Gets compliments every year I put in in the water. Selling my lakefront property, no longer need. Included with sale is a Hummingbird fish finder, various size life jackets, tube and tubing/ski rope, extra prop, anchor, various extra engine fluids, and others! Everything you need for the 2017 season! Asking $5900. Please feel free to contact with any questions. Thanks!",,5910112338,41.904193,218,-85.795798,Sea Ray,"https://maps.google.com/maps/preview/@41.904193,-85.795798,16z",175 Bow Rider,$5900,power," (Jones, MI)","1996 Sea Ray 175 Bow Rider (18' 2"")",https://swmi.craigslist.org/boa/5910112338.html,1996
