,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,[],2016-12-11 15:43,Like new electric start suzuki 25hp 4 stroke....less than 10-hours...16' older mirrocraft v bottom...no leaks...new seats..new lights on trailer and boat...new tires..wheel bearings...fresh paint on trailer boat...great fishing boat...selling as I bought 17' Lund,10,5915203029,,16,,Suzuki,https://maps.google.com/?q=loc%3A+%37%35%34%30+trumbower+trail+Millington+MI+US,4 stoke 25hp,$2400,power, (Millington),16' mirrocraft w/2015 25hp Suzuki 4-stroke,https://thumb.craigslist.org/boa/5915203029.html,2015
1,excellent,,2016-12-11 13:49,I have 1984 21' Bayliner Trophy Hardtop with 9.9HP Johnson Kicker with electric start and controls. The boat has too much included to mention. Call for more detailed information.,,5902300487,,21,,Bayliner,,Trophy,$5000,power, (Thumb),1984 Bayliner Trophy,https://thumb.craigslist.org/boa/5902300487.html,1984
2,,,2016-12-11 05:06,"""RESERVE YOUR SEAT FOR THE WINTER "" ........ 1 Week Captains License Class and Test in....... Mt. Clemens, Starts .......""January 7th"".......and again.......""February 18th""....... 100% Guaranteed and we give the test. No X-tra or hidden fee's. Great Lakes Charter Training has been assisting Mariners achieve their goals since 1989. Cost includes the Class, Materials and Test. Call 1-800 CAPT MEL (227-8635) or visit us on line at GLCTraining.com. Delivery Captain, Fishing Charters, Day Sail and Sunset Cruises, Dive Boats, Tow Boats and More......Do what you have always dreamed of and get paid to be on the water!",,5893574329,,1,,,,,$995,human, (Mt. Clemens),1 Week Captains License Class,https://thumb.craigslist.org/boa/5893574329.html,
3,,,2016-12-10 11:58,clamp-on anchoring mounts to troller shaft shaloow water anchoring mounts/ pins troller/ anchoring arms custom made tiller extensions push pole holders /brackets poling gear rod racks / consoles go to >> www.anytide.com,,5903426051,,23,,,,,,power,,custom made tiller extensions,https://thumb.craigslist.org/boa/5903426051.html,
4,,,2016-12-09 16:24,"1965 16' Clipper boat (no seats) 1979 25 hp long shaft manual start good  compression, spark & gear case. may need carb. work trailer as pictured nice boat for someone who has some spare time. $400.00 or reasonable offer",,5912699864,,016,,,,,$400,power, (Caro Mi.),"Boat, Trailer & Motor",https://thumb.craigslist.org/boa/5912699864.html,
5,excellent,"['43.206900', '-83.226700']",2016-12-08 21:43,"2002 FourWinns 245 Sundowner (24.5ft) with matching factory trailer, ONLY 150 HOURS on original engine. Stainless steel DuoProp with Volvo Penta 5.7 Gi 280hp engine and Volvo outdrive. This boat tops out at 48mph with 6 adults on it! I bought this boat in 2010 with only 4 hours on it! Came from Traverse City, MI. This boat needs nothing but new owners to enjoy it. Cuddy sleeps 2, under seat porta pot, back seats convert into sun deck, moveable table top, bimini top with zip on windshield, fairly new tires and brakes on trailer, swim platform, new Kenwood Bluetooth stereo, newer GPS/fish/depth finder, anchors, dock lines, bumpers and more. Boat is winterized, engine oil and lower unit oil changed, gimble bearing checked and in excellent condition, new plugs and wires last year. Any other questions? Doug, show contact info",150,5911650438,43.206900,24,-83.226700,FourWinns,"https://maps.google.com/maps/preview/@43.206900,-83.226700,16z",245 Sundowner,$22900,power, (North Branch),2002 FourWinns 245 Sundowner,https://thumb.craigslist.org/boa/5911650438.html,2002
6,,[],2016-12-06 12:06,"We have had this fishing boat for several yrs. Its a good dependable Fishing boat. Trailer is in great shape and tires are new. Has an 18hp Evenrude Twin Fastrack, Electric start, Minolta troller,30# Thrust, New Heavy duty Battery. Wooden slip-out floors,7+ Gal. Plastic fuel tank Mounted in Bow of boat. Two anchors, 5 pole holders, Registered till 2017, Several Drink holders, Two Ores, She has some slight tin damage from storm just before we purchased her. All above water line and does not alter function. Just added CHARITURES to her. Three Removable swivel chairs. Looking for toon 20'+ with eng. Possible trailer, Ready to fish. If Newer toon also have a complete Professional Golf shop for sale or barter. Take a look. https://centralmich.craigslist.org/sgd/ Possible Barter!",,5907915248,,16,,Mirro Craft,https://maps.google.com/?q=loc%3A+%33%31%37+Main+st+Sterling+MI+US,,$1750,power, (Sterling),16' Miro Craft Aluim. Boat,https://thumb.craigslist.org/boa/5907915248.html,1996
7,,[],2016-12-06 11:48,"We have had this fishing boat for several yrs. Its a good dependable Fishing boat. Trailer is in great shape and tires are new. Has an 18hp Evenrude Twin Fastrack, Electric start, Minolta troller,30# Thrust, New Heavy duty Battery. Wooden slip-out floors,7+ Gal. Plastic fuel tank Mounted in Bow of boat. Two anchors, 5 pole holders, Registered till 2017, Several Drink holders, Two Ores, She has some slight tin damage from storm just before we purchased her. All above water line and does not alter function. Just added CHARITURES to her. Three Removable swivel chairs. Looking for toon 20'+ with eng. Possible trailer, Ready to fish. If Newer toon also have a complete Professional Golf shop for sale or barter. Take a look. https://centralmich.craigslist.org/sgd/ Possible Barter!",,5878878877,,16,,Mirro Craft,https://maps.google.com/?q=loc%3A+%33%31%37+Main+st+Sterling+MI+US,,$1750,power, (Sterling),16' Miro Craft Aluim. Boat,https://thumb.craigslist.org/boa/5878878877.html,1996
8,good,,2016-12-05 21:42,Fully outfitted and ready for the season when you are! * 115 HP Ficht Evinrude outboard * Hydraulic assisted steering * Sunbrella Bimini Top/full canvas * Fishfinder and Marine Radio * Two electric Cannon Mag 40 extendable downriggers * Dual batteries * Load Rite trailer/power winch * 25 gallon aerated live well * Built-in rod holders * Porta-potty * All cushions - good condition * Non-skid decking/swim ladder * Raw water washdown * Built-in tackle box In-door winter storage and full tank of gas (62 gal) included in price.,,5907245491,,19,,Sea Swirl,,1851 Striper WA,$12000,power, (Port Austin),1851 Striper Walk Around (2001),https://thumb.craigslist.org/boa/5907245491.html,2001
9,,"['43.585489', '-83.666210']",2016-12-05 16:15,"For Sale Brass Boat Prop 13/16"" shaft excellent condition I can e-mail more pictures if needed About 12.5 to 13"" diameter. Came off 1956 Chris Craft 21 Sea Skiff V-8 inboard. Call, text or e-mail Chris 989-2one3-354three I am located 8 miles East of Bay City on M-25 in Quanicassee but come to Bay City often if needed to meet you.",,5867505415,43.585489,20,-83.666210,,"https://maps.google.com/maps/preview/@43.585489,-83.666210,16z",,$100,power, (Quanicassee MI),"Brass Boat Prop 13/16"" shaft",https://thumb.craigslist.org/boa/5867505415.html,
10,fair,[],2016-12-05 12:09,"We have an older trailer and motor available. You also get the boat for free! It's a great one for a project! This is a Sea Ray we bought and have never once used. We wanted to rehab it but bought a vintage motor home instead to work on. So, we have never had this in the water. ALSO, this does not come with the title - apparently there are places / states where you don't need one. So you will need to do the registration work on this yourself. This needs new seats and I would replace the carpet. I don't know the year of the boat or motor. From the 1980's. This is sitting in outside in Attica, MI right now. If you are interested in it, we can meet you there to see it. You get the boat, motor, and a trailer with a winch on it. Details: 18' Sea Ray Mercury 850 Engine Needs seats and carpet Trailer Winch Call or text Bill for more information. 810 NINE 6 FOUR 0 FIVE 1 FIVE",,5906382830,,18,,Sea Ray,https://maps.google.com/?q=loc%3A+Lake+George+at+Imlay+City+Road+Attica+MI+US,,$350,power, (Attica),Motor & Trailer w/Winch For Sale ~ Get 84 Sea Ray 18 Ft Boat for FREE,https://thumb.craigslist.org/boa/5906382830.html,1984
11,,"['44.483900', '-84.660100']",2016-12-04 14:35,1456 flat bottom duck and fishing boat. 16hp Onan mud motor with swivel. Boat has medium beaver tail float pods installed. Duck blind is removable by 1 person in 5 minutes. The blind is completely adjustable to suit all size hunters. Deck flooring in boat. 16 in LED light bar. Removable grab handle. Ez load trailer. Boat is in good shape. Everything works as it should. Just no time to use it. 3500 OBO. Call or text.,,5895098030,44.483900,14,-84.660100,,"https://maps.google.com/maps/preview/@44.483900,-84.660100,16z",,$3500,power,,14ft duck/fishing boat-mud motor,https://thumb.craigslist.org/boa/5895098030.html,
12,good,,2016-12-03 21:41,"** DROPPING PRICE DURING WINTER - I DO NOT WANT TO PAY WINTER STORAGE IN THE SPRING** 1979 Carver 33 Dual Crusader 270 engines (350s) with V-Drives.Â  One engine was replaced before I bought the boat 10 years ago and I replaced the other in 2007.Â  This past winter I had all hoses replaced and new water pumps on each engine.Â  Both props have been redone in the last three years - one this past winter.Â  Mechanically is sound with service performed by Bay Harbor in Bay City.Â  Stored indoors the for 7 years, shrink wrapped outdoor storage last two years. Water System - I have not used the water system extensively.Â  There is a head separate from the shower.Â  Shower bilge needs replacement.Â  It has a hot water heater that I used once years ago but then had winterized and have not used since.Â  It worked great at last use.Â  I replaced the main water pump about 6 years ago but relied primarily on city water for pressurized water. There is a steering console in the cabin and bridge.Â  AM/FM Radio installed also can be controlled from both stations.Â  Marine radio and spotlight controls at both stations.Â  Loudspeaker system at upper deck. I replaced most of the carpet with Colombia Wood Laminate flooring.Â Galley has a range with oven.Â  Nolcor fridge is full height and has a separate freezer - new installed in 2011.Â  Sink has two sides.Â The salon has a pull out sofa and rocker chair.Â  There is a center table across from the galley that drops to a bed with storage underneath.Â  There is a spacious hanging locker accessible from the front stateroom or main salon.Â  The front stateroom sleeps 2 and is separated by its own door with a separate hatch for ventilation. For canvases, I have the canvas for the front window and to cover the top.Â  Both are worn but usable, with the upper cover having a tear in one spot.Â  I no longer have the bimini cover as winds in Bay City tore it, however I do have the bimini frame. Battery charger was new in 2010. I have wheeled and waxed the hull every year.Â  Above the rub line recently powerwashed completely.Â  Bottom is due for new paint as this year is the third year for the antifouling three year paint.  Currently in process of restoring the wood rails and swim platform. If you have any questions, please let me know.Â  I have had a lot of fun on this boat and many memories.Â  Hoping to find someone who will continue the same.",950,5894368142,,33,,Carver,,Voyager 33,$7500,power, (Bay Port),1979 Carver Voyager *** PRICE DROP BEFORE WINTER ***,https://thumb.craigslist.org/boa/5894368142.html,
13,,"['43.911250', '-83.370438']",2016-12-03 21:41,"1995 Sea Doo Speedster.  14 foot with trailer. 2 x 650 cc Sea Doo Bombardier Engines Comes with mooring cover and bimini top. Seats pretty worn from sun exposure. I also have the shop manual both in hardcopy and electronic PDF. Pictures in the water are from last summer and shrink wrapped pictures are current. I have taken it out of storage and was able to do a spring start but the battery is not holding a charge. If you would like to see it, we can schedule a time and I can hook up one of my spare batteries. Also interested in trade potentially for things such as the following of equal value: Jet Ski, late model convertible mustang, atv / utv, souped up golf cart I have a bunch of spare parts as well I'm willing to negotiate a price on as well (including two engine blocks).  I had another one of these that had a bad hull so I stripped all the parts from it before getting rid of the hull.",,5894366816,43.911250,14,-83.370438,,"https://maps.google.com/maps/preview/@43.911250,-83.370438,16z",,$2950,power, (Caseville),Sea Doo Speedster - 1995 - Dual Engines,https://thumb.craigslist.org/boa/5894366816.html,
14,good,"['43.942900', '-83.265900']",2016-12-02 21:45,"Thompson boat and easy haul trailer, needs some TLC, motor redone few years back, new cover, new ply inside, $1500 or best offer, trade, in caseville",,5903059575,43.942900,19,-83.265900,Thompson,"https://maps.google.com/maps/preview/@43.942900,-83.265900,16z",,$1500,power, (Caseville),Thompson boat,https://thumb.craigslist.org/boa/5903059575.html,1976
15,,"['43.206900', '-83.226700']",2016-11-30 21:57,Selling my 16' starcraft with a 45 hp chrysler. 36 lb trolling motor. Runs good and is dependable. Call if interested thanks shawn show contact info,,5900155684,43.206900,16,-83.226700,,"https://maps.google.com/maps/preview/@43.206900,-83.226700,16z",,$1500,power,,16' starcraft,https://thumb.craigslist.org/boa/5900155684.html,
16,,,2016-11-29 18:10,"Sirius® capable AM/FM/CD sound system w/MP3 jack Stainless bow eyes, stern eyes, cleats, toggle switches, rails, ski tow ring Custom color-matched trailer w/GalvaShield® protection. swing-away tongue.",,5888088467,,20,,,,,$8900,power,,2006 Tracker Tahoe Q6 V8,https://thumb.craigslist.org/boa/5888088467.html,
17,,"['42.940000', '-83.536900']",2016-11-29 16:51,Handcrafted cedar canoe. Over 16 ft. A few minor scratches on the bottom. Fully functional. Priced to sell. Best offer. Will deliver for a fee. Serious inquires only. Text only. Cash only. Will not sell to persons unseen. Will report PayPal scammers.,,5898182962,42.940000,16,-83.536900,,"https://maps.google.com/maps/preview/@42.940000,-83.536900,16z",,$2500,human, (Atlas),Handmade Cedar Canoe,https://thumb.craigslist.org/boa/5898182962.html,
18,good,"['44.002547', '-83.115557']",2016-11-29 11:17,"Boat has new wiring,New marine quality carpeting New Fold down lounge seats still in boxes Trailer newly wired ,Mercury outboard 35HP runs good Hummingbird fish finder,Brand new water tube still inbox Can Text picture Cal show contact info",,5897533017,44.002547,14,-83.115557,Starcraft Holiday,"https://maps.google.com/maps/preview/@44.002547,-83.115557,16z",,$1500,power, (Port Austin),"14 ft Starcraft Holiday  Speed boat,trailer,Motor",https://thumb.craigslist.org/boa/5897533017.html,
19,,"['43.942900', '-83.265900']",2016-11-27 13:26,up to 3600lbs. 9ft wide. Good condition. You haul.,,5853876518,43.942900,9,-83.265900,,"https://maps.google.com/maps/preview/@43.942900,-83.265900,16z",,$900,human, (caseville),Shore Station Boat Hoist,https://thumb.craigslist.org/boa/5853876518.html,
20,,[],2016-11-21 19:34,"TJH composites has 25 years of composite experience and has a Certified Composite Expert on hand to assist in your design or repair. TJH provides prototype, production, and repair service in fiberglass, carbon fiber and other composites. We tackle all types of jobs.  We can do small runs, design/build, and repair of  components for an individual or for a company. For boats, we have a shop that can accommodate up to 46' LOA craft and can take them in and out of the water.  We offer repairs of the  transom, stringers, floor or hull. For manufacturing we have a skill set and relationships in the industry that make your project our mission. Call for a quote.",,5852989999,,46,,,https://maps.google.com/?q=loc%3A+Jefferson+at+Sugarbush+Chesterfield+MI+US,,$1,human, (Chesterfield),TJH composites specializing in fiberglass design build & repair,https://thumb.craigslist.org/boa/5852989999.html,
21,good,,2016-11-21 17:59,2013 yamaha waverunner VX sport 3up seat. 237.7hrs. New prop last year. Runs great. Fresh water only. Has scuffs and scratches in in hull but no cracks. Rode all summer and never had water come out the plugs when removed. Only ran Rec 90 ethanol free fuel. Selling with nice single place trailer. Prefer email or texting.anytime. $4000 Cash only.,237,5887110762,,10,,Yamaha,,Waverunner VX sport,$4000,power,,2013 Yamaha waverunner VX sport,https://thumb.craigslist.org/boa/5887110762.html,2013
22,like new,"['41.353000', '-86.301500']",2016-11-15 20:51,"Up for sale is a custom 12' duck hunting boat. Made by Pintail Duck Boats. It's a mud runner 1235. Has a blind that pops up, two seats, and dog step. Looks like everything is here for the motor except for the engine itself. Look at pictures to see what is there. There is not a trailer. Thanks for looking!",,5836217286,41.353000,12,-86.301500,Pintail duck boats,"https://maps.google.com/maps/preview/@41.353000,-86.301500,16z",Mud runner 1235,$2900,power, (Plymouth),Pintail duck boat,https://thumb.craigslist.org/boa/5836217286.html,
23,,,2016-11-15 12:46,14' aluminum boat No leaks Works good Has 1 oar $200,,5839925944,,14,,,,,$200,human, (Kingston),14' aluminum boat,https://thumb.craigslist.org/boa/5839925944.html,
24,fair,"['43.177617', '-82.739668']",2016-11-14 21:52,I have a 1986 Sears Gamefisher 15 HP 2 stroke outboard motor that runs good.  The gears and lower section work good too but the recoil for the starter needs some work.  It is missing the pivot pin for the tilt also.  It is a good motor for your smaller fishing boats.  I upgraded to a 30 HP so I no longer need this one.  It comes with a stand.  Serious buyers only and don't contact me with a scam because it's really annoying.  Give me a call for any questions show contact info,,5876936209,43.177617,36,-82.739668,sears/chrysler,"https://maps.google.com/maps/preview/@43.177617,-82.739668,16z",15hp gamefisher,$200,power," (Yale, MI)",15 HP Sears/Chrysler outboard motor,https://thumb.craigslist.org/boa/5876936209.html,1986
25,like new,"['43.412156', '-83.193283']",2016-11-13 21:14,"I have a 2015 Sea Doo GTI SE 155 for sale. Less than 40 hours on it, break-in service was done at the correct time and one other service has all ready been completed. I bought it brand new in Florida and don't use it as much since I moved up here. Comes with two keys, learning and normal, Magic Tilt trailer, two anchors, 3 life jackets, cooler rack, and cover. Very nice toy, top speed is 55mph even with two people on. I am asking $10,500 obo.",40,5875239589,43.412156,11,-83.193283,Sea Doo,"https://maps.google.com/maps/preview/@43.412156,-83.193283,16z",GTI SE 155,$10500,power, (Kingston),2015 Sea Doo GTI SE 155,https://thumb.craigslist.org/boa/5875239589.html,2015
26,good,"['43.728900', '-83.436600']",2016-11-13 01:40,"Selling boat because of cracked engine block. Tried to repair. Ran good all summer 2016, just don't want it anymore. Interior is in good condition for the year. It's registered until 2019. Comes with full cover and trailer.",,5874074169,43.728900,19,-83.436600,4winns,"https://maps.google.com/maps/preview/@43.728900,-83.436600,16z",,$1000,power, (Sebewaing),1986 4-winns,https://thumb.craigslist.org/boa/5874074169.html,1986
27,,"['43.582132', '-83.677711']",2016-11-03 11:55,"1993 Northwood 15' Fishing Boat 25 HP Evinrude and trailer. Very solid seaworthy boat with Evinrude 25 HP tiller electric start with dedicated battery and bow mounted Minnkota 50 lb foot control trolling motor with deep cycle battery. Bow and stern anchors with rope reels, one year old Garmin GPS fish finder combo, aeriated live well, navigation lights, lockable storage, rod holders, 2 swivel and adjustable seats, engine just tuned up, carburetor cleaned, new water pump impeller, newer single axle Karavan boat trailer with bearing buddies and working lights. Only reason I am selling is my brother-in-law offered me a deal I cannot pass up on newer larger boat. Was asking $3,950.00 just reduced to $2,950.00 cash firm for quick sale. Cash is King, but partial or full trade considered. Snowmobile, boat, outboard, firesticks, ATV, vehicle, what do you have? Let's talk. Call, text or email Chris 989-two13-3543 Located 8 miles East of Bay City MI in Quanicassee right next to Lindys Landing Marina",,5814870381,43.582132,15,-83.677711,Northwood,"https://maps.google.com/maps/preview/@43.582132,-83.677711,16z",,$2950,power, (Quanicassee),1993 Northwood 15' Fishing Boat 25 HP Evinrude and trailer,https://thumb.craigslist.org/boa/5814870381.html,
