,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,[],2016-12-20 19:02,"22' Tandem Axle All~Aluminum 2010 Venture Boat Trailer, Nice Rims, Tires, Bearings and lights all great, super nice trailer in near mint condition $2250 call show contact info everything looks and functions perfectly, it's like a brand new 2010 Trailer! * NOT INTERESTED IN TRADES, TAKING CALLS ONLY, DO NOT EMAIL OR TEXT ME PLEASE Marinette, Menominee, Peshtigo, Coleman, Lena, Suamco, Little Suamico, New London, Appleton, Oshkosh, Neenah, Menasha, Little Chute, Abrams, Oconto, Oconto Falls, Black River Falls, Depere, Pulaski, Wallace, Stephenson, Carney, Bark River, Crystal Falls, Gladstone, Escanaba, Marquette, Crivitz",0,5910871618,,27,,Venture,https://maps.google.com/?q=loc%3A+N%39%35%34+US+%34%31+Menominee+MI+US,aluminum,$2250,human, (Menominee Marinette),2010  22' Venture All Aluminum Tandem Axle Boat Trailer Like New,https://up.craigslist.org/boa/5910871618.html,2010
1,good,"['46.578600', '-87.454500']",2016-12-20 12:10,"Custom handmade wooden kayak.   This is an 18' tripping or racer kayak, with rudder.   Inuit style paddle available separately.   Except when it was in use, Kayak has been stored indoors and is in great shape.  Call Mike at show contact info",,5926919281,46.578600,18,-87.454500,,"https://maps.google.com/maps/preview/@46.578600,-87.454500,16z",,$800,human,,Custom 18' wooden kayak,https://up.craigslist.org/boa/5926919281.html,
2,,"['46.320382', '-87.363916']",2016-12-20 09:05,"2 outboard motors for sale one runs and one does not sea king 5 hp  runs clinton engines 3.5 hp does not needs love,",,5899232776,46.320382,4,-87.363916,,"https://maps.google.com/maps/preview/@46.320382,-87.363916,16z",,$100,power, (gwinn),2  outboard motors for sale,https://up.craigslist.org/boa/5899232776.html,1981
3,like new,"['45.765300', '-88.030900']",2016-12-19 19:23,"2008 Glastron GT185 with Sport package. Meticulously, Maintained with all paperwork to show. Always stored in garage with  both covers in place. 2 covers Red mooring cover and nice fitted for towing cover. Never left in water or docked when not in use. IMMACULATE CONDITION!!!!!!!! 4.3 Volvo Penta with ONLY 206 hours on the meter. Power Steering, Swim platform W/Ladder, Jenson Stereo System. In Dash Digital Sonar, and all necessary Gauges, Snap in Carpet Option ($1600). Unbelievable interior, Super sharp and comfortable seating. Shows no sign of wear. Probebly one of the cleanest well cared for used boats you will find anywhere. EZ Loader Custom Matching trailer with swing aw-59tongue option. All tires including spare in great condition. Call Pat at 9o6-221-59two7 or Mark in Reply. Don't miss out on this great end of season deal!1 NO DISSAPOINTMENTS ,  GREAT BOAT !!!!!!!! YOU WON'T BE DISAPPOINTED !! SUPER NICE SKI / PLEASURE BOAT",206,5903544397,45.765300,185,-88.030900,Gastron,"https://maps.google.com/maps/preview/@45.765300,-88.030900,16z",GT185,$17500,power, (Aurora),Glastron GT185 Sport W/SUPER LOW HOURS,https://up.craigslist.org/boa/5903544397.html,2008
4,,,2016-12-19 05:33,"""RESERVE YOUR SEAT FOR THE WINTER"" ........ 1 Week Captains License Class and Test in ......Mt. Clemens, Starts...... ""January 7th""......Sault Ste. Marie, Starts ""March 4th"".......100% Guaranteed and we give the test. No X-tra or hidden fee's. Great Lakes Charter Training has been assisting Mariners achieve their goals since 1989. Cost includes the Class, Materials and Test. Call 1-800 CAPT MEL (227-8635) or visit us on line at GLCTraining.com. Delivery Captain, Fishing Charters, Day Sail and Sunset Cruises, Dive Boats, Tow Boats and More......Do what you have always dreamed of and get paid to be on the water!",,5893571963,,100,,,,,$995,human, (Mt. Clemens/Sault Ste. Marie),1Week Captains License Class,https://up.craigslist.org/boa/5893571963.html,
5,,,2016-12-19 02:58,sixteen ft. 8 inch x35 inch wide x one ft. deep         pics      metal attached is used for trolling mtr.,,5922679697,,16,,,,,$150,human, (Gwinn),canoe  aluminum 16.8 ft,https://up.craigslist.org/boa/5922679697.html,
6,new,"['46.331100', '-87.439700']",2016-12-18 12:33,Have 2 minn kota trolling motors one never used just pulled out to take pictures and one used one . Used one alone take $25 and the new one asking $100 or best offer maybe trade but cash is king. both work no issues,,5908331126,46.331100,4,-87.439700,,"https://maps.google.com/maps/preview/@46.331100,-87.439700,16z",,$125,power,,2 Trolling motors,https://up.craigslist.org/boa/5908331126.html,
7,,"['46.399400', '-86.698300']",2016-12-17 21:15,19ft bayliner cuddy..125hp.runs.decent shape with trailer..needs tilt motor$189 on ebay,,5905726512,46.399400,19,-86.698300,,"https://maps.google.com/maps/preview/@46.399400,-86.698300,16z",,$2000,power, (munising),89 bayliner,https://up.craigslist.org/boa/5905726512.html,
8,excellent,"['45.219433', '-87.584086']",2016-12-17 12:37,"2003 Ranger boat with a 2013 Mercury 125 HP Optimax  with Big Tiller Hydraulic Power           steering.  This rig has everything: CB with antennae, Clarion Stereo, 80 lb bowmount Minn kota, 80lb Vantage rear minn kota, 4 batteries (2 TM, 1 dedicated starting, 1dedicated power steering), high five prop, nightlight, buttseat, wavewackers, multiple rod holders plus more!",,5899147068,45.219433,20,-87.584086,Ranger,"https://maps.google.com/maps/preview/@45.219433,-87.584086,16z",620T,$28800,power, (Menominee),Ranger 620 Tiller,https://up.craigslist.org/boa/5899147068.html,2003
9,,,2016-12-17 11:24,RXT has 35 hours and GTX has 31 hours. Both PWCs were serviced by authorized Sea Doo dealer. Batteries were replaced in both at time of service. These will be sold with Com Fab aluminum double trailer.,,5920177662,,10,,,,,$3000,power,,_-_Mint Condition RXT_-_GTX Sea Doos and_-_Trailer from 2005_-_,https://up.craigslist.org/boa/5920177662.html,
