,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 12:10,"*FOR SALE* Porta Lift Boat Lift This lift is 10'x 8' It will accommodate a boat up to 16'. It is also on Wheels for easy installation and removal. Must have trailer to load and haul. I can assist in loading. *This sale is a bargain *Price Reduced *Cash Only! *Serious Inquiries Only! *Call, Text, or E-mail Tyler show contact info",,5913180021,,40,,,,,$600,human, (Stillwater),Lift on Wheels,https://brainerd.craigslist.org/boa/5913180021.html,
1,,"['46.506500', '-94.967600']",2016-12-20 08:13,"1987 wet jet 428 L/C, the hull looks good, runs, needs battery, there is no title. Trailer doesn't go with.",,5926663887,46.506500,8,-94.967600,,"https://maps.google.com/maps/preview/@46.506500,-94.967600,16z",,$850,power, (Verndale),1987 Wet Jet 428 l/c,https://brainerd.craigslist.org/boa/5926663887.html,
2,,"['46.492602', '-94.148369']",2016-12-20 07:28,20 foot Sylvan pontoon with 25 HP Jonson motor show contact info,,5924033919,46.492602,20,-94.148369,,"https://maps.google.com/maps/preview/@46.492602,-94.148369,16z",,$1200,human, (Merrifield),20 foot Sylvan,https://brainerd.craigslist.org/boa/5924033919.html,
3,new,,2016-12-20 05:45,"Brand new, take off, for sale, I replaced with a 2 bank charger. Description from website: Wicked Tough, Wicked Smart! The GEN Mini 1 On-Board Battery Charger is a rugged and compact waterproof charger for 12V lead acid batteries. It can be mounted onto virtually any vehicle, such as a boat, car, tractor, or RV. Safe to leave connected indefinitely; the GEN Mini interactively diagnoses, recovers, and charges Wet, Gel, MF and AGM batteries chemistries from 20-120Ah and maintains all battery sizes. 5 year limited warranty included. Waterproof Fully-Sealed 100% completely sealed. Protects our units from the most extreme environments and rated at IP68. Rapid Charging Technology Charges batteries 2X faster than traditional linear battery chargers. High Frequency, High Efficiency High-frequency, high-efficiency for a lightweight, compact charger. Designed for Safety Reverse polarity, short circuit, open circuit, spark proof, overheat, overcurrent & overcharge. Features: Full interactive Rapid charging technology Multiple Battery Chemistry Designed for safety Variable input compensated Abnormality protection HF/HE switch mode design Recovery mode Waterproof $40 cash, call Doug at 218-three three zero-72 sixty, thanks.",,5914847678,,1,,NOCO,,,$40,power, (Brainerd),NOCO Genius Gen 1 Mini On-Board Battery Charger,https://brainerd.craigslist.org/boa/5914847678.html,
4,like new,,2016-12-19 23:56,"nice boat all new in &out , new motor all custom , must see ,12500.00 OBO call the shop show contact info",,5926445634,,17,,,,,$12500,power, (BAXTER),17' larsnon  custom all new,https://brainerd.craigslist.org/boa/5926445634.html,
5,like new,,2016-12-19 22:37,"4000# pontoon lift Vertical porta dock brand 120"" wide Pontoon rail kit!! 11' frame for stability Water ready! ONCE ITS GONE ITS GONE!! GET IT NOW! show contact info",,5908331798,,11,,,,,$4000,human, (Pine river),"2016 4000# porta dock pontoon lift 120"" wide",https://brainerd.craigslist.org/boa/5908331798.html,
6,,,2016-12-19 21:52,"I have a 2002 triton tr-186 bass boat with a 2002 175hp Mercury optimax with 265 hours. 101 minn Kota fortrex 998 humminbird 899 humminbird 6"" manual jackplate 23 pitch tempest fury prop Brand new trailer tires and axel. Boat is very reliable and a very smooth ride. Boat is currently located near Mille lacs lake.",265,5926366920,,186,,Triton,,,,power,,Triton tr-186,https://brainerd.craigslist.org/boa/5926366920.html,2002
7,excellent,"['46.209900', '-94.252700']",2016-12-19 20:46,2015 Nitro Z7 175 Mercury Pro XS Helix 5 Console Humminbird 999 Console Minkota Maxxum 24v Keel Guard Minkota Talon 10' Hot Foot Trim Lever Dual Console Original owner. I used it for two summers and loved it.  I'm upgrading to a 21 footer. If you have any questions just ask. I can send more pics too.,,5926276298,46.209900,18,-94.252700,Nitro,"https://maps.google.com/maps/preview/@46.209900,-94.252700,16z",Z7,$26000,power, (Fort Ripley),2015 Nitro Z7,https://brainerd.craigslist.org/boa/5926276298.html,2015
8,excellent,"['46.830600', '-100.909200']",2016-12-19 14:11,"2004 Magic Deck Boat. It has the 496 high output-425HP motor, Bravo drive with drive shower. It has awesome coloring that is in the gel coat and the interior is in great shape. The stereo is brand new and it sounds awesome. It comes with a new custom cockpit cover, bimini top, storage cover, stainless 4 bladed prop, wash down hoses front and rear, dual batteries with switch, electric hatch, huge amount of storage, depth gauge, livorsi gauges, off shore controls, through hull exhaust, hydraulic trim tabs, drive shower, built in 100 quart cooler, power inverter, changing room, ect. Triple axle trailer included. This a factory motor that has never been messed with and runs AWESOME!!! I have never had any problems with it. If you are looking for a fast boat that gets lots off attention, then this is for you. This is a TURN KEY boat with NO issues! MOTIVATED SELLER!!! If you have never rode on a catamaran before, I suggest you do. Once you own one, you will never own a V-Bottom boat again, the ride and performance is great! This is a very well built boat and if you do the homework, you will see that this is a smoking deal. It is paid for and I'm a motivated seller, but I'm not desperate, so I will not entertain low ball offers. If you need a shipper, I can help with that as I have alot of connections. Please call for more information. CALL TODAY!!! I DO NOT NEED HELP SELLING THIS!!!",400,5898452190,46.830600,28,-100.909200,Magic,"https://maps.google.com/maps/preview/@46.830600,-100.909200,16z",Deckboat,$54000,power,,2004 Magic Deck Boat-MOTIVATED SELLER!!!,https://brainerd.craigslist.org/boa/5898452190.html,2004
9,,,2016-12-19 10:58,Nice Shorestation PWC lift. Delivery and installation available. show contact info,,5925515266,,1,,,,,$600,human, (Pine River),Shorestation PWC lift,https://brainerd.craigslist.org/boa/5925515266.html,
10,,,2016-12-19 10:55,"2 year old Dock Rite 40114. 4000# lift capacity. 114"" wide. 26' canopy frame with gray vinyl. Screw Jack adjustable legs. $5,000 cash. Delivery and installation available. show contact info",,5925509758,,26,,,,,$5000,human, (Pine River),4000# pontoon lift,https://brainerd.craigslist.org/boa/5925509758.html,
11,,[],2016-12-19 09:57,"This is a SUPER low price on this gorgeous X-15 with under 200 hours. Please give me a call, text or email if you are interested. Please know low ball offers. I lowered price from $42,000 so this is best price. Won't be on market long.",,5909946722,,22,,,https://maps.google.com/?q=loc%3A+%33%32%35+%32%35th+Street+South+Fargo+MN+US,,$38000,power, (Fargo),2008 MasterCraft X-15 Used Surf Boat Less Than 200 Hours,https://brainerd.craigslist.org/boa/5909946722.html,
12,,[],2016-12-19 09:57,"Don't miss out on this SUPER clean wake, surf and ski boat! Give me a text, call or email with any questions or offers! Would love to get this boat sold before the new year!",,5909647315,,20,,,https://maps.google.com/?q=loc%3A+%33%32%35+%32%35th+Street+South+Fargo+MN+US,,$29979,power, (Fargo),"2007 Moomba Outback Less Than 90 Hours Wake, Surf, Ski Boat",https://brainerd.craigslist.org/boa/5909647315.html,
