,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 18:09,$50ea. Parts or rebuild. They could run with some work. . 2 elgins 1 evenrude,,5908252127,,1,,,,,$50,power, (Hermantown),Old outboards,https://duluth.craigslist.org/boa/5908252127.html,
1,,,2016-12-20 17:43,Lift Mate brand was manufactured in Duluth. As a lift you 1. Back it into the water 2 crank the winch and this cataleers the legs near the wheels. The foot part of these are not pictured. 3 remove the wheels. They're on short stub axles and pull right out. 4 leave it in the water all summer and its your pontoon lift. As a trailer. It's strictly a yard trailer and only will go down the road very short distances. Most commonly used to launch the pontoon and store the pontoon on during the winter. Can also be adapted for float planes.,,5927495231,,28,,,,,$600,human, (Island Lake),Pontoon trailer / pontoon lift,https://duluth.craigslist.org/boa/5927495231.html,
2,excellent,,2016-12-20 16:42,"Selling a gently used 2004 sx 230 with a trailer. Boat is very clean with cover, no rips or tares or sunburent vinyl...very very gently care of. Boat does have a small room that can be used for a porta potty otherwise has lots of storage.... Boat only has 211 hours on it, and has had all its maintance taken care and is ready to hit the water. Boat has past a used yamaha jet boat inspection...great for cruising or skiing or tubing or just about any type of water fun....text or call me for details",211,5927337946,,23,,Yamaha,,SX230,$13995,power,,2004 Yamaha SX 230,https://duluth.craigslist.org/boa/5927337946.html,2004
3,good,,2016-12-20 15:04,"Tilt trailer for sale.  It's a tilt roller trailer. It hauls 12- 16 foot boats. It also has permanent license.  CASH IN PERSON,  NO EXCEPTIONS!! If you are iinterested please call ; show contact info",,5924283458,,9,,,,,$325,human," (Superior, Wi)",Tilt trailer.,https://duluth.craigslist.org/boa/5924283458.html,
4,new,"['45.361100', '-92.892100']",2016-12-20 14:17,"NO TEXTS!!! 2017 Vibo 48' roll in dock w/8x8 platform, 4' wide, cedar decking, 2-16' sections, 2-8' sections, 1-8' shore ramp, posts, hardware included. no sales tax, private party, call show contact info Tony",,5922027926,45.361100,48,-92.892100,vibo,"https://maps.google.com/maps/preview/@45.361100,-92.892100,16z",dock,$3150,human, (chisago city),2017 Vibo 48' aluminum roll in dock w/8x8 platform,https://duluth.craigslist.org/boa/5922027926.html,2017
5,new,"['45.361100', '-92.892100']",2016-12-20 14:13,"NO TEXTS!!! call with your needs for special fall only pricing! new Vibo brand aluminum roll in dock, plastic wheels, premium quality cedar decking, 2-16' sections, 1-8' section, 1-8' shore ramp, all 4' wide, all winches, posts and hardware included. $2,650. no sales tax, private party, call show contact info Tony",,5922007366,45.361100,40,-92.892100,vibo,"https://maps.google.com/maps/preview/@45.361100,-92.892100,16z",dock,$2650,human, (chisago city),New 2017 aluminum 40' roll in dock w/8x8 platform,https://duluth.craigslist.org/boa/5922007366.html,2017
6,new,"['45.361100', '-92.892100']",2016-12-20 14:13,"new ,never used ,2017 VIBO brand roll in aluminum dock ,4 16' x 4' sections ,2 8' x 4' sections ,2 sets of axles & posts with 4 plastic wheels ,4 additional sets of leveling posts ,premium cedar decking assembled in 4' x 4' sections ,private party sale , no sales tax !!! call show contact info",,5922005791,45.361100,72,-92.892100,vibo,"https://maps.google.com/maps/preview/@45.361100,-92.892100,16z",,$4975,human, (chisago city),new 2017 VIBO aluminum roll in dock 72' x with 8' x 8' platform,https://duluth.craigslist.org/boa/5922005791.html,2017
7,,[],2016-12-20 12:42,If you're looking for an AQUA THRUSTER...now is the time to buy!! Everything is in stock and ready for IMMEDIATE PICKUP or VERY INEXPENSIVE SHIPPING! See it @ www.AquaThruster.com Call us at: 763- 551- 1441 Located in NEW HOPE (Bass Lake Rd/169) Either pick up here or I can ship it VERY inexpensively.,,5926983331,,2,,,https://maps.google.com/?q=loc%3A+%35%37%30%31+International+Pkwy+New+Hope+MN+US,,,power,,AQUA THRUSTER --- SPECIAL SALE PRICING,https://duluth.craigslist.org/boa/5926983331.html,
8,good,[],2016-12-20 11:16,Chesapeake Light Craft West River 18' beautifully builded wooden kayak  990.00 or best offer,,5926928322,,18,,Chesapake Light Craft,https://maps.google.com/?q=loc%3A+%33%36%37%39+Hwy+%32%35+Iron+MN+US,River 18',$990,human, (Iron),Wood kayak,https://duluth.craigslist.org/boa/5926928322.html,2005
9,,,2016-12-20 10:24,"This canoe is the E. M White 18' 6"" Guide. It was made by world renown builder Jerry Stelmok, owner of the Island Falls Canoe Co. in Atkinson, Maine. In 1975 Jerry Stelmok purchased the Island Falls Canoe Co. and along with Rollin Thurlow of Northwoods Canoe, gradually increased the awareness of these fine wood and canvas canoes and increased production. Today Island Falls Canoe produces a number of E.M. White original designs, and adaptations of White classics, using the finest native white cedar, quality woven canvas, traditional bronze and brass fastenings, and the finest traditional paints and varnishes This 18'6"" Guide has proven itself a near perfect traveling canoe for about a century. It has a slight arch across the bottom, rocker, narrow entries and a classic sheerline that looks great and keeps the rough water out. A model of proven superiority by generations of foresters, wardens, campers, and guides. It is in excellent, lightly used condition, always stored indoors. It has all the upgrades - half ribs, black cherry trim, hand caned seats and two-tone paint/shellac bottom. Price is approx. $1200 less than buying new with all upgrades and shipping.",,5889303553,,18,,,,,$4395,human, (Duluth),Jerry Stelmok Wood & Canvas Canoe E M White Guide,https://duluth.craigslist.org/boa/5889303553.html,
