,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['44.552800', '-92.548600']",2016-12-20 19:29,"This 2000 34 Formula PC is in great shape with some nice upgrades. Newer full bimini with camper top with strataglass panels. A blackout front canvas enclosure and cockpit cover included as well. Cockpit carpet was replaced summer of 2016. A extended swim platform was also added summer of 2016. Cockpit stereo was upgraded to all JBL speakers, subs, amp and Kenwood deck.  Has radar/fishfinder/depth. Powered by twin Merc 7.4's with about 650 hours. Has a kohler 7.3 genset with about 200 hours. Boat is located in Red Wing, MN and is currently shrink wrapped. Shrink wrap has a access door so boat can be seen.",650,5927603048,44.552800,37,-92.548600,Formula 34 PC,"https://maps.google.com/maps/preview/@44.552800,-92.548600,16z",Performance Cruiser,$72000,power, (Red Wing),2000 Formula 34 PC,https://minneapolis.craigslist.org/dak/boa/5927603048.html,2000
1,good,,2016-12-20 19:17,"I have this Crestliner 18 ft Speedboat that comes with Shorelander Trailer & 165 HP MerCruiser Inboard / Outboard Motor. It runs perfect and has already been winterized and ready to go for 2017. I have invested over $3000 worth of parts & labor into the boat within the last couple years. (See below) New Carpet 2014 Pop in seats on the Bow 2014 Fish Finder Marine 850 CCA Battery 2014 Throttle cables 2014 Electronic Ignition Conversion (no points) 2015 Starter 2015 Lower unit shift cable 2015 Water pump 2015 All Bellows (exhaust, shift cable, drive shaft u joint) 2015 Engine compartment area completely redone for more convenience. Nada has this Boat, Trailer and Engine valued at $5500.00 so make me an offer. Please keep in mind that the asking price does not include the add'tl $3000.00 that I have invested into the boat. So your looking at a complete value of $8500.00. I am only asking $1999 for it. Like I mentioned before, this boat starts and runs great. It has enough power to pull water ski'ers, (2) tubes at the same time, fly around the lake or just sit back and relax to catch some rays. It has a bench seat in the rear and (2) pop in seats for fishing. Please call or email with any questions. Serious Inquires only please. boat, pontoon, speedboat, fishing boat, cruising boat, cabin cruiser, glastron, searay, sea ray",88,5917695739,,18,,Crestliner,,MerCruiser,$1999,power, (Shakopee),Crestliner 18ft Shorelander 165HP MerCruiser Nada $5500 & $3000 Extras,https://minneapolis.craigslist.org/dak/boa/5917695739.html,1978
2,fair,,2016-12-20 18:54,"19 ft pontoon, clean registration, in pretty reasonable shape, has three new pedestal seats, also had two mounts up front to move seats for fishing. Great boat for kids to jump off and easy to get back on. Couch in back is getting outdated, as well as counsel. But still in working order, has now mount trolling motor (50 pound thrust) 1985 Johnson 70 horse with tilt and trim that runs shifts and idles smooth. Hummingbird helix 5 depth finder. Stereo, two fuel tanks, two good deep cycle batteries. Also comes with scissor trailer. All lights work. Everything works as it shoukd. Cash or trade for an enclosed trailer of similar value. Must have clean title as well. No junk. 763742668one Pontoon Toon Bass buggy party barge fishing swimming summer",,5898563894,,19,,Palm beach,,,$3000,power, (Pine city),1989 palm beach pontoon/ trailer,https://minneapolis.craigslist.org/ank/boa/5898563894.html,1989
3,good,"['44.905400', '-93.236100']",2016-12-20 18:52,"I need i sale boat  16"" 85 force engine I don't know that much about boats . The boat work perfect I use only two times this year I need sale. Is fast boat is fun .. Is store in the garage now New stereo and speakers sound goood .. New battery this year..",,5927560476,44.905400,16,-93.236100,Bayliner,"https://maps.google.com/maps/preview/@44.905400,-93.236100,16z",Capri,$2399,power, (South minneapolis),Bayliner 85 force,https://minneapolis.craigslist.org/hnp/boa/5927560476.html,1986
4,fair,"['43.755200', '-89.066591']",2016-12-20 18:34,Century Resorter year 1960 17 ft. Has Interceptor motor 170 hp.  Great project boat. All original. Hull in good condition. Needs to be refinished and seating redone. Motor turns over (Only 339 hours on motor). and bottom is good!. Comes with double axle trailer.  If your looking for a project boat this is it!  No money orders or checks.   Price is cash on pick up,0339,5918357002,43.755200,17,-89.066591,Century,"https://maps.google.com/maps/preview/@43.755200,-89.066591,16z",Resorter,$4500,power," (Markesan,Wi)",Century Resorter 17 ft,https://minneapolis.craigslist.org/hnp/boa/5918357002.html,1960
5,,[],2016-12-20 18:16,"16 foot deep V boat. Comes with removable flat olding duck blind, FL8 Vexlar, interior lighting for setting decoys, 25 horsepower Johnson motor with electric start, rod storage, and heavy duty roller trailer. Call/text show contact info",,5927530483,,16,,,https://maps.google.com/?q=loc%3A+%31%31%32%31%36+Rabbit+Road+Ashby+MN+US,,$3250,power, (Ashby),Hunting/Fishing Boat for Sale,https://minneapolis.craigslist.org/hnp/boa/5927530483.html,
6,,"['45.341400', '-93.235000']",2016-12-20 18:16,"VERY NICE 1978 C14 LUND with 15HP electric start 1982 JOHNSON    15""TRANSOM NICE BALKO Trailer",,5913360628,45.341400,14,-93.235000,LUND,"https://maps.google.com/maps/preview/@45.341400,-93.235000,16z",C14,$2500,power, (NORTH BURBS),VERY NICE C14 LUND,https://minneapolis.craigslist.org/ank/boa/5913360628.html,
7,,,2016-12-20 18:01,"Choose your NEW Sylvan Mirage 820 or 822...The best value in pontoons you can buy! Reserve your boat with 20% down. Buy now and pay in 2017. FREE winter storage! Get the best deal on the best pontoon from the World's Largest Sylvan Pontoon Dealer! **$16290** Sylvan Mirage 820 Cruise...Cruise-N-Fish...OR Fish 4.0 models all with 40 HP Yamaha Fourstroke Motors **$18890** Sylvan Mirage 822 LZ with T50 Yamaha Fourstroke Motor --Color options --20' & 22' lengths --SeaWeave flooring --Pop up Changing room --MP3 Stereo / 4 Speakers / Bluetooth --Bimini Top --Snap Cover --Exciting new helm design --Free delivery within 100 miles *Ask about our 6 month NO payment NO Interest financing* Price does not include -tax, licence, set up Check out our showroom in Hastings MN for all of our great specials For More Information Please Call 61 Marine & Sports Sales 651 437 3522 www.61marine.com 61used Sylvan Pontoon Aqua Patio, Forest River Pontoon, Harris, larson Boats, Manitou Pontoon Boats, Monark Marine, Play Craft Boats, Princecraft, Smoker Craft, Sun Tracker, Sylvan, Weeres Pontoons, Avalon Pontoons, Crest Pontoons, G3 Boats, Island Boats, Montego Bay, Pond King, Regency Pontoons, South Bay, Sunchase, Tahoe Boats, Bennington, Godfrey Marine, Lowe Boats, Misty Harbor, Palm Beach, Premier Pontoons, Sanpan, Starcraft, Sweetwater, Kawasaki, Sea-Doo, Yamaha, Evinrude, E- Tech, Mercury, Honda",,5927514276,,20,,,,,,power,,NEW Sylvan Mirage Pontoon Boats! 820 $16290 // 822 LZ $18890,https://minneapolis.craigslist.org/wsh/bod/5927514276.html,
8,excellent,,2016-12-20 16:47,"1929 Chris-Craft 26' Triple Cockpit, Second owner, Excellent original condition, Call for complete information and pictures- show contact info",,5896340234,,26,,Chris-Craft,,,,power,,1929 CHRIS-CRAFT,https://minneapolis.craigslist.org/wsh/boa/5896340234.html,1926
9,,,2016-12-20 16:41,"Classic 3hp Evinrude Lightwin from '52. Twin cylinder, water-cooled, short shaft, tiller. Runs Like New! Starts easily, quiet and very lightweight (32 lbs). Freshly serviced w/new coils/points/condensers and rebuilt carb. New gear lube in weedless (fisherman) lower unit (Downward thrust angle keeps canoe bow DOWN at speed). Pumps and cools nicely. Idles like a sewing machine, and runs out strong. Direct drive - spin motor 180 for reverse. Fuel tank on top (2/3 gallon). Sweet lil' twin.. Ready to fish!! 3hp J/E JW's and Lightwin production runs from '52 thru '67 were virtually unchanged. Bulletproof motor! *Stand not included Email or call kirby @ show contact info and come hear it run. Thanks! To view my other outboards click 'more by this user' button next to main photo above^ This post will be removed immediately upon sale. search terms omc johnson mound evinrude seahorse aquasonic lightwin fisherman sportwin outboard boat trolling motor 1 2 2.5 3 4 5 5.5 6 7.5 8 9.5 9.9 10 15 vintage horse horsepower hp",,5906944273,,1,,,,,$450,power, (mound),3hp Evinrude 3012,https://minneapolis.craigslist.org/hnp/boa/5906944273.html,
10,,[],2016-12-20 15:28,"For Sale 1993 Chris Craft Concept 197 Stern Drive Power Boat Horse Power: 200 Fiberglass Beam 7'4"" Length 19' Net Weight (lbs) 2650 Asking $6,999.00. PRIVATE PARTY SALE, consignment, no sales tax. Please call for more information. LAKE MINNETONKA MOTORSPORTS show contact info boat",,5906717336,,19,,Chris Craft,https://maps.google.com/?q=loc%3A+%34%33%38%38+Shoreline+Drive+Spring+Park+MN+US,,$6999,power, (Lake Minnetonka),1993 Chris Craft Concept 197,https://minneapolis.craigslist.org/hnp/boa/5906717336.html,1993
11,,[],2016-12-20 15:20,"For Sale on Consignment: 1998 Kawasaki ZXi 1100 120 hp personal watercraft Owner is asking $1,999.00. PRIVATE PARTY SALE. No sales tax. Please call for more information. LAKE MINNETONKA MOTORSPORTS show contact info pwc personal watercraft jetski jet ski waverunner wave runner seadoo sea doo tigershark wetbike PWC0026",,5902749116,,10,,Kawasaki,https://maps.google.com/?q=loc%3A+%34%33%38%38+Shoreline+Drive+Spring+Park+MN+US,,$1999,power, (Lake Minnetonka),1998 Kawasaki ZXi 1100,https://minneapolis.craigslist.org/hnp/boa/5902749116.html,1998
12,,[],2016-12-20 15:20,"2003 Yamaha Super Jet. This ski has the following: - 700 cc - Dual carbs with aftermarket flame arrestors - Custom Mat Kit - Aftermarket Steering - Works Ride Plate added for better handling Asking $4,499.00 with no sales tax. Private party sale. You can see this ski at Lake Minnetonka Motorsports. Please call for more information. jetski jet ski pwc personal watercraft yamaha kawasaki super jet superjet",,5917830503,,9,,Yamaha,https://maps.google.com/?q=loc%3A+%34%33%38%38+Shoreline+Drive+Spring+Park+MN+US,,$4499,power, (Lake Minnetonka),2003 Yamaha SuperJet,https://minneapolis.craigslist.org/hnp/boa/5917830503.html,2003
13,,[],2016-12-20 15:15,"2006 SeaDoo GTX for sale. This is a 3 passenger machine. Asking $5,999.00 or best offer. Private party sale. No sales tax. Please call for more information. Trailer sold separately. Specs below: Displacement (cc): 1494 Engine Type: Longitudinal In-Line Cylinders: 3 Engine Stroke: 4-Stroke Horsepower @ RPM: 155 @ 7300 Carburetion Type: Fuel Injected Length (in / mm): 130.3 / 3324.9 Width (in / mm): 48 / 1219.2 Height (in / mm): 44.4 / 1127.8 Dry Weight (lbs / kg): 847 / 384 Fuel Capacity (gal / L): 15.9 / 60.2 Load Capacity (lbs / kg): 600 / 272.2 Storage Capacity (gal / L): 52.6 / 231.7 Number of Seats: 3 Deck Material: Fiberglass Reinforced Composite (FRC) Hull Material: Fiberglass Reinforced Composite (FRC) Hull Type: Modified V Glovebox: Standard Underseat Storage: Standard Front Storage Well: Standard Digital Instrumentation: Standard Rearview Mirrors: Standard Steering Assist System: Yes Boarding Step: Standard Sponsons: Standard Bilge System Type: Automatic Siphon pwc personal watercraft jetski jet ski waverunner wave runner seadoo sea doo tigershark wetbike",,5918069177,,11,,Sea Doo,https://maps.google.com/?q=loc%3A+%34%33%38%38+Shoreline+Drive+Spring+Park+MN+US,,$5999,power, (Lake Minnetonka),2006 SeaDoo GTX,https://minneapolis.craigslist.org/hnp/boa/5918069177.html,2006
