,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,new,"['45.361100', '-92.892100']",2016-12-20 14:16,"NO TEXTS!!!!!! 2017 VIBO dock, brand new. 4' wide, cedar decking, 2-16' sections, 2-8' sections, 1-8' shore ramp. $3,150.00 no sales tax. call Tony show contact info",,5922016794,45.361100,48,-92.892100,Vibo,"https://maps.google.com/maps/preview/@45.361100,-92.892100,16z",dock,$3150,human, (chisago city),2017 Vibo 48' aluminum dock w/8x8 platform,https://rmn.craigslist.org/boa/5922016794.html,2017
1,new,"['45.361100', '-92.892100']",2016-12-20 14:16,"NO TEXTS!!!!!! call with your needs for special fall only pricing! new VIBO brand aluminum roll in dock, plastic wheels, premium quality cedar decking, 2-16' sections, 1-8' section x 4 sections, 1-8' shore ramp, all $2,650. no sales tax. private party sale. call show contact info",,5922015651,45.361100,40,-92.892100,Vibo,"https://maps.google.com/maps/preview/@45.361100,-92.892100,16z",dock,$2650,human, (chisago city),new 2017 aluminum 40' roll in dock with 8 x 8 platform,https://rmn.craigslist.org/boa/5922015651.html,2017
2,new,"['45.361100', '-92.892100']",2016-12-20 14:14,"NO TEXTS!!!!!! 2017 VIBO brand aluminum dock, all 4' wide, 1-16 section, 1-8' section, 1-8' shore ramp, plastic wheels, 3 sets of post, hardware, etc. call Tony show contact info",,5922012740,45.361100,32,-92.892100,vibo,"https://maps.google.com/maps/preview/@45.361100,-92.892100,16z",,$1975,human, (chisago city),New 32' Vibo Aluminum roll in dock with cedar decking,https://rmn.craigslist.org/boa/5922012740.html,2017
3,good,"['43.958500', '-92.051700']",2016-12-20 12:56,"Red tandem 14 ft. kayak.  Has a removable 3rd child seat. Used.  In overall good condition.  Has normal hull scratches from use.  Front pull handle was broke which left a small hole, a repair was made to make the front pull handle functional again.  Located in St. Charles, MN.",,5927094635,43.958500,14,-92.051700,Perception,"https://maps.google.com/maps/preview/@43.958500,-92.051700,16z",,$550,human,,Perception Acadia Tandem Kayak,https://rmn.craigslist.org/boa/5927094635.html,
4,excellent,"['43.838291', '-91.260818']",2016-12-20 10:20,"Please contact Roger between the hours of 8-5PM at 608FiveThreeNine5151 After 5 contact Roger at 507FourFiveTwo7603 This Carver 396 ft Cabin Motor Yacht is an extremely clean, cruiser that features an spacious flybridge, covered aft deck, open salon, and two staterooms to insure room, comfort, and convenience. Whether you are planning a day on water or a weekend getaway this 40' Carver is ready to accommodate. On deck we start at the top with a flybridge with radar arch, bimini top and full enclosure. The centerline helm station has captain's chair, full instrumentation and electronics. Starboard is a companion seat and wet bar with ice maker, and port side we have a wraparound guest lounge. The bridge provides ample room for family & guests and there is more room a few steps down with an enclosed aft deck with hard top. It features a casual seating or dining area, wing door access to the side decks, and stairway to an integrated swim platform. The aft deck provides plenty of room to relax or entertain. The carpeted salon is bright, airy, and inviting. As you enter the salon you find a large leather settee with two built-in recliners to starboard. There is a cherry table for dining or cocktails. Port side is a loveseat and an entertainment center with television, DVD, and AM/FM/CD stereo. The galley is forward, port side, and features cherry cabinets, a full-size refrigerator/freezer, electric cooktop, microwave oven, coffee maker, and counter top with circular sink. There are two luxurious staterooms. The forward guest stateroom features a island queen berth, cedar-lined hanging locker, and head and vanity starboard with separate shower stall port side. The master aft stateroom has island queen berth with cedar-lined hanging locker, TV with VCR, and en-suite head with vanity and shower stall. This 40' ACMY is equipped with twin Crusader 370-hp engines with very low hours. Mechanical features include Kohler generator, three-zone reverse cycle HAC, and Halon fire suppression. She is very clean, well equipped, carefully maintained, and ready to cruise. Call now for more information and to schedule a showing of this Carver 396 Motor Yacht. FLYBRIDGE.... Open Flybridge with Radar Arch Bimini Top with Full Enclosure Carpeted Deck Centerline Helm with Captain and Companion Seats Wraparound Guest Lounge Wet Bar with Ice Maker Drink Holders AFT DECK... Aft Deck with Hardtop Full Eisenglass Enclosure Carpeted Deck Blue Accent Lighting Deck Furniture Included Flat Screen TV Combo w/ DVD Wing Door Access to Side Decks Stairway to Swim Platform Sony Speakers ACOMMODATIONS Full Beam Salon Accented in Cherry Carpeted Deck Seven Feet of Headroom Long Wraparound Leather Sofa to Starboard w / Recliner Leather Love Seat to Port with Coffee Table w/ Recliner Entertainment Center with TV and Stereo Step-down Galley Port Side Guest Stateroom Forward with Offset Queen Berth Forward Guest / Day Head with Vanity and Shower Master Aft Cabin with Queen Berth and en suite Head Compartment Sunbrella Carpet Liner in Salon DECK & HULL... Stainless Steel Bow Rail Anchor with Roller Windlass Bow Fender Racks Extra Fenders Extra Wide Side Deck Walkways w/ Drains Swim Platform with Boarding Ladder Hot & Cold Freshwater Transom Shower Windshield Glare Cover Side Deck Entry Doors for easy Aft Deck Entry Deck Sun Pads ELECTRONICS & NAVIGATION Garmin 2010C GPS Horizon Intriped VHF Radio Standard Horizon Depth Finder Trim Tab Indicators Fire Boy Zintex Fire Suppression Three Carbon Monoxide Detectors Kenwood Stereo on Bridge Four Speakers Flat Screen TV with DVD on Aft Deck 22"" Panasonic TV in Salon Kenwood DVD Player Kenwood Sound System 15-disk CD Changer 13"" Stateroom TV MECANICAL & ELECTRICAL... Twin 370-hp Mecruiser 8.1L EFI Engines with only 352 hours Cruise 20 knots @ 3200 RPM Kohler 10-kW Generator Two Battery Chargers New 15-gallon Water Heater VacuFlush Heads Central Vacuum",352,5908400342,43.838291,40,-91.260818,Carver,"https://maps.google.com/maps/preview/@43.838291,-91.260818,16z",396,$127500,power, (LACROSSE),2002 CARVER 396,https://rmn.craigslist.org/boa/5908400342.html,
5,,,2016-12-19 17:17,80hp aftermarket tilt and trim live well new tires on trailer call or text show contact info,,5897500283,,18,,Starcraft,,,$3000,power,,starcraft chieftain 18 cabin cruiser,https://rmn.craigslist.org/boa/5897500283.html,
6,like new,"['44.824008', '-91.546197']",2016-12-19 13:19,"blue and white in color 20 ft open bow with 4.3L 2 bbl mercruiser motor and lower unit. fiberglass like new and interior. has fish finder. I bought in 09 to resell. cleaned up very nice have had out several time's run's great. has 8 person or 1200 lb capacity. i am a auto repair shop do a little io work on boat's some outboard. I have owned a 24 ft cuty sea ray with twin motor's since 91 have spent a lot of time on the Mississippi and would have no problem taking this their. I am in eau claire, wi around every day between 10 and 5 show contact info THIS WAS BOUGHT OFF OF BOAT ANGLE IN O9 I HAVE PAPER WORK will consider trade THIS IS A AS IS SALE",200,5922291276,44.824008,20,-91.546197,sea ray,"https://maps.google.com/maps/preview/@44.824008,-91.546197,16z",200,$4000,power, (2536 W MOHOLT DR),89 20 FT OPEN BOW SEA RAY,https://rmn.craigslist.org/boa/5922291276.html,1989
7,new,,2016-12-19 10:07,"Condition New Manufacturer Tracker Model Year 2016 Model Super Guide™ V-16 SC Comparable Unit: $18,260.00 Price $15,590.00 Color Gray/Silver Stock Number 36815 Additional Pricing Info Perfect river boat-- 16ft Side-console Fishing Boat! ngine Make Mercury Engine Model FourStroke Horsepower 40hp Engine (Max) 50hp Fuel Type Gas Drive Type Outboard Battery Yes-2 Trim System Electric",0,5886280092,,16,,Tracker Super Glide,,V-16 SC,$15590,power," (Rochester, MN)",New 2016 Tracker Super Guide™ V-16 SC,https://rmn.craigslist.org/boa/5886280092.html,2016
8,,"['44.010500', '-92.397300']",2016-12-18 13:29,Supper nice.  This boat is like it just got off the show room if you come and look at it you will buy it,180,5887710978,44.010500,18,-92.397300,Bayliner,"https://maps.google.com/maps/preview/@44.010500,-92.397300,16z",,$6000,power, (Rochester),You should see this boat,https://rmn.craigslist.org/boa/5887710978.html,
9,,,2016-12-18 09:46,1981 Smoker Craft 14' boat. Minn Kota trolling motor. Deka battery and battery box.  $400.00 cash Call or text Dan @ show contact info NO E-MAIL! ( trailer not included),,5894380273,,14,,,,,$400,power, (Rochester),14' boat,https://rmn.craigslist.org/boa/5894380273.html,
