,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['45.697400', '-93.646500']",2016-12-20 18:53,"Rust color. 10'4"" sit inside kayak. Used one summer had a blast but then my bf got a side by side wheeler and so much for kayaking. Sells new for $200 and I'm including paddle, new life jacket, and detachable floaters to get use to riding in. $100 cash.(RC planes in pic not included).",,5927567697,45.697400,10,-93.646500,,"https://maps.google.com/maps/preview/@45.697400,-93.646500,16z",Viper,$100,human, (Pease),"Viper kayak 10'4""",https://stcloud.craigslist.org/boa/5927567697.html,
1,good,"['45.921453', '-94.345694']",2016-12-20 16:27,"Vintage BoatFor Sale $1,195* Paul Larson Cedar Strip Boat 16' Good Condition Can be seen at Monahan's Marine The last 2 pictures are just examples of what could be done with it as a decorative item. *DOES NOT INCLUDE TAX/LICENSE ****ALL email inquiries that do not include a name and contact info will be deleted due to SPAM**** Call Tom Monahan's Marine See our website for more options available www.monahansmarine.biz",,5927403632,45.921453,16,-94.345694,Paul Larson,"https://maps.google.com/maps/preview/@45.921453,-94.345694,16z",,$1195,human, (Little Falls),Vintage 16' Larson Boat,https://stcloud.craigslist.org/boa/5927403632.html,
2,,"['45.346000', '-94.162800']",2016-12-20 12:29,first $150 cash call 612 619 zero 819 fiberglass hull partial false floor for casting,,5914379699,45.346000,14,-94.162800,,"https://maps.google.com/maps/preview/@45.346000,-94.162800,16z",,$150,human, (south haven),fishing boat - 14 foot - boat only - (2018 tabs),https://stcloud.craigslist.org/boa/5914379699.html,
3,,"['45.346000', '-94.162800']",2016-12-20 12:28,first $350 cash call 612 619 zero 819 fits in pickup - apx 100 lbs max of 5 hp,,5897056714,45.346000,9,-94.162800,,"https://maps.google.com/maps/preview/@45.346000,-94.162800,16z",,$350,human, (south haven),water tender 9.4 - mini bass boat - exc cond,https://stcloud.craigslist.org/boa/5897056714.html,
4,good,,2016-12-20 10:51,Runs good.,25,5926887414,,15,,mercury,,20hp,$475,power, (st.cloud),20hp MERCURY short shaft  1990,https://stcloud.craigslist.org/boa/5926887414.html,1990
5,,"['45.248300', '-94.106100']",2016-12-20 09:09,I have a very nice 84 cvx16 glastron with a 115 mercury it boat motor and trailer i just had a new transom installed professionally it is in very nice shape i am asking 2100  cash or it needs to go now call or text me show contact info,,5916059330,45.248300,16,-94.106100,,"https://maps.google.com/maps/preview/@45.248300,-94.106100,16z",,,power,,glastron cvx 16 gotta go now,https://stcloud.craigslist.org/boa/5916059330.html,
6,excellent,"['45.881700', '-95.382000']",2016-12-19 23:17,"Selling my 16 foot alumacraft fishing boat. This boat is in exellent condtion for the year. Has 35HP Johnson motor on it with new waterpump just this spring and new battery. Fresh tune up and runs great with no issues. Full floor with carpet and the floor is in good shape not broke, also is very steardy. Live well, billage pump, aeration pump, front and rear night lights, good storage, front anchor. Trailer is in good shape along with the tires. Asking $3000OBO Call or Text show contact info Serious inquiries only.",,5926424108,45.881700,16,-95.382000,,"https://maps.google.com/maps/preview/@45.881700,-95.382000,16z",,$3000,power," (Alexandria, MN)",For Sale: Alumacraft fishing boat 35HP Johnson,https://stcloud.craigslist.org/boa/5926424108.html,
7,,"['45.479500', '-93.968400']",2016-12-19 20:10,"120 MERC CRUISER ENGINE NEW: STARTER ALTERNATOR DISTRIBUTOR, CAP, ROTOR FUEL PUMP PLUGS, WIRES EZ LOADER ROLLER TRAILER SURGE BRAKES LIFE TIME LICENSE BOUGHT IT LATE IN THE SEASON AND GOT IT RUNNING, BUT NEVER GOT IT TO WATER. TO SEE/BUY CALL/TEXT DAVE AT show contact info CASH ONLY IN PERSON ONLY NO EMAILS",,5905525858,45.479500,19,-93.968400,,"https://maps.google.com/maps/preview/@45.479500,-93.968400,16z",,$985,power, (CLEARLAKE),4-WINNS HORIZON BROUGHAM 190,https://stcloud.craigslist.org/boa/5905525858.html,
8,like new,,2016-12-19 17:16,"Works great...new condition.. 5"" screen 50 feet camera cable nice camera nothing broke ..led ...out jacks.. trade's welcome BEST ice fishing tool around",,5916242412,,55,,Aqua Vue scout,,Aqua Vue Scout,$150,power, (ROYALTON),aqua vue underwater camera..bet any vexlar (trades),https://stcloud.craigslist.org/boa/5916242412.html,2000
9,good,"['45.820427', '-94.409811']",2016-12-19 16:42,"2000 crestliner fish hawk side console, with a 1999 90HP Johnson. And a 2000 yaht club trailer. The motor is super clean and runs fantastic! I've always used marine stabilizer in the gas. Lucas oil injection oil. I put new plugs in this past spring. This boat is super clean and is really a must see to appreciate! Just put on led lights on trailer. The boat comes with a minnkota 70lb thrust 24 volt trolling motor. 3 bank minnkota on board charger. All 3 batteries are less then 3 years old. The console has a lowrance X85 graph. The bow has a really nice 1 year old Garmin echo 93v. It has side imaging, down imaging, gps, and so much more! Boat also has a kenwood radio with Bluetooth and 4 speakers. Ram mount cell phone holder. 3 crestliner pedestal seats and a butt seat. Comes with custom fit cover! Also down rigger rod holders. Also nice rod organizers mounted on gunnel. I can have 10 rods out for bass fishing and still have plenty of room for bass fishing on the bow! The bow is 6ft long! Plus has rod locker, a 4ft live well, and 2ft Livewell! Bilge pump. Has rachet strap tie downs! Everything works great! No rips in seats or carpet! I have taken great care of this boat. Time to upgrade to a bass boat. This boat new with everything would cost around $30,000! Asking $11,900 or b.o. Thanks for looking.",,5913942929,45.820427,18,-94.409811,Crestliner,"https://maps.google.com/maps/preview/@45.820427,-94.409811,16z",Fish hawk,$11900,power, (Bowlus),Crestliner 1750 fish hawk sc,https://stcloud.craigslist.org/boa/5913942929.html,2000
