,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['31.360000', '-89.577700']",2016-12-20 09:53,Good kayak but I need money.,,5926795026,31.360000,9,-89.577700,,"https://maps.google.com/maps/preview/@31.360000,-89.577700,16z",,$100,human,,Kayak,https://hattiesburg.craigslist.org/boa/5926795026.html,
1,,"['32.212026', '-89.888615']",2016-12-20 05:59,"I have a 2005 model ZX 225 Skeeter bass boat with a 225 horse Yamaha motor and a galvanized trailer. It is in great condition. Come take a look and you will like it! $15,900 Call or text",,5922807491,32.212026,21,-89.888615,Skeeter,"https://maps.google.com/maps/preview/@32.212026,-89.888615,16z",,$15900,power, (Smith County),2005 Skeeter ZX225 Bass Boat with 225 Yamaha Motor,https://hattiesburg.craigslist.org/boa/5922807491.html,2005
2,like new,"['31.358898', '-89.300782']",2016-12-19 12:07,MUST SALE! Blue hole 15 ft canoe for sale! NOTHING WRONG WITH THIS JUS NEED THE MONEY ASAP! Asking $350 This canoe is super easily handled and maneuvered down a river. Comes with 2 standard orange life jackets.,,5887532431,31.358898,15,-89.300782,Blue hole,"https://maps.google.com/maps/preview/@31.358898,-89.300782,16z",,$350,human, (Hattiesburg),15 ft BLUEHOLE CANOE,https://hattiesburg.craigslist.org/boa/5887532431.html,
3,,"['31.149600', '-89.462300']",2016-12-19 10:14,2004 20ft bayliner.  4cyl inboard out board. 135 horsepower. Holds 8 sleeps 5. Needs a new top an some cleaning.  Other than that boat is in great condition. Asking 6000 or obo,,5925440837,31.149600,20,-89.462300,,"https://maps.google.com/maps/preview/@31.149600,-89.462300,16z",,$6000,power,,2004 20ft bayliner,https://hattiesburg.craigslist.org/boa/5925440837.html,
4,new,,2016-12-19 10:05,"2017 EXCEL 1851, MUDBUDDY HDRT4400, SPORT TRAIL TRAILER CAMO- OPTIFADE MARSH MOTOR, 3 FLOORSEATS, CAMO BOAT- OPTIFADE, LINER, TWIN 5800LED HEADLIGHTS, CAMO HEADLIGHT FRAME, 11 GAL. FUEL TANK ASSY, CUP AND SHELL HOLDER, 2 SPUD POLES, GATOR GLIDE, FASTGRASS BLIND",,5907817284,,18,,EXCEL,,1851,,power,,2017 EXCEL 1851 DUCK BOAT,https://hattiesburg.craigslist.org/boa/5907817284.html,2016
5,,,2016-12-19 07:08,"DuraCraft Alweld Aluminum Boat 25 Tohatsu 2 Sroke Boat is very solid with no leaks. It is WELDED and built like a barge. The older duracrafts were some of the best alwelded built boats. It has a 25 Tohatsu with electric start. Compression is exactly 120 PSI on both cylinders. It is a strong motor and pushes the boat 28-30mph. Boat is set up with Led lights and running lights. This would make one hell of a duck boat or hunting boat in the delta. Can crank on the hose and run for serious buyers. Trailer is solid as well. All around this a fine little rig and will get you anywhere you need to go in the delta. $3200 Cash only NO TRADES. duck, boat, duckboat, alweld, allweld, al weld, weld, xpress, weldbilt, weld built, weldbuilt, war eagle, dura craft, duracraft, dura kraft, durakraft, lowe, g3, hunting, fishing, delta",,5921519258,,15,,,,1544,$3200,power,,DuraCraft Alweld Aluminum Boat 25 Tohatsu,https://hattiesburg.craigslist.org/boa/5921519258.html,
6,,,2016-12-18 19:10,"2004 Xpress 1548 DB duck boat edition 2004 Suzuki 25 Four Stroke, Electric start 2014 galvanized trailer with brand new LED lights Boat is ready to hit the water. Would make a great boat for the delta for fishing or any kind of hunting It is equipped with: - Led interior lights - Running lights (bow, and stern) - Gun box and front storage - Non skid floor and interior - Battery and Gas tank Motor was just serviced, Oil change, New oil filter, New water pump. This boat needs nothing and is water ready. This boat is very well built and can handle anything. Call or text for more info show contact info CASH ONLY NO TRADES",,5924848325,,15,,,,,$4500,power, (Bayminette),1548 Xpress DB 25 Four Stroke Suzuki,https://hattiesburg.craigslist.org/boa/5924848325.html,
7,,,2016-12-18 18:19,Ascend FS128T sit-on-top kayak in great condition. Kayak is $800 brand new. Paddle included. Call or text six01-410-7440,,5924810904,,12,,,,,$500,human, (Hattiesburg),Ascend 12' Kayak,https://hattiesburg.craigslist.org/boa/5924810904.html,
8,,"['30.460100', '-89.088600']",2016-12-18 14:55,Johnson 3.5 outboard motor like new cond 2 stroke call or text show contact info asking $500.,,5918030777,30.460100,0,-89.088600,,"https://maps.google.com/maps/preview/@30.460100,-89.088600,16z",,$500,power, (Coast),Outboard 2006 Johnson 3.5 like new cond,https://hattiesburg.craigslist.org/boa/5918030777.html,
9,,"['30.747600', '-87.778700']",2016-12-18 10:18,200 h.p.evinrude motor it has a 20 in shaft and runs good 2000.00 cash or may consider a trade 251six806489,,5914650482,30.747600,200,-87.778700,,"https://maps.google.com/maps/preview/@30.747600,-87.778700,16z",,$2000,power, (Baldwin co. al),200 h.p.evinrude,https://hattiesburg.craigslist.org/boa/5914650482.html,
10,excellent,,2016-12-17 16:50,"EXCELLENT CONDITION 2003 YEAR MODEL INBOARD 4.3 MERCRUISER ENGINE 190 HP HAS A BOARDING PLANK ON BACK WITH LADDER. MAKES IT VERY EASY TO  GET IN OR OUT OF THE BOAT. GREAT FOR MAKING TUBING OR SKING OR WAKEBOARDING MORE EASILY TO  GET READY TO GET INTO THE WATER. COST $1,200 TO ADD THIS TO THE BOAT. AUTOMATIC TRIM WITH GAUGE HAS COVER ALUMINIUM TRAILOR AND ALL LIGHTS WORK STAINLESS STEEL PROP ALL SEATS IN EXCELLENT CONDITION. THIS BOAT HAS BEEN GARAGED KEEPED AND TOP COVER ON IT BIKINI TOP INCLUDED STORAGE UNDER FRONT AND BACK SEATS. STORAGE IN THE FLOOR THAT CAN HANDLE FISHING RODS AND SKI's HAS REARVIEW MIRROR BRAND NEW EXTRA PROP FRONT SEAT CAN BE USED AS A ICE CHEST AND HAS A DRAIN PLUS IN IT SO YOU DO NOT EVER HAVE TO EMPTY THE ICE WILL GO 50 MPH TOP SPEED CALL OR TEXT show contact info",328,5923574118,,18,,CHAPPERAL SSI,,,$11395,power, (HATTIESBURG),18 FOOT CHAPPERAL BOAT/EXCELLENT SHAPE,https://hattiesburg.craigslist.org/boa/5923574118.html,2003
11,fair,"['31.086700', '-88.797700']",2016-12-17 09:35,Crunk it up about 4 months ago and it idled and ran fine. It has electric start but needed a new starter when I bought it. I got another motor an don't have any use for it anymore. I paid $1200 for it about a year and a half ago. $800 OBO! NEED IT GONE!,,5922968209,31.086700,0,-88.797700,,"https://maps.google.com/maps/preview/@31.086700,-88.797700,16z",,$800,power,,1997 40 mercury,https://hattiesburg.craigslist.org/boa/5922968209.html,1997
