,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['31.713800', '-89.075900']",2016-12-20 17:17,"20ft venture bass boat, needs motor plus a lot of work. Still in good condition and does not leak. Willing to trade for small truck or car.",,5927465528,31.713800,20,-89.075900,,"https://maps.google.com/maps/preview/@31.713800,-89.075900,16z",,$700,power, (Laurel),20ft Venture bass boat,https://jackson.craigslist.org/boa/5927465528.html,
1,excellent,"['32.260400', '-90.089700']",2016-12-20 15:13,"Great shape. 601 two146050. 2006. 230 hp 4.3 Volvo Penta. 120hrs. everything works like it should. No issues at all, just waiting on warm weather. Price is firm.",,5912717074,32.260400,19,-90.089700,,"https://maps.google.com/maps/preview/@32.260400,-90.089700,16z",,$11500,power, (pearl),Four Winns Horizon 190 *reduced*,https://jackson.craigslist.org/boa/5912717074.html,
2,,"['32.260400', '-90.089700']",2016-12-20 14:48,WE HAUL OFF OLD BOATS CARS LAWN MOWERS  WASHERS DRYERS ATVS SUVS MOTORCYCLES,,5918425254,32.260400,25,-90.089700,,"https://maps.google.com/maps/preview/@32.260400,-90.089700,16z",,,human,,We Haul Off Old BOATS MOTORCYCLES / CARS / SEA DOS,https://jackson.craigslist.org/boa/5918425254.html,
3,good,"['32.366188', '-90.037594']",2016-12-20 14:31,"17 ft Bass Tracker Tournament 17.  Trolling motor, Hummingbird Fish Finder, Livewell, 60HP Mercury, two batteries. Good Interior. Trailer in good condition with spare.",,5927243650,32.366188,17,-90.037594,Bass Tracker,"https://maps.google.com/maps/preview/@32.366188,-90.037594,16z",,$2500,power, (Reservoir),17 ft. Bass Tracker,https://jackson.craigslist.org/boa/5927243650.html,
4,good,"['32.284520', '-90.109820']",2016-12-20 11:15,"2000 Model Basstream fiberglass boat, motor and trailer for sale.  You can contact me at six-zero-one-six-two-two-eight-four-five-zero.",,5926927495,32.284520,15,-90.109820,,"https://maps.google.com/maps/preview/@32.284520,-90.109820,16z",,$5000,power, (Pearl),Boat for sale,https://jackson.craigslist.org/boa/5926927495.html,
5,excellent,"['31.297500', '-90.465400']",2016-12-20 10:39,"2003 Cobia Bay boat for sale. 20 foot. Yamaha 90 HP 2 stroke engine. Trolley motor, fish finder, and boat trailer included. Great condition, no issues mechanically. Just moved and don't need it anymore. PRICE NEGOTIABLE! Please feel free to contact me if you have any questions. God bless.",,5921747440,31.297500,20,-90.465400,,"https://maps.google.com/maps/preview/@31.297500,-90.465400,16z",,$7999,power, (Summit),Cobia 2003 Bay Boat,https://jackson.craigslist.org/boa/5921747440.html,2003
6,,,2016-12-20 09:13,I have a MonArk 16/48 center console river boat for sale. It has a 30 HP Yamaha mounted on a power trim plate with a stainless steal prop . Has running lights and bilge pump. The trailer has good tires and come with a spare tire . the transom has been reinforced. Has  no leaks. Bearings are in good shape . Comes with a anchor      This would be a great fishing or duck hunting rig. I used this boat on the Mississippi River and the yazoo River.  I'm asking 3200 obo. call me we will make a deal,,5915112968,,16,,,,,$3200,power,,River boat for sale,https://jackson.craigslist.org/boa/5915112968.html,
7,salvage,,2016-12-20 09:01,Seventies vintage. No tilt Parts engine 55 seahorse,,5926719403,,0,,Johnson,,Seahorse,,power,,Johnson sea horse 55 HP,https://jackson.craigslist.org/boa/5926719403.html,
8,,[],2016-12-20 08:55,"2006 15 Ft Key West Bay Boat with 60 hp 4 stroke Yamaha outboard. Suggested list price $15,000, asking $12,500 obo.",,5926713655,,15,,Yamaha,https://maps.google.com/?q=loc%3A+%33%33%35+gladeview+pl+Brandon+MS+US,,$12500,power, (Brandon),2006 15 ft Key West Center Console,https://jackson.craigslist.org/boa/5926713655.html,2006
9,,,2016-12-20 06:45,"2009/2010 Go Devil camouflage  welded (not riveted) 16/48 boat with deep sides and a 35 horsepower Mud Buddy motor with stainless steel prop. Electric start, power tilt/trim, battery, fuel tank, aluminum push pole with pole storage, center storage , lightbar, camo rhino lined flooring, camo pedestal seats, spare tire, galvanized trailer,  quick release ratcheting rear tie downs, and extra stainless steel prop. Ready for hunting, fishing, or pleasure. Call or text (662)820-369one. $7900. Hernando. All you'll need to add is water!",,5926589563,,16,,,,,$7900,power, (Hernando),2009 Go Devil hunting/fishing  boat/ Mud Buddy 35 hp Motor,https://jackson.craigslist.org/boa/5926589563.html,
