,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:27,I bought this boat about 3 years ago. Ran good. I had it tuned up and rewired. Has been stored about a year. No battery. Trailer lights need rewired. No trolling motor. Front seat stick steering. Just don't need anymore. Offer me a fair price and it's yours. Bring a battery to crank it if you want to hear it run.,,5909448684,,14,,,,,,power,,Fiberglass Boat,https://northmiss.craigslist.org/boa/5909448684.html,
1,fair,[],2016-12-20 15:20,"selling my 1974 Searay Cabin Cruiser. Sleeps 4. It is wet docked at Bird Song Marina on the TN river. It has an oil leak from the oil pan area. Not sure the exact problem (why its cheap). has a bathroom and an outside shower. Comes with small heater, microwave, and 32inch flat screen tv mounted on wall.",,5927314075,,21,,Sea Ray,https://maps.google.com/?q=loc%3A+%32%35%35+Marina+Rd+Camden+MS+US,,$3000,power, (Bird Song Marina),1974 Sea Ray,https://northmiss.craigslist.org/boa/5927314075.html,1974
2,,"['32.260400', '-90.089700']",2016-12-20 15:13,"Great shape. 601 two146050. 2006. 230 hp 4.3 Volvo Penta. 120hrs. everything works like it should. No issues at all, just waiting on warm weather. Price is firm.",,5912723725,32.260400,19,-90.089700,,"https://maps.google.com/maps/preview/@32.260400,-90.089700,16z",,$11500,power, (pearl),Four Winns Horizon 190 *reduced*,https://northmiss.craigslist.org/boa/5912723725.html,
3,,,2016-12-20 12:49,This is a Johnson Motor it is long shaft with pull and electric start. Motor has low hours and has been serviced yearly. Runs great. Call show contact info,,5924364700,,1,,,,,$750,power, (Byhalia),25 Hp Johnson,https://northmiss.craigslist.org/boa/5924364700.html,
4,like new,"['34.485100', '-89.003100']",2016-12-20 11:58,"Like new boat , trailer and Motorguide foot control trolling motor, 45 lbs thrust ,Lowrance fish and depth finder, bilge pump. All are like new.  Alweld 15x48( Lined with Hydro Turff 425.00 value.) Boat is rated for up to a 40 H. P. motor  but runs great with a 25 H.P. No scratches or dents anywhere.",,5911636169,34.485100,15,-89.003100,15x48 Alweld,"https://maps.google.com/maps/preview/@34.485100,-89.003100,16z",Flat Bottom,$3500,power, (New Albany),Like New Boat and Trailer ( Alweld 15'x48'' ),https://northmiss.craigslist.org/boa/5911636169.html,
5,,"['33.583699', '-88.497362']",2016-12-20 10:37,"Nice river lot with covered dock and boat slip. New fence and gates surrounding property.  Has electric, water, and septic.  Storage building with 1/2 bath.   Easy access to the Tenn-Tom Waterway.   1989 Gibson 44' Houseboat.  Has been completely gone over, and everything needed  has either been replaced or repaired.  2 454 Chevy engines, both V-drives recently rebuilt.  Our mechanic says it is one of the nicest 89 models he has ever seen.  Equipped and ready to go, including new marine air, inverters, and everything needed for traveling.    Call 66two-574-009three   Will not respond to e-mails or text messages.",,5907244777,33.583699,44,-88.497362,,"https://maps.google.com/maps/preview/@33.583699,-88.497362,16z",,$169000,power, (West Point),River Lot and 44' Gibson Houseboat,https://northmiss.craigslist.org/boa/5907244777.html,
6,,"['33.636757', '-88.335207']",2016-12-20 10:36,Sea Eagle GT 15 Dingy    Don't need a dingy anymore.    Ready to go.  $250.00.   Call 66two-574-009three.   No texts or e-mails.,,5907247850,33.636757,15,-88.335207,,"https://maps.google.com/maps/preview/@33.636757,-88.335207,16z",,$250,power, (Caledonia),Sea Eagle GT15 Dingy,https://northmiss.craigslist.org/boa/5907247850.html,
7,,,2016-12-20 10:33,Yamaha 25 1652 polarcraft allwelded .100 gauge Pod seats Dual ice breakers Diamond tread non slip turf on seats and deck This boat is a river runner. Be great for a mud motor or outboard. The transom has never been drilled Sure ride trailer New tires 4000 cash North ms.,,5922855389,,16,,,,,$4000,power, (Amory ms),Polarcraft 1652,https://northmiss.craigslist.org/boa/5922855389.html,
8,,,2016-12-20 09:13,"MonArk 16x48 center console River boat. 30HP Yamaha. With stainless steel prop. Electric trim plate. Bilge pump. Running lights. Anchor. Trailer has lights,good tires,good bearings and has a spare tire. Runs good I used this in the Mississippi and yazoo rivers. need to sell 3200 obo   Call me we will make a deal",,5918173602,,16,,,,,$3200,power,,River/duck hunting boat,https://northmiss.craigslist.org/boa/5918173602.html,
9,,"['34.875900', '-88.591600']",2016-12-20 06:28,"For Sale: Mercury Motor 9.9 HP Comes with tank. Motor only, but will make a package deal with a 14' X 48"" Lowes boat.  Camouflage finish on boat.",,5899824134,34.875900,14,-88.591600,,"https://maps.google.com/maps/preview/@34.875900,-88.591600,16z",,$800,power," (Corinth, Ms.)",9.9 HP Mercury Motor,https://northmiss.craigslist.org/boa/5899824134.html,
