,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 15:43,"Airboat with recently installed 75 Cadillac 500 engine with new cam bearings..new elder 700 carb..installed new led lights all over boat with separate controlled box...two batteries dual battery switch spray tank with nozzles upfront..trailer had wrench and battery installed with battery maintainer..when I put new engine in I forgot to reach the back bushings..the boat will purpose with just the pilot in it. Good airboat..just don't have the time. ..all legal title and registration available...boat is 7'9"" wide14' long aluminum hull",,5927345895,,14,,,,,$9000,power, (Navarre Florida),Airboat,https://natchez.craigslist.org/boa/5927345895.html,
1,,"['30.491100', '-90.469700']",2016-12-18 11:46,Nice boat needs carpet everything works 90hp merc it's fast,,5924275316,30.491100,17,-90.469700,,"https://maps.google.com/maps/preview/@30.491100,-90.469700,16z",,,power,,2006 Bass Tracker,https://natchez.craigslist.org/boa/5924275316.html,
2,,,2016-12-18 10:13,"Party Barge Tracker, 2001, 27 ft. in board/ out board motor. $5,000 CALL OR TEXT 6OI-8IO-O5O7",,5903105078,,27,,Tracker,,,$5500,power, (McComb),"Party Barge Tracker, 2001, 27 ft.",https://natchez.craigslist.org/boa/5903105078.html,
3,,,2016-12-17 09:44,2005 Sea Doo RXT & GTX watercrafts with very low hours. RXT has 35 hours and GTX has 31 hours. Always used in freshwater local lakes. Both PWCs were serviced by authorized Sea Doo dealer.,,5904266776,,10,,,,,$3000,power,,RXT and GTX Jetskis Sea Doo from 05 with Trailer,https://natchez.craigslist.org/boa/5904266776.html,
4,excellent,"['31.585800', '-90.452000']",2016-12-14 19:14,"2015 Xpress H22 Bay Boat 2015 Yamaha 150 4 Stroke (278 Hours) 2015 Backtracker Double Axle Trailer with hydraulic brakes Boat has Zero Problems. WATER READY! -Atlas Jack Plate -Humminbird 1099KVD Series on Console -Humminbird 386ci on front -Illuminated Compass -Infinity Bluetooth and Radio with Speakers -22"" Light Bar -LED strip lighting down both sides inside -On board 3 bank charger -Minnkota 70lb Rip Tide trolling motor and will throw in a quick release bracket for it -Ski Ladder -Keelshield Keel guard -Heavy duty winch strap on trailer -Spare Tire and Rim mounted on trailer (not pictured) $26,000obo Email or text with offers or for further questions. THE ONLY trade would be a War Eagle 2170 Blackhawk. Located in Brookhaven, MS and can be seen at Bilt Rite",278,5919782194,31.585800,22,-90.452000,Xpress/ Yamaha,"https://maps.google.com/maps/preview/@31.585800,-90.452000,16z",Michael Smith,$26000,power, (Brookhaven),2015 Xpress H22 Bay Boat,https://natchez.craigslist.org/boa/5919782194.html,2015
5,excellent,,2016-12-10 07:17,"Boat is in excellent condition, has been stored inside since new. Has 2 pedestal seats, 4 fishing rod holders, 2 marine batteries(one is only a year old), lockable onboard storage, live well, blue led lighting for night fishing. Comes with an anchor, paddle, and 3 new life jackets.Urgent for sale I need money : $2500",,5913339404,,19,,,,,$3210,power," (Natchez, MS)",Lund Fisherman 2005 Low Hours And Clean Tittle,https://natchez.craigslist.org/boa/5913339404.html,
6,,"['31.654572', '-90.331687']",2016-12-08 20:19,"https://www.facebook.com/Rippin-Lips-Bass-Club-1849977098568688/ Starting up a new club in Feb, 1st Meeting will be in Jan. Membership fee is $40.00 per year. Tournament fees are $25.00 per Tournament Each. Tournament has 1st, 2nd, 3rd and Lunker places. (depending on turnout). Inbox us for more details Thanks.",,5884607943,31.654572,2,-90.331687,,"https://maps.google.com/maps/preview/@31.654572,-90.331687,16z",,,power,,Bass Club,https://natchez.craigslist.org/boa/5884607943.html,
7,,,2016-12-06 07:48,"New bucket seats New battery New solenoid New instrument panel Homemade front fishing platform with telescoping seat. Comes with life jackets, anchor, ropes, fire extinguisher, orange flag. Fish finder and stereo. Ez roller trailer. Clean titles. Last price is $2500.",,5907540893,,19,,,,,$3230,power," (Natchez, MS)",2005 Lund Fisherman 1800 Great Boat,https://natchez.craigslist.org/boa/5907540893.html,
8,good,,2016-12-04 06:15,"Has three swivel seats, and fishing pole holder.Comes with extra gas tank, life jackets, anchor and other safty equipment. Urgent for sale because i have to many personal problem : $2500",,5904695782,,19,,,,,$3070,power," (southwest,MS)",Comfort 2005 Lund Fisherman 1800 integrated,https://natchez.craigslist.org/boa/5904695782.html,
9,good,,2016-12-03 15:54,"I have a 1994 18 ft bumble bee bass boat for sale. The original equipment list 6"" jack plate 150 xr2 Mercury with stainless steel 19 pitch prop The boat has two matching original fold down fishing seats along with a bicycle style fishing seat New cable steering Brand new marine cranking battery along with 2 brand new tolling battery New trolling motor 70lb thrust with extended warranty New three bank battery charger New helix 7 down imaging with gps New helix 7 side imaging with gps 18 gallon fuel tank New trailor tires The boat will com with a custom boat cover also The boat has bilge pump, airarator and a pro air stem for the live well. The boat has has the led navigation lights in the rd rail along with the blue led down the side. The boat is not new and has a few scratches but the gel coat and shine is still there. I am selling to get a longer boat. I don't need any help selling boat.....call me text me or email me.......",,5903956338,,18,,Bumble bee bass boat,,Bumble bee,$6500,power, (Richton ms),Bumble bee bass boat 6500 obo,https://natchez.craigslist.org/boa/5903956338.html,1994
