,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['38.807500', '-94.915700']",2016-12-20 19:29,"Looking to possible upgrade, and sell my 2008 seadoo speedster 200, with twin rotax 215hp super charged engines. Both with new plugs. Left engine has new washers in the supercharger and a new inter cooler. Both always start and run perfect,fits 7 people.  has aluminum wake tower with custom Bimini top and frame, wake board rack, mirror. You can go as fast as the boats will and never have to worry about taking down the Bimini top! End of last season new trailer tires and hydro turf flooring all throughout boat including the swim deck. Blues led lights all inside, under transom and on sides. Hid frontward lights on tower for docking. Four speakers in boat. Two tower speakers, amp, stereo with sub, aux hookup. The bad: right fender is missing/broken off of trailer, rear seats have some scuffs, lower corner tears. Comes with fitted towable cover with no straps. Great for wake boarding skiing tubing has tons of power, 430hp",,5927602835,38.807500,20,-94.915700,,"https://maps.google.com/maps/preview/@38.807500,-94.915700,16z",,$17500,power,,2008 sea doo speedster 200 wake tower 430 hp,https://kansascity.craigslist.org/boa/5927602835.html,
1,,,2016-12-20 19:27,2002 Bayliner Rendezvous 2159DD in excellent condition has the mercruiser 5.0 spot for a cooler and a port a potty on board asking $12000.00,,5904769442,,21,,Bayliner,,Rendezvous 2159DD,$12000,power, (Mexico),2002 Bayliner Rendezvous,https://kansascity.craigslist.org/boa/5904769442.html,2002
2,,"['37.273500', '-92.518100']",2016-12-20 18:57,"We have many different sizes and years available, prices starting at $450 and up Our inventory changes frequently, so pictures may not show all of what we have available. Feel free to call for details and availability. Contact Winston at show contact info for details and prices. Phone calls only please, will not respond to texts",,5917825190,37.273500,1,-92.518100,Various,"https://maps.google.com/maps/preview/@37.273500,-92.518100,16z",,,power,,BOAT TRAILERS,https://kansascity.craigslist.org/boa/5917825190.html,
3,,,2016-12-20 18:55,"2005 Road King aluminum tandem axle boat trailer *27 ft. from coupler to end of bunks-trailer should haul 20 ft. to 24 ft. boat with no problem *Torsion 3500 lb axles with surge disc brakes, combined capacity 7000 lb *Chrome wheels with brand new tires *Heavy duty winch *Heavy duty adjustable bunks *5000 lb jack *2 inch trailer coupler *New LED lights *Trailer was hauling a 22 ft. Rinker *Title in hand $2750 or best reasonable offer phone calls only please anytime @ show contact info will not respond to texts",,5911373335,,27,,ROAD KING,,,$2750,power, (LEBANON MO AREA),2005 ROAD KING ALUMINUM TANDEM AXLE BOAT TRAILER,https://kansascity.craigslist.org/boa/5911373335.html,2005
4,good,"['38.830588', '-94.400625']",2016-12-20 18:48,This is a 1939 Evinrude Sportsman 2 horsepower boat motor. It is an aluminum motor that weighs about 25 pounds empty.  There are some dents in the tank. The last time I used this motor was about 12 years ago and it has been stored ever since. I fired it up last week & it still runs great. I had the motor on a 12' long Coleman Crawdad plastic fishing boat. The motor was so strong and pushed the boat so well that it started to fold the transom over into the boat. I had to add some angled support brackets to the boat so I could run the boat motor wide open. Makes a great trolling motor. Sorry about the upside down and sideways images. I couldn't figure out how to flip them on Craigslist,,5906976782,38.830588,2,-94.400625,Evinrude,"https://maps.google.com/maps/preview/@38.830588,-94.400625,16z",Sportsman,$200,power," (Raymore, MO)",2 H.P. Boat  Motor RUNS GREAT!,https://kansascity.craigslist.org/boa/5906976782.html,
5,,"['36.626136', '-93.413143']",2016-12-20 18:23,"We are selling our 1990 SeaRay 380 aft cabin. The interior was updated by the owner of a limo shop to the highest quality. This dual helm layout is fantastic add-on feature. The closed-cooled 454's have approximately 975 hours and are maintained professionally. The 7.5 Generator works as required with plenty of juice. The interior layout is that of a much larger vessel with two staterooms, two heads and showers and large berths. The kitchen is well appointed with a new 3/4 size fridge, microwave, built in coffee maker and blender and plenty of storage. The 380 would make a great cruise vessel if desired. This is a great boat with the feel of a floating condo where you can move to experience different areas of the lakes. Reasonable offers considered.",975,5900303985,36.626136,41,-93.413143,SeaRay,"https://maps.google.com/maps/preview/@36.626136,-93.413143,16z",380 Aft Cabin,$59900,power, (Kimberling City Mo),SeaRay 380 Aft Cabin,https://kansascity.craigslist.org/boa/5900303985.html,1990
6,,,2016-12-20 17:40,2001 bass tracker Comes with motor and trailer. Clean titles for all. Contact me if interested. Thanks for looking.,,5927491921,,18,,,,,$4900,power, (blue springs),2001 bass tracker with motor and trailer,https://kansascity.craigslist.org/boa/5927491921.html,
7,,,2016-12-20 16:37,"NOTE- for those that have been interested and I was in contact with my phone has been messed up and I lost my contacts so if you could email that would be best should be resolved soon thanks. $2,900 FIRM- I am selling my 17 ft. bass tracker because I dont use it enough and need the space, Great for river and lake, New Stereo, MP3/USB/CD PLayer and Speakers, I have redone the decking and foam, has new seats and 2 swivel seats, great shape- it has a 40hp evinrude that runs great, new gas tank, live well,  depth/fish finder, Has tilt trim option, the switch/solenoid/motor is out they are cheap on Ebay $100 or less - I just lift it manually easy lifting, I have all titles for boat, motor, and trailer. Text show contact info thanks.",,5910608984,,17,,Bass tracker,,,$2900,power, (KCMO),Nice bass tracker,https://kansascity.craigslist.org/boa/5910608984.html,
8,,"['38.156000', '-94.818600']",2016-12-20 16:03,"2005 Sundance pontoon with 25h four stroke mercury,teal and green color with canopy and cover,comes with Bear trailer,great boat for family!!!!also have 2001 seadoo,3 passenger 2stroke with trailer asking 3000 or buy boat and seadoo for 8000.thanks!",,5904927926,38.156000,20,-94.818600,Mercury,"https://maps.google.com/maps/preview/@38.156000,-94.818600,16z",,$6000,power, (Mound city),2005 pontoon,https://kansascity.craigslist.org/boa/5904927926.html,
9,,[],2016-12-20 15:32,"Meet the aluminum bass boat heavyweight champ: the 2017 Stinger 178. Designed with best-in-class features, it delivers more fish-fighting deck space, more fishing features, impressive horsepower and more. The Stinger 178 features a super-wide 94"" beam to provide 75 square feet of fish-fighting space. A top-rated 90 horsepower Mercury outboard gets you to the fish fast and can handle higher speeds, greater stresses, and bigger fishing action than the competitors. A premium fiberglass console with metal flake finish includes a huge storage space for gear and lure trays. Angler centric seats are more usable and comfortable than ever for longer days on the water. This is the serious tournament-style bass boat designed to knock out the competition. Comes with: Standard Features: Metal flake fiberglass console w/ windscreen Lowrance Hook - 3x FishFinder 2 fold down fishing seats Bow aerated livewell w/divider (24 gallon) Built in fuel tank (19 gallon) Stern aerated livewell w/divider (24 gallon) Recirculating Aft Livewell Locking Side Rod locker with rod tubes (1) 7' (4) 8' Recessed trolling motor foot pedal Upgraded Features: Chrome spare tire with backmount Tilt steering Motorguide X5 70# 45"" 24v Trolling Motor Ratchet cover 2 Bank battery charger FINANCING AVAILABLE.......CALL US TODAY!! show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info www.AnglersPortMarine.com",,5927308095,,18,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,Don't miss this one!  2017 Lowe ST178 w/ 90hp Mercury Four Stroke,https://kansascity.craigslist.org/boa/5927308095.html,
