,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['36.942200', '-90.162300']",2016-12-20 19:40,16 ft fish and ski has 88 hp evinrude runs good has ft controlled trolling motor.has plenty of storage. Has 2 live wells.,,5927613351,36.942200,16,-90.162300,,"https://maps.google.com/maps/preview/@36.942200,-90.162300,16z",,$3300,power, (puxico),bass boat,https://semo.craigslist.org/boa/5927613351.html,
1,,,2016-12-20 12:53,Nice older pontoon. Nice interior. Needs nothing. Just installed new water pump and hasn't been in water since. 25hp tracker motor. Asking 3500 or trade. Call or text before 10pm at show contact info thanks. Tags. Boat. Pontoon. Trade. Atv. Utv.,,5912160381,,21,,,,,$3500,power, (bernie mo),1991 tracker party barge 21ft,https://semo.craigslist.org/boa/5912160381.html,
2,good,"['37.717400', '-89.873700']",2016-12-20 07:34,Nice 1996 Rinker deep bow rides great 4.3 V6 Engine runs about 52 top speed stored indoors Full snap on covers for towing full mooring cover for storing. bimini top great running boat good condition new tires on trailer new battery lots of room for a family 11500 OBO call or text show contact info,,5912561007,37.717400,22,-89.873700,Rinker,"https://maps.google.com/maps/preview/@37.717400,-89.873700,16z",212,$11500,power, (Perryville Mo),1996 rinker 212 bow rider,https://semo.craigslist.org/boa/5912561007.html,
3,,"['36.060000', '-90.525100']",2016-12-20 06:22,"This is a great duck boat, just don't use it anymore. Boat, motor, and trailer are in great shape! Motor is a 99 model, compression 120 lb on both cylinders, short shaft, electric start, SS prop. Comes with tank and battery. Boat is Alumaweld. Fresh camo paint. Heavy duty wire mesh flooring. Trailer in excellent shape, all lights work. Call or text show contact info $3150.00",,5914310084,36.060000,15,-90.525100,,"https://maps.google.com/maps/preview/@36.060000,-90.525100,16z",,$3150,power, (Paragould),15/44 Alweld--25 Mercury,https://semo.craigslist.org/boa/5914310084.html,
4,excellent,,2016-12-19 22:34,"1998 Lowe 180 18ft 1998 115HP Johnson 1998 Lowe Single Axle Trailer 2 Pedestal seats w/ 2 Hi-tek Rod Holders Minn Kota Power Drive V2 50 Libs 12volt Hummingbird 917c w/ Navionics map card and ram mount Tires and Batteries are around a year old Dexter, MO Call/Text show contact info",,5926396713,,18,,Lowe,,180,$6200,power," (Dexter, MO)",For Sale 1998 Lowe 180 Boat,https://semo.craigslist.org/boa/5926396713.html,1998
5,excellent,,2016-12-19 22:14,"14 foot aluminum Gamefisher boat and trailer in great condition, hasn't been in the water since painted. has small front deck built in, comes with boat cover and 1spare wheel and tire. Clear title. For more info. please call or text show contact info",,5915122193,,14,,Sears,,,$1300,human, (dexter),14 Ft. duck hunting boat,https://semo.craigslist.org/boa/5915122193.html,1990
6,good,"['36.709873', '-89.323351']",2016-12-19 14:04,"1989 Bass Tracker boat 15ft 10in with coast guard front end with 2 seats and live well. 1989 Johnson outboard motor 25 horse with electric start. And 28 lb thrust trolling motor with foot control. Have titles for boat trailer, boat, & motor. $2500.00 obo",,5925826068,36.709873,15,-89.323351,bass tracker,"https://maps.google.com/maps/preview/@36.709873,-89.323351,16z",,$2500,power,,boat & trailer,https://semo.craigslist.org/boa/5925826068.html,1989
7,,,2016-12-19 13:29,"Boat is 14' wide x 28' long. Cabin is 8' wide x 13' long. Sleeps 4 inside cabin with plenty of room on outside decks for tents. Set up with 12 volt and 110 volt systems. Boat has both inside steering & motor controls, and also a secondary outside steering column and motor mount to control a separate motor from the main one.  2 motors can be mounted at the same time. 4 aluminum pontoons supply very stable, low draft, and low maintenance floatation. This houseboats by far the most universal boat on the lake. With 3 sides of wide deck area around the cabin accessible for chairs a lot of people can be fishing or hunting at the same time with plenty of elbow room. Very low draft means this boat can go in very shallow water. It could very easily be transformed into an awesome, movable, sleep-in duck blind. It's also great for fun-in-the-sun swimming and partying with plenty of room under canopy with shade, and a NEW large open swim/sun deck!  New deck not shown in full boat view picture. Boat includes: Depthfinder, Microwave oven, Swim ladder, anchors, umbrellas, furniture, storage unit, and other misc. $5,500 Located on Lake Wappapello at the New Chaonia Landing. Slip #27 Five seven three -- three hundred -- nine five eight eight",,5906043186,,28,,,,14' wide,$5500,power, (Lake Wappapello),Houseboat with 4 Aluminum pontoons - Will consider trade for RV,https://semo.craigslist.org/boa/5906043186.html,
8,excellent,"['35.486300', '-86.462400']",2016-12-19 11:33,"This is a beautiful Old Town Pathfinder Royalex Canoe. 14' 10"" long. Upgraded with plastic contoured seats and a brand new yolk. This is a great versatile boat. It's lightweight like a kayak. Easy to handle. Easy to load. Better than a kayak because you can carry gear, or family or the dog. Great fishing canoe. Wide flat bottom makes it very stable. Set this up with a center seat, air bags and a double blade paddle and use it in rapids. Lots of recurve on the ends helps keep the water out.. Royalex is a thing of the past. Not being made anymore. Lightweight but durable. Get it now while you can. Asking $900 for this hard to find Old Town canoe. Located in Shelbyville. Call text or email.",,5920282545,35.486300,15,-86.462400,Old Town,"https://maps.google.com/maps/preview/@35.486300,-86.462400,16z",Pathfinder,$900,human, (Shelbyville),Old Town Pathfinder Royalex Canoe,https://semo.craigslist.org/boa/5920282545.html,
9,,,2016-12-19 10:45,"15'7"" Fisher boat 1990 40 HP Mercury motor Foot pedal trolling motor Fish finder Live well Onboard battery charger 2"" ball Clean title Great boat, just don't use it anymore.  Runs good SE Missouri $2250",,5925491959,,16,,,,,$1,power,,Fisher boat,https://semo.craigslist.org/boa/5925491959.html,1990
