,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.273500', '-92.518100']",2016-12-20 18:57,"Many sizes and styles! We have many different sizes and years available, prices starting at $450 and up Our inventory changes frequently, so pictures may not show all of what we have available. Feel free to call for details and availability. Contact Winston at show contact info for details and prices. Phone calls only please, will not respond to texts",,5917824490,37.273500,1,-92.518100,various,"https://maps.google.com/maps/preview/@37.273500,-92.518100,16z",various,,power,,Boat Trailers,https://springfield.craigslist.org/boa/5917824490.html,
1,,"['37.263534', '-92.513638']",2016-12-20 18:55,"2005 Road King aluminum tandem axle boat trailer *27 ft. from coupler to end of bunks-trailer should haul 20 ft. to 24 ft. boat with no problem *Torsion 3500 lb axles with surge disc brakes, combined capacity 7000 lb *Chrome wheels with brand new tires *Heavy duty winch *Heavy duty adjustable bunks *5000 lb jack *2 inch trailer coupler *New LED lights *Trailer was hauling a 22 ft. Rinker *Title in hand $2750 or best reasonable offer phone calls only please anytime @ show contact info will not respond to texts",,5911506740,37.263534,27,-92.513638,ROAD KING,"https://maps.google.com/maps/preview/@37.263534,-92.513638,16z",,$2750,power, (HARTVILLE),'05 ROAD KING ALUMINUM TANDEM AXLE 27FT BOAT TRAILER,https://springfield.craigslist.org/boa/5911506740.html,2005
2,good,,2016-12-20 18:22,"We are selling our fresh water SeaRay 380 aft cabin. The interior was updated by the owner of a limo shop to the highest quality. This dual helm layout is fantastic add-on feature. The closed-cooled 454's have approximately 975 hours and are maintained professionally. The 7.5 Generator works as required with plenty of juice. The interior layout is that of a much larger vessel with two staterooms, two heads and showers and large berths. The kitchen is well appointed with a new 3/4 size fridge, microwave, built in coffee maker and blender and plenty of storage. The 380 would make a great cruise vessel if desired. This is a great boat with the feel of a floating condo where you can move to experience different areas of the lakes, this one is for you. We are downsizing reasonable offers considered.",975,5887336496,,41,,SeaRay,,380 Aft Cabin,$59900,power, (kimberling city/Sprigfield),SeaRay 380 Aft Cabin,https://springfield.craigslist.org/boa/5887336496.html,1990
3,excellent,,2016-12-20 18:05,"20' Pontoon Boat on TandumTrailer with 60HP Evinrude out board motor, large MinnKota Trolling Motor 55# thrust, Hummingbird Fish Finder and new tarp.  Runs great!!  $4500 or BO all reasonable offers considered!!!  New Marine Battery with back up battery!",,5904035373,,20,,Sweetwater / Godfrey,,,$4500,power, (Nixa),Pontoon Boat w Trailer,https://springfield.craigslist.org/boa/5904035373.html,1988
4,excellent,,2016-12-20 17:24,"Very nice 3 seater Seadoo Bombardier GTX ; great condition ; 130 HP ; runs great ; very powerful, can easily pull skier or tube; trailer is included and is nearly new - 2015 model ; 2nd owner ; clear title for the boat and trailer; Jason - show contact info keywords: sea-doo , personal watercraft , waverunner , yamaha , ski ,",432,5915344337,,10,,Seadoo,,Bombardier GTX,$2900,power, (Branson MO),2000 Seadoo Bombardier GTX; great condition; 130 HP,https://springfield.craigslist.org/boa/5915344337.html,2000
5,good,[],2016-12-20 16:45,"Selling my boat for a possible upgrade, this has been an amazing boat. Has 140 hours on it. Any questions please call or text.",140,5920699659,,23,,Crownline,https://maps.google.com/?q=loc%3A+Cox+at+Republic+Springfield+MO+US,,$15500,power, (Springfield),1999 Crownline 225 BR,https://springfield.craigslist.org/boa/5920699659.html,1999
6,,[],2016-12-20 15:39,"Meet the aluminum bass boat heavyweight champ: the 2017 Stinger 178. Designed with best-in-class features, it delivers more fish-fighting deck space, more fishing features, impressive horsepower and more. The Stinger 178 features a super-wide 94"" beam to provide 75 square feet of fish-fighting space. A top-rated 90 horsepower Mercury outboard gets you to the fish fast and can handle higher speeds, greater stresses, and bigger fishing action than the competitors. A premium fiberglass console with metal flake finish includes a huge storage space for gear and lure trays. Angler centric seats are more usable and comfortable than ever for longer days on the water. This is the serious tournament-style bass boat designed to knock out the competition. Comes with: Standard Features: Metal flake fiberglass console w/ windscreen Lowrance Hook - 3x FishFinder 2 fold down fishing seats Bow aerated livewell w/divider (24 gallon) Built in fuel tank (19 gallon) Stern aerated livewell w/divider (24 gallon) Recirculating Aft Livewell Locking Side Rod locker with rod tubes (1) 7' (4) 8' Recessed trolling motor foot pedal Upgraded Features: Chrome spare tire with backmount Tilt steering Motorguide X5 70# 45"" 24v Trolling Motor Ratchet cover 2 Bank battery charger FINANCING AVAILABLE.......CALL US TODAY!! show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info www.AnglersPortMarine.com",,5927314097,,18,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,Don't miss this one! 2017 Lowe ST178 w/ 90hp Mercury Four Stroke,https://springfield.craigslist.org/boa/5927314097.html,
7,excellent,[],2016-12-20 15:22,"This 2012 Malibu 247 LSV is equipped with an Indmar L96 410 HP engine, Battery setup opt 2, ladder undermount swimstep, lights docking, lights transom underwater, pull up cleats two pair, wedge power, maliview 6.5"" display system, exhaust ste, shaft seal water cooled, amplifier rockford 2 channel 5, sound system remote, sound system sun/wake 247, speakers 12"" rockford subwoofer, switch rear lounge mux, illusion G3 White, Boat Cover w/ Tower cutouts, shrinkable shipping cover, dash color, hull base color, bimini commercial sewing for deck base, knobs pair, mirror, speakers alpha II 6x9 first pair, speakers alpha 6x9 2nd pair for more information call 918-691-8823",,5927316005,,24,,Malibu Boats,https://maps.google.com/?q=loc%3A+%32%34%33+N+Beach+Drive+Disney+MO+US,247 LSV,$62995,power," (Cedar Port Marina, Disney, OK)",2012 Malibu LLC 247 LSV,https://springfield.craigslist.org/bod/5927316005.html,2012
8,excellent,,2016-12-20 15:04,"Original owner, fresh water only, includes trailer that has space saving swing-away tongue, dealer winterize the boat and change the oil, the boat has 272 hours on it right now, stored indoor year round, dealer maintained and will provide all paperwork, full cover included, comfortably seats 9 people, powered by total of 220hp twin 4-stroke engines, swim platform, bimini, anchor locker, front-loading ladder, storage/cooler compartments, table with 2 legs, center bow cushion, middle cushion on engine hatch. Only reason for selling is to upgrade to a larger Yamaha. ONLY SERIOUS INQUIRIES PLEASE. Motivated seller Boat upgrades: -Seadek (storm gray in cockpit) in 2016- also have the original snap in carpet with snaps that will go with purchase -Thrust Vector XL steering enhancement -Both batteries replaced in 2016 -Perko switch for dual batteries -On board battery charger with Thru-Hull Fitting -12"" driver seat pedestal -Clarion M303 radio with water resistant radio shield -Clarion MW1 Watertight Black Face Stainless Steel Bezel Remote -Clarion MF1 Marine RF Remote Control Polk Audio MM651 6.5"" Coax Speaker total of 4 throughout cockpit 10"" ported subwoofer 2 Amps Glove box prop Blue LED's throughout Navy blue Keel Guard New blower in 2016 Trailer upgrades: Boat buckles Stoltz bow stop 5 Hercules Radial tires (spare has never touched ground) Bunk boards and carpet replaced in 2015 Welded bow stop Fulton 2-speed winch 3200-pound load capacity Bearing buddies, seals, and bearings replaced in 2016 Brake pads replaced in 2016 Video of boat running on October 29, 2016 available upon request. I am also throwing in 6 big blue bumpers, blue docking lines, fire extinguisher. I also have a two person cockpit Style tube with 2 tow ropes that might go with sale.",190,5919920790,,21,,Yamaha,,SX210,$26900,power, (St. Peters MO),2011 Yamaha SX210 for sale.... Motivated seller,https://springfield.craigslist.org/boa/5919920790.html,2011
9,,"['36.971399', '-93.229465']",2016-12-20 14:59,"BIGGEST KAYAK AND CANOE SALES EVENT OF THE YEAR NOW THROUGH DEC 31st. OVER 1900 new, used, demo and blem KAYAKS and canoes to choose WITH OVER 220 different models and OVER 110 different colors on hand now. Solo kayaks, recreation kayaks, fishing kayaks, pedal kayaks, white water kayaks, tandem kayaks, touring kayaks and more. Free hull repair for life on all new kayaks Only 5.975% sales tax BIGGER SELECTION, BETTER PRICES, BETTER SERVICE THAN ANY BOX STORE IN THE AREA!!! OZARK MOUNTAIN TRADING COMPANY 4381 Selmore Rd Ozark, Mo CALL 417-485-3219",,5927284107,36.971399,10,-93.229465,,"https://maps.google.com/maps/preview/@36.971399,-93.229465,16z",,$299,human, (Ozark),YEAR END KAYAK/CANOE SALES EVENT,https://springfield.craigslist.org/bod/5927284107.html,
