,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.715638', '-94.812012']",2016-12-19 21:26,Lightly used Hangkai 3.5 outboard motor used once for duck hunting stored in shed I bought it on amazon (no title) looking for 200 OBO or trade a different motor something smaller for a canoe (such as a trolling motor) ~Text for more pictures~,2,5926346983,39.715638,0,-94.812012,Hangkai,"https://maps.google.com/maps/preview/@39.715638,-94.812012,16z",,$200,power,,Hangkai 3.5 Motor,https://stjoseph.craigslist.org/boa/5926346983.html,2016
1,new,[],2016-12-19 11:02,"NEW ALUMA CRAFT BOATS ON SALE! NEW EVINRUDE OUTBOARDS HAVE 10 YEAR FACTORY WARRANTY! AN ENGINE TO DEPEND ON, SWELL AFTER SWELL! E-TEC G2 THE OUTBOARD OF THE FURURE 150HP-300HP E-TEC THE ONE THAT STARTED IT ALL 15HP-250HP PORTABLES- PONTOON SERIES- JET SERIES-MULTI FUEL MODELS! EXCLUSIVE COLOR PACKAGES- COME SEE FOR YOUR SELF THE DIFFERENCE! WILL BE AT THE CEDAR RAPIDS SPORTS SHOW FEBRUARY HOPE TO SEE YOU THERE!",,5909783897,,25,,ALUMACRAFT/EVINRUDE,https://maps.google.com/?q=loc%3A+%31%30%31+E+%38TH+ST+at+HWY%23%31+SOLON+MO+US,,,power,,**NEW ALUMACRAFT BOATS & EVINRUDE MOTORS**,https://stjoseph.craigslist.org/boa/5909783897.html,2017
2,,"['39.707600', '-94.867700']",2016-12-19 08:22,"Nice 14 Ft V-bottom Boat With Trolling motor clear titles to both the trailer and boat, new trailer hitch on trailer $500 o.b.o",,5925281798,39.707600,14,-94.867700,,"https://maps.google.com/maps/preview/@39.707600,-94.867700,16z",,$500,human, (St joseph mo),14 Ft V-bottom Boat,https://stjoseph.craigslist.org/boa/5925281798.html,
3,,,2016-12-17 19:11,"RXT has 35 hours and GTX has 31 hours.  I am also including Sea Doo covers for both, four life vests, Tatoo wakeboard, extra keys, including instructional keys, and all manuals. These skis have never been tied to docks, so they do not have scratches. We only put 6 hours on both last year and need the storage space in my garage.",,5920622745,,10,,,,,$3000,power,,_-_&^&_-_2005 Sea Doo RXT & GTX Like New JetSkis with Trailer_-_&^&_,https://stjoseph.craigslist.org/boa/5920622745.html,
4,excellent,"['40.361196', '-94.730301']",2016-12-15 12:23,I'm selling my 2050 Bayliner Capri cx. It's a great reliable boat and very clean. It has the 5.0 V8 mercruiser inboard outboard which is also very clean and has plenty of power to pull a skier or wake boarder loaded down Always been stored inside and well taken care of. *no I do not need any help selling*,,5920590223,40.361196,21,-94.730301,Bayliner,"https://maps.google.com/maps/preview/@40.361196,-94.730301,16z",2050 Capri cx,$6800,power, (Maryville),21' bayliner Capri cx,https://stjoseph.craigslist.org/boa/5920590223.html,2000
5,good,,2016-12-13 12:14,"1996 Bayliner - $4500 (Cameron) condition: new 40th Anniversary 1700LS Capri V-Bottom Bowrider/ 120 HP Mercury/ Force, 4 cylinder, 2 stock Engine w/ spare prop/ Electro Hydraulic manual touch tilt trim. EZ-Loader Galvanized trailer. Depth & fish finder, speed & RPM indicators, removable shade awning, Brand new fiber glassed floor & foam filling. Needs seats installed and it is ready for the lake. We are the only owners",,5917805562,,19,,Bayliner,,,$4500,power, (Cameron),1996 Bayline boat & trailer,https://stjoseph.craigslist.org/boa/5917805562.html,
6,good,,2016-12-12 20:28,1963 razorback semi v boat with trailer boat motor and motor is 18 hp even rude runs great! 17 mph on lake. 30lb thrust trolling motor new this spring with battery same age. 72 watt led light bar very bright. New this spring gas tank navigation lights fire ex. Fishing ready! Throw in another motor for the price with 15 hp evinrude needs pull rope and prop.,,5917045700,,14,,,,,$1500,power, (Gower),1963 razorback semi v boat,https://stjoseph.craigslist.org/boa/5917045700.html,
7,,,2016-12-11 10:46,1985 bass tracker with 35hp mercury outboard and trailer. New water pump carb kit injectors and fuel line put in last year $2000,,5914877426,,15,,Lowe,,Bass Tracker,$2000,power, (Maryville),Boat for sale,https://stjoseph.craigslist.org/boa/5914877426.html,1985
8,good,,2016-12-08 16:17,15' flat back canoe. 40 inches wide and VERY stable. Have a 3.3 Merc or a 55lb thrust trolling to go with it for 750$. I would consider trades for two nice kayaks or a nice tandem kayak. Trailer NOT included.,,5897550324,,15,,Old Town,,Predator SS 15.0,$600,human, (Saint joseph),Old Town Canoe,https://stjoseph.craigslist.org/boa/5897550324.html,
9,,"['40.343400', '-94.873500']",2016-12-08 10:37,"1986 renken 20 foot. 350 omc out drive and motor replaced 2 years ago. 4 in through hull exhaust new carpet and most seats have been rebuilt. Comes with vinyl and new in floor fuel tank. And new trailer tires. For more info call Adam, show contact info $4200 obo, CASH ONLY, NO TRADES, CALLS ONLY!!",,5910805770,40.343400,20,-94.873500,,"https://maps.google.com/maps/preview/@40.343400,-94.873500,16z",,$4200,power, (Maryville),1986 Renken 20ft Boat,https://stjoseph.craigslist.org/boa/5910805770.html,1986
10,excellent,"['40.270500', '-96.743500']",2016-12-04 09:49,"For sale is a 14 foot flat bottom fishing boat.  It has new carpeted floors, new seats, new battery, new navigation lights, new fish finder, comes with a 10 hp Mercury outboard motor, the whole boat was stripped and powder coated inside and outside.  Has a 40 lb foot control trolling motor.  For more information call or text Kyle show contact info I don't need help selling it, I don't respond by email, no PayPal payments Thanks for looking!",,5871761923,40.270500,14,-96.743500,,"https://maps.google.com/maps/preview/@40.270500,-96.743500,16z",,$1900,power, (Beatrice),14 foot flat bottom fishing boat,https://stjoseph.craigslist.org/boa/5871761923.html,
11,,"['39.734000', '-94.817100']",2016-12-01 14:49,This is a 26 foot pontoon boat with an oil injected 2 stroke 115 HP Evinrude outboard on the back which easily pushes this boat along nicely up to 30MPH. It can pull a tube or two and still has enough oomph to carry several people.,,5861470545,39.734000,26,-94.817100,,"https://maps.google.com/maps/preview/@39.734000,-94.817100,16z",,$8950,power,,Magic 2000/26.6 JC Pontoon Boat Party Barge,https://stjoseph.craigslist.org/boa/5861470545.html,2000
12,,[],2016-11-28 10:45,"Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. 2016 LOWE PRO SIDE CONSOLE FM165 W/ 90HP MERCURY FOUR STROKE.  COMES WITH: FOUR FOLD DOWN FISHING SEATS MOSSY OAK SHADOWGRASS 20 GALLON AERATED LIVEWELL @ BOW 19 GALLON RECIRCULATING LIVEWELL ELITE 3X FISHFINDER PAINTED SINGLE AXLE TRAILER W/ SWING TONGUE MOTORGUIDE X3 45# 12 V TROLLING MOTOR 7' LOCKING CENTER ROD LOCKER 7' LOCKING STARBOARD ROD LOCKER Financing available with approved credit, we take trades, call us today! Dealership show contact info After hours call: Bryan show contact info Brad show contact info * may be pictured with optional equipment",,5862325702,,17,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2016 LOWE FM165 W/60HP MERCURY 4STROKE,https://stjoseph.craigslist.org/bod/5862325702.html,
13,,[],2016-11-28 10:44,"Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. IN STOCK NOW!!!  HERE'S A 2017 LOWE ST175 POWERED BY A 60HP MERCURY 4 STROKE ENGINE THAT IS SMOOTH, QUIET AND DOES NOT BURN MUCH GAS. COMES WITH: 2 BAITWELLS WITH MINNOW BUCKETS MINNKOTA EDGE 45# 45"" 12V TROLLING MOTOR OPTION (2) FISHING SEATS w/PEDESTALS BOW 3 ACROSS SEATING 23 GALLON BOW AND STERN AERATED LIVEWELLS LOCKING PORT 7'6"" ROD LOCKER PAINTED SINGLE AXLE TRAILER HOOK 3X LOCATOR TILT STEERING OPTION RECESSED TROLLING MOTOR PEDAL OPTION RECIRCULATING PUMP FOR STERN LIVEWELL RATCHET COVER OPTION SPARE TIRE OPTION FINANCING AVAILABLE.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info **may be pictured with optional equipment",,5862395222,,18,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2017 LOWE ST175 W/60HP MERCURY FOUR-STROKE,https://stjoseph.craigslist.org/bod/5862395222.html,
14,,[],2016-11-28 10:44,"Superior handling and easy-to-use angling features make the Sport Fish 194 the top entry-level fishing pontoon boat for active families. From the stern rod rack to the pedestal fishing seats and every inch of comfy lounge seating in between, this pontoon delivers huge fishability and fun at an unbeatable value. Discover the joy of getting into a new Lowe pontoon boat that's as perfectly equipped for anglers to take their fishing buddies out as it is for spending weekends on the water with the family.  IN STOCK NOW 2017 LOWE SF194 W/ 90HP MERCURY COMMAND THRUST COMES WITH: Standard Features: * Heavy-duty 4 step boarding ladder * Round pedestal table * 4 pedestal fishing seats * Forward aerated livewell * 13 gallon bow aerated livewell * Jensen stereo w/ speakers * 3 Angled stern rod holders w/ 2 cup holders Upgraded Features: * Full vinyl floors * Custom reclining helm seat * Heavy duty bimini top * Wavertamer w/ lifting strakes * Full vinyl floor * Full cover * Painted tandem trailer w/ disc brakes * Standard ski tow FINANCING AVAILABLE.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info *Boat may be pictured with optional equipment",,5862455831,,19,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,**FULL VINYL** 2017 LOWE SF194 W/90HP MERCURY COMMAND THRUST,https://stjoseph.craigslist.org/bod/5862455831.html,
15,,[],2016-11-28 09:05,"Spacious, comfortable and well equipped, the Lowe Stinger 195 is a multi-species fishing champ that exceeds all expectations. Designed with the movement of a fisherman in mind, this vessel was created for maximum angling space and huge capability. Two livewells, including a 23-gallon aerated livewell in the bow, make sure your catches stay fresh, while a Lowrance Hook 3x fishfinder provides the technology to help find them. A convenient side console helm layout with 3-across seating provides for easy navigation and comfort for you and your passengers. And thanks to the Lowe lifetime limited warranty and award-winning customer satisfaction, you can count on this mod-V fishing machine for many years to come. HERE'S A 2017 LOWE ST195 W/ 115HP MERCURY FOUR STROKE.  FEATURES INCLUDE: All-aluminum construction Heavy-duty extruded one-piece center keel Pro Trac™ mod-V hull 16 oz. charcoal marine carpet 19-gallon built-in fuel tank Console w/ tinted windshield & soft-grip wheel Plug & play instruments (tack, speed, fuel & trim) Switch panel w/ tip lit toggle switches Motorguide X3 45 12V trolling motor Tilt steering option Jensen Stereo and 2 speakers option Recessed trolling motor foot pedal option 2 bank battery charger option 23-gallon stern aerated livewell & baitwell w/ minnow bucket Recirculating pump for stern livewell option Baitwell w/ minnow bucket Driver and passenger seats, center seat w/ step, and 2 pedestal fishing seats w/ bases Locking 8' port and 6'6"" starboard rod lockers Single axle trailer w/ swing tongue and steel fenders & step boxes Dual bank battery charger option Elite 3x fishfinder Spare tire FINANCING AVAILABLE.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info **may be pictured with optional equipment",,5862580603,,20,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,**NEW GRAPHICS** 2017 LOWE ST195 W/115HP MERCURY FOUR STROKE,https://stjoseph.craigslist.org/bod/5862580603.html,
16,,[],2016-11-28 09:05,Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. GET IT WHILE YOU STILL CAN! HERE IS AN AWESOME 2016 LOWE CAT 20 IN MOSSY OAK BREAKUP THAT COMES LOADED WITH THE FOLLOWING: MOSSY OAK BREAKUP HUGE 60 GALLON RECIRCULATING BOW LIVEWELL OPTION MINNKOTA EDGE 70# TROLLING MOTOR REAR BAITWELL CATFISH ROD RACK OPTION CENTER SEAT OPTION WASH DOWN SPRAY HOSE SYSTEM (2) PEDESTAL FISHING SEATS OPTION 3 ACROSS BOW PEDESTAL SEAT BASES BOW LIVEWELL DIVIDERS FULL INSTRUMENTATION 12v POWER RECEPTACLE ALUMINUM SINGLE AXLE TRAILER w/BRAKES AND L.E.D. LIGHTING READY FOR THE ELECTRONICS OF YOUR CHOICE FINANCING AVAILABLE......WE TAKE TRADES!!! DEALERSHIP show contact info AFTER HOURS CALL: BRYAN show contact info BRAD show contact info **may be pictured with optional equipment,,5862286447,,20,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2016 LOWE CAT20 W/115HP MERC 4S,https://stjoseph.craigslist.org/bod/5862286447.html,
17,,[],2016-11-28 09:05,"Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. Enjoy incredible performance and lasting value with the Roughneck 1860 SC. Like every Lowe Roughneck, the 1860 SC is built to exacting commercial-grade standards, with a variable-deadrise V-hull that provides the ultimate smooth, dry ride. You're in control with a convenient side console layout that offers an intuitive helm station, so operation is flawless. You'll never need another way onto the water once you've commanded a Lowe Roughneck. Standard Features: Forward Aerated Livewell Bow Aerated Livewell (23 gallon) 19 gallon fuel tank Folding driver & passenger seats Rod locker Port rod storage Bow & Rear deck pedestal base Bilge pump & aerator pump Upgraded Features: Windscreen option 2 Folddown seats option Rough liner spray in floor liner option Universal port rod & gun box storage FINANCING AVAILABLE AND TRADE-INS WELCOME.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL: BRAD show contact info BRYAN show contact info **May be pictured with optional equipment",,5862330763,,19,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2016 LOWE RX18SC W/90HP MERCURY 4S,https://stjoseph.craigslist.org/bod/5862330763.html,
18,excellent,[],2016-11-26 09:09,SUPER CLEAN 98 CHAPARRAL!!!  BEST PRICE ON A CLEAN 25 FOOT BOAT I'VE SEEN IN A LONG WHILE,768,5892853971,,25,,Chaparral,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,252 SUNESTA,$22900,power, (Osage Beach),"1998 Chaparral 252 SUNESTA, BIG BLOCK 7.4",https://stjoseph.craigslist.org/bod/5892853971.html,1998
19,good,[],2016-11-25 12:23,THIS IS A COOL LITTLE BOAT WITH LOTS OF CHARACTER!!!! HAS A TOWER WITH WAKE BOARD RACKS AND FULL BIMINI!!!! LOTS OF STOWAGE COME CHECK IT OUT BEFORE IT'S TO LATE!!!!,,5891783686,,21,,Chaparral,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,204 SSi,$19995,power, (Osage Beach),2004 Chaparral 204 SSi,https://stjoseph.craigslist.org/bod/5891783686.html,2004
20,good,[],2016-11-25 12:02,SMALL CUDDY CRUISER! WE JUST TRADED. NICE CRUISER FOR A FAMILY. COME CHECK IT OUT.,397,5891772855,,25,,Four Winns,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,258 Vista,$19995,power, (Osage Beach),"1998 Four Winns 258, Pocket Cruiser",https://stjoseph.craigslist.org/bod/5891772855.html,1998
21,excellent,[],2016-11-25 11:51,"VERY CLEAN! COME CHECK IT OUT! WE JUST TRADED FOR THIS 1991 SEA RAY. THIS BOAT HAS BEEN WELL CARED FOR. DON'T MISS OUT. Specs Condition Used Manufacturer Sea Ray Model Year 1991 Model 230 Price $14,900.00* Color White Stock Number B785 Measurements Length (feet) 23 Body Hull Type Deep Vee Hull Material Fiberglass Engine & Drivetrain Engine Make 7.4 Fuel Type Gas Drive Type I/O",,5883671490,,23,,Sea Ray,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,230 Cuddy,$14995,power, (Osage Beach),"1991 Sea Ray 230, 7.4 L, Cuddy Cabin",https://stjoseph.craigslist.org/bod/5883671490.html,1991
22,excellent,[],2016-11-25 11:50,"NOBODY GETS LEFT ON THE DOCK WITH THIS BOAT!!! WELL LAID OUT! LOTS OF SEATING. NICE BOAT, LAID OUT WELL, COME TAKE A LOOK AND BRING THE FAMILY. Condition Used Manufacturer Crownline Model Year 2004 Model 288 BR Price $39,900.00* Color Maroon Hours 440 Length (feet) 28 Engine Make 496M Horsepower 375 Fuel Type Gas Drive Type I/O",440,5883680599,,28,,Crownline,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,288 Bow Rider,$39995,power, (Osage Beach),"2004 Crownline 288 Bow Rider, LOTS OF BOAT",https://stjoseph.craigslist.org/bod/5883680599.html,2004
