,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 19:27,2002 Bayliner Rendezvous 2159DD in excellent condition has the mercruiser 5.0 spot for a cooler and a port a potty on board asking $12000.00,,5904764939,,21,,Bayliner,,Rendezvous 2159DD,$12000,power, (Mexico),2002 Bayliner Rendezvous 2159DD,https://stlouis.craigslist.org/boa/5904764939.html,2002
1,,,2016-12-20 19:15,"48 "" Bottom 70"" Beam 100 Gauge Aluminum Stout All Welded Boat Running Lights Auto Bilge Pump New Led Taillights New Tires & Wheels Always Stored Inside If interested please call-618-3two8-83two5",,5910120169,,14,,,,,$1600,power, (Grafton),14 Ft Roughneck Flatboat & Trailer,https://stlouis.craigslist.org/boa/5910120169.html,
2,,"['38.801400', '-90.506500']",2016-12-20 19:10,"SEADOO  AND OTHER PWC SEATS  RECOVERED!!! $100 2 SEATERS  ---$125 3 SEATERS!!! MARINE GRADE VINYL , STAINLESS STAPLES!!!! show contact info !!!  STRAPS 1$15  FOAM WORK EXTRA DEPENDING ON FOAM DAMAGE.   GOLF CART SEATS WELCOME $100 FRONT BOTTOM AND SEAT BACK!!!",,5927584530,38.801400,102,-90.506500,,"https://maps.google.com/maps/preview/@38.801400,-90.506500,16z",,$100,power, (ST. CHARLES),PWC SEATS RECOVERED!!!,https://stlouis.craigslist.org/boa/5927584530.html,
3,,"['37.273500', '-92.518100']",2016-12-20 18:57,"Various styles and sizes! We have many different sizes and years available, prices starting at $450 and up Our inventory changes frequently, so pictures may not show all of what we have available. Feel free to call for details and availability. Contact Winston at show contact info for details and prices. Phone calls only please, will not respond to texts",,5899900135,37.273500,1,-92.518100,various,"https://maps.google.com/maps/preview/@37.273500,-92.518100,16z",,,power,,BOAT TRAILERS,https://stlouis.craigslist.org/boa/5899900135.html,
4,,"['37.262031', '-92.513123']",2016-12-20 18:56,"2005 Road King aluminum tandem axle boat trailer *27 ft. from coupler to end of bunks-trailer should haul 20 ft. to 24 ft. boat with no problem *Torsion 3500 lb axles with surge disc brakes, combined capacity 7000 lb *Chrome wheels with brand new tires *Heavy duty winch *Heavy duty adjustable bunks *5000 lb jack *2 inch trailer coupler *New LED lights *Trailer was hauling a 22 ft. Rinker *Title in hand $2750 or best reasonable offer phone calls only please anytime @ show contact info will not respond to texts",,5915154415,37.262031,27,-92.513123,ROAD KING,"https://maps.google.com/maps/preview/@37.262031,-92.513123,16z",,$2750,power, (LEBANON MO AREA),ALUMINUM 2005 ROAD KING TANDEM AXLE BOAT TRAILER,https://stlouis.craigslist.org/boa/5915154415.html,2005
5,excellent,"['38.976600', '-91.121100']",2016-12-20 18:36,2006 seadoo txt 215 90 hrs all aftermarket parts on bike great condition. 5500 obo fast has bigger supercharger cold air water box delete steel washers oil catch can. Just put $3000 in it to build it up This is a fast bike you will not be beat. Maintain by a r and d ex seadoo tech.,90,5913112993,38.976600,10,-91.121100,Seadoo,"https://maps.google.com/maps/preview/@38.976600,-91.121100,16z",Rxt,$5500,power,,2006 seadoo txt 215 built up,https://stlouis.craigslist.org/boa/5913112993.html,2006
6,,"['38.823900', '-90.742700']",2016-12-20 18:32,PONTOON BOAT NO TRAILER NO TITLE Deck surface is 4'x16' Pontoons are 20' long $500 firm,,5915040284,38.823900,18,-90.742700,,"https://maps.google.com/maps/preview/@38.823900,-90.742700,16z",,$500,human, (ST CHARLES MO),PONTOON BOAT,https://stlouis.craigslist.org/boa/5915040284.html,
7,,"['38.501500', '-90.468300']",2016-12-20 18:28,"I have a nice 17ft 2012 blazer flat bottom boat with a 2011 4 storke  mercury 60/40 jet. Always garaged. I have a bimini top, stereo, 2 live wells, trolling motor, front storage. Has 4 seats and front/back carpet deck and nice aluminum flooring. Also has spot for fishing seats on the decks. The trailer is a 2012 with spare tire. Runs great. Don't need to sell so no low ballers and no trades.",,5923203499,38.501500,17,-90.468300,Blazer,"https://maps.google.com/maps/preview/@38.501500,-90.468300,16z",,$12000,power,,2012 blazer jet boat,https://stlouis.craigslist.org/boa/5923203499.html,2012
8,,"['38.925900', '-90.386300']",2016-12-20 17:20,"I have for sale a 1976 formula thunderbird , it has a 351 ford, mercruiser lower unit runs good, its in decent shape for its age , has a easy loader trailer ,folding top, may trade for a utv or a gas golf cart,or a Harley?  Need gone '",,5898248576,38.925900,23,-90.386300,Thunderbird,"https://maps.google.com/maps/preview/@38.925900,-90.386300,16z",formula,$1500,power, (portage des sioux),1976 Formula Thunderbird,https://stlouis.craigslist.org/boa/5898248576.html,
9,good,"['38.737800', '-90.623400']",2016-12-20 17:20,This is a great starter boat. 17 foot Nitro with a 2 stroke 90 Mercury. On board charging system for trolling motor and starter battery.Two live wells and plenty of storage. New cover. Newer tires on trailer with a new axle summer of 2016. Fair price at $3000. Check it out on NADA.,,5927468501,38.737800,17,-90.623400,Nitro,"https://maps.google.com/maps/preview/@38.737800,-90.623400,16z",,$3000,power, (St. Charles),1994 Nitro,https://stlouis.craigslist.org/boa/5927468501.html,1994
