,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['45.882761', '-108.505818']",2016-12-20 18:11,"Freedom Hawk Pathfinder Stand Up Fishing Kayak. 12'3"" long, 31"" wide. Forest camo color. This kayak comes in three pieces that fit together to form one kayak. Easy to assemble, light weight with the main body weighing 68 lbs. The pontoons can be placed in 3 different positions for stability and ease of paddling, closed mode for easiest paddling, the inline mode provides stability and paddling efficiency, Y mode provides maximum stability. Comes with removable casting brace that aides in standing up and casting. Large storage in all three parts with waterproof lids. Stores rods & reels, life vest etc. I've added an electric motor mount and set up to use a fish finder on the casting brace, anchor trolly, paddle keepers and anchor rope tie off. I've only owned this kayak for 4 months and is in excellent condition.",,5888865554,45.882761,12,-108.505818,Jackson,"https://maps.google.com/maps/preview/@45.882761,-108.505818,16z",Freedom Hawk Pathfinder,$1700,power, (Billings Heights),Fishing Kayak,https://billings.craigslist.org/boa/5888865554.html,2016
1,like new,,2016-12-20 08:43,"Winter Special! : ) I have for sale a nearly new Colorado Personal Pontoon boat. I used it once a few summers ago and havent had it in the water since. I made one trip down the Stillwater and thats it. Everything is in great condition. The pontoons hold air and there are quite a few storage pouches. Has ample storage behind the seat as well for a cooler, tackle box, or even batteries for a motor. There is also a plate to mount a small motor to this if desired. I just havent had time to use this like I thought I would. Kids keep me pretty busy. : ) Like I said, this thing is almost like brand new. Im asking $300 or best offer. These boats sell for $400+ new. My loss is your gain. Local inquiries only please. I will not ship or deliver this boat outside of 30 miles from my home. CASH ONLY!!! No checks, money orders, wire transfers, or IOU's. If you dont have the cash, then dont even bother. As mentioned, im asking $325 obo. Thanks for looking. Please feel free to email any questions or to setup time to purchase this nearly new, fun little boat.",,5923681242,,12,,Colorado,,Personal Pontoon,$300,human, (Billings),Colorado Personal Pontoon Boat,https://billings.craigslist.org/boa/5923681242.html,
2,like new,,2016-12-20 06:40,"Boat, 1999 Lund 1850 Tyee  with 2010 Shorelander Tandem Axle Trailer. New Minkota 80/US2-6. New Three Bank Charging System. 175 hp Yamaha and 8 hp Yamaha kicker. All in like new condition. Lots of Extras.",,5923405959,,19,,Lund/Lund,,Tyee/1850,$19000,power," (Mcallister, MT)","Lund 1850 Tyee, 1999",https://billings.craigslist.org/boa/5923405959.html,1999
3,excellent,,2016-12-19 14:31,"1988 Lund Tyee 5.3 17 foot with shorelander trailer. 1998 Mercury optimax 150 on back with two stroke. Fish finder, dual livewells, really nice solid boat",,5901197741,,17,,Lund,,Tyee,$5995,power, (Billings),1988 Lund boat w 1998 150 opti,https://billings.craigslist.org/boa/5901197741.html,1988
4,good,"['45.669300', '-111.043100']",2016-12-19 07:28,"Wooldrdige 18' Sport with 135 HP Honda and 9.9 HP Honda with EZ load trailer. The boat has a full awning with top, side and rear curtains, anchor and trailer spare. Interior is in excellent shape.  Custom made Montana Canvas boat cover.  Lowrance HDS5 Gen 2 fish finder http://www.lowrance.com/en-US/Products/Manual-Product-Listings/Series-HDS/HDS5-en-us.aspx.",,5925288325,45.669300,18,-111.043100,Wooldridge,"https://maps.google.com/maps/preview/@45.669300,-111.043100,16z",Sport,$23000,power, (Bozeman),Wooldridge Sport,https://billings.craigslist.org/boa/5925288325.html,2006
5,,"['45.674500', '-108.769000']",2016-12-18 11:23,"1979 16 ft bass tracker boat for sale new carpet, new seats, freshly rewired 40 hp mercury outbourd comes with trailer, ready to run this spring!! can text pix if interested please call show contact info thanks, Brandon.",,5924385263,45.674500,16,-108.769000,,"https://maps.google.com/maps/preview/@45.674500,-108.769000,16z",,$4000,power, (Laurel),*** BASS TRACKER ***,https://billings.craigslist.org/boa/5924385263.html,
6,,,2016-12-18 10:34,"14' Jonboat, 48"" wide. Good condition. Includes trailer, new tires and spare. I have clean titles for both boat and trailer. Please text or call. Cash only. Pick up in person only.",,5890610211,,14,,Lowe,,,$1000,power, (Sheridan),14' Lowe Jon boat,https://billings.craigslist.org/boa/5890610211.html,
7,excellent,"['45.614034', '-108.386684']",2016-12-17 10:59,"Monsoon 6.2L 410 lbs of torque, High Altitude/Torque prop, Surf Gate, Power Wedge II, heater with 2 outlets, hot water shower, pop up bow light, docking lights, transom lights, tower lights, 1 pair of wetsounds 6x9 tower speakers with tower amp, 1 pair of tower spinner racks, rear left and right hard ballast with plug and play to 2 750lb FlyHigh bags, midship ballast, and bow ballast, zero off cruise control, tower mirror mount with PTM Edge mirror, snap in/out carpet, cockpit table, dual batteries, ski pylon, boat cover with fuel fill pockets, bimini top, winter storage cover, spare tire with carrier, still under warranty until April of 2018. This boat is quite loaded, please let me know if you are interested via email or phone call at eight6one-three3two2. Thanks, Tim",,5904240335,45.614034,23,-108.386684,Malibu,"https://maps.google.com/maps/preview/@45.614034,-108.386684,16z",Wakesetter 23 LSV,$83999,power," (Billings, MT)",2014 Malibu Wakesetter 23 LSV,https://billings.craigslist.org/boa/5904240335.html,2014
8,,,2016-12-16 10:19,"Much more info on this boat on our web site,  go to : lovell.midwayautoandmarine.com Hard to find a V-drive surf/wake boat for this price, in this condition!!  Get us a deposit fast or you will miss it!!  Comes with warranty, professionally checked out and ready to go.  Ask about Free delivery. All boats come with warranty!! We take trades! we can handle all the financing! Go directly to our Midway web site for much more info and pictures. lovell.midwayautoandmarin.com We Buy Boats!! 307-548-7571 - Days After hours: (Call or Text) Kenny 307-272-4998 Jason 307-272-5765 Bruce 307-272-5255 Bayliner, Glastron, Reinell, Crownline, Sea Ray, Sea Doo, Yamaha, Larson, Blue Water, Caravelle, Chaparral, Maxum, Regal, Starcraft, Stingray, Tige, Centurion, Nautique, Mastercraft, Supreme, Supra, Moomba, Avalon, Palm Beach, Premier, Sedona, Smockercraft,",,5921813423,,1,,,,,$26975,power, (Nationwide delivery),"2003 Centurion Cyclone C4, Surf/Wake boat",https://billings.craigslist.org/bod/5921813423.html,
9,,"['44.523100', '-109.075600']",2016-12-15 22:43,"Very nice 23ft Malibu XTI. Direct drive that has 3 built in ballast tanks, perfect pass, nice stereo system and much more. The previous owner didn't winterize in time and crack the engine block, so the brand new engine only has about 100 hours on it. Great family boat that runs great and will give you lots of enjoyment for many years to come.",,5905573971,44.523100,23,-109.075600,Malibu,"https://maps.google.com/maps/preview/@44.523100,-109.075600,16z",XTI,$34500,power, (Cody),2004 23XTI,https://billings.craigslist.org/boa/5905573971.html,
10,,"['45.614034', '-108.386684']",2016-12-15 21:27,1972 Duo boat come with the trailer and a 85 horse Chrysler engine. Both the boat and trailer have bill of sales! Want gone! show contact info,,5921292217,45.614034,16,-108.386684,,"https://maps.google.com/maps/preview/@45.614034,-108.386684,16z",,$400,power,,1972 Duo 16' Boat,https://billings.craigslist.org/boa/5921292217.html,
11,excellent,,2016-12-13 16:01,"2014 Wooldridge Alaskan XL Sport Jet. The boat was custom ordered 18' 10'' long with a 76'' bottom. The 200hp Mercury Sport Jet has around 87 hours and runs excellent. The boat has a folding top with side curtains and a back drop curtain, travel cover, suspension front seats, 42'' bench seats that turn into a bed, wash down pump, two batteries with select able switch, Zolatone paint on top half of boat, stomp grate, 3/4 swim deck with under mount boarding ladder, kicker mount, 3100# torsion axle trailer with electric over hydraulic disk brakes with slick bunks, spare tire, Garmin GPS/depth finder, 52 gallon fuel tank. The boat handles excellent and carries a lot of weight, top speed is around 40 mph depending on the load. Excellent condition, a few scratches but all minor, I wash the boat and flush the motor after each use. The boat new is $60K, asking $47,000. Willing to help with delivery if needed. I am selling because I am upgrading to a different boat.",87,5918255631,,18,,Wooldridge,,Alaskan XL,$47000,power, (Billings),2014 Wooldridge Alaskan XL Sport Jet,https://billings.craigslist.org/boa/5918255631.html,2014
12,,"['45.494100', '-108.992200']",2016-12-12 18:59,"Just 7 Miles from Cooney Dam, Why pull your Toys back home leave them in your TOY BOX...You Paid a lot of Money for your Toys, Why let weather kill your investment. Security fence with key pad gate and 24 Security cameras. ONLY Secure Storage units in Carbon County. Your Toys are in good hands.... Leave it at Toy Box out door storage is only 35.00. WE ONLY HAVE ONE 14 x 40 Left SO CALL Soon IF YOU WANT YOUR BOAT OR RV OUT OF THE WEATHER THIS WINTER ONLY 120.00 EACH MONTH we have Three 10x40 that will work for most boats for only 100.00 each month. Go to wwwtoyboxboatandrv.com or call 406-962-988five",,5917016359,45.494100,40,-108.992200,,"https://maps.google.com/maps/preview/@45.494100,-108.992200,16z",,,power,,Toy Box Boat and RV Storage,https://billings.craigslist.org/boa/5917016359.html,
13,good,,2016-12-12 10:12,"Great boat for fishing includes 6 hore Suzuki outboard and Minkota Elect. Troller, 3 gallon feul tank, plus two pedestal seats and pole holders. Also have life jackets. Trailer is equipt with bearing buddies and a new winch pulley. Everything runs and works great. I have titles in hand. Surprise someone with great boat for Christmas $1200 obo.",,5916229515,,12,,Sears,,,$1200,power, (Billings),Aluminum Boat 12ft,https://billings.craigslist.org/boa/5916229515.html,
14,,,2016-12-11 20:49,"For sale is a Minn Kota EnduraMax transom mount trolling motor with 55lbs of thrust and a 36"" shaft. EnduraMax ensures 5X more run time and with a built in battery meter you will always know your battery status, I've used it the last couple seasons on my 12ft Jon boat and it works flawlessly with minimal wear and tear. I will also throw in a Minn Kota transom mount lock so you can keep it secured while in transport or storage, texts and phone calls preferred and absolutely no low ballers.. 4 oh 6 three 5 oh ninety-two sixteen",,5915655553,,12,,,,,$200,power,,"Minn Kota EnduraMax 55lb/36""",https://billings.craigslist.org/boa/5915655553.html,
