,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,,2016-12-20 06:40,1999 Lund 1850 Tyee Boat with 2010 Shorelander Tandem Axle Trailer. New Minkota 80/US2-6. New Three Bank Charging System. 175 hp Yamaha and 8 hp Yamaha kicker. All in like new condition. Lots of Extras.,,5923412989,,19,,Lund/Lund,,Tyee/1850,$19000,power," (McAllister, MT)","Lund 1850 Tyee Boat, 1999",https://greatfalls.craigslist.org/boa/5923412989.html,1999
1,like new,"['47.614300', '-112.001500']",2016-12-19 13:21,"2009 Reinell Boat. One owner. Used maybe 15-20x. In great condition. In board. Low hours. Comes with 2 large (4 person) tubes, a Zup board, ropes, etc! $24,000 OBO. Books for 35k+!",,5925851308,47.614300,20,-112.001500,Reinell Bt,"https://maps.google.com/maps/preview/@47.614300,-112.001500,16z",205 LS,$24000,power, (Fairfield),2009 Reinell boat,https://greatfalls.craigslist.org/boa/5925851308.html,
2,good,"['47.305271', '-111.289198']",2016-12-18 16:01,I have a 1976 baja 14ss boat. 65 hp mercury outboard.  Pretty good condition for its age. As far as I can tell it just needs a coil. Comes with boat cover as well.  1200.00 obo. Call or text aaron @four 0six 799-7530,,5893634575,47.305271,14,-111.289198,Baja,"https://maps.google.com/maps/preview/@47.305271,-111.289198,16z",14ss,$1200,power, (great  falls),1976 baja 14ss,https://greatfalls.craigslist.org/boa/5893634575.html,1976
3,excellent,"['47.305271', '-111.289198']",2016-12-17 20:29,"Looks good, runs good, low operating hours, reliable, 17 ft, runabout, ski or fish, all systems work, has  majority of life stored inside,ski's and / or rod storage,lots of storage, walk through-open bow, 150 hp inboard, trolling plate, trolls to 2 mph and runs 45 mph +, includes anchor and rope, ski's and rope, new travel / storage cover plus complete front to back custom snap on covers ( stern,   side curtains, convertible top and bow )deep v hull, stable, good trailer and tires, led trlr lites, new trailer belt on load winch, 25 gallon gas, weighs only 1100 lbs. ice storage compartmts, seats 7, fold down lounge  seats, foam insul ( non-sink ), lowrance fish / depth locator. Very nice older boat.",100,5911365674,47.305271,17,-111.289198,Glastron,"https://maps.google.com/maps/preview/@47.305271,-111.289198,16z",SSV 179,$4900,power, (Great Falls),pre-owned Glastron boat,https://greatfalls.craigslist.org/boa/5911365674.html,1983
4,excellent,"['47.509800', '-111.340500']",2016-12-17 17:59,"2003 hewes craft 180 sport jet .Boat has full cabin top, 175hp jet, terrova 84 pd trust troll motor, easy loader trailer w/spare tire.Boat was purchased from original owner and I have all original paper work. Boat is all aluminum and in excellent condition, always garaged and well cared for. Has new mooring cover and hummingbird fish finder, pole holder's and storage racks. This boat is very clean and looks like new.this is a great all around boat for river or lakes. Asking  $22,500obo,call(406) seven 8 eight 9 one 6 seven",,5885824344,47.509800,18,-111.340500,Hewes craft,"https://maps.google.com/maps/preview/@47.509800,-111.340500,16z",180 sport jet,$22500,power, (greatfalls),Hewes craft 180 sport jet,https://greatfalls.craigslist.org/boa/5885824344.html,2003
5,excellent,[],2016-12-17 13:36,"Motivated Seller.  Price is listed in USD.  Delivery Options from Can to US available. 5.7 L EFI Kodiak Marine Engine Hamilton 212TI 12 degree hull 80 gal fuel tank 21' length 8' beam .190 x 6' bottom .125 x 34"" sides 15hp merc 4stroke kicker TR-1 Garmin Gold Auto Pilot (Kicker) 1-Rigid LED lighting bar and 2 dually 2's River anchor (rocking chair style) Boat has worked flawless for me as the 2nd owner.  I am moving in a different direction with the next boat and need this one out of the shop.",220,5923418697,,21,,Thunder Jet,https://maps.google.com/?q=loc%3A+%36%30+ranchview+way+NE+Medicine+Hat+MT+US,Alexis Classic,$45000,power, (Medicine Hat),Thunder Jet Alexis Classic 09,https://greatfalls.craigslist.org/boa/5923418697.html,2009
6,fair,,2016-12-17 06:04,"1995 Mirage Jaguar Ski Racer with 175 HP Mercury Outboard. Runs good, 75 to 85 mph. 2 stainless steel props. Ski pole and life jackets. Interior is in good shape and I have a new roll of gray marine grade carpet for it. Needs cosmetic repairs, ( gel coat faded and minor scratches). $6900.00 OBO. Please contact me at show contact info Will consider delivery in the western states.",250,5913559085,,19,,Mirage,,Jaguar Ski Racer,$6900,power, (Great Falls),1995 Mirage Jaguar Ski Racer,https://greatfalls.craigslist.org/boa/5913559085.html,1995
7,good,"['47.509800', '-111.273400']",2016-12-16 22:18,65 hp mercury engine. No title on boat or trailer. Make offer.,,5890017889,47.509800,14,-111.273400,Larson,"https://maps.google.com/maps/preview/@47.509800,-111.273400,16z",,,power,,14 ft Larson,https://greatfalls.craigslist.org/boa/5890017889.html,
8,good,"['47.509800', '-111.273400']",2016-12-15 22:21,I am selling my 1973 sea gull 17 ft boat. It has a 50 hpJohnson. Motor runs good. I put new carpet in and started recovering the seats. The bottoms are done but the backs need to be done. Also comes with minkota trolling motor bow mount. 2 batteries 1 deep cycle and 1 cranking. Trailer has been repainted and retired. It does not have title but easy to obtain one.,,5891924492,47.509800,17,-111.273400,Sea gull,"https://maps.google.com/maps/preview/@47.509800,-111.273400,16z",,$1300,power, (Great Falls),17 ft boat,https://greatfalls.craigslist.org/boa/5891924492.html,1973
9,,"['47.305271', '-111.289198']",2016-12-14 14:55,"Were selling our like new pontoon, we used it 2 times and just don't have time for it.  everything works, has it all including dressing room, nice stereo, lots of storage.  wish we could keep but it just sits there.  20ft, beautiful interior.  paid 34,000  will let go for 28,000  call or text me at show contact info thanks steve",,5879453129,47.305271,20,-111.289198,,"https://maps.google.com/maps/preview/@47.305271,-111.289198,16z",,$28000,power, (Great Falls),2016 sylvan Pontoon,https://greatfalls.craigslist.org/boa/5879453129.html,
10,excellent,"['45.781300', '-108.572700']",2016-12-14 09:01,"2014 Wooldridge Alaskan XL Sport Jet. The boat was custom ordered 18' 10'' long with a 76'' bottom. The 200hp Mercury Sport Jet has around 87 hours and runs excellent. The boat has a folding top with side curtains and a back drop curtain, travel cover, suspension front seats, 42'' bench seats that turn into a bed, wash down pump, two batteries with select able switch, Zolatone paint on top half of boat, stomp grate, 3/4 swim deck with under mount boarding ladder, kicker mount, 3100# torsion axle trailer with electric over hydraulic disk brakes with slick bunks, spare tire, Garmin GPS/depth finder, 52 gallon fuel tank. The boat handles excellent and carries a lot of weight, top speed is around 40 mph depending on the load. Excellent condition, a few scratches but all minor, I wash the boat and flush the motor after each use. The boat new is $60K, asking $47,000. Willing to help with delivery if needed. I am selling because I am upgrading to a different boat.",87,5918993986,45.781300,18,-108.572700,Wooldridge,"https://maps.google.com/maps/preview/@45.781300,-108.572700,16z",Alaskan XL Sport Jet,$47000,power, (Billings),2014 Wooldridge Alaskan XL Sport Jet,https://greatfalls.craigslist.org/boa/5918993986.html,2014
11,excellent,[],2016-12-12 11:24,"We are selling our Ocean Kayak Zest Two tandem kayak. We have had a lot of fun with this boat. It is self bailin, very stable, handles easily, even in rough water. I have it set up for fishing with Scotty removable rod holders . This kayak has every option and I will include the Yakima Hully roller cartop carrier, Features: Two Comfort Plus seat backs Two molded-in seat wells Oversized tank well with bungee Paddle keepers Molded-in cup holders Deck bungee Side mounted carrying handles Skid plate Options: Up to 2 Oval Gaspachi Hatches (center, stern) Up to three 6"" Cam Lock Hatches (bow, center, stern) Specs: LENGTH: 16' 4.5"" | 5 m WIDTH: 30.5"" | 77.5 cm WEIGHT: 75 lbs | 34 kg BOW SEAT WIDTH: 19"" | 48.2 cm STERN SEAT WIDTH: 18"" | 45.7 cm BOW LEG LENGTH: 47"" | 119.4 cm STERN LEG LENGTH: 49"" | 124.5 cm MAX CAPACITY: 500-600 lbs | 226.8-272.2 kg SUGGESTED RETAIL: $1099.99 USD Seating: Tandem Seating Icon - Zest Two Exp Also included in sale Scotty Rod Holders Yakima Kayak Carrier Paddles Life Jackets Scupper Stoppers",,5906463528,,16,,Ocean Kayak,https://maps.google.com/?q=loc%3A+%33%35+Scenic+Valley+Ln+Cascade+MT+US,Zest 2 EXP,$550,human, (Dearborn),Ocean Kayak tandem kayak,https://greatfalls.craigslist.org/boa/5906463528.html,
12,good,,2016-12-11 13:36,"1993 Skeeter Bass Boat 2010 Mercury out Board 225 with Skeeter Trailer 1993 Trolling motor 2 fish finders $10,500.00 OBO or Trade? no texting",325,5879442380,,19,,Skeeter,,200-sx BT,$10500,power, (ST Ignatius MT),1993 Skeeter bass boat,https://greatfalls.craigslist.org/boa/5879442380.html,1993
13,,"['47.509800', '-111.340500']",2016-12-11 07:06,"14' star sport bug solid transom raft. Near perfect condition. 9.9 game fisher motor with new prop and impeller. $1600. Also available 6'x10' custom made trailer with 16"" wheels and tires. All new lights and wiring  $1200 motor propelled",,5914702813,47.509800,14,-111.340500,Star,"https://maps.google.com/maps/preview/@47.509800,-111.340500,16z",Sport bug,$1600,power,,14' star sport solid transom raft,https://greatfalls.craigslist.org/boa/5914702813.html,
14,,"['48.660300', '-112.365400']",2016-12-10 14:02,1986 bass tracker tx-17. 50 hp mercury outboard. Ran when parked in barn. Good trailer with good tires.,,5914025889,48.660300,18,-112.365400,Tracker,"https://maps.google.com/maps/preview/@48.660300,-112.365400,16z",Tx-17,$3750,power, (Cut Bank),Bass tracker,https://greatfalls.craigslist.org/boa/5914025889.html,1986
15,new,"['45.614034', '-108.386684']",2016-12-08 15:28,"Brand new 2015 Axis T23, 5.7L 350 Monsoon, Torque 15 X 12 prop, tower mounted rearview mirror, 1 pair of tower racks, 3 hard tank ballast and plug and play for bags, wedge, depth finder, drop in cooler, dual battery switch, ski pylon, underwater lighting, full warranty, and SURF GATE, Full Warranty.  This boat is a holdover from 2015 and our loss is your gain.  The price was just dropped from $59,900 to $58,990.  You won't find another brand new T23 for this price anywhere. Please email me or call eight6one-three3two2 for more information. Thank you, Tim",0,5911368958,45.614034,23,-108.386684,Axis,"https://maps.google.com/maps/preview/@45.614034,-108.386684,16z",T23,$58990,power," (Billings, MT)",2015 Axis T23 Wakeboard/Wakesurf Boat,https://greatfalls.craigslist.org/bod/5911368958.html,2015
16,like new,"['47.860100', '-111.690000']",2016-12-06 00:08,"2011 reinell ski boat, inboard volvo penta v6 , volvo outdrive. has ski pole, comes with 4 tubes, 9 life jackets, skis , wake board, knee board, gray in color, dont miss out. beautiful boat.much more. please call or text only.",35,5907434663,47.860100,20,-111.690000,reinell,"https://maps.google.com/maps/preview/@47.860100,-111.690000,16z",197 Ls,$19000,power, (dutton),2011 reinell 197 ls,https://greatfalls.craigslist.org/boa/5907434663.html,2011
