,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['48.202800', '-114.303900']",2016-12-20 14:57,The first year of mercury boat motors k1- 1104 serial number 250-7839 150.00 if your name is lowball Larry 100.00 for everbody else.thanks,,5919797459,48.202800,3,-114.303900,,"https://maps.google.com/maps/preview/@48.202800,-114.303900,16z",,$100,power, (kalispell),1940 small MERCURY BOAT engine,https://kalispell.craigslist.org/boa/5919797459.html,
1,good,"['48.417150', '-113.946142']",2016-12-20 07:47,Nice canoe. A couple fixed cracks. 3 person. Flat back,,5923753299,48.417150,21,-113.946142,,"https://maps.google.com/maps/preview/@48.417150,-113.946142,16z",,$250,human,,CANOE,https://kalispell.craigslist.org/boa/5923753299.html,
2,,,2016-12-20 00:47,Made by Sorensen.  Overall in very good condition.  Transom is in good shape.  Has slot for oar locks.,,5897765666,,10,,,,,$300,human, (Kila),10' Double Hull Fiberglass Fishing Boat,https://kalispell.craigslist.org/boa/5897765666.html,
3,,,2016-12-19 21:35,"Custom shrinkwrapping covers made for most anything. Stop the snow damage....If You name it we can shrink it up for protection?  Protect your investments, stop and keep out the elements and prevent  damage, Safe and secure, keep out the vandlas and the kids. Get your space back in your garage or carport, free up your worrying about your project. I have been Shrink wrapping for over 20 years. if you can dream it or think about it? We can shrink wrap it. We also we make custom carports, garages, Quonset huts, shops, lean too's, room additions? you name it? we have covered entire houses and made covers for leaky roofs on houses, barns, moblehome etc. ? Some of my covers have held up for many many years 15+. If it can be covered it can be wrapped and protected. Sometimes it can be made Reusable. Also easy to make access doors.  shrink wrap covers  for your projects? toys? Cars, campers, boats, motorhomes, tractors, entire houses, leaky roofs, custom projects to greenhouses, etc.. Www.shrinkwrapmontana.com tel 212-7369",,5917485639,,18,,,,,$1,power, (flathead),Shrinkwrap covers for R.V.'s / Boats,https://kalispell.craigslist.org/boa/5917485639.html,
4,excellent,"['48.202800', '-114.303900']",2016-12-19 19:52,"14' NRS raft. This is the Outlaw raft with the NRS rowing frame, front fishing seat, 3, 9' Sawyer oars, two manual pumps, over sized Coleman cooler and lots of extras. I also have a 2016, 14' Cargo Pro raft trailer, $2400.00.  89,two-two,five,76",,5891471450,48.202800,14,-114.303900,NRS,"https://maps.google.com/maps/preview/@48.202800,-114.303900,16z",outlaw,$3200,human,,14' NRS raft,https://kalispell.craigslist.org/boa/5891471450.html,2015
5,excellent,"['48.202800', '-114.303900']",2016-12-19 14:28,"380 hours on this mint condition wakeboard boat with a brand new trailer. Almost every option available in 2009 including heated drivers seat, underwater lights, automatic ballast pumps and an incredible JL audio sound system. 6.0 Litre 400 hp engine. Tons of room for storage. Boat comes with a brand new boat mate trailer, trailer will be arriving in Kelowna sometime around December 16th. Boat is currently located in Kelowna, boat will be hauled to red deer sometime in early january. 23 foot boat, 102 inch beam, 4900 pounds. Delivery to border can be arranged.",380,5925951410,48.202800,23,-114.303900,Mastercraft,"https://maps.google.com/maps/preview/@48.202800,-114.303900,16z",X-35,$47000,power, (Red Deer),2009 Mastercraft x-35 Brand new trailer,https://kalispell.craigslist.org/boa/5925951410.html,2009
6,like new,"['47.687600', '-114.140400']",2016-12-19 13:08,"2016 LANDAU ISLAND BREEZE 212 W/ 115 SUZUKI OUTBOARD SEATS UP TO 12 INDIVIDUALS. HAS BIMINI TOP, SNAP COVER (W/PROP RODS) $30,500 (406) EIGHT7ONE - 6EIGHT7EIGHT",,5909936557,47.687600,21,-114.140400,LANDAU,"https://maps.google.com/maps/preview/@47.687600,-114.140400,16z",ISLAND BREEZE 212,$30500,power, (Polson),16 Landau Island Breeze 212,https://kalispell.craigslist.org/boa/5909936557.html,2016
7,good,,2016-12-19 13:08,2005 Bayliner 18'5 4.3 L snap on cover prop & outdrive are both good interior redone,,5909901794,,185,,Bayliner,,185,$7900,power, (Polson),2005 Bayliner 185,https://kalispell.craigslist.org/boa/5909901794.html,2005
8,good,"['47.687600', '-114.140400']",2016-12-19 13:08,2005 21FT. MONTEREY 214 FS SKI BOAT W/ 5.0L VOLVO PENTA MOTOR. BO- show contact info,,5909890323,47.687600,21,-114.140400,MONTEREY,"https://maps.google.com/maps/preview/@47.687600,-114.140400,16z",214FS,$16500,power, (Polson),2005 21ft. MONTEREY SKI BOAT,https://kalispell.craigslist.org/boa/5909890323.html,2005
9,excellent,"['47.687600', '-114.140400']",2016-12-19 13:08,"2005 Searay Sundeck, 5.0 mercruiser,  beautiful boat",212,5909876971,47.687600,20,-114.140400,Searay,"https://maps.google.com/maps/preview/@47.687600,-114.140400,16z",Sundeck 200,$21000,power, (Polson),05 Searay Sundeck 200,https://kalispell.craigslist.org/boa/5909876971.html,2005
