,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,,2016-12-20 06:40,1999 Lund 1850 Tyee Boat with 2010 Shorelander Tandem Axle Trailer. New Minkota 80/US2-6. New Three Bank Charging System. 175 hp Yamaha and 8 hp Yamaha kicker. All in like new condition. Lots of Extras.,,5923423963,,19,,Lund/Lund,,Tyee/1850,$19000,power," (McAllister, MT)","Lund 1850 Tyee Boat, 1999",https://missoula.craigslist.org/boa/5923423963.html,1999
1,excellent,,2016-12-19 08:51,"1978 glastron cv16 135hp evenrude , i just redid the interior starts and runs great.has new axle on trailer too. for $100 I will drive it to the lake and let you drive it first too.",,5925403853,,16,,glastron,,cv-16,$3500,power, (near arlee),1978 glastron cv16 135hp evenrude,https://missoula.craigslist.org/boa/5925403853.html,
2,new,"['47.186000', '-114.076000']",2016-12-19 08:51,"This is a trihull boat and trailer . Open bow seats, rear open for fishing except two crappy captains seats, goes about 13 miles an hour with this motor and prop, great for fishing or a cheap date, sometimes its hard to start but has never not started and left me stranded, comes with one fuel tank and no battery. Runs great at high speed but does not like to idle t o well, so i think it needs a tune up. 4x0x63x7x0x5x4x6x6. For a hundred bucksmore  i will take you to the lake put it in and let you drive it",,5925403505,47.186000,18,-114.076000,,"https://maps.google.com/maps/preview/@47.186000,-114.076000,16z",,$1600,power, (near missoula),fiberform 18 foot tri hull open bow 115 mercury outboard,https://missoula.craigslist.org/boa/5925403505.html,
3,good,,2016-12-18 11:36,"This is a great boat, is has GM 4.3 V6 with a Cobra outdrive. It is a cuddy cabin, easily seats 6-8. The  upholstery could use some work but everything else in great condition. The outdrive was rebuilt earlier this year, and has a brand new prop, it does  need a shift cable adjustment (might get that done).  It has a radio and fish finder. I will buy buying a larger boat next year and would rather not store this one over the winter.",0,5921922997,,19,,Campion,,Allante,$2999,power, (Missoula),1988 19.5 Campion Fish & Ski Boat,https://missoula.craigslist.org/boa/5921922997.html,1988
4,,,2016-12-18 10:19,REWARD FOR INFORMATION LEADING TO THE RECOVERY 16' LAVRO DRIFT BOAT -WHITE EXTERIOR WITH BLUE INTERIOR -ENCLOSED STERN HATCH WITH PEDESTAL SEAT FORWARD. -ANCHOR SYSTEM WITH NO ANCHOR -LOST BETWEEN BUFFALO RAPIDS AND BUFFALO BRIDGE Flathead river . $500 REWARD FOR INFORMATION LEADING TO THE RECOVERY OF MY BOAT!!! CALL show contact info show contact info thanks,,5911090843,,16,,lavro,,,,human,,LOST 16' LAVRO DRIFT BOAT,https://missoula.craigslist.org/boa/5911090843.html,
5,like new,"['46.856300', '-114.025200']",2016-12-17 15:26,"Practically new canoe, was only taken out on water once, has been sitting in a garage for two years and we just want to get rid of it. Comes with paddles (I forgot to take pictures of the paddles, will update post soon). Also comes with a couple of seat pads. Wenonah Spirit II 17 Ft long 36 in wide In the process of determining the material of the canoe as I cannot seem to find any of my original records. Let me know if you have any questions! If you do not live in/around Missoula, MT, you will have to figure out how to get it.",,5888388944,46.856300,17,-114.025200,Wenonah,"https://maps.google.com/maps/preview/@46.856300,-114.025200,16z",,$2000,human,,Practically New Wenonah Spirit II Canoe w/ Paddles and Seat Pads,https://missoula.craigslist.org/boa/5888388944.html,
6,good,,2016-12-17 14:42,"NICE RODONCRAFT (MADE IN BANDON, OREGON) 16' FIBERGLASS DRIFT BOAT AND MATCING TRAILER WITH ALL THE ACCESSORIES, OARS, PRESERVERS AND ANCHOR, READYTO FISH. $2,200 . PHONE FOUR ZERO SIX- 369-905 ONE.",,5917661353,,16,,RODON,,DRIFTER,$2200,human, (CORVALLIS),NICE FIBERGLASS 16' DRIFTBOAT AND TRAILER,https://missoula.craigslist.org/boa/5917661353.html,
7,,,2016-12-15 08:00,"2006 Aire Jaguarundi: 16ft tubes-like new condition nrs aluminum expedition frame 3 complete oars, 2 nrs, 1 cataract(spare) Cooler Dry box 4 rocket boxes straps and bow line included tilt snowmobile trailer w/ramps Always stored indoors repair/patch kit never used it works well for just about everything- whitewater, extended trips(floated 21 day grand canyon), day trips and fishing. great shape ready to row $4900 for both $4200 for cataraft. -please call if interested-",,5920276588,,16,,AIRE,,Jaguarundi,$4200,human, (Missoula),Cataraft,https://missoula.craigslist.org/boa/5920276588.html,2006
8,,,2016-12-14 12:36,"Aire 13' Super Puma Raft with NRS Fishing Frame, with 3 seats, and anchor system. This is the perfect fly fishing raft. Self bailing foor, and lightweight, solid, top of the line frame parts. This is a raft that can get you in and out of nearly anywhere, and is a real fishing machine. 13' Aire Super Puma Raft, in excellent condition, no wear, and one tiny pinhole that was patched. NRS Fishing Frame, with rear seat assembly and anchor system.  Notice the seats in the photo, those aren't the junky plastic seats that come with the stock frame. Those are real drift boat seats, the kind you would find in an Adipose, Clackacraft, etc. I've also got two non stock sized bars on the frame, that make the boat WAY better. This boat wasn't put together by someone who works in retail, it was put together by a Montana Outfitter with years of experience. This package comes with a blue Aire super puma - $3150 Retail An NRS Fishing Frame - $775 Retail NRS Frame Stern Mount -  $305 Retail NRS Anchor System - $240 Retail Sawyer Cobra Oarlocks - $120 Retail Tempress Fish On Seats - 3 @ 100 Retail 9 Foot Hardy Cordura Fly Rod Holder The boat also comes with an anchor rope, repair kit, and sufficient NRS straps. The boat doesn't come with oars, pumps, lifejackets  etc. I am willing to sell you oars 8 Foot Sawyer Oars, but wanted to keep the $$$$ down. I cannot emphasize enough what excellent condition this boat is in.",,5919329171,,13,,,,,$4100,human, (Missoula),13' Aire Super Puma Raft |  Excellent Condition,https://missoula.craigslist.org/boa/5919329171.html,
9,good,"['46.856300', '-114.025200']",2016-12-14 10:53,1997 wave raider with trailer runs great pro tec jet end,,5919184003,46.856300,12,-114.025200,Yamaha,"https://maps.google.com/maps/preview/@46.856300,-114.025200,16z",Wave raider,$1600,power, (Missoula),1997 yamaha wave raider 700 with trailer,https://missoula.craigslist.org/boa/5919184003.html,1997
